,ticker,content
0,A,top stock continue set break stock market today last week resurgent internet stock twitter twtr moved past buy point accord marketsmith chart analysis be buy range tuesday share alibaba baba be breaking past potential double bottom entry turn lower midday trade meanwhile stock be potential buy zone own include fang stock facebook fb share rise much tuesday much better decline social medium giant facebook be trading away handle buy point double bottom base formation certainly have element double bottom base show entry share briefly moved past entry pull back stock relative strength line have drastically improve late march remain high meanwhile stock relative price strength rating have dwindle meager highest possible get newsletter deliver inbox more info product service privacy policy term usela vegas sand lvs be just flat base entry rank big cap member ease lower tuesday briefly move buy point earlier trade casino operator rs line be already new high bullish factor most recent quarter show quarters accelerate earning growth vs year period meanwhile quarterly revenue growth be also accelerate straight quarters shopify shop be trace handle cup shape base show buy point last year software company turn profitable analyst expect company earning grow just whopping stock have have huge move bottom january current base be late stage formation grand canyon education lope be form later stage flat base buy point phoenix base online education provider have moved nicely double bottom buy point feb rs line be new high indicate strong market outperformance meanwhile accord ibd stock checkup stock accumulation distribution rating be strong keep mind later stage basis have less upside potential earlier stage formation be more likely fail tip make investment decision be sure check current market condition use ibd stock checkup see stock get pass rating most important fundamental technical criterium get ongoing chart analysis alert buy sell signal check leaderboard swingtrader related top stock buy alibaba micron salesforce twitter paypal la vegas sandssalesforce rival growth be cut investor slacktech retail elite report job datum due investing action planmicron hit buy point semiconductor get price target hikefang stock news quote facebook amazon netflix google
1,A,general market stabilize return confirm uptrend friday investor be eyee potential breakout top stock stock market today recent market weakness many top stock idea be currently shape right side potential formation xif market build latest bout strength more more breakout emerge lead chinese stock zto express zto be handily outperform stock market monday leaderboard member zto express be quietly shape second stage flat base buy point accord marketsmith chart analysis share advanced almost midday monday ipo leader zoom past standard buy point quickly moved next trading session early entry be also justified note annotate leaderboard chart late june share pull back find support day move average line stock be now rebound level chinese express delivery service boast ibd composite rating highest possible rating be blend key fundamental technical metric design gauge stock leadership ability get newsletter deliver inbox more info product service privacy policy term usevertex pharmaceutical vrtx be move right side cup shape base so far feature handle action yield buy point accord marketsmith chart analysis share soar june competitor galapago glpg release weak test result own cystic fibrosis drug biotech company develop cystic fibrosis drug orkambi kalydeco symdeko most recent quarter earning growth measure revenue decline vs year period due significantly lower collaborative revenue analyst expect company earning grow surge oil price have lead plentiful number strong energy stock marathon oil mro be striking distance base base buy point stock break past cup handle entry never look back share remain buy point new entry emerge marathon be buy point find support day line lastly fertilizer stock cf industry cf break cup handle buy point be buy range top stock relative strength line hit new high post signify strong market outperformance tip make investment decision be sure check current market condition use ibd stock checkup see stock get pass rating most important fundamental technical criterium get ongoing chart analysis alert buy sell signal check leaderboard swingtrader get instant access more trading idea exclusive stock list ibd proprietary rating only related facebook twitter ipo headline top stock relative strength shouldn discount top stock buy zonesjpmorgan citigroup well fargo kick earning season investing action top stock near buy point call too low ignore
2,A,downbeat action monday heighten tension trade china top stock be trading striking distance potential buy point stock market today meanwhile payment processor fleetcor technology flt surge be buy range accord marketsmith chart analysis xcomputer software stock continue be key part market top perform industry meanwhile entire software sector be ibd sector communication software provider ringcentral rng be potential flat base entry share rise midday monday stock near buy point stock current structure be later stage base be more likely fail earlier stage formation revenue have grow past quarters meanwhile quarterly earning rocket cent share latest quarter get newsletter deliver inbox more info product service privacy policy term useproperty management software name realpage rp moved midday monday be approach flat base entry accord ibd stock checkup stock boast highest possible ibd composite rating rating be blend key fundamental technical metric design gauge stock strength look relative strength line improve stock be able power break rs line hit new high confirm strength software security stock proofpoint pfpt be away flat base entry chart pattern be second stage formation previous first stage double bottom entry yielded gain latest quarter earning sale growth measure vs year period analyst expect company earning grow top stock fleetcor be breaking buy point week flat base more gain monday drive stock upside be news payment processor be join index tip make investment decision be sure check current market condition use ibd stock checkup see stock get pass rating most important fundamental technical criterium get ongoing chart analysis alert buy sell signal check leaderboard swingtrader related top stock buy zone time take profit twitter micron red hat oracle earning opec meeting investing action planchart read beginner stock chart use chart opentable exemplify power rare ascend base patterntop stock chart analysis apple tesla google boee be buy point
3,A,tech drive sell thursday top stock continue mostly hold recent buy point stock be buy zone stock market today ahead fed interest rate decision trump kim summit et monday meanwhile twitter twtr stock have make strong gain cup handle be potential profit take range stock be featured stock buy zone column xspotify spot be trading just initial base buy point friday share fall slightly midday monday share drop almost company first quarterly earning release disappoint investor day streak stock be right post ipo high company go public april used direct list approach lose share last year analyst expect stream music leader annual loss decline substantially come year meanwhile revenue continue grow sharply come most recent quarter vs year period get newsletter deliver inbox more info product service privacy policy term usebig cap member paypal pypl be trading right double bottom entry june bullishly stock relative strength line hit new high stock rs line hit new high day shortly thereafter accord ibd stock checkup paypal have accumulation distribution rating rating measure institutional buy selling last quarter meanwhile ibd composite rating be highest possible molina healthcare moh be rapidly approach cup handle buy point monday accord marketsmith chart analysis share surge more midday trade manage care company provide health insurance individual government program medicaid medicare rs line hasn reach new high yet be sharply ascend stock current day streak year year earning grow latest quarter revenue growth fall social medium platform ibd stock twitter have emerge market leader cup handle entry twitter stock be more buy point short period time indicate strong institutional participation investor decide lock gain profit take level other investor high level conviction stock decide hold outsize profit tip make investment decision be sure check current market condition use ibd stock checkup see stock get pass rating most important fundamental technical criterium get ongoing chart analysis alert buy sell signal check leaderboard swingtrader related trump kim summit time warner ruling cpi investing action planvideo game stock call own group ahead expochart read beginner stock chart use chart square paypal lead financial stock buy zone
4,A,last week top stock show strength moved solidly friday job report related stock market gain now notable stock be approach potential entry stock market today include dow stock boee ba xboee be approach cup handle buy point accord marketsmith chart analysis share advanced monday report airplane maker be expect order dreamliner dow stock be midst big move october current base structure be later stage base late stage basis have less upside earlier stage week stock moved past early entry handle entry only viewable daily chart latest quarter earning sale growth come respectively get newsletter deliver inbox more info product service privacy policy term useestee lauder el have rally back day line steep sell early now stock be trading just shape cup handle buy point share find necessary support day line friday potential flaw be stock relative strength line descend rapidly conjunction stock price early even stock have re-cover old high rs line still have good deal work ahead hit new high base be shallow enough also be interpreted flat base buy point cosmetic maker boast quarters accelerate revenue growth most recent quarter time period lead brokerage firm td ameritrade amtd be rally back day line flat base entry loom ahead share have strong move cup handle september financial have be weak last several week rival interactive broker ibkr be trigger sell signal flat base buy point td ameritrade earning sale grow respectively vs year period downside stock have weak accumulation distribution rating rating measure institutional buy selling last week tip make investment decision be sure check current market condition use ibd stock checkup see stock get pass rating most important fundamental technical criterium get ongoing chart analysis alert buy sell signal check leaderboard swingtrader related day more stock hit ibd include lululemonthese top stock elite screen be buy rangedow jone industrial average dow stock news analysisapple big show broadcom earning lead investing action plan
5,A,stock market top stock regain steam friday add gain early monday nvidia nvda stock break past buy point stock market today alibaba baba stock look extend streak session monday rise earning season remain full swing so investor be vigilant potential earning result earning release usually result volatile price change so ensure have decent profit cushion least more withstand downside move meanwhile better expect result lead breakaway gap graphic chip maker ibd name nvidia be breaking double bottom base pattern buy point nvidia stock rise be buy range top earning result be due market close so new investor need be prudent avoid be too aggressive ahead volatile news analyst expect company earn share sale focuse growth artificial intelligence cryptocurrency mining datum center get newsletter deliver inbox more info product service privacy policy term useibd sector leader alibaba capped last week advance gain friday company report strong earning sale result quarter earning sale grow respectively vs year period revenue growth be accelerate straight quarters bullish fundamental metric share advanced much monday afternoon moved closer buy point new double bottom top homebuilder lgi home lgih be near buy point cup handle stock also remain proper buy point briefly fall more entry april day stock find support day move average line earning be due early tuesday be catalyst potential quarter analyst expect company earn cent share revenue even market action hasn be great april follow day lake gold kl featured march stock buy zone column have rise cup handle entry share surge entry april stock then retreat back day line test support rebound be lookout stock be be add remove ibd stock list help pinpoint potential leadership change tip make investment decision be sure check current market condition use ibd stock checkup see stock get pass rating most important fundamental technical criterium get ongoing chart analysis alert buy sell signal check leaderboard swingtrader related apple nvidia alibaba regional bank share same bullish base best growth stock buy watch see update ibd stock listsnvidium disney top chinese stock report investing action plannvidium stock near buy point ahead earning reportthese top stock be buy point earning dueapple lead hot stock now buy range
6,A,market uptrend continue many lead stock have yet see much upside progress breakout other top internet name twitter twtr stock be new buy point stock market today xtwitter stock break past cup handle buy point monday stock rise almost midday trade monday social medium giant have wild ride november debut time low stock fall much time high thing be shape company share break past cup handle buy point december moved much level current base formation current structure be earlier stage base have more upside potential later stage base get newsletter deliver inbox more info product service privacy policy term usequarterly earning sale growth increase respectively vs year period latest report quarter analyst expect company earning grow retailer continue perform well current market environment costco cost be just cup handle entry share peek buy point volume be lighter normal day volume increase least average indicate institutional demand be strong warehouse chain report current quarter earning market close consensus estimate expect earning share revenue respective increase blue chip semiconductor stock intel intc be back buy range flat base entry april stock have vacillate buy point fall much entry loss cut rule trigger stock fall more buy point volatile trading chipmaker have maintain day move average line key support level most recent quarter year year earning sale growth come respectively apply material amat featured last week stock buy zone column reiterate importance patiently wait buy stock not get cheapest price stock right price right time optimal risk entry be stock break resistance level heavy volume last week apply material near choppy double bottom buy point never exceed price fact chart pattern have number flaw lag relative strength line weak accumulation distribution rating late thursday company forward guidance disappoint cause sharp drop stock price share give long term day move average line be lookout stock be be add remove ibd stock list help pinpoint change potential leadership tip make investment decision be sure check current market condition use ibd stock checkup see stock get pass rating most important fundamental technical criterium get ongoing chart analysis alert buy sell signal check leaderboard swingtrader related top stock be get handle buy point be breaking outbest buy target lead retail earning splunk top tech investing action plandow jone fall big gain macy soar earning walmart cisco apply material fall weekly reviewmicron technology increase quarterly guidance share jumpretail commerce news stock watch
7,A,agilent technology see welcome improvement relative strength rs rating wednesday rise look best stock buy watch factor watch closely be relative price strength exclusive rating investor business daily identify share price action worst best score grade show stock price behavior trail week compare other stock database history show stock go make biggest gain often have rs rating north early stage move see agilent technology continue rebound clear threshold look winning stock try simple routineagilent technology be not currently potential buy area see stock go form chart pattern launch new move agilent technology see earning sale growth rise last quarter earning share increase revenue rise agilent technology hold rank peer electronic scientific measure industry group ipg photonic ipgp novanta novt vishay precision vpg be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
8,A,market uptrend resume last week accord big picture more more top stock approach potential buy area include alibaba stock paypal xonly handful company have yet report quarterly earning result earning release usually result volatile price change so ensure have decent profit cushion least more withstand downside move meanwhile better expect result lead breakaway gap chinese commerce giant alibaba baba featured last week stock buy zone column be trading just potential buy point alibaba stock advanced nearly midday trade away double bottom entry week ibd sector leader report better expect result spark advance get newsletter deliver inbox more info product service privacy policy term usetop payment stock continue perform well payment processor paypal pypl be midst day streak have see stock find much need support long term day move average line share be away buy point somewhat odd look double bottom base latest report quarter earning sale growth come respectively vs year period top chip stock apply material amat be shape own double bottom formation show buy point share moved midday trade monday try reclaim day line quarterly earning be due market close analyst expect chip gear maker earn share lift revenue downside stock relative strength line be lag due stock price sharp decline april meanwhile stock accumulation distribution rating have decline show strong institutional selling look technical metric improve come week workday wday be just double bottom entry stock market today share be buy range workday boast highest possible ibd composite rating rating be blend key fundamental technical metric computer software enterprise industry be rank group industry group other top stock group include atlassian team servicenow now be lookout stock be be add remove ibd stock list help pinpoint potential leadership change tip make investment decision be sure check current market condition use ibd stock checkup see stock get pass rating most important fundamental technical criterium get ongoing chart analysis alert buy sell signal check leaderboard swingtrader related walmart home depot tencent cisco earning investing action planhome depot earning growth see accelerate yet again investing action planvisa mastercard lead hot payment stocksvipshop partnership tencent jd com fuel earning invest big sell low volume rebound mean time sell stock
9,A,agilent technology have relative strength rs rating upgrade tuesday welcome improvement still higher score prefer see re research best stock buy watch keep close eye relative price strength unique rating measure market leadership used worst best score identify stock price action last week stack other stock database history reveal best stock tend have rs rating north early stage move see agilent technology continue show renew price strength clear threshold see ibd help make more money stocksagilent technology be try complete flat base buy point see clear price volume least average top bottom line growth moved higher company most recent quarter earning be compare prior report revenue increase company hold rank peer electronic scientific measure industry group vishay precision vpg ipg photonic ipgp novanta novt be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
