,ticker,content
0,ADM,politically drive mood ancient roman often wipe history mention prior hero celebrity call such erasure damnatio memoriae soviet union likewise airbrushed away trotskyize image past kingpin become politically incorrect obama administration seem obsessed do same retire gen david petraeus secretary defense ashton carter be now think retroactively take away petraeus star potential demotion rank opposed army be intend further punishment misdemeanor plead guilty last year petraeus accept year probation paid fine allow mistress paula broadwell read classify information research biography be writing petraeus carter apparently want ensure petraeus be treat same fashion other miscreant general admiral have lose rank yet be evidence broadwell enjoy military security clearance own ever share classify information anyone disclose biography do not excuse bad judgment petraeus do invite obvious comparison former secretary state hillary clinton not only send classify information unsecured email several individual remain untruthful fact day still do not know many person receive classify information clinton email hacker tap approve private server sense obama justice department charge clinton fashion do petraeus go free obama administration confirm suspicion be longer security law government official particularly be powerful politic agree president petraeus be not just star general be most effective talented american general gen matthew ridgway save appear be lose korean war petraeus team promote so call surge troop iraq enlist ten thousand iraqis join american effort defeat radical terrorist insurrectionist petraeus effort save iraq thousand american iraqi life barack obama enter office mostly quiet iraq petraeus legacy explain vice president joe biden claim iraq possibly administration greatest achievement obama boast late be pull force sovereign stable self reliant iraq claim be true obama politically drive skedaddle iraq create vacuum be filled islamic state terrorist practically not be wise obama humiliate petraeus thereby revisit circumstance general strange exit obama administration medium have rarely note administration learn petraeus imbroglio sometime summer right middle obama re election campaign yet petraeus sudden unexpected resignation cia director come just day obama re election exactly cia be do libya happened benghazi be likewise murky current puritanical frenzy regard military be sacrifice battlefield talent never have win world war ii have share administration present obsession hard drink womanize adm ernest king be architect brilliant comeback navy have be cripple pearl harbor less year later king utterly destroy imperial japanese navy gen george patton slap soldier sicily thought be slacker be probably ill yet reprimand patton career be ultimately salvage go save ten thousand american life europe audacious armored drife often brilliant encirclement gen dwight eisenhower quite possibly have affair chauffeur kay summersby midst oversee normandy operation now strip long dead eisenhower fifth star give well have discuss confidential information summersby oversee army iconic gen dougla macarthur carry affair underaged filipina actress isabel rosario cooper be top commander philippine macarthur have be relieve duty lead pacific offensive liberate philippine japanese occupation petraeus have lose reputation resign job cia director pled guilty misdemeanor be fine be put probation enough be enough be time move administration throw away stable iraq once save man still hound
1,ADM,american decline naval intelligence warn detail new technologically advanced russian navy return moscow clear great power status reaganesque response seem likely page report office naval intelligence month russian navy historic transition scare american public way soviet invasion afghanistan exactly year do chance be person never even hear new technologically advanced russian navy increasingly arm kalibr family weapon be able more capably defend maritime approach russian federation exert significant influence adjacent sea report state october russian vessel launch kalibr class supersonic cruise missile fly more mile iran iraq assad islamic state target syrium reportedly crash moscow launch kalibr cruise missile last month syrian target more month very low fly fast missile retire adm eric mcvadon formerly naval attache beij once describe perform sharp angled escape other advanced maneuver shortly reach target naval intelligence manual state sink aircraft carrier chinese submarine have own version missile multipurpose force report continue provide flexible platform russia demonstrate offensive capability threaten neighbor project power regionally advance president putin state goal return russia clear great power status report note numerous specific naval construction project short term time frame completion dolgorukiy nuclear power ballistic submarine ssbn class unit end severodvinsk fourth generation multipurpose nuclear attack submarine be plan be build grigorovich class ffgs guide missile frigate grigorovich unit be expect be black sea don expect ruble toilet seat post soviet era russian government have take more cost effective approach military procurement attempt find cut waste fraud embezzlement procurement fund naval analysis note significant step have be take ensure defense procurement ruble result ruble worth equipment putin also seem determine arm other high tech naval weapon report warn arm traffic russia many peer foreign actor remark proliferation high grade weapon be most trouble aspect russian federation adventurism worldwide defend own cruise missile russia also seek laser high energy weapon cruise missile defense capability electro dynamic gun system be be develop use electrical energy meanwhile china too be expand number submarine advanced guide missile warship navy report april do anyone imagine even republican president massive welfare state america now sustain public agree kind reaganesque military revitalization require oppose new russian threat third debate gop nominee mitt romney warn president obama shrink navy obama quip also have fewer horse bayonet many believe obama win election right then comfort believe obama taunt be now call ask foreign policy back know cold war be year sign come back less year
2,ADM,mervyn bennion set heroic example other follow captain battleship west virginia bennion die dec japanese attack pearl harbor hawaii battle trigger america world war ii entry be american kill carnage action defense ship man be so
3,ADM,stock pull narrow open loss mixed action tuesday earning result power bulk early trade dow jone industrial average wrestle gain nasdaq hung red
4,ADM,volume jump stock market today trade nasdaq nyse volume rise relative action same time monday
5,ADM,factory order slip september commerce department report be much healthier last month downwardly revise slump not quite downtick forecast economist
6,ADM,extra weekend october help boost automaker sale strong month general motor gm report gain light vehicle sale fiat chrysler fcau claim increase ford sale month
7,ADM,chevron cvx lead dow bit less discovery communication disca pace nasdaq toy gain announce share buyback report mixed result
8,ADM,agribusiness giant daniel adm plummet heavy trade weak result concrete construction aggregate supplier martin marietta mlm tank earning revenue also miss consensus forecast
9,ADM,ibd list amtrust financial service afsi hammer advance gain ep soundly trounce expectation decline revenue rise also expectation stock be just buy point cup handle base
