,ticker,content
0,AEP,dividend fund have underperform past year outperform first year outperformed more growth oriented big cap benchmark early part decade suffer smaller price setback year financial crisis then bull market begin early
1,AEP,be rough start stock market so not surprising see defensive area market utility real estate investment trust set possible upside move group be know deliver solid yield growth stock generally favor now institutional money have be quietly flow group bullish setup abound utility group like american electric power aep scana scg wec energy wec reit group be home compelling setup well digital realty dlr have emerge leader reit group already have clear buy point plenty other name be attract interest institutional investor be accumulate share dupont fabro technology dft late last year work right side cup shape base handle area have be form show buy point headquarter washington company operate multus tenant wholesale datum center major market datum center remain high demand company internet content provider health care financial firm outsource datum management need annual pretax margin return equity dupont hit multiyear high currently yield elsewhere group realty income be hold own sit just buy point specialty be triple net lease tenant be responsible pay build property taxe build insurance maintenance cost realty income currently yield finally federal realty investment trust frt be trading tightly still buy range entry company operate retail mixed used property northwest mid atlantic california
2,AEP,investor throw utility stock window friday labor department eye pop employment report seem seal deal federal reserve raise interest rate soon
3,AEP,cme fedwatch tool register chance fed raise rate dec meeting odd be calculate action fed fund future market
4,AEP,government report job be create october well economist forecast unemployment rate fall september lowest year
5,AEP,spdr utility xlu etf gap drop nearly
6,AEP,southern so consolidated edison ed american electric power aep great plain energy gxp be stock suffer stiff decline utility stock don do well environment rise interest rate couple reason
7,AEP,utility tend have heavy debt load upgrade maintain facility rise rate make more expensive
8,AEP,also dividend pay utility compete interest bearing security such bond investor affection
9,AEP,interest rate rise dividend pay stock become less attractive
10,AEP,yield year treasury note have be rise several week jump sharply friday
11,AEP,utility industry group be worst performer friday
12,AEP,diversify utility fall electric utility fall water supply utility natural gas distributor be
13,AEP,utility have not be top performer year go friday diversify utility be year date electric power utility be water utility manage gain same time frame natgas distributor be investor throw utility stock window friday labor department eye pop employment report seem seal deal federal reserve raise interest rate soon cme fedwatch tool register chance fed raise rate dec meeting odd be calculate action fed fund future market government report job be create october well economist forecast unemployment rate fall september lowest year spdr utility xlu etf gap drop nearly southern so consolidated edison ed american electric power aep great plain energy gxp be stock suffer stiff decline utility stock don do well environment rise interest rate couple reason utility tend have heavy debt load upgrade maintain facility rise rate make more expensive also dividend pay utility compete interest bearing security such bond investor affection interest rate rise dividend pay stock become less attractive yield year treasury note have be rise several week jump sharply friday utility industry group be worst performer friday diversify utility fall electric utility fall water supply utility natural gas distributor be utility have not be top performer year go friday diversify utility be year date electric power utility be water utility manage gain same time frame natgas distributor be
14,AEP,little lie fleetwood mac tango night turn page time then rearrange just day couldn find way so ll settle day believe tell lie tell sweet little lie disguise
15,AEP,so let confession begin not yesterday citron research firm publish negative research actively make bet company make very high profile allegation valeant pharmaceutical vrx used phrase web deception fraud call enron pharmaceutical industry now actually remember enron scandal be not good do not let outline
16,AEP,height season enron be energy commodity pulp paper service company base houston tx ticker symbol nyse be ene be most actively trade stock time everyone want be enron be always big crowd big trade lot action just name cause blood pump brow sweat be right outside booth so energy excitement be never far away be company claim have bil revenue consecutive year be name america most innovative company fortune magazine then december file bankruptcy go poof
17,AEP,rumor have be build week question raise story written remember be internet facebook twitter so news moved bit slower moved just same then be reveal money suppose financial condition be nothing fraud never forget action floor nyse time stock crash dozen broker vie position roar market work energy excitement tension be broker dream be very definition functionality exchange be very core heart soul capitalism so today something someone be enron be accuse fraudulent corruptive behavior be essentially death knell
18,AEP,be yesterday headline hit twitter citron research be call vrx pharmaceutical enron rest be history stock crash now stock fall mins only rally then fall then bill ackman large shareholder come announce be buy mil more share company defend say report be erroneous full false mislead statement categorically deny allegation boy now gonna get interesting stock close last night day morning pre market stock be trading be story be far so sit pay attention day be book written
19,AEP,so be excitement yesterday pharma healthcare manage cast pall broader market decline add market loss tuesday come top crude oil price weakness investor focuse latest wave company report quarterly financial result lower close reflect ongoing concern corporate earning outlook global economy now yes ba utx do help push industrial name higher broader market suffer negative tone create action vrx buildup oil reserve
20,AEP,doe energy report show mil barrel inventory build crude oil be highest weekly inventory build april rd dramatically higher be expect cause oil price fall close be still hold range be now worry intermediate term be look more more challenge supply continue build morning oil be trading bit so churn remain
21,AEP,have note be keep eye breach barrel bring more selling market chatter fed governor say
22,AEP,weak earning continue pressure stock earning expectation have be lower company beat expectation doesn necessary mean re expand just mean beat lower estimate just buy sell stock pico second do not mean do good job just mean do fast
23,AEP,so now rd quarter earning be come slightly better expect analyst be now call decline profit better original decline have prepared have beaten estimate only be beating top line disconnect now sector moved lower yesterday energy stock fall most back weaker oil industrial only sector rise thank ba utx
24,AEP,more earning come today mcd cat mmm report prior open have already report have be positive swk alaska air lly luv dow aep rtn ua show bottom line beat pre market trading have most name move higher bell look alphabet goog amzn msft eco datum today include inti jobless claim cont claim mil exist home sale mil kansa city fed show lower activity
25,AEP,european market be slightly higher await ecb rate news expect draghi change rate fact leave door open further ease increase current tril euro qe program guess be not yet ftse flat cac dax eurostoxx spain italy flat
26,AEP,future be pt suspect oil bit higher dollar flat long get better earning market hold steady here resistance still hold short term support right here do not hold then look be next real support level
27,AEP,take good care
28,AEP,kp
29,AEP,follow kenny twitter kennypolcari kennypolcari com
