,ticker,content
0,AGN,volatility be word day stock market drugmaker strong growth prospect proven long term stability such ibd member valeant pharmaceutical vrx be good stock watch list candidate ibd spotlight top performer list stock base combination factor include sale profit growth today roster
1,AGN,market go rocky phase pay close attention stock icon iclr weather storm better most drugmaker allergan agn perrigo prgo contract research organization cro icon be base ireland provide phase phase clinical trial service help pharmaceutical biotech medical device company bring product
2,AGN,shareholder generic drug giant mylan myl friday vote favor continue firm hostile bid perrigo prgo launch be protracted battle mylan say third shareholder have approve transaction issuance share perrigo shareholder cash stock bid mylan last formal proposal april be worth
3,AGN,be sell not be sell be course question lie generic drug maker perrigo prgo regardless answer analyst say be plenty reason investor take interest dublin base company owing ability capitalize trend generic prescription drug counter sale first thing first friday stockholder drugmaker mylan myl be schedule vote approve hostile takeover bid perrigo move ahead tender offer perrigo ceo joseph papa speaking month analyst company latest quarterly earning call reiterate own opposition offer unanimous rejection perrigo board make prediction mylan shareholder vote want remind everyone include mylan shareholder proceed tender offer perrigo not be easy path be painting be papa say express confidence perrigo investor support stand alone ambition mylan begin pursue perrigo earlier year follow several refusal mylan recently offer share cash share perrigo share mylan need approval own shareholder support perrigo investor more share seal deal mylan insist new decisionin letter shareholder public statement most recent earning call papa have say mylan have undervalue perrigo mylan do shareholder vote initiate tender process ll make strategic decision board right thing do company say expect close vote analyst observer say deal ever get do not talk surround perrigo have attract positive attention be sticking buy rating perrigo see path upside share stand alone basis hopefully supplement acquisition large scale context sale mylan party deutsche bank analyst write perhaps deal talk lead even stronger bid mylan suitor potential investor sam pappas ceo mystic asset management veteran health care industry investor tell ibd many pharma company be hunting acquisition so not surprise more buyer show serious interest perrigo build pipeline say be efficient way do other hand mylan takeover attempt falter other suitor do not immediately enter fray perrigo be freed month long distraction focus anew organic growth acquisition own lawrence white economist new york university stern school business long time observer market tell ibd pharma industry bigger player often capitalize scale more efficiently distribute medication manufacture takeout target be not always case add say fast growth company have such robust pipeline proven growth sale simply interfere already solid expansion path perrigo establish be indeed case own shareholder back vote mylan takeover add important dose confidence investor feed biggest isn always best be lot move part address come distribute pharmaceutical tend favor larger company white say be not be biggest be always best rule here analyst say perrigo be indeed well position growth remain stand alone entity company be lead maker distributor private label counter generic prescription drug analyst say frugal consumer be increasingly move away national brand store brand away expensive prescription otc alternative outcome aside continue fundamental perrigo story give global leadership position store brand otc ability capitalize rx otc switch william blair analyst say august report perrigo spend absorb own acquisition dublin base elan sell treatment everything smoking cessation pain relief stock have ibd composite rating ibd medical general drug industry group rank st industry group perrigo be rank allergan agn quarter end june perrigo report earning cent share exclude time item generate ep revenue firm cite strength new brand consumer health care line include recent acquisition omega pharma expansion pharmaceutical revenue brand consumer health care generate sale sale perrigo prescription pharmaceutical segment increase more bolt on company also recently inked deal buy patheon operation mexico well portfolio otc drug glaxosmithkline gsk analyst anticipate perrigo pursue more such bolt deal remain stand alone operation post quarterly result earlier august perrigo executive project ep increase midpoint sale ahead midpoint executive say addition company specific trend perrigo also stand benefit general ongoing demographic health care development give megatrend have talk many year include age population increase use medication individual get older rise health care cost perrigo be well position meet future need global health care community papa chief executive say earning call
4,AGN,only ibd stock be headquarter outside be unusually small number overseas representative list month ibd include foreign name late january be current name be base ireland economic recovery degree buffer stock
5,AGN,be wild wild week stock market elite ibd much close friday facebook fb apple aapl iphone supplier technology avgo celgene celg ibd other most liquid stock base average dollar volume finished higher trading just day
6,AGN,high rate tech stock adobe system adbe pair biotechs lead ibd stock move go wednesday tough tuesday index more adobe lift high volume indicator institutional investor be likely buy company make photoshop other creative cloud software graphic video
7,AGN,lead stock index europe run loss better twice rate peer tuesday london ftse fall vs dow decline cac paris drop compare slip frankfurt dax tumble vs fall nasdaq vs sentiment also hold foreign stock trading market asian base stock generally fared best china base company trading american depositary receipt market slip average tuesday japan base adrs fall most not foreign company trading market use adrs issue such toyota motor tm honda motor hmc alibaba group hold baba trade adrs indian adr listing averaged drop skewer small telecom provider mahanagar mteny nose dive loss india base listing fall europe base stock trading adrs france base issue fall average german issue drop volkswagen vlkay fall trade issue ireland slip base company slump average italy slip ibd fall tuesday stock group spread india bermuda averaged decline ibd top world stock averaged decline ibd foreign stock performance valeant pharmaceutical vrx week have be disappointing stock have fall away attempt retake week move average construct right side week consolidation now appear set retest support week line second such test week clear prospect base pattern sight allergan agn rise almost fast trade be only week loss have come heavy trade drive share back week line change put hold hope current consolidation develop base ibd top world stock signet jeweler sig have show high level resistance trading flat just buy point midcap icon iclr big cap cognizant technology ctsh see real chart damage
8,AGN,high rate tech stock ibd leaderboard amazon com amzn palo alto network panw get lift early monday rise market turn choppy midday hillary clinton tweet price gouge prescription drug slam biotechs general stock market direction uptrend pressure warrant caution amazon introduce new tablet thursday power back more gain monday afternoon stock be consolidate potential buy point palo alto cybersecurity research uncovered xcodeghost malware apps apple aapl app store see more lift largely disappear stock be become buy point cup base big techs ibd growth stock list facebook fb be more monday google googl less drugmaker biotechs celgene celg valeant vrx allergan agn other be several percentage point follow donna howell twitter ibd_dhowell related top big tech stock trading fast buy point
9,AGN,high rate tech stock ibd leaderboard amazon com amzn palo alto network panw get lift early monday rise market turn choppy midday hillary clinton tweet price gouge prescription drug slam biotechs general stock market direction uptrend pressure warrant caution amazon introduce new tablet thursday power back more gain monday afternoon stock be consolidate potential buy point palo alto cybersecurity research uncovered xcodeghost malware apps apple aapl app store see more lift largely disappear stock be become buy point cup base big techs ibd growth stock list facebook fb be more monday google googl less drugmaker biotechs celgene celg valeant vrx allergan agn other be several percentage point follow donna howell twitter ibd_dhowell related top big tech stock trading fast buy point
