,ticker,content
0,AIV,interest rate sensitive real estate investment trust have be rally utility recent day quick scan reit leader screen still show plenty damage chart many name be still far high recent sign institutional selling don dismiss group entirely apartment reit have be standout performer thank strong industry fundamental low supply
1,AIV,rise renter demand be fill apartment building defiance economic malaise vacancy rate be shrink tight market such minneapoli loose one phoenix unusual situation job creation typically drife apartment demand time tenant top be largely lack new supply
2,AIV,market fall friday fill gap thursday powerful move number stock still make progress new high quintile see nice gain close volume come just average be heaviest volume day last
3,AIV,brexit volatility spark june vote withdraw european union diversify stock mutual fund eke gain average second quarter even lose june alone accord lipper inc tack inch june good news stock fund manager be seek durable growth stock hedge uncertainty volatility slowdown corporate earning several tell ibd see month longer ahead click here see list mutual fund quarterly leader brexit investment world be almost back normal say matthew co manager schroder large cap equity strategy be run separate account federal reserve be edge interest rate increase first quarter panic pace sustainability china growth be subside economic indicator be job wage grow home value inch consumer feel confidence then brexit say re back uncertainty market hate uncertainty result go forward say stock want be narrow group have show ability grow earning regardless macro environment click here see list mutual fund month leader biggest overweight be consumer discretionary say reflect confidence consumer durable secular trend amazon amzn be top list similarly james abate sole manager centre american select equity dhamx multus asset real return dhmux see best prospect growth increasingly concentrated elite group re concentrate name somehow buck trend term economic malaise say abate be also centre chief investment officer name new nifty bucket include amazon johnson johnson jnj merck mrk nvidia nvda general mill gis jim swanson lead manager mfs diversify income difax chief investment strategist mfs investment management be already bearish stock pre brexit click here see list mutual fund category performance outlook be already dim corporate earning growth say add company globally have already lose purchasing power selling general administrative cost well labor cost be rise productivity here europe china be fall post brexit dollar be vs chinese yuan hurt export multinational earning say global movement trade protectionism realize also hurt earning brexit not need see excess capacity come world manufacturing system return inflation so company pass price increase swanson say threat corporate earning swanson be overweight stock vs japanese european peer have growth outlook look even dimmer be underweight stock vs bond cash corporate bond be place be say favore mix high grade high yield debt small cap growth fund lead market capitalization style group diversify stock fund gain world equity mutual fund barely advanced edge lose june latin american fund lead foreign region advance june year date latin american fund have benefit primarily rebound excessive sell last year well rebound brazilian real vs dollar bounce oil other commodity accord peter taylor manager emerge market abeax latin american equity fund aleax brazilian stock have also benefit ouster least temporarily president dilma rousseff market friendly fiscal reform say quarter volatility enabled precious metal fund lead sector soar more half june go forward swanson feel best technology sector stock free cash flow be highest sector say talk bubble sector be trading cheaper utility ohio yet tech company change world software be due benefit overdue upgrade cycle say second favorite sector be health care health care spending keep rise portion gdp say price fairly not cheaply have best profit outlook tech consumer discretionary be third favorite sector forward price earning ratio be high re see year year profit growth almost good tech say tech stock facebook fb be like have exceptional top line growth say re grow opportunity viewer be tolerate triple video be show advertiser allow facebook triple number ad insert video health care say share price have be beaten largely investor concern drug pricing draw additional regulatory scrutiny still like individual stock sector include amgen amgn be cheapest pharmaceutical say be create market opportunity number biosimilar be harder previous generation treatment rival replicate consumer discretionary stock like amazon top line growth use prime draw new site user also like amazon use warehouse store inventory expense purchasing tractor supply tsco be consumer discretionary name like cater customer income be double national average pursue rural lifestyle say sale be triple next competitor combine scale enable tractor supply customize inventory different region staple like monster beverage mnst new carbonate drink mutant distribution arrangement partner coca cola ko keep growth high single digit low double digit say wall street expect low single digit make stock attractively value say david harden president summit global investment lead manager fund low volatility equity lvolx small cap low volatility lvsmx say volatility like stock stability revenue earning company offer downside protection say trait share stock like be stability revenue earning company offer downside protection say trait be low year beta beta be mean be less volatile overall stock market
4,AIV,apartment rental rate growth continue slow national level february many metro area logged annual growth rate more area florida texas california show biggest gain apartment researcher axiometric say rent growth nationwide february be still positive year earlier continue
5,AIV,share clothing retailer francesca fran fall hard early wednesday fourth quarter earning growth slow more expect revenue be compare same quarter prior year operator young woman clothing boutique blame bad weather issue weak forecast say storm january affect result well earning share fall
6,AIV,apartment investment management co aiv free report better know have receive support broad coalition company appeal california court decision case airbnb particularly group back measure hold airbnb legally responsible engage broker endorse illegal short term rental go fact december district court ruling airbnb be provide immunity liability illegal short term rental broker apartment community be grant basis federal communication decency act cda protect online service provider responsibility content user post however last month file ninth circuit brief company appeal december ruling now coalition have file amicus brief support appeal cda do not offer such broad immunity airbnb member coalition be name national multifamily housing council national apartment association california apartment association avalon bay community league california city international municipal lawyer association california state association county american hotel lodging association other strengthen appeal raise hope reconsideration ruling moreover amicus brief point trouble create airbnb affordable housing stable community have be file court group new york neighborhood association accord legal representative mike william airbnb be full fledge real estate broker illegal short term rental be hold same level scrutiny accountability brick mortar broker engage comparable unauthorized activity accord party support appeal rather focuse airbnb act publish property listing company be hold legally accountable illegal short term rental activity such doing threat safety quality life full time resident fact company prospective resident go criminal background check several airbnb customer be not thoroughly examine be unknown trespasser customer not only risk safety have also trigger disruption damage property apartment premise such support broader fraternity be positive company moreover be make diligent effort reposition portfolio shedding strategic property investing proceed opportunistic acquisition company portfolio be diversify term geography price point revamp effort have capability drive long term growth however dilutive impact earning such asset disposition be bypass term also new supply various market be affect other residential reit avalonbay community inc avb free report equity residential eqr free report essex property trust inc ess free report be also anticipate dampen company rent growth new lease pricing ability hike interest rate add wo currently carry zack rank hold see complete list today zack rank strong buy stock here past month share company have underperform industry stock have inched industry have rally period look stock skyrocket upside zack have just release special report boom investment opportunity legal marijuana ignited new referendum legislation industry be expect blast already robust early investor stand make kill have be ready act know just look see pot trade re target
7,AIV,stellar job growth recent month indicate more household formation raise expectation robust revival apartment market fundamental then perhaps think twice be latest report real estate technology analytic firm realpage inc rp free report several market experience flat rent apartment rent have increase annual pace just mid mark slowest pace year mid occupancy level be still healthy deceleration rent growth suggest competitive lease environment be build fast curb landlord pricing power be moderation first quarter too january march quarter usually have sluggish lease period due cold weather inhibit shift household limit growth demand therefore achieve solid pricing power second quarter be significant otherwise landlord find difficult recoup same later year be prior onset seasonal slowdown lease pressure fill unit be more prevalent market push rent level north however year market record pricing increase fact rent growth be slower pace experience same period earlier year period rent growth april june quarter averaged furthermore turbulent environment be unlikely end time soon offer respite struggle lure renter definitely continue upcoming quarters well much new supply be expect come course accord realpage report annual pace completion climb unit level consecutive quarters additionally mid annual delivery keep add flow unit therefore landlord ability command more rent most likely remain stunt concession be rampant term again be fear cast pall residential reit stock apartment investment management co aiv free report better know american home rent amh free report avalonbay community inc avb free report equity residential eqr free report avalonbay equity residential currently have zack rank hold american home rent carry zack rank sell underline downward revision fund operation ffo share estimate recent month see complete list today zack rank strong buy stock here note anything related earning present represent fund operation ffo widely used metric gauge performance reit today stock zack hottest strategiesit hard believe even zack market gain top stock pick screen have return outperformance have not just be recent phenomenon year have be remarkably consistent composite yearly average gain strategy have beaten market more maybe even more remarkable be fact re willing share latest stock cost obligation see free
8,AIV,residential reit industry growth rent be slow be term respite sight latest report real estate technology analytic firm realpage several market experience flat rent apartment rent increase annual pace just mid denote slowest pace year mid occupancy level be still healthy deceleration rent growth suggest competitive lease environment be fast build curb landlord pricing power even solid job growth recent month indicate more household formation raise expectation revival residential real estate market fundamental struggle lure renter quite obviously continue upcoming quarters much new supply be likely come course accord realpage report annual pace completion have climb unit level consecutive quarters further mid annual delivery keep add flow unit so stress environment be anticipate continue term curtail residential landlord ability command more rent affect concession level moreover student housing sector be part residential reit industry be lately experience slowdown lease velocity compression rent growth demand supply imbalance specifically property away campus be feel brunt industry lag term shareholder returnslook shareholder return past year appear broader economic recovery wasn enough enhance investor confidence industry growth prospect elevated supply affected performance residential reit past several quarters reit equity trust residential industry be group broader zack finance sector have underperform own sector past year stock industry have collectively lose zack composite zack finance sector have rally respectively year price reit stock trading reit price ffo fund operation multiple be common measure valuation be ffo be widely used metric gauge performance reit rather net income indicate cash flow operation ffo be obtain add depreciation amortization earning subtract gain sale be do gaap accounting norm reit be require depreciate investment property time reality many property experience value appreciation time so offset impact depreciation amortization be add back moreover gain sale property be subtract such sale be consider nonrecurring nature thank industry past year valuation look really cheap industry currently have trail month ffo compare highest level median level past year be plenty upside left space also look inexpensive compare market large trail month ratio be median level be price ffo ttm continue due bleak ffo share outlooksolid job growth recent month indicate more household formation raise expectation still healthy apartment market occupancy high delivery term also shortage construction labor rise expense somewhat impede growth momentum supply really matter investor be group have potential perform better broader market quarters ahead earlier valuation discussion show be solid value oriented path ahead not really consider current price level good entry point be convince reason predict rebound term reliable measure help investor understand industry prospect solid price performance go forward be industry ffo share outlook ffo share revision trend constituent company usually influence stock market performance price consensus chart industry show market evolve bottom ffo share expectation industry aggregate stock market performance red line chart represent zack measure consensus ffo share expectation light blue line represent same price consensus zack reit equity trust residential industry become even clearer focus aggregate bottom ffo share revision trend chart show evolution aggregate consensus expectation please note ffo share estimate industry be not actual bottom dollar ffo share estimate company reit equity trust residential industry rather illustrative aggregate create proprietary analytic model key factor keep mind be not ffo share industry value have evolved recently current fiscal year ffo share estimate revisionsa see here ffo share estimate be end end month prior time last year look aggregate ffo share estimate revision appear analyst be lose confidence group ffo share potential zack industry rank indicate cloudy group zack industry rank be basically average zack rank member stock indicate continue term zack reit equity trust residential industry currently carry zack industry rank place bottom more zack industry research show top zack rank industry outperform bottom factor more revenue trend residential reit show promisewhile term prospect look unwelcome investor uptrend revenue past year appear promising support long term growth ffo share bottom linefinally present demand supply scenario deceleration fundamental be anticipate therefore pressure new lease rate occupancy well retention persist concession activity lure renter be expect remain high moreover reit rate hike remain biggest term challenge use leverage reit business make return industry susceptible interest rate movement also dividend payout become less attractive yield fix income money market account short term nature lease residential reit usually help adjust rent quickly rate hike current lower pricing power be likely erode benefit now time investor consider portfolio reshuffle stay away stock say industry be unlikely bounce back term be see complete list today zack rank strong buy stock here apartment investment management co aiv free report stock co base residential reit be better know have lose value past month zack consensus estimate current year ffo share have be revise downward last day price consensus aivamerican campus community inc acc free report consensus ffo share estimate austin tx base student housing reit have moved lower current year last day stock have decline past year price consensus accamerican home rent amh free report stock agoura hill residential reit have decline past year consensus ffo share estimate current year have be revise downward last day price consensus amh medical stock buy nowzack name company poise ride medical breakthrough be target cure leukemia aids muscular dystrophy hemophilia other condition new product field be already generate substantial revenue even more wondrous treatment be pipeline early investor realize exceptional profit click here see stock
9,AIV,month have go last earning report apartment investment management company aiv free report share have add time frame recent positive trend continue lead next earning release be aiv due pullback dive investor analyst have react late let take quick look most recent earning report order get better handle important driver ffo line estimate revenue beataimco report first quarter pro ffo cent share line zack consensus estimate figure indicate increase year quarter tally cent result display growth property noi support same store property lease redevelopment acquisition community however positive be partially offset lower noi apartment sale report quarter total revenue comfortably outpaced zack consensus estimate addition report figure come marginally higher prior year quarter tally quarter detailsame store revenue utility reimbursement increase year year expense net utility reimbursement increase prior year quarter consequently same store noi climb year year basis same store average daily occupancy expand basis point bps year year rental rate new lease be rental rate renewal lease increase expire lease rate mar have cash restrict cash hand moreover estimate fair market value company unencumbered apartment community be further end quarter review outstanding borrowing revolve credit facility be available capacity be consider letter credit backed facility portfolio activitydure report quarter invest redevelopment development addition be revamp portfolio property sale reinvest proceed select apartment home higher rent superior margin higher expect growth effort company increase revenue apartment home additionally enhance quality expect growth rate portfolio specifically percentage home be respectively first quarter full year company update pro ffo share guidance provide earlier company project same store noi growth be range revenue growth be range second quarter provide pro ffo share guidance cent have estimate be move then past month investor have witness downward trend fresh estimate have be revision higher current quarter compare lower apartment investment management company price consensus apartment investment management company price consensus apartment investment management company quotevgm scoresat time aiv have subpar growth score grade same score momentum front follow exact same course stock be also allocate grade value side putt bottom investment strategy overall stock have aggregate vgm score aren focuse strategy score be be interested style score indicate investor probably be better serve look elsewhere outlookestimate have be broadly trend downward stock magnitude revision indicate downward shift interestingly aiv have zack rank hold expect line return stock next few month
