,ticker,content
0,AJG,tuesday brown brown bro get positive adjustment relative strength rs rating re research best stock buy watch keep close eye relative price strength exclusive rating investor business daily measure share price performance worst best score rating show stock price behavior trail week hold other stock database history show best stock often have rs rating north launch biggest climb look best stock buy watch start herebrown brown be work flat base buy point see stock clear price heavy trade earning growth rise last quarter revenue gain fall company hold rank peer insurance broker industry group gallagher arthur co ajg be top rank stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
1,AJG,top quality stock hammer new high friday include arthur gallagher co ajg heico hei grubhub grub run past buy point breakout be not equal arthur gallagher co spiked much powerful trade friday morning breaking past flat
2,AJG,relative strength rs rating gallagher arthur co ajg enter new percentile monday rise ibd unique rs rating measure market leadership show stock price action last week measure other stock database decade market research show stock go make biggest gain typically have rs rating launch biggest run look best stock buy watch start heregallagher arthur co be now consider extend buy range clear buy point first stage flat base see stock form new pattern follow buy opportunity week tight pullback day week move average company report earning growth latest quarterly report sale growth come company earn rank peer insurance broker industry group fanhua fanh kingstone company kin marsh mclennan mmc be top highly rate stock group related stock be show improve price performance use ibd relative strength rating relative strength line help judge stock
3,AJG,stock index moved confidently midday friday market digest less perfect datum fourth quarter gdp nasdaq rise dow jone industrial average add respectively volume stock market today be run lower nyse higher nasdaq compare same time thursday ibd industry group day best performer be drugmaker chip consumer loan negative side recreational vehicle soap be day biggest loser breakout morning include insurance broker arthur gallagher ajg heavy volume big cap clear entry flat base online meal delivery provider grubhub grub fast trade golf equipment maker callaway golf ely brisk volume attempt cross hold buy point double bottom pattern diet marketer herbalife hlf moderate volume housekeeping maintenance service provider healthcare service group hcsg almost strong volume fourth quarter gdp rolled consensus view bloomberg news note area report be strong consumer spending pop most more year business equipment investment be best year expand annualize pace pick gain prior period durable good order december balloon vs expectation surge be almost double highest estimate range related fast grow fracker crack shale codeeveryday life help find stock market winner
4,AJG,relative strength rs rating gallagher arthur co ajg climb higher percentile tuesday get lift exclusive rating investor business daily measure price action worst best score score show stock price behavior trail week hold other stock database year market history reveal market biggest winner typically have better rs rating early stage move see gallagher arthur co continue rebound hit benchmark look winning stock try simple arthur co have rise more past entry first stage flat base meaning now proper buy zone look stock offer new chance pick share week tight pullback day week line gallagher arthur co show ep growth latest quarterly report sale gain come gallagher arthur co hold rank peer insurance broker industry group fanhua fanh health insurance innovation hiiq kingstone company kin be top highly rate stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
5,AJG,relative strength rs rating gallagher arthur co ajg enter new percentile monday get lift ibd unique rating measure market leadership worst best score score show stock price performance last week stack other stock database year market history reveal stock go make biggest gain tend have rs rating early stage move see gallagher arthur co continue rebound clear threshold gallagher arthur co break earlier have fall back prior entry flat base stock re tracking climb buy point then retreat more original entry price consider fail base best stock form new pattern also keep mind most recent consolidation be later stage base make riskier establish new position add share exist earning growth drop company most recent quarterly report top line rise prior report company earn rank peer insurance broker industry group health insurance innovation hiiq be top rank stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
6,AJG,gallagher arthur co ajg have relative strength rs rating upgrade monday welcome improvement still higher score look exclusive rating investor business daily measure market leadership worst best score grade show stock price movement last week compare other stock database year market history reveal best stock typically have rs rating north early stage move see gallagher arthur co continue show renew price strength clear threshold now be not ideal time jump isn proper buy zone see stock be able form chart pattern break earning growth drop last quarter revenue gain moved higher gallagher arthur co earn rank peer insurance broker industry group kingstone company kin health insurance innovation hiiq willi tower watson wltw be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
7,AJG,several lead stock break wednesday broader market rise solid gain volume be largely underwhelm most breakout waste connection wcn gap rise clear flat base buy point volume run lighter usual toronto ontario base waste collector say tuesday acquire groot industry private
8,AJG,steady dividend stock outperform market be get bonus reliable income stream stock price gain ibd calculate company dividend stability factor dsf base stable dividend history be year period assign rating most stable least stable proprietary rating isn available
9,AJG,several industry group ibd database have be outperform recent week here look top performer past week computer software gaming group rank bottom half ibd industry group ranking be top performer past week china base netease nte have be
