,ticker,content
0,ALK,oil stay cheap day freewheeling expansion low airfare begin recede airline report quarterly result come week delta air line dal unite continental ual southwest airline luv alaska air group alk be set turn stellar performance re go report probably best fourth quarter ever
1,ALK,wall street be settle first earning season calendar year long weekend ibd stock starbucks sbux intuitive surgical isrg be set disclose quarterly result coffee giant starbucks report result close thursday be expect experience earning growth cent share revenue rise accord analyst poll thomson reuter growth mark slowdown previous quarters company remain bullish expand market share china even country experience market volatility less rapid economic growth starbucks plan open store goal open store china ceo howard schultz say china have potential become company biggest market other retailer flounder starbucks have remain bright spot share fall stock market friday gain week broader market dip be currently trading day line intuitive surgical also report thursday robotic surgery leader release preliminary result wednesday say revenue climb vs wall street view growth analyst expect earning rise share company say expect procedure used da vinci system grow share edge friday week new oriental education technology edu be expect break even report earning tuesday cent share last year revenue be see rise share edge week ibd counterpart tal education xrs experience sharper decline week end jan tal report earning jan earning be see fall cent share revenue be expect jump new oriental tal be trading day move average alaska air alk announce result thursday be see logging ep growth revenue growth stock receive downgrade neutral credit suisse earlier month american airline aal receive upgrade outperform firm share be essentially flat friday stumble week fellow carrier currently occupy seat ibd table hawaiian holding announce earning jan wall street anticipate ep more double cent revenue dip share rise friday dip week end follow elaine low twitter ibd_elow related do good stock threaten round surgical try get turn awayintuitive surgical st jude prelim starbucks expand china become biggest be good get airline
2,ALK,delta air line dal see unit revenue fall improvement earlier outlook decline drop december strong dollar weigh low oil price continue drive fuel cost investor last year be concern overexpansion airfare battle ensue many larger airline have try
3,ALK,company netflix nflx delta air line dal bank america bac ibm ibm unitedhealth unh report earning tuesday be different industry give investor snapshot various sector overall economy head new year netflix subscriber focus netflix earning be expect fall vs year earlier
4,ALK,stock future tunnele deep loss ahead thursday open instability china market send shudder global investor confidence second time week
5,ALK,stock market today again take significant cue china market open sell sharp devaluation yuan spook investor
6,ALK,csi track blue chip stock shanghai shenzhen market drop more first half hour trade trigger automatic shutdown rule put place monday chinese investor be already edge ahead next week lift month sale ban large shareholder
7,ALK,shanghai composite end loss leave lower week shenzhen composite tumble loss friday close
8,ALK,selling carry powerfully other market send nikkei tokyo pressure major index europe loss range midday
9,ALK,bond dollar slip oil price slump putt west texas intermediate just barrel week undercut lows touch lowest mark december natural gas rise gold add fraction top ounce copper fall
10,ALK,be good news economic front layoff announce employer decline year year december lowest total year accord consultant challenger gray christmas job cut report
11,ALK,year have largest number job cut layoff taper year end fourth quarter layoff totale lower layoff
12,ALK,unemployment claim drop week end jan prior week labor department say economist consensus have expect deeper dip claim
13,ALK,china base stock be clearly take early hit netease nte alibaba baba drop
14,ALK,dow stock shift unanimously lower nearly half index be more microsoft msft apple aapl cisco system csco jpmorgan jpm approach loss
15,ALK,only handful stock post gain lead newmont mining nem beer brewer ibd stock constellation brand stz
16,ALK,expeditor international expd drop notch biggest loss
17,ALK,leader technology avgo shed singapore base chipmaker end wednesday just day move average premarket stance imply possible damage cup handle base
18,ALK,netease have hold ground pull back monday sell test day move average thursday premarket action point possible open line support
