,ticker,content
0,ANTM,jul centene corp cnc free report share hit week high end day tad lower recent positive development include completion fideli care acquisition secure new hampshire department correction contract other buyout seem have spur stock year time stock have gain significant compare industry growth fact performance look more illustrious compare other space such unitedhealth group inc unh free report humana inc hum free report anthem inc antm free report have register gain respectively rally fideli care buyout be catalyst centene acquisition poise company well country largest state also aid expansion medicare advantage exchange recent medicaid contract state arizona new mexico iowa florida washington bolster company revenue recent acquisition mhm service position company well rapidly grow business manage benefit correctional facility company correctional health plan business have grow past year deal expand correctional presence state also last month company subsidiary centurion new hampshire be re approve contract continue provision medical dental professional new hampshire department correction march centene complete acquisition community medical group cmg highlight target approach vertical integration healthcare addition cmg primary care service specialty care transportation suite social other support service be likely enhance centene service portfolio same month centene make equity investment rx advance full service pharmacy benefit manager company expect utilize rx advance cloud base technology platform significantly reduce administrative cost affordable drug impact medical cost company also acquire additional investment interpreta march be innovative health company focuse clinical genomic datum well real time analytic deal help company develop pb business consequently aid saving significantly reduce administrative drug impact medical cost momentum stay company re procurement win expansion new market future growth pipeline drive long term growth moreover diversification other business such advisory service datum analytic forge government partnership new market position company strong growth ahead seem be hindrance stock growth trajectory moment moreover stock look attractively value peg ratio compare favorably industry peg ratio centene carry zack rank hold see complete list today zack rank strong buy stock here make fortune shift electric car here stock idea consider much petroleum year lithium power soon shake world create millionaire reshape geo politic soon electric vehicle evs be cheaper gas guzzler be already reach mile single charge battery price plummet charge station set multiply company stand stock buy accord zack research not think see ticker free
1,ANTM,change demography baby boomer enter retirement age horde have push demand product such medicaid medicare have lead strong membership growth state turn private player manage plan also development ancillary business recent year diversify revenue source wake tough regulation layer health insurance business have open new avenue growth business mostly form health care service be grow rapidly form large part industry total revenue company great importance health service business enable play role comprehensive health care provider thus have make huge investment expansion therefore growth business continue thus provide resilience industry top line revenue growth medical cost increase law relate minimum medical loss ratio have put pressure bottom line moreover shift business mix recent year commercial full risk less profitable administrative service only have partially offset otherwise strong revenue growth nonetheless better claim handle medical cost management technological investment upgrade application blockchain technology merger acquisition healthy balance sheet help health insurer stand tall go forward outstanding industry tough regulation affordable care act subsequent regulatory uncertainty bring trump administration do not industry growth fact health insurance industry have put good show gain increase insure rate have directly lead increase revenue membership earning player industry strong capital level industry have enable discipline capital management share buyback dividend payment have further draw investor attention zack medial health maintenance organization industry be stock group broader zack medical sector have outperformed own sector past year see stock industry have collectively gain past year zack composite have rally zack medical sector have decline year price performance health insurance stock look industry outperformance last year explain extent high steep valuation look industry price earning ratio pe ratio most appropriate ratio value health insurer earning stability pe ratio essentially measure company share price relative earning tell much investor pay unit company earning industry currently have forward month ratio be median level precede year past year industry have trade range space look bit stretched compare market large trail month ratio be price earning ratio however go step further consider industry growth rate be reflect peg ratio find industry attractively value forward month peg ratio compare favorably indicated industry superior growth potential attractive valuation peg ratio outperformance continue soft earning outlookincreas demand retirement product age population lead increase medicaid medicare product aid top line moreover increase employment also drive employer demand insurance employee formation accountable care organization aco group health care provider aim provide efficient care lower cost help keep check medical care cost thus aid margin really matter investor be group have potential perform better broader market quarters ahead earlier valuation discussion show market participant have be willing pay stock already potentially limit further upside current level reliable measure help investor understand industry prospect solid price performance go forward be earning outlook empirical research show earning outlook industry reflection earning revision trend constituent company have direct bearing stock market performance price consensus chart industry show market evolve bottom earning expectation aggregate stock market performance red line chart represent zack measure consensus earning expectation light blue line represent same price consensus medical hmo industry become even clearer focuse aggregate bottom ep revision trend chart show evolution aggregate consensus expectation please note ep estimate industry be not actual bottom ep estimate company zack life insurance industry rather illustrative aggregate number create proprietary analytic model key factor keep mind be not industry earning estimate have evolved recently current fiscal year ep estimate revisionwhile consensus earning estimate zack foreign bank industry share imply decent year year improvement trend earning estimate revision have not be favorable lately look aggregate earning estimate revision appear analyst be lose confidence group earning potential consensus ep estimate current fiscal year have be revise downward zack industry rank indicate group zack industry rank be basically average zack rank member stock zack life insurance industry currently carry zack industry rank place top more zack industry research show top zack rank industry outperform bottom factor more health insurer promise long term long term prospect industry be bright compare broader zack composite long term year ep growth estimate zack health insurance industry appear promising group mean estimate long term ep growth rate have moderate tad january be reach current level same compare favorably zack composite mean estimate long term ep growth ratein fact basis long term ep growth be steady top line zack health insurance industry have sustain bottom linecontinu consolidation industry transform health insurer comprehensive health care provider enable company offer superior care lower cost thus aid margin recently department labor release final rule association health plan small business unite state be expect benefit approximately citizen america work such firm also lead higher demand health insurance plan also development product service include care delivery population health management engagement health financial service health benefit operation care operation pharmacy care service complement core business line commercial medicare medicaid product enable enhance service delivery experience customer accrue revenue earning recent year health insurer have be move international market shift be expect continue give international market remain underpenetrated provide immense scope growth therefore keep long term projection mind investor take advantage attractive valuation bet few health insurance stock strong earning outlook be stock positive earning estimate revision bullish zack rank see complete list today zack rank strong buy stock here wellcare health plan inc wcg free report be provider manage care service government sponsored health care program company be base tampa fl sport zack rank expect earning growth rate current year be zack consensus estimate current year have improve last day stock have gain year time price consensus wcg molina healthcare inc moh free report be provider government sponsored plan medicare medicaid stock carry zack rank strong buy expect earning growth rate current year be zack consensus estimate current year have improve last day stock have gain year time price consensus moh humana inc hum free report be provider retail group specialty healthcare insurance service company be base louisville ky carry zack rank buy expect earning growth rate current year be zack consensus estimate current year have improve last day stock have gain year time price consensus hum anthem inc antm free report be owner operator health benefit company unite state provide commercial business well group health insurance plan company be base indianapoli have zack rank expect earning growth rate current year be zack consensus estimate current year have improve last day stock have gain year time price consensus antm wall street next amazonzack evp kevin matra believe familiar stock have only just begin climb become greatest investment time once generation opportunity invest pure genius click detail
2,ANTM,re look profitable portfolio stock offer best value growth investing try growth reasonable price garp strategy help investor gain exposure stock be undervalue have impressive growth prospect however not confuse garp investing blend strategy blend strategy promote investment value growth stock garp investing require value growth feature single stock garp metric mix growth value metricsthe garp approach prefer stock be price market reasonable target determine fundamental analysis stock also have solid prospect term cash flow revenue earning share ep so growth metricsstrong earning growth history impressive earning prospect be main concept garp investor borrow growth investing strategy however instead super normal growth rate pursue stock more stable reasonable growth rate be also tactic garp investor hence growth rate be consider ideal garp strategy growth metric be consider growth garp investor be return equity roe garp investor look strong higher roe compare industry average identify superior stock moreover stock positive cash flow find precedence garp plan value metricsgarp investing give priority popular value metric price earning ratio investing style pick stock higher ratio compare value investor avoid company extremely high ratio moreover price book value ratio be also consider used garp principle have run screen identify stock offer solid return term screening parametersalong criterium discuss section have consider favorable zack rank strong buy buy last year ep project year ep growth rate strong ep growth history prospect ensure improve business roe past month greater industry average higher roe compare industry average indicate superior stock ratio less industry average ratio less industry indicate stock be undervalue here be stock make screen anthem inc antm free report be health care company company provide medical product subsidiary zack rank stock deliver average quarter earning surprise see complete list today zack rank stock here vmware inc vmw free report provide virtualization solution desktop datum center company deliver average quarter positive earning surprise have zack rank merit medical system inc mmsi free report set build world most customer focuse healthcare company understand customer need innovate deliver diverse range product improve life person family community world zack rank stock deliver average quarter earning surprise boston scientific corporation bsx free report transform life innovative medical solution improve health patient world zack rank stock deliver average quarter earning surprise grand canyon education inc lope free report be regionally accredit provider online postsecondary education service focuse offer graduate undergraduate degree program core discipline education business healthcare zack rank stock deliver average quarter earning surprise petm express inc pet free report be lead nationwide pet pharmacy zack rank stock come average quarter earning surprise aptiv plc aptv free report be technology company serve automotive sector company design manufacture vehicle component provide electrical electronic active safety technology solution global automotive commercial vehicle market zack rank stock deliver positive earning surprise last quarter get rest stock list start putt other idea test be do research wizard stock pick back testing software research wizard be great place begin easy use everything be plain language very intuitive start research wizard trial today next time read economic report open research wizard plug find see gem come click here sign free trial research wizard today disclosure officer director employee zack investment research own have sell short security hold long short position option be mentioned material affiliated investment advisory firm own have sell short security hold long short position option be mentioned material disclosure performance information zack portfolio strategy be available https www zack com performance zack restaurant recommendation addition dine special place feast stock share zack special report spotlight recent ipos watch stock offer immediate promise boom sector download free
3,ANTM,community health system inc cyh free report recently announce unit have sign definitive agreement sell bed alliancehealth deaconess hospital oklahoma city other related business subsidiary integris health transaction be expect close third quarter subject customary regulatory approval close condition post sale lead operator general acute care hospital be able continue operation hospital oklahoma hospital be put sale be additional plan divestiture discuss company first quarter earning call earlier year company subsidiary also complete sale bed byrd regional hospital associate asset subsidiary allegiance health management bed tennova healthcare jamestown jamestown tn associate asset subsidiary rennova health inc tennessee hospital include bed tennova dyersburg regional dyersburg bed tennova regional jackson jackson bed tennova volunteer martin martin associate asset west tennessee healthcare transaction be effective jun company have be consistently divest hospital strengthen portfolio well generate fund manage cost be selling core asset currently focuse core business notably community health sell many hospital last year company divestiture be allow focus most sustainable market better growth divestment also help company reduce debt company have be effectively lower debt past few year have decrease debt last year expect hospital divestiture be able generate gross proceed lighter portfolio hospital enable community health manage corporate cost proactively share zack rank hold player have gain past month underperform industry growth stock considerbetter rank stock medical industry include wellcare health plan inc wcg free report anthem inc antm free report humana inc hum free report wellcare provide manage care service government sponsored health care program company sport zack rank strong buy manage pull average quarter positive surprise see complete list today zack rank stock here anthem arm operate health benefit company unite state hold zack rank buy company come average trail quarter earning surprise humana operate health well be company unite state carry zack rank deliver average quarter beat hottest tech mega trend year generate global revenue predict blast roof fame investor mark cuban say produce world first trillionaire still leave plenty money regular investor make right trade early see zack best stock play trend
4,ANTM,estimate anthem inc antm free report have be revise upward past day reflect analyst confidence stock stock have see zack consensus estimate earning be raise respectively anthem be poise gain thrive health insurance industry strong economy have enabled health insurance industry stand good stead record low unemployment rate gradual wage increase bode well space high employment wage growth fuel demand health insurance various other health related service provide insurer anthem flaunt impressive value style score also sport zack rank strong buy research show stock value style score combine zack rank buy offer best opportunity value investing space share zack rank hold company have rally past year underperform industry growth now let focus important factor make anthem stock investor favorite raise guidance company have lift guidance expect adjust net income share be more increase level prior projection more medical membership company be estimate range past prediction operate revenue be anticipate band higher earlier forecast consolidated medical loss ratio be assume be basis point basis point improvement midpoint previous outlook increase membership company have successfully grow membership base backed solid acquisition strategy rollout health insurance exchange national account commercial segment well medicaid expansion government segment first quarter medical enrollment drop new account win national local group business company hope increase membership base remain month banking more investment grow net investment income due low interest rate company have be suffering length metric grow first quarter year year basis upside be attributable anthem impressive business strategy effective capital deployment company continue dividend payout share repurchase dint strong capital cash position initiate company have successfully hike dividend past year first quarter further increase dividend company also boast aggressive share buyback first quarter buy back share worth have share remain repurchase authorization mar stock interested medical hmo industry take look few better rank stock wellcare health plan inc wcg free report triple management corporation gts free report humana inc hum free report wellcare provide manage care service government sponsored health care program company sport zack rank strong buy manage pull average quarter positive surprise see complete list today zack rank stock here triple management subsidiary provide portfolio manage care related product commercial medicare medicaid market puerto rico unite state carry zack rank buy manage come whopping quarter earning surprise humana operate health well be company unite state hold zack rank deliver average quarter beat hottest tech mega trend year generate global revenue predict blast roof fame investor mark cuban say produce world first trillionaire still leave plenty money regular investor make right trade early see zack best stock play trend
5,ANTM,credit rating giant best recently upgrade unitedhealth group incorporate unh free report long term issuer credit rating have also affirm financial strength rating fsr excellent most insurance subsidiary outlook remain stable additionally credit rating body have upgrade long term icr company bbb long term issue credit rating long term ir bbb exist senior unsecured note short term issue credit rating short term ir amb amb outlook credit rating be stable credit rating giant have also assign long term ir company recently market senior unsecured note best have also upgrade fsr dental benefit provider california inc san francisco nevada pacific dental la vegas nv national pacific dental inc richardson tx excellent excellent long term icr outlook rating remain stable rating rating agency acknowledge unitedhealth balance sheet strength solid operate performance extremely favorable business profile strong enterprise risk management rating upgrade represent strengthen risk adjust capitalization steady strong premium growth favorable earning low volatility company significant nationwide presence large grow enrollment base diversify premium revenue business strategy develop risk management program play instrumental role sturdy balance sheet operate trend solid risk adjust capitalization be support consistent profitability conservative high credit quality asset collection etc however be partially offset dividend parent entity significant level liquidity company insurance operation be lead grow operate cash flow be again supplement credit facility parent company operate performance company have be commendable top line growth rate hike organic growth credit rating agency expect company operate margin stay stable bottom line boost increase premium revenue best also expect company membership continue grow moderate pace drive mostly medicare medicaid unitedhealth long term partnership aarp be main driver strong growth senior market business diversification company derive service segment name optum be positively see rating agency segment provide service insurance operation main segment generate significant earning cash flow parent company be regulate do not require approval dividend payment share zack rank hold stock have surge past year outperform industry growth stock interested medical industry consider few better rank stock such wellcare health plan inc wcg free report anthem inc antm free report humana inc hum free report wellcare offer manage care service government sponsored health care program stock sport zack rank strong buy manage come average quarter positive surprise see complete list today zack rank stock here anthem operate health benefit company unite state zack rank buy stock deliver average quarter beat humana operate health well be company unite state carry zack rank pull average quarter earning surprise look stock skyrocket upside zack have just release special report boom investment opportunity legal marijuana ignited new referendum legislation industry be expect blast already robust early investor stand make kill have be ready act know just look see pot trade re target
6,ANTM,have be pay attention share triple management gts free report share have be move stock past month gts hit new week high previous session triple management have gain start year compare move medical sector year date return peer group drive outperformance stock have great record positive earning surprise have beaten zack consensus ep estimate last quarters last earning report triple management report ep vs zack consensus beat consensus revenue estimate current fiscal year triple management be expect post earning share revenue represent change ep change revenue next fiscal year company be expect earn share revenue represent year year change respectively valuation metricstriple management be week high right now future hold gts key aspect question be take look valuation metric order determine company be due pullback level front look zack style score give investor variety way comb stock look zack rank security style be represent grade run category value growth momentum be combine vgm score well idea style score be help investor pick most appropriate zack rank stock base individual investment style triple management have value score stock growth momentum score be respectively give company vgm score term value breakdown stock currently trade current fiscal year ep estimate trail cash flow basis stock currently trade versus peer group average additionally stock have peg ratio isn enough put company top echelon stock cover value perspective zack rankwe also need look zack rank stock supersede trend style score front fortunately triple management currently have zack rank buy thank rise earning estimate recommend investor select stock carry zack rank strong buy buy style score look triple management fit bill thus seem gts share still be poise more gain ahead do triple management stack competition share triple management have be move higher company still appear be decent choice rest industry industry peer be also look good include wellcare health plan wcg free report anthem antm free report humana hum free report currently have zack rank least vgm score least make well round choice zack medical hmo industry be top industry have universe so look be nice tailwind gts even own solid fundamental situation
7,ANTM,credit rating giant moody investor service recently downgrade rating community health system cyh free report rating include corporate family rating cfr be lower caa caa probability default rating pdr deteriorate caa pd ld caa pd rating outlook remain stable be base company announcement final result debt exchange holder exchange part unsecured note due new junior lien note due credit rating agency consider transaction distressed exchange other word default accord moreover moody append pdr ld indicate limit default however be remove business day transaction largely address company note maturity agency expect community health seek amend extend maturity term loan upcoming week term loan be successful then next significant debt maturity be due jan progress extend maturity exist downgrade cfr pdr rating indicate agency prediction weaken interest coverage cash flow liquidity forecast negative free cash flow next month interest coverage ebitda capex interest stay caa rating be also assign new secure junior lien note due moody additionally rating remain unsecured note due caa reflect subordination new junior lien debt credit rating body have also downgrade rating first lien secure debt speculative grade liquidity rating be affirm sgl rating rationalecaa corporate family rating indicate agency expectation company continue operation high financial leverage rating agency also anticipate negative free cash flow next month company significant capital requirement high interest cost concern factor be industry wide operate headwind limit operational improvement community health turnaround initiative rating have be support company large scale demographic diversity divestiture plan proceed be used repay debt company future rating actionmoody downgrade rating provide be deterioration company earning decline liquidity rise risk payment failure wear credit recovery potential agency upgrade rating operational initiative result better volume growth well margin expansion also decline leverage improve free cash flow dint community health ability refinance future debt maturity sustain current capital structure lead rating upgrade share zack rank hold company have rally quarter date outperform industry growth stock interested medical industry take look few better rank stock namely wellcare health plan inc wcg free report anthem inc antm free report humana inc hum free report wellcare offer manage care service government sponsored health care program stock sport zack rank strong buy deliver average quarter positive surprise see complete list today zack rank stock here anthem subsidiary operate health benefit company unite state zack rank buy stock come average quarter beat humana operate health well be company unite state company carry zack rank pull average quarter positive earning surprise make fortune shift electric car here stock idea consider much petroleum year lithium power soon shake world create millionaire reshape geo politic soon electric vehicle evs be cheaper gas guzzler be already reach mile single charge battery price plummet charge station set multiply company stand stock buy accord zack research not think see ticker free
8,ANTM,jun president donald trump team make final move affordable health plan small business unite state development originate executive order trump have sign october motive such order be provide alternative affordable care act aca also know obamacare move be tout assist small business be vulnerable rise healthcare cost further approximately citizen america work such firm benefit development also lead higher demand health insurance plan such circumstance investor consider bet health insurance stock term new department labor present republican answer obamacare earlier week association health plan ahp aim provide same healthcare benefit employee smaller company be enjoy worker bigger business such provision provide small firm power negotiate cost flexibility healthcare coverage plan come effect september new plan company well individual locate same region involved similar business be allow form association moreover just large employer group plan ahps not be require necessarily cover type essential benefit include hospitalization drug maternity care such requirement be compulsory obamacare however other aca rule such pocket maximum oop individual have pay year ban lifetime maximum annual limit be applicable ahps moreover preventive care service be treat way be aca beneficiary not have pay oop finally provision also ensure coverage not depend healthy sick beneficiary be small retailer restaurant purchase more health plansa result local restaurant retailer specific area form group participate small business health plan not only provide cheap insurance also boost overall sale health plan be dip health plan sale paltry small business employee due rise healthcare cost provision ahp tackle allow health policy be available extremely affordable price most importantly allow such business choose create own health plan suit need expert believe accessibility affordable healthcare stem fact person have ability freedom choose coverage suit requirement increase federal spending imposition mandate only reduce ability insure self best choicestrump latest order provide alternative aca provide million american freedom choose own health policy small business owner retailer participate group health plan witness reduction administrative cost arise economy scale such development not only improve ability insure also boost overall sale insurance policy context have select stock be expect gain factor stock carry zack rank strong buy buy see complete list today zack rank stock here wellcare health plan inc wcg free report be provider manage care service government sponsored health care program company be base tampa fl sport zack rank expect earning growth rate current year be zack consensus estimate current year have improve last day cigna corporation ci free report be provider insurance related product service unite state well globe company also provide employer union other group individual healthcare policy zack rank company be base bloomfield ct expect earning growth rate current year be zack consensus estimate current year have improve last day humana inc hum free report be provider retail group specialty healthcare insurance service company be base louisville ky carry zack rank expect earning growth rate current year be zack consensus estimate current year have improve last day anthem inc antm free report be owner operator health benefit company unite state provide commercial business well group health insurance plan company be base indianapoli have zack rank expect earning growth rate current year be zack consensus estimate current year have improve last day make fortune shift electric car here stock idea consider much petroleum year lithium power soon shake world create millionaire reshape geo politic soon electric vehicle evs be cheaper gas guzzler be already reach mile single charge battery price plummet charge station set multiply company stand stock buy accord zack research not think see ticker free
9,ANTM,strong economy have enabled health insurance industry stand good stead record low unemployment rate gradual wage increase bode well space high employment wage growth fuel demand health insurance various other health related service provide insurer rise enrollment top line growth increase contribution complementary business product modification improve service demographic change expansion international operation better claim handle medical cost management technological investment upgrade merger acquisition healthy balance sheet have long sustain mojo health insurer overall bullish scenario reinforce sentiment believe growth cadence sector continue long run mckinsey co report private payor market north america be expect grow furthermore health insurance be industry remain unperturbed flare trade war volatile oil price cause index fluctuate wildly hence have perform quite well compare broader market industry have rally year date more thrice increase clock index buoyancy health insurance space be further confirm zack industry rank top group such situation be wise idea invest health insurance company stock promising sturdy growth flourishing industry be humana inc hum free report anthem inc antm free report triple management corp gts free report wellcare health plan inc wcg free report humana anthem triple carry respective zack rank buy wellcare sport zack rank strong buy see complete list today zack rank stock here let indulge comparative analysis health insurer anthem humana decide be better stock humana have market capitalization same anthem be staffing firm hold same robust zack rank be used certain other parameter find company be better position earning growth stock price gain be often indication company strong prospect humana current quarter earning be project grow compare rise anthem look full year picture humana earning be estimate growth same anthem be expect increase thus anthem have edge humana term quarterly annual earning growth projection earning surprise historya stock earning surprise history help investor derive idea performance previous quarters humana anthem boast decent earning surprise history metric have surpass zack consensus estimate last report quarters company however anthem visibly have vantage point humana term average positive earning surprise read humana average beat stand net marginnet profit margin aids investor evaluate company business model term pricing policy cost structure operate efficiency also show good be convert revenue profit hence strong net profit margin be prefer class investor ttm net margin ttm net margin anthem compare favorably humana roe company lag industry ttm net margin anthem still command better margin profile price earning ratio metric be used measure company value relation earning general lower number multiple be prefer higher trail month price earning multiple anthem humana be respectively industry be go step further baking company growth rate show month peg ratio humana anthem compare industry peg ratio clearly show anthem be more value humana bottom lineour comparative assessment show anthem be much better place humana front fundamental perspective too anthem dwell firmer ground guidance raise increase membership strength sound balance sheet numerous accretive acquisition well growth service business seem drive stock come month today stock zack hottest strategy hard believe even zack market gain top stock pick screen have return outperformance have not just be recent phenomenon year have be remarkably consistent composite yearly average gain strategy have beaten market more maybe even more remarkable be fact re willing share latest stock cost obligation see free
