,ticker,content
0,BAX,friday baxter international bax get positive adjustment relative strength rs rating re research best stock buy watch be sure pay attention relative price strength proprietary rating identify technical performance used worst best score identify stock price performance last week stack other stock database year market history show best perform stock tend have better rs rating early stage move see baxter international continue show renew price strength clear threshold look best stock buy watch start herebaxter international be try complete flat base buy point see clear price heavy trading baxter international show earning growth last quarter revenue increase baxter international hold rank peer medical product industry group abiom abmd align technology algn edward lifescience ew be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
1,BAX,motivated goal create meaning work edward lifescience ew ceo mike mussallem push boundary follow passion help person live best life process mussallem team have transform edward global leader patient focuse innovation structural heart disease well critical care surgical monitoring mussallem believe key leader success be find meaning work talk folk be develop leader strongly encourage person find meaning work allow be best even surprise term much impact have mussallem tell ibd mussallem meaning work be impact individual patient life change lifesave technology such think have be drive force edward patient first culture innovation strategy lead edward introduction lifesave life sustain therapy such transcatheter aortic valve replacement tavr rapid deployment surgical heart valve replacement noninvasive hemodynamic monitoring take mussallem soul search identify true call early work try pull help pay education work steel mill say time younger year be probably more focuse big paycheck be good benefit be probably wasn joined health care start think do something really matter person life mussallem leadership role edward trace back career baxter international bax start work hold number post include group vice president cardiovascular division mussallem be part group baxter propose cardiovascular division innovate faster better serve patient spun independent company happened april edward lifescience be establish begin life public company mussallem be first only chairman ceo edward have have stand alone company thank ongoing innovation guide mussallem passion help improve save patient life edward position medical technology industry have sky-rocket edward be leader surgical transcatheter heart valf say glenn novarro analyst manage director rbc capital market reason have best technology invest most med tech company heart valf novarro tell ibd re always first market edward team have propel impressive financial growth gain attention investor last year edward top line have grow more stock price have go split adjust ipo april april gain learn lot year do say more more find have great culture be first foremost underpin success company especially culture drife real purpose company feel driver lot success give great comfort be align edward culture be ground patient focus say mussallem edward have opportunity be close patient heart valf have unique serial number edward trace back person handmade inspect valve edward often have reunion patient team make individual valf imagine do team say reinforce importance person work add novarro be passion put everything company be great leader most successful ceo be passionate mike take level not just edward be passion edward do patient also be passion mussallem say company doesn try solve health care problem stay very focuse structural heart disease critical care medicine feel patient be better serve be today be big opportunity apply technology improve care focus bold innovation literally breakthrough technology be exist care get right add lot value patient edward big groundbreaker have be pioneer effort bring transcatheter aortic valve replacement market turn have lead major transformation company abundantly clear year edward have be public company mike not only have thoughtfully reshape company post spinoff portfolio divest acquire also have clearly demonstrated visionary insight innovate brilliantly complex medical device space company tavr structural heart initiative rick wise senior medical technology analyst manage director stifel tell ibd mussallem see big opportunity tavr fact cannibalize company exist lead product be continue be leader surgical heart valf tavr be such radical idea most customer discourage say mussallem rationale be someone be go disrupt core business feel be be have be one else pursue radical idea work very hard develop therapy be not simple linear persist promise patient be so powerful be first time career have chance experience significant way call triple improve mortality improve quality life patient improve economic health care system edward sapien family transcatheter aortic heart valf delivery system be used treat heart valve disease used catheter base approach certain patient traditional open heart surgery isn optimal company say deliver heart be beating valf enable patient have better quality life sooner receive traditional surgical therapy motivate guide employee mussallem team have develop secret sauce principle eye always patient need mussallem encourage team dream big not be afraid failure learn mistake mussallem develop leadership management principle many source baxter mussallem gain confidence skill lesson learn be not be afraid difficult job say often job be not high profile involve take underperform business function isn see glamorous be opportunity someone get significant responsibility demonstrate own ability add value lesson help mussallem support decision spin independent company cardiovascular division baxter mussallem be responsible time cardiovascular business be poorest performer baxter portfolio say have low growth rate low profitability uncertain future have lot hard work do early year say team stay optimistic time be able sharpen strategy seriously invest new innovation be able completely change profile company element strategy have be priority be leadership feel try be best do add proud edward sell be global position mussallem be born grow gary ind earn bachelor degree chemical engineering rise hulman institute technology graduation work union carbide chemical engineer make prestone antifreeze time realize be do something more fulfill change person life then go health care develop many personal value passion innovation younger year ve never be be afraid take challenge say be fortunate have loving parent other live life give child better life always feel responsibility do best believe company have many same idea transform edward global leader innovator structural heart diseaseovercame risky business decision spin edward baxter develop complex therapy lesson find meaning work allow be best even surprise term much impact have
2,BAX,stock index keep recent sideway trend thursday utility outperformed fifth session row nasdaq end just flat dow jone industrial average fall respectively index close high day range be bullish dow jone
3,BAX,do novartis nvs amgen amgn merck mrk pfizer pfe celgene celg gilead science gild baxter international bax eli lilly lly have common have licensing other business relationship ligand pharmaceutical lgnd ligand be recently add ibd list top growth stock be lead biotech stock
4,BAX,important metric look stock be higher relative strength rating baxter international bax now clear threshold jump wednesday proprietary rating measure market leadership used worst best score identify stock price performance trail week match rest market history reveal best stock tend have rs rating begin biggest price move look best stock buy watch start herenow be not ideal time jump isn proper buy zone see stock go form chart pattern break earning share growth decline last quarter sale grow previous report next quarterly number be expect feb baxter international hold rank peer medical product industry group align technology algn abiom abmd inogen ingn be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
5,BAX,medical supplier stock collectively topple month low intraday tuesday becton dickinson bdx biggest loser report emerge amazon com amzn be plan sell supply hospital analyst largely doubt amazon put pressure manufacturer higher tech product include implantable device insulate company medtronic mdt stryker syk cantel medical cmd conm cnmd teleflex tfx needham analyst mike matson write note client other industry amazon have typically disrupt middleman more manufacturer say view amazon model work lower tech product be unlikely work higher tech product matson say lower tech product list lower price single use item don require service be typically used sale representative present higher tech item be often implantable need service require sale rep present use perhaps not surprisingly lower tech product be already typically sell distributor such owen minor omi higher tech product be typically sell directly manufacturer say view amazon simply represent distribution channel lower tech product ibd take stock market remain high market still thro correction important keep tab key action visit big picture evercore analyst vijay kumar say amazon be formidable player basic medical supply category include plastic glove drape simple catheter company cover group be becton baxter bax becton baxter be likely happy supply amazon well other distributor say report client close bell stock market today becton sank finish earlier fall much collectively medical supplier stock topple much low last see april group end day baxter trade medical product group dip medical product stock broadly fall much be marginally close related payer win balk price tag vertex new drugis teva pharma restructure plan actually more reasonable regeneron benefit lackluster datum present rival
6,BAX,baxter international bax have relative strength rs rating upgrade thursday ibd unique rating track market leadership worst best score score show stock price performance trail week compare other stock database history show best stock typically have better rs rating launch biggest climb look best stock buy watch start herebaxter international be buy zone breaking past entry flat base once stock move higher original entry consider proper buy area earning growth drop most recent quarter revenue gain moved higher company hold rank peer medical product industry group align technology algn abiom abmd teleflex tfx be top highly rate stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
7,BAX,baxter international gap bolt day move average friday
8,BAX,move come news baxter international bax subsidiary baxter healthcare commercialize rockwell medical rmti hemodialysis concentrate product line select foreign market
9,BAX,be much need shot arm baxter break flat base july then rolled undercut base stock have see considerable institutional selling recent week evidence weak accumulation distribution rating
