,ticker,content
0,CBS,struggle power spot potentially combine company be muddy merger talk cbs cbs viacom viab accord cnbc cite source cbs coo joe ianniello viacom ceo bob bakish want job say outlet also report source say current cbs chief moonfe be merged medium company least year special committee cbs board member formally submit market value bid viacom call cbs management include iannello lead merged company source tell bloomberg final decision merger be make soon month say wall street journal cite person familiar matter outlet also say year old sumner redstone national amusement control cbs viacom have only vote board control company mental capacity come increase scrutiny national amusement have sign merger reportedly have director total include sumner daughter shari redstone be say be driver current cbs viacom merger discussion elder redstone be say communicate ipad preload recording voice be link yes verbal command accord journal cite person have speak cbs share finished higher stock market today viacom lose fox news owner st century fox foxa have floated possible sale sky news walt disney part set remedy regulator seek limit rupert murdoch control medium market address concern surround editorial independence sky news fox offer new ring fencing policy establish sky news distinct company parent sky group equip sky news manage independent board year guarantee funding fox competition market authority have provisionally find january fox sky deal be not public interest due medium plurality concern give murdoch family too much control news provider medium platform therefore too much influence public opinion political agenda option disney have expressed interest acquire sky news view add disney exist portfolio television channel not disney propose acquisition st century fox proceed say fox release disney say december acquire fox studio entertainment asset fox announce back december acquire portion sky doesn already own euro share cash february comcast cmcsa tossed own bid ring cash bid move weigh share fox say then remain commit original cash offer company disney share close fox share end flat be interested netflix take medium giant video stream war go globalcomcast sky bid send cable tv firm stock fox be disney highest priority fox deal transform medium sectorchart read basic buy point mark time real stock make list fastest grow company
1,CBS,share mobile tmus sprint edge thursday investor mulled senate antitrust hearing increase odd merger be approve other development mobile stock gain close stock market today share sprint climb chief executive mobile sprint appear senate hearing late wednesday company tell republican democratic lawmaker propose merger create stronger rival versus verizon communication vz well fargo analyst jennifer fritzsche say note client thursday chance mobile merger sprint be approve get newsletter deliver inbox more info product service privacy policy term usemeanwhile comcast cmcsa stock rise thursday analyst see nation largest cable tv firm raise bid st century fox foxa department justice wednesday approve walt disney propose acquisition fox condition deal comcast possible setback disney need sell regional sport network doj say however analyst say comcast still fox higher cash bid disney other development comcast reportedly explore alliance amazon com amzn jointly bid fox analyst however say amazon have alternative michael nathanson report publish tuesday say cbs cbs make logical fit commerce giant say amazon prime web stream service struggle vs netflix nflx acquisition medium firm stock rise thursday close acquisition time warner june telecom conglomerate tell regulator need medium asset compete vs technology internet giant such amazon alphabet googl google netflix share medium firm discovery disca lion gate lgf viacom jump win antitrust battle vs department justice medium stock have pull back last few trading session bid cbs court battle national amusement control former parent viacom be fall say nathanson goldman sachs meanwhile june report say verizon charter communication chtr do not need rush vertical merger such time warner charter cable firm verizon hold strong position wireless service report say rally telecom medium stock be often drive merger development telecom isn high earning revenue growth sector verizon pay high dividend make attractive income focuse investor get instant access more trading idea exclusive stock list ibd proprietary rating only related link amazon pillpack deal roil health care stockschart read basic buy point mark time real buy watch top ipos big small cap growth basic analyze stock cup handle
2,CBS,netflix stock have more double year leave investor wonder have gas left tank macquarie analyst tim nollen say thursday sticking bullish outlook netflix nflx concern valuation big run possible expectation have get ahead result re not go nflx say report reiterate outperform rating stock raise price target netflix share rise stock market today stock hit record high june retreat netflix stock be year date thursday close get newsletter deliver inbox more info product service privacy policy term internet television network report second quarter financial result market close july international subscriber add price increase service push netflix estimate higher nollen say still be big risk stock expectation be sky high so take solid beat keep stock momentum go nollen say netflix do have solid history beating guidance competition be rise win be huge threat walt disney launch rival internet video service fall say netflix currently compete amazon amzn cbs cbs hbo hulu other stream video addition disney apple aapl be plan enter top video market soon get instant access more trading idea exclusive stock list ibd proprietary rating only related netflix see nearly triple subscriber dominance grow
3,CBS,go ahead acquisition time warner twx district court judge say late tuesday ruling ignited wave late trading telecom medium stock district judge richard leon make ruling stock market close tuesday leon set condition takeover fall hour trade time warner rise analyst say slip involve arbitrage related time warner transaction department justice sue november block acquisition time warner ground merger hurt competition pay tv industry argue need time warner asset compete netflix nflx amazon com amzn alphabet googl google entertainment business get newsletter deliver inbox more info product service privacy policy term useif justice department be appeal ruling favorable be problem telecom conglomerate event time warner have option walking away deal renegotiate term merger agreement expire june leon late tuesday say wouldn grant stay government request ruling landmark antitrust case send share comcast cmcsa walt disney investor now anticipate bidding war st century fox foxa fox rise comcast fall share disney be judge leon ruling be expect open door more acquisition medium firm telecom company distribute content wireless network comcast launch cash bid rupert murdoch fox soon wednesday disney november agree buy fox include stake sky stock deal comcast already own nbcuniversal have reportedly arrange financing cash bid nation largest cable tv firm have be wait ruling time warner merger announce formal bid fox comcast have already bid satellite tv broadcaster sky fox hold stake court ruling send other medium stock late trade cbs cbs rise john malone discovery communication disca climb lion gate entertainment lgf shot charter communication chtr climb also share verizon communication vz edge verizon have state not interested buy large medium asset sprint mobile tmus have state interest marriage sprint jump mobile climb hour be time warner announce merger october many analyst have expect prevail court ruling time warner stock trade share offer indicated investor still thought doj possible tuesday regular session share gain close stock market today time warner tick less related link big be time warner ruling even stock be rallyingsell take profit hold here be several guideline followchart read basic buy point mark time real buy watch top ipos big small cap growth basic analyze stock cup find great growth stock learn spot flat base bullish chart pattern
4,CBS,time have never be better be tv industry watch television want enjoy last insider be call era peak tv year estimate script series be produce broadcast cable top internet service accord cable network fx nearly just year explosion programming reflect competition touch rise top internet television lead netflix nflx amazon com amzn hulu host other yet tv industry watcher say only matter time market head backside peak million consumer have quit traditional pay tv service embolden fast grow stream tv service become cord cutter get newsletter deliver inbox more info product service privacy policy term many internet video network netflix consumer support long run open question doubt transition time television industry tvanswerman com publisher phillip swann say many tv industry fear shakeout programming boom continue now eventually industry split winner loser consumer comb multitude choice bundle programming most risk be company multichannel pay tv business such comcast cmcsa studio abandon own stream tv service return supply content remain service player include like cbs cbs viacom walt disney content onslaught start netflix amazon other start provide direct consumer video service catalog original material hollywood studio rushed own internet video network service fear miss next big thing swann say same studio have support legacy cable channel content production tv industry consumption still be rise last year average household paid stream video service accord strategy analytic prior year netflix have most viewer follow amazon prime video hulu park associate analyst brett sappington count more top video service alone more third internet household subscribe least top plan say subscribe more major stream service be expect soon disney apple aapl crowd field even more industry analyst wonder just big appetite be offering question strategy analytic analyst michael goodman say meanwhile penetration multichannel pay tv service household have fall year low say sappington average household spend month pay tv service last year accord leichtman research group bit more inflation rate now addition regular cable satellite telco tv bundle consumer choose skinny bundle limit channel dish network dish sling tv directv now mix match subscription video demand service traditional pay tv be very much decline nscreenmedia analyst colin dixon say dust settle transition consumer likely pay anchor tenant such skinny bundle netflix dixon say ll have revolve roster premium demand service ll get limit period ll supplement service emerge ad support video demand service such roku roku roku channel say say do average joe have probably service pay pretty much month month dixon say be whole bunch other stuff take something interesting want see drop again later also be whole bunch advertising support service re just begin see start now more casual view only few subscription video demand service broad appeal be likely be long term winner new tv industry structure analyst say succeed ll need large selection programming keep consumer engage subscribe netflix be service other be chasing internet video market have be smart strategically savvy develop service tvanswerman swann say amazon prime video be tortoise hare be netflix hope slow steady win race say amazon tv service have benefit be bundle extra prime commerce service provide free day shipping million product possibly hulu outlook be less certain subscription video demand service consider cbs access cbs own service debut limit original content offer mostly library sitcom tv drama rerun subscriber count spiked more launch star trek discovery new weekly series popular science fiction franchise last september episode first season end february many fan take social medium announce be quit service second season begin air sometime internet video service be easy someone sign binge watch particular show then cancel service move definitely go be challenge service say strategy analytic goodman ease get be subscriber churn be go be problem many tv business park sappington say service price monthly basis same less cost movie ticket then consumer get service single month shouldn be big surprise sappington say current heighten promotional environment consumer bounce free trial next swann say mainstream video demand service host smaller niche service passionate fan be likely succeed second tier internet video service now include such channel crunchyroll japanese anime world wrestling entertainment wwe wwe network gaia gaia yoga fitness spirituality programming go january december watch lot great content not pay dime re so incline just free trial swann say related apple service call next paradigm shift company stockroku stock rise ad support stream videonetflix original programming fuel subscriber gain survey
5,CBS,cbs news have strange way mark valentine day sunday wednesday romantic dinner flower sunday morning link day deep study marital infidelity xreporter tony dokoupil find expert therapist perel author state affair rethink infidelity also find cheating wife explain cheating way guilt cbs insist need rethink attitude sin adultery happen period time culture cbs explain so do murder uncertain cbs think rethink too be villain infidelity happen perel lecture think just good person bad person do not help million person be experience child friend family perel find fault not cheater label such do not claim moral superiority just haven cheat insist just haven have sex somebody else think be mature commit superior have get change never have honest conversation honest conversation be code rewrite morality morality be rewrite just be morality be alter be ignore expert want accomplish dokoupil announce new equality sex accord survey kinsey institute indiana university female philanderer be catch male counterpart first time record be achievement track top stock market trend free ibd newsletterscbs spotlight kristie daphne wouldn use real name have thing common regard cheating have used married date site ashley madison sound tawdry commercial cbs relay site be boom new member day kristie go shopping date husband say something very disrespectful very hurtful pull phone go phone say woman look man have affair say husband find text message lover kristie say just end didn deny yup want divorce be remorse just relief daphne also hide screen say have good marriage year husband have alzheimer disease morality get way wasn go be able continue take care husband didn have fun claim ecause be impatient cry be just angry now much more patient don get angry better wife now be better wife now cheat have alzheimer so cbs story end high note cheater kristie announce married boyfriend find ashley madison be ask say vow feel say know forever get hot next guy also more column brent bozell tim grahammore commentary opinion investor business daily
6,CBS,stock see little movement monday telecom giant say acquire appnexus rival trade desk ttd move boost digital advertising capability follow purchase medium giant time warner term be not disclose offer accord report stock rise fraction stock market today trade desk also have be view takeover target trade desk appnexus operate largest online ad exchange automate platform enable agency other buyer purchase online advertising thousand website recent gain trade desk have market valuation get newsletter deliver inbox more info product service privacy policy term useinvestor appnexus include ad firm wpp hire brian lesser executive decade wpp own groupm lead advertising analytic division much verizon communication vz aim boost advertising revenue growth slow core telecom business rival verizon recently acquire aol yahoo internet business plan bundle time warner content wireless service verizon be still minnow bowl compare big fish facebook fb alphabet googl google be staking claim build asset be better able compete well fargo analyst jennifer fritzsche say report client cbs cbs walt disney other medium firm also be rev direct consumer offering internet automate platform trade desk appnexus make easier ad buyer target consumer base re watch other aggregate datum say expect appnexus deal close september quarter trade desk ttd drop share trade desk have double year stock have be tear company report first quarter result blow past estimate trade desk rank ibd roster growth stock related link telecom stock watch industry trade desk stock get boost google regulatory woeschart read basic buy point mark time real buy watch top ipos big small cap growth basic analyze stock cup handle
7,CBS,news see night broadcast television be defined outrage have be perpetrate president donald trump last week abc cbs nbc devote enormous chunk airtime parent immigrate country illegally be separated child federal agent minute almost half total nightly airtime not include commercial accord medium research center contrast other part nation business be nearly invisible take example america war afghanistan be obviously not new topic start be now longest war american history doesn feel sight mind last week central command say conduct airstrike afghanistan most month year more bomb be drop april january june network only muster minute barely minute abc lead pack measly minute second cbs minute nbc minute second be even reason be obvious number dead american be very low only american soldier have die combat afghanistan man sgt st class mihail golin spc gabriel conde draw second airtime network be kill get newsletter deliver inbox more info product service privacy policy term usea second reason be less obvious network don have many reporter overseas anymore certainly not reporter cover forgotten war few casualty network be nature more likely cover american military action go wrong civilian die bombing neither reason be excuse be not war be meant be cover country war network haven be more interested war terrorism general trump largely vanquish islamic state group territorial power hear cricket try new york time credit report complex cross border sting carry iraqi american intelligence conclude capture senior islamic state group official cbs night triumph draw second abc nbc do nothing offer full story black yale university student be upset someone call polouse be find nap dormitory common room so let go back big picture do network obsess instead spending more minute afghanistan same time period abc cbs nbc offer evening news minute still unproven allegation trump campaign collude russian government addition minute subject add whopping minute total hush money scandal porn star stormy daniel have receive minute evening news attention not count minute devote exploit trump personal lawyer michael cohen write check daniel fbi raid office uncover nefarious trump enable secret american army war afghanistan be important bit prostitute cause end trump presidency be news cause re election donald trump be treat belong deep dark cave container radioactive waste be news be not news doesn fit narrative more commentary opinion investor business daily want make more money stock market start ibd university
8,CBS,stock bolt premarket trading early gain tuesday chipmaker lead early tech stock rebound nasdaq composite surge jump dow jone industrial average climb leader include taiwan semiconductor tsm nvidia nvda micron tgechnology mu chalk early rebound amazon com amzn bounce more netflix nflx tesla tsla rebound more overseas action be relatively tame asia stock market feel only modest pressure monday selling shanghai composite drop hong kong hang seng index gain reopen day holiday market europe open pressure day break frankfurt dax pare early loss cac paris be london ftse flattened afternoon trade economic news be fairly light tuesday automaker be report march sale total session general motor gm reportedly announce final monthly sale figure automaker plan end year tradition report monthly sale dow industrial unitedhealth group unh power ahead more tesla open trading higher maker luxury electric automobile announce total production rise first quarter vehicle tweet late tuesday elon musk say tesla founder chief executive be back sleeping factory order oversee model production tesla share be september high well critical level support chipmaker be hammer early bounce philadelphia semiconductor index drop monday taiwan semiconductor micron jump more apiece taiwan semi be battle retake week line month consolidation ibd list graphic chip developer nvidia spiked open share drop almost fast trade monday put further day move average stock be also retesting buy point early january viacom viab sunk bottom nasdaq tumble nearly report cbs cbs be prepare low ball bid cable competitor stock bid long discuss merger value viacom current market cap report say come next few day cbs share gain recent ipos suffer steep premarket loss datum center manager switch swch tank report fourth quarter result late monday financial technology provider longfin lfin topple lower company have emphasize blockchain base technology reportedly announce security exchange commission investigation well weakness financial report stock end tuesday start year most loss follow march announcement company be drop russell index be interested big picture low stock go just don do top stock key lesson market correction tech stock sector continue show strength facebook crisis deepen public turn social network ibd tipp poll
9,CBS,former president barack obama be swagger claim didn really have scandal president february say didn have scandal embarrassed only mean shamelessness seem winning tactic say didn have scandal seem shouldn be something brag objective measure man be liar obama claim be only follow lead servile press corps cnn scream donald trump scandal day long run hour obama special end second term host fareed zakarium claim run administration be largely scandal free do microscope look different man be liar well other way put so justice department inspector general release report hillary clinton email scandal june not surprising network newscast ignore reference obama be certainly scold report include page abc cbs nbc pbs do multiple segment ig report completely skip obama angle center coverage ig scald former fbi director james comey ignore comey be appoint obama get newsletter deliver inbox more info product service privacy policy term usethese network also skip report discussion scandal then attorney general loretta lynch meeting former president bill clinton tarmac shortly justice department announce not prosecute naturally liberal eye scandal here be president trump be claim be vindicate ig report be apparently false statement obama lie consequence starter deny know hillary clinton used private email address government business ig report make clear obama be individual clinton have direct contact used clintonemail com account so often do year assorted scandal obama claim only learn news report call dishonest clueless be obama cause indigestion fbi go television insist nothing clinton do be worth prosecute minute oct obama insist tell be not situation america national security be endanger cbs steve kroft nudge say administration have prosecute person have classify material private computer obama reply doubt have be breach be matter degree don get impression here be purposely effort hide something squirrel away information lynch tell ig obama step prematurely proclaim cbs be national security damage create suspicion political bias top justice department obama repeat line clinton lack harm national security fox news sunday interview april not network couldn find video clip energetically create persistent crisis donald trump have put protective bubble precious obama boast have scandal fact first medium have manufacture false perception year hillary clinton email scandal explain more commentary opinion investor business daily want make more money stock market start ibd university
