,ticker,content
0,CHRW,ch robinson worldwide chrw have relative strength rs rating upgrade wednesday welcome improvement still shy better score look try find best stock buy watch be sure pay attention relative price strength unique rating identify technical performance used worst best score show stock price action trail week match other stock year market history reveal stock go make biggest gain tend have rs rating least early stage move see ch robinson worldwide continue show renew price strength hit benchmark look winning stock try simple routinech robinson worldwide be build consolidation buy point see break heavy trading ch robinson worldwide show ep growth latest quarterly report revenue rise company hold rank peer transportation logistic industry group zto express zto expeditor international expd xpo logistic xpo be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
1,CHRW,ch robinson worldwide chrw see positive improvement relative strength rs rating friday increase look best stock buy watch factor watch closely be relative price strength ibd proprietary rating track market leadership worst best score grade show stock price movement last week hold other stock database decade market research reveal best stock tend have rs rating north begin largest run see ch robinson worldwide continue show renew price strength hit benchmark look winning stock try simple routinech robinson worldwide be try complete consolidation entry see stock break volume least higher normal ch robinson worldwide show earning growth last quarter sale growth come ch robinson worldwide earn rank peer transportation logistic industry group zto express zto expeditor international expd xpo logistic xpo be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
2,CHRW,global economy be gathering strength business be shipping more thing load bay feed truck cargo jet be get busier transportation logistic company be increasingly tech focuse intermediary connect business shipping company place good need be moved vehicle best able haul deliver result
3,CHRW,welcome move zto express zto see relative strength rating improve thursday look best stock buy watch factor watch closely be relative price strength ibd proprietary rating identify price performance worst best score rating show stock price behavior last week compare other stock database history reveal stock go make biggest gain typically have rs rating north early stage move see zto express continue rebound clear threshold see ibd help make more money stock be theipo leader screen be not currently offer proper buy opportunity see stock go build sound pattern ignite new run top bottom line growth moved higher last quarter earning be compare prior report revenue increase company earn rank peer transportation logistic industry group echo global logistic echo ch robinson worldwide chrw be also group highest rate stock get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
4,CHRW,ch robinson worldwide chrw have relative strength rs rating upgrade tuesday unique rating track market leadership used worst best score show stock price performance last week match other stock decade market research reveal stock go make biggest gain typically have rs rating north begin biggest run look winning stock try simple routinech robinson worldwide be now consider extend buy range clear buy point first stage cup handle see stock form new pattern follow buy opportunity week tight pullback day week move average earning grow last quarter prior report revenue also increase ch robinson worldwide hold rank peer transportation logistic industry group expeditor international expd be top rank stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
5,CHRW,thursday ch robinson worldwide chrw receive upgrade relative strength rs rating proprietary rating track market leadership show stock price action last week compare other stock major index year market history show best perform stock typically have rs rating early stage move look winning stock try simple routinech robinson worldwide have rise more past entry first stage cup handle meaning now proper buy range look stock offer new buy opportunity week tight pullback day week line top bottom line growth moved higher last quarter earning be compare prior report revenue increase ch robinson worldwide hold rank peer transportation logistic industry group zto express zto be rank stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
6,CHRW,ch robinson worldwide chrw have relative strength rs rating upgrade thursday welcome improvement still short better score look exclusive rating investor business daily track market leadership worst best score grade show stock price behavior last week compare other stock database decade market research show market biggest winner typically have rs rating north launch biggest climb see ch robinson worldwide continue show renew price strength hit benchmark look winning stock try simple routinech robinson worldwide be now consider extend buy range clear buy point first stage cup handle see stock form new pattern follow buy opportunity week tight pullback day week line earning grow last quarter prior report revenue also increase ch robinson worldwide earn rank peer transportation logistic industry group zto express zto expeditor international expd schneider national sndr be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
7,CHRW,echo global logistic echo see ibd smartselect composite rating jump friday day new score mean company be now outperform stock term most important fundamental technical stock pick criterium history show top market performer tend have higher score launch major move echo global logistic be now buy range breaking buy point double bottom look best stock buy watch start stock earn ep rating mean recent quarterly annual earning growth top stock accumulation distribution rating show moderate buy institutional investor last week company post earning growth have now post accelerate ep increase consecutive quarters top line growth climb prior quarter company have now post accelerate growth last report echo global logistic earn rank peer transportation logistic industry group ch robinson worldwide chrw schneider national sndr be also group highest rate stock related company be now outperform stock
8,CHRW,expeditor international expd have relative strength rs rating upgrade thursday welcome improvement still short higher score prefer see exclusive rating investor business daily measure market leadership worst best score rating show stock price performance trail week hold other stock database decade market research reveal top perform stock often have better rs rating begin biggest climb see expeditor international continue show renew price strength hit benchmark see ibd help make more money stocksexpeditor international have climb more past entry first stage cup handle meaning now proper buy zone look stock offer new chance get week tight pullback day week move average company see earning sale growth rise last quarter earning share increase revenue rise look next report feb expeditor international earn rank peer transportation logistic industry group ch robinson worldwide chrw be top rank stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
9,CHRW,schneider national sndr see ibd smartselect composite rating rise monday day new score mean company be now outperform stock term most important fundamental technical stock pick criterium schneider national be trading entry cup handle look winning stock try simple stock have ep rating meaning recent quarterly longer term annual earning growth be outpace stock accumulation distribution rating show moderate buy institutional investor last week company report ep growth mean now post straight quarters rise ep gain sale growth increase prior report mark quarter accelerate revenue growth schneider national hold rank peer transportation logistic industry group ch robinson worldwide chrw expeditor international expd be also group highest rate stock related company be now outperform stock
