,ticker,content
0,CHTR,merger acquisition activity have be robust so far year most value thank couple huge deal work include charter communication bid time warner cable other transaction medium technology health care jan activity reach
1,CHTR,charter communication chtr be close deal buy larger time warner cable twc share accord multiple report comcast cmcsa twc takeover fail due regulatory opposition charter cable operator pay share cash rest stock share twc bloomberg report monday cite source financial time reuter later file similar report bloomberg ft say charter also buy bright house smaller cable operator charter have deal bright house earlier year agreement hinge comcast buy time warner cable time warner cable stock rise friday hit record intraday stock rise week grow speculation charter french telecom altice make offer charter close friday lowest close month charter have seek buy twc last year be thwart comcast charter top shareholder be john malone liberty lbrda separately cablevision cvc share leap last week highest level nearly year unclear cablevision be really buyout target follow ed carson twitter ibd_ecarson
2,CHTR,best mutual fund performance report
3,CHTR,corporate takeover be theme boost mutual fund hold stock testify resilience economy even mixed economic datum trickle
4,CHTR,parade pairing includedcharter chtr time warner twc avgo broadcom brcm asna ann ann cvs cvs omnicare ocr verizon vz aol aol dhr pall pll
5,CHTR,activity continue support stock market russ blackrock global chief investment strategist write deal allow company expand new market well gain efficiency earning leverage
6,CHTR,come perhaps sluggish manufacturing activity economy shrank first quarter fact weak datum paradoxically boost stock alleviate concern aggressive federal reserve rate hike regime add
7,CHTR,diversify equity fund rise average accord lipper inc general domestic taxable bond fund fall
8,CHTR,growth fund market cap spectrum continue notch biggest gain small cap growth fund beat last month advance average take year date gain midcap growth fund rally same period
9,CHTR,value fund be catch post tidy gain lag year date
10,CHTR,sector focuse mutual fund hold health biotech stock prove stellar again trump other domestic fund category soar month end
11,CHTR,strong health care earning
12,CHTR,health care company show strong first quarter earning growth overall top sector stock such ibd sector leader actavis act illumina ilmn be profit robust demand innovative drug testing equipment well acquisition smaller company streamline diversify operation
13,CHTR,interest rate stay lower longer mutual fund investor be seek income produce equity utility telecom fund eke gain last month year date re laggard
14,CHTR,advise income investor focus dividend growth fund many sector offer high yield such utility be expensive most vulnerable rise rate say instead yield hungry investor look technology financial health care select energy company offer rise dividend
15,CHTR,price gold end roughly higher stronger dollar weigh bullion month wear mutual fund investing precious metal commodity manage turn gain average course last month virtually other commodity fund ag base energy focuse see loss
16,CHTR,precious metal equity fund such hold mining stock give re more influenced operational condition not just underlie metal price
17,CHTR,modest gain abroad
18,CHTR,reversal previous month investor turn foreign market successful investing peg slight decline
19,CHTR,still several international region manage beat sell naysayer include rally india japan europe china stock mutual fund fall vs outsize gain april
20,CHTR,year date china region fund still lead international peer surge be hurt stock market news shrink factory activity weak export growth
21,CHTR,overall world equity fund drop vs gain previous month
22,CHTR,international market have do pretty well year date say matthew dobbs head global small company schroder investment management so not entirely surprising see bit reversion back
23,CHTR,dobbs manage part vanguard international explorer fund rise be invest asset japan biggest single country allocation
24,CHTR,japanese mutual fund rise re year
25,CHTR,large cap japan power performance say dobbs fall yen give company tend have sizable exposure foreign earning boost
26,CHTR,vinex also assign asset continental europe european fund rally last month year date re massive stimulus measure have kick start market
