,ticker,content
0,CINF,relative strength rs rating cincinnatus financial cinf climb new percentile friday get lift exclusive rating investor business daily identify market leadership worst best score grade show stock price movement trail week stack other stock database year market history show stock go make biggest gain tend have higher rs rating begin largest climb see cincinnatus financial continue rebound hit benchmark cincinnatus financial be trading buy range breaking past buy point flat base once stock move higher original entry consider proper buy area earning growth rise last quarter sale fall cincinnatus financial hold rank peer insurance property casualty title industry group investor title itic state national company snc kinsale capital knsl be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
1,CINF,don let name alp sector dividend dog sdog fool exchange trade fund hit record high past week have be remarkably steady performer exclude aug flash crash etf deepest decline have be november january nearly other decline inception year be less share break flat base last monday past buy point primary focus large cap dividend stock etf serve long term sailing rather momentum play fund be design dog dow strategy basically seek component dow jone industrial average highest dividend yield think be dog be just temporarily favor share price eventually catch yield performance alp sector dividend dog take premise apply larger universe namely find stock highest dividend yield respective sector so always have exposure broad sector index select have nearly equal weighting etf stock range weighting accord alp most component have be rebound year even be form price consolidation right now pair health care stock baxter bax johnson johnson jnj have be best perform component baxter make hospital renal disease product be past buy point have advanced buy point insurance firm cincinnatus financial cinf have rally breaking feb etf pay quarterly dividend cent share good annualize yield ibd etf leader index show performance model portfolio exchange trade fund be lead overall market computer algorithm select etfs base relative strength other objective performance rating periodic adjustment market trend condition universe etfs be select include fund list
2,CINF,high rate stock clear pattern wednesday go opposite direction close vca woof rally heavy volume result beat expectation stock have clear handle entry be extend investor use new high alternative buy point volume be
3,CINF,insurance isn normally source growth name highly rate stock sector be increase profit set basis industry group comprise insurance sector only property casualty insurance group offer stock composite rating stock table amerisafe amsf employer holding eig top sector have go public last
4,CINF,insurance stock aren know high flier bull market be show relative strength current environment insurance sector climb ibd sector friday ibd majority strength come property casualty insurance group be just outside top ibd industry group
5,CINF,new high list expand nicely stock market wednesday help follow big percentage gain higher volume index confirm new stock market uptrend edward lifescience ew rise still buy range buy point reclaim entry tuesday average trade edward compete medtronic mdt
6,CINF,broad market wilt number stock weekly review remain smaller normal significant rotation unfold list defensive stock continue dominate utility real estate investment trust still accounting much screen reit be shift have be perform well trigger sell
7,CINF,mccormick co mkc be back buy point flat base rise close average volume stock break jan fall back base several day sell signal be trigger stock find support day move average company promise
8,CINF,financial stock insurance stock today stock spotlight screen be make case want go higher need institutional buy sustain problem be institution have be more anxious sell buy lately grupo financiero galicia ggal have be base november handle area isn visible yet weekly chart daily chart show handle buy point galicia price strength have be impressive weak market current base be late stage nice run recent year argentine bank be expect benefit time economic reform result last year election mauricio macri be ally business community other thing new president be push free market oriented economic model aim attract foreign investment also intent implement austerity measure reduce spending grupo show straight quarters double digit earning revenue growth revenue growth have accelerate past quarters home front property casualty insurer cincinnatus financial cinf be approach buy point week cup base share jump nearly last week solid volume help solid earning report revenue be flat year investor focuse nice earning beat expand profit margin sixth straight quarter earning growth last month company increase quarterly dividend cent share give annualize yield elsewhere growth prospect look pretty good marketaxess mktx slowdown earning sale growth latest report quarter full year profit be see rise year company software help institution trade corporate bond other fix income security
9,CINF,federal private worker be flee office early grocery shelve be scavenged bare public transportation system plan power weekend washington friday forecaster expect massive snowstorm smother region overnight property casualty insurer be guard damage down tree power line frozen pipe collapse roof
10,CINF,stock show hesitation wednesday previous session strong price gain nasdaq slip dow jone industrial average ease respectively volume stock market today drop vs tuesday already average pace
11,CINF,blue chip be mostly only handful stock dow rise tiny step downside chevron cvx carved slow turnover west texas intermediate crude oil fall chevron integrate oil company have rebound late august low remain july high
12,CINF,integrate oil company be involved many facet business exploration production refine distribution late june crude oil begin fast price slide price oil be now explorer integrate refiner
13,CINF,ibd list best stock fundamental technical mortgage software provider ellie mae elli take hardest hit drop more volume be average
14,CINF,housing related stock get bad news november pending home sale drop unexpectedly
15,CINF,however homebuilder horton dhi leaderboard stock shrug news horton be penny tepid volume stock show hesitation wednesday previous session strong price gain nasdaq slip dow jone industrial average ease respectively volume stock market today drop vs tuesday already average pace blue chip be mostly only handful stock dow rise tiny step downside chevron cvx carved slow turnover west texas intermediate crude oil fall chevron integrate oil company have rebound late august low remain july high integrate oil company be involved many facet business exploration production refine distribution late june crude oil begin fast price slide price oil be now explorer integrate refiner ibd list best stock fundamental technical mortgage software provider ellie mae elli take hardest hit drop more volume be average housing related stock get bad news november pending home sale drop unexpectedly however homebuilder horton dhi leaderboard stock shrug news horton be penny tepid volume
16,CINF,financial company bank insurance company make stock spotlight screen monday record solid gain day be cincinnatus financial cinf parent cincinnatus insurance company offer broad range property casualty insurance state say keep premium limit exposure area
17,CINF,stock spotlight screen be shine financial stock stock highlighted wednesday ibd be financial sector make screen stock have strong earning sale growth other positive fundamental also be build base trading new high financial name be smaller company
18,CINF,cincinnatus be back well not baseball team quite yet cincinnatus financial be have solid so far stock be year be hold well day move average hover just buy point long consolidation contrast nasdaq have fall way
19,CINF,round selling hit wall street tuesday china devalue currency china move reignite concern health world second largest economy china airline stock sell news airline outperformed thank sharp drop oil price benchmark crude oil hit year low fall barrel
20,CINF,cincinnatus financial corporation cinf free report have be witness southbound revision late stock have see zack consensus estimate current year earning be revise downward consensus mark moved nearly south stock carry zack rank strong sell unimpressive vgm score back test result show stock favorable vgm score combine bullish zack rank strong buy buy comfortably outperform other stock see complete list today zack rank stock here share cincinnatus financial have also underperform industry year date stock have lose massively wider industry decline further valuation remain stretched current level look company price book ratio best multiple value insurer company have trail month ratio higher industry average cincinnatus financial have be incur rise expense past few year primarily due higher insurance loss contract holder benefit underwriting acquisition insurance expense do not expect major turnaround respect term be important note escalate expense be likely restrict operate margin expansion turn hurt company overall growth additionally company concentration midwest region have be expose devastate event end have be experience high level catastrophe loss considerable period time continue endure same give weather related occurrence natural disaster further such huge loss have also induced deterioration company combine ratio hamper underwriting profitability moreover cincinnatus financial cash flow operation have also be wane extend period time expect volatility metric continue term dwindle cashflow restrain company financial flexibility choose cincinnatus financial doesn appear attractive pick right now be few solid stock insurance space promising greater return also company have outperformed industry rally so far year have narrow investor friendly stock upside potential enhance portfolio aid zack stock screener search be refine used robust zack rank northbound estimate revision commendable vgm score buy rate stock strong value score be best deal offer birmingham al base infinity property casualty corporation offer personal automobile insurance product unite state company carry zack rank impressive vgm score stock have see zack consensus estimate current year earning be revise upward moved north last day share infinity property casualty have surge year date versus industry decline headquarter mayfield village progressive corporation pgr free report provide personal commercial auto insurance residential property insurance other specialty property casualty insurance related service primarily unite state company sport zack rank vgm score stock have be witness upward estimate revision last day share progressive corporation have rise year date industry decrease kemper corporation kmpr free report base chicago il offer property casualty life health insurance individual business unite state company have vgm score zack rank stock have see zack consensus estimate bottom line be raise moved last day share kemper corporation have gain year date outperform industry rise headquarter columbus ga aflac incorporate afl free report provide voluntary supplemental health life insurance product company have vgm score be zack rank player stock have be witness upward estimate revision next year last day share aflac have grow year date industry fall wall street next amazon zack evp kevin matra believe familiar stock have only just begin climb become greatest investment time once generation opportunity invest pure genius click detail
21,CINF,finance sector have be spotlight presidential election november report impressive first quarter result latest earning preview finance stock record year year earning improvement be mainly drive favorable macroeconomic factor higher interest rate decent loan deposit growth lower tax rate so far year financial select sector spdr etf xlf free report track overall financial select sector index be nearly bullish trend be expect continue go forward performance finance sector be directly related healthy economy advance estimate release bureau economic analysis real gdp increase first quarter drive favorable backdrop performance finance sector stock likely improve further economy continue gain strength additionally federal reserve hawkish stance support stock financial bar reit other component finance sector bank brokerage firm asset manager insurer benefit higher rate steeper yield curve help financial stock improve revenue moreover bill roll back dodd frank legislation be expect become law soon finance stock be expect reap benefit bill be aim lower compliance cost hence help boost profitability apart new tax legislation lower effective tax rate almost finance sector stock thus enable earn more profit reduce tax rate be expect provide further stimulus economy therefore indirectly finance sector positive factor be quite few finance stock be not expect perform well mostly owing fundamental weakness so reassess portfolio holding light present environment dump worst perform stock right away finance sector stock avoidselect stock dump be bit tricky however assistance zack stock screener locate stock red flag begin select stock have lose more value year date further stock witness downward estimate revision past week current year be likely plunge most be dump additionally stock have market cap more circumstance buy stock zack rank sell strong sell couple vgm score see complete list today zack rank strong buy stock here here be finance stock be avoid now invesco ltd ivz free report headquarter atlanta ga be investment management company zack rank stock have vgm score have plunge year date further company current year earning estimate have be revise downward last day new york community bancorp inc nycb free report base westbury ny offer banking product financial service zack rank stock vgm score have decline year date further company current year earning estimate have be revise downward last day headquarter new york american international group inc aig free report provide insurance product zack rank stock have vgm score fall year date also company current earning estimate have moved lower last day base charlotte nc lendingtree inc tree free report operate online loan marketplace consumer seek loan other credit base offering zack rank stock have vgm score share company have lose so far year earning estimate have be revise last day cincinnatus financial corporation cinf free report offer property casualty insurance product fairfield base company carry zack rank have vgm score so far year stock have decline additionally earning estimate be revise last day more stock news be bigger iphone become mother technological revolution apple sell mere iphone year new breakthrough be expect generate more device just year create market zack have just release special report spotlight fast emerge phenomenon ticker take advantage don buy now kick click here trade
22,CINF,cincinnatus financial corporation cinf free report report first quarter operate income cent share miss zack consensus estimate cent nonetheless bottom line improve year year mainly higher revenue solid segmental performance cincinnatus financial corporation price consensus ep surprise cincinnatus financial corporation price consensus ep surprise cincinnatus financial corporation quote include net realize investment loss cent share company net loss come cent versus net income year quarter operational update total operate revenue quarter review be year year revenue growth be drive higher premium earn rise investment income however top line miss zack consensus estimate total benefit expense cincinnatus financial increase year year primarily due higher underwriting acquisition insurance expense insurance loss contract holder benefit combine ratio measure underwriting profitability improve basis point bps year year cincinnatus financial have agency relationship mar compare mar quarterly segment line insurance total revenue grow year year upside be primarily drive increase premium earn well fee revenue company deliver underwriting profit year loss combine ratio also improve bps year year personal line insurance total revenue rise year year owing noticeable increase premium earn segment incur underwriting loss narrower year loss moreover combine ratio improve bps year year excess surplus line insurance total revenue increase year year segment underwriting profit remain flat year year combine ratio deteriorate bps year year life insurance total revenue decline year year total benefit expense increase year year financial updatea mar cincinnatus financial have total asset worth end level cincinnatus financial debt capital ratio be mar reflect slight deterioration end mar cincinnatus financial book value share be dec zack rankcincinnatus financial carry zack rank sell see complete list today zack rank strong buy stock here performance other insurersamong other player same space have already report first quarter earning bottom line progressive corporation pgr free report rli corp rli free report outpaced respective zack consensus estimate traveler company inc trv free report miss same more stock news be bigger iphone become mother technological revolution apple sell mere iphone year new breakthrough be expect generate more device just year create market zack have just release special report spotlight fast emerge phenomenon ticker take advantage don buy now kick click here trade
23,CINF,cincinnatus financial corporation cinf free report be slate report first quarter result apr market close last quarter company deliver positive surprise let see thing be shape announcement factor be consider financial property casualty insurer have be expose unpredictable weather related event considerable catastrophe loss therefore company have possibly incur cat loss first quarter turn dent underwriting result also impact combine ratio further company have likely report increase total benefit expense mainly drive higher insurance loss contract holder benefit underwriting acquisition insurance expense turn restrict insurer operate margin expansion nonetheless cincinnatus financial be expect report top line growth soon be report quarter fuel higher premium earn apart gradual improvement insurance rate several growth initiative be anticipate have contribute probable upside zack consensus estimate revenue be peg represent improvement prior year quarter company be likely witness increase premium written first quarter attributable controlled expansion cincinnatus re form substantial contributor insurer earning cincinnatus financial be estimate have witness considerable growth net investment income yet be report quarter mainly owing improve interest rate well higher interest dividend income tax cut reduce tax rate aid company bottom line boost margin directly zack consensus estimate earning be peg cent reflect rise year year basis cincinnatus financial corporation price ep surprise cincinnatus financial corporation price ep surprise cincinnatus financial corporation quote earning whispersour proven model do not conclusively show cincinnatus financial be likely beat earning quarter be stock need have positive earning esp favorable zack rank strong buy buy hold happen be not case here see zack esp cincinnatus financial have earning esp be most accurate estimate zack consensus estimate stand cent uncover best stock buy sell be report earning esp filter zack rank cincinnatus financial carry zack rank sell lower predictive power esp caution sell rate stock go earning announcement especially company be see negative estimate revision stock considersome stock worth consider insurance industry right combination element surpass estimate time be follow kemper corporation kmpr free report be set report first quarter earning apr stock have earning esp zack rank see complete list today zack rank stock here allstate corporation free report have earning esp zack rank company be schedule announce first quarter earning american financial group inc afg free report have earning esp zack rank company be release first quarter earning today stock zack hottest strategy hard believe even zack market gain top stock pick screen have return outperformance have not just be recent phenomenon year have be remarkably consistent composite yearly average gain strategy have beaten market more maybe even more remarkable be fact re willing share latest stock cost obligation see free
24,CINF,have be month last earning report cincinnatus financial corporation cinf free report share have add time frame recent positive trend continue lead next earning release be cinf due pullback dive investor analyst have react late let take quick look most recent earning report order get better handle important catalyst cincinnatus financial earning top revenue ycincinnatus financial corporation report fourth quarter operate income cent share beating zack consensus estimate cent also bottom line improve year year mainly higher revenue solid segmental performance include net realize investment loss cent share effect tax reform legislation company net income sky-rocket year year full year cincinnatus financial report operate income share surpass zack consensus estimate deteriorate year year total operate revenue grow year year operational update total operate revenue quarter be year year top line growth be drive higher premium earn rise investment income total benefit expense cincinnatus financial increase year year primarily due higher underwriting acquisition insurance expense combine ratio measure underwriting profitability improve basis point bps year year cincinnatus financial have agency relationship dec compare dec quarterly segment line insurance total revenue grow year year upside be primarily drive increase premium earn company deliver underwriting profit have soar year quarter combine ratio also improve bps year year personal line insurance total revenue rise year year owing noticeable increase premium earn segment incur underwriting profit compare favorably year loss moreover combine ratio improve bps year year excess surplus line insurance total revenue increase year year drive higher premium earn segment underwriting profit slump year year also combine ratio deteriorate bps year year life insurance total revenue improve year year total benefit expense increase year year financial updatea dec cincinnatus financial have asset worth end level cincinnatus financial debt capital ratio be dec reflect slight improvement end dec cincinnatus financial book value share be dec have estimate be move then past month investor have witness upward trend fresh estimate have be revision higher current quarter past month consensus estimate have shift due change cincinnatus financial corporation price consensus cincinnatus financial corporation price consensus cincinnatus financial corporation quotevgm scoresat time cinf have subpar growth score grade same score momentum front follow exact same course stock be also allocate grade value side putt bottom investment strategy overall stock have aggregate vgm score aren focuse strategy score be be interested style score indicate investor probably be better serve look elsewhere outlookestimate have be trend upward stock magnitude revision look promising come little surprise cinf have zack rank buy expect average return stock next few month
