,ticker,content
0,CME,sign institutional buy be apparent market friday nasdaq score big percentage gain higher volume wasn so apparent monday solid session close dow jone industrial average rise add nasdaq rally preliminary datum show nyse nasdaq volume come lower friday level stock market today nasdaq micron mu netflix nflx cisco system csco be top percentage gainer netflix reclaim day move average monday rise average volume so be market such good mood sudden well market be still focuse fed odd rate hike have fall precipitously recent day accord cme group fedwatch odd hike october meeting oct be next catalyst market be earning season most company just close book third quarter report start roll later month advance stock trounce decliner nyse more ratio be smaller nasdaq just year treasury yield shot point oil gas related group outperformed oil price rise new york mercantile exchange oil add cent barrel grow talk china take more action stimulate economy monday session serve chart breakout autobytel abtl clear double bottom entry rise nearly epam system epam clear cup handle buy point rise hdfc bank hdb poke buy point share picked downside drugmaker valeant vrx fall lose value past session ever short selling firm citron research make negative comment company regard price gouge tuesday watch earning pepsico pep yum brand yum follow ken shreve twitter ibd_kshreve facebook
1,CME,regular reader column know selling stock even juicy dividend be best defense bad market yet normal dividend hungry investor want hold long haul frame mind be perfectly fine so long general health stock be solid so solid
2,CME,stock index withered thursday federal reserve decide keep interest rate unchanged nasdaq be almost minute announcement rally more soon reversed close gain reversed loss ibd advanced volume rise board be
3,CME,major average rise session high wednesday afternoon lackluster start rise dow jone industrial average add nasdaq gain nyse nasdaq volume level be tracking higher tuesday level more so nyse stock market today
4,CME,general electric ge chevron cvx exxon mobil xom outperformed dow
5,CME,latter be help higher oil price crude oil future jump barrel earlier today energy information administration say crude supply fall barrel last week tuesday american petroleum institute say supply fall barrel
6,CME,biotechs homebuilder be weak even builder confidence reach highest level nearly decade accord national association home builder well fargo housing market index stock such lgi home lgih horton dhi lennar len be not show sell signal
7,CME,day mover fitbit fit jump day pacific crest start coverage firm overweight rating price target
8,CME,molson coor brewing tap be top percentage gainer rise nearly news anheuser busch inbev bud have approach list sabmiller takeover
9,CME,fed decision interest rate be due thursday afternoon delicate global outlook increase number economist expect rate hike future trader be still skeptical accord cme group fedwatch future trader put odd rate hike major average rise session high wednesday afternoon lackluster start rise dow jone industrial average add nasdaq gain nyse nasdaq volume level be tracking higher tuesday level more so nyse stock market today general electric ge chevron cvx exxon mobil xom outperformed dow latter be help higher oil price crude oil future jump barrel earlier today energy information administration say crude supply fall barrel last week tuesday american petroleum institute say supply fall barrel biotechs homebuilder be weak even builder confidence reach highest level nearly decade accord national association home builder well fargo housing market index stock such lgi home lgih horton dhi lennar len be not show sell signal day mover fitbit fit jump day pacific crest start coverage firm overweight rating price target molson coor brewing tap be top percentage gainer rise nearly news anheuser busch inbev bud have approach list sabmiller takeover fed decision interest rate be due thursday afternoon delicate global outlook increase number economist expect rate hike future trader be still skeptical accord cme group fedwatch future trader put odd rate hike
10,CME,major average be session high late afternoon trading tuesday bull regain control least day dow jone industrial average add fuel strong performance procter gamble pg merck mrk rise nasdaq gain volume nyse nasdaq be tracking slightly higher monday level stock market today
11,CME,economic news retail sale take pause august empire state manufacturing survey miss expectation mile come well consensus estimate industrial production fall little consensus estimate
12,CME,soft datum fuel least speculation fed leave rate unchanged meeting conclude thursday money flow bond lift yield year treasury note basis point committee member believe rate hike be warrant other aren so sure accord cme group fedwatch odd rate hike be
13,CME,day gainer pra health science prah rise nearly craft new base close quickly buy point
14,CME,meanwhile ibd dish plenty winner early tuesday paycom software payc jump nearly still buy range buy point paycom have be more resilient growth name market recently
15,CME,nasdaq winner include google googl priceline pcln technology avgo gain more google have be consolidate july recently find support week move average priceline be hold high still buy range cup handle buy point be back week move average work right side possible new base
16,CME,new york mercantile exchange crude oil future rise barrel major average be session high late afternoon trading tuesday bull regain control least day dow jone industrial average add fuel strong performance procter gamble pg merck mrk rise nasdaq gain volume nyse nasdaq be tracking slightly higher monday level stock market today economic news retail sale take pause august empire state manufacturing survey miss expectation mile come well consensus estimate industrial production fall little consensus estimate soft datum fuel least speculation fed leave rate unchanged meeting conclude thursday money flow bond lift yield year treasury note basis point committee member believe rate hike be warrant other aren so sure accord cme group fedwatch odd rate hike be day gainer pra health science prah rise nearly craft new base close quickly buy point meanwhile ibd dish plenty winner early tuesday paycom software payc jump nearly still buy range buy point paycom have be more resilient growth name market recently nasdaq winner include google googl priceline pcln technology avgo gain more google have be consolidate july recently find support week move average priceline be hold high still buy range cup handle buy point be back week move average work right side possible new base new york mercantile exchange crude oil future rise barrel
17,CME,major average show modest decline monday afternoon quiet low volume session dow jone industrial average nasdaq fall nyse nasdaq volume be tracking lower friday level stock market today light volume be partly due start rosh hashanah jewish new year sundown sunday week highly anticipate day meeting federal reserve interest rate policy conclude thursday accord cme group fedwatch market be putt odd rate hike day mover share apple aapl fall session high still rise company say new iphone model be track surpass last year record first weekend sale unit new iphone go sale related news industry tracker idc say wearable device shipment be expect nearly triple year unit shipment basic smart wearable include fitbit fit fitness band apple watch reach unit chip stock also outperformed nasdaq xilinx xlnx picked goldman sachs upgrade stock buy neutral lift price target reclaim week move average last week ibd name technology avgo extend gain rise be ibd sector leader meanwhile couple top perform small cap tie housing market continue move higher topbuild bld builder firstsource bldr track ibd build construction product miscellaneous group rise group peer acuity brand ayi be member leaderboard investor com yahoo yhoo slump high profile executive left company kathy savitt oversaw yahoo digital medium product be move hollywood studio stx entertainment earlier month chief accounting officer aman kothari announce plan leave company
18,CME,stock show hesitation wednesday previous session strong price gain nasdaq slip dow jone industrial average ease respectively volume stock market today drop vs tuesday already average pace
19,CME,blue chip be mostly only handful stock dow rise tiny step downside chevron cvx carved slow turnover west texas intermediate crude oil fall chevron integrate oil company have rebound late august low remain july high
20,CME,integrate oil company be involved many facet business exploration production refine distribution late june crude oil begin fast price slide price oil be now explorer integrate refiner
21,CME,ibd list best stock fundamental technical mortgage software provider ellie mae elli take hardest hit drop more volume be average
22,CME,housing related stock get bad news november pending home sale drop unexpectedly
23,CME,however homebuilder horton dhi leaderboard stock shrug news horton be penny tepid volume stock show hesitation wednesday previous session strong price gain nasdaq slip dow jone industrial average ease respectively volume stock market today drop vs tuesday already average pace blue chip be mostly only handful stock dow rise tiny step downside chevron cvx carved slow turnover west texas intermediate crude oil fall chevron integrate oil company have rebound late august low remain july high integrate oil company be involved many facet business exploration production refine distribution late june crude oil begin fast price slide price oil be now explorer integrate refiner ibd list best stock fundamental technical mortgage software provider ellie mae elli take hardest hit drop more volume be average housing related stock get bad news november pending home sale drop unexpectedly however homebuilder horton dhi leaderboard stock shrug news horton be penny tepid volume
24,CME,tuesday column discuss value weekly chart analyze long term health dividend play be stock find buyer prior level upside resistance have stock fared weekly close basis do see potential new base form want more tool help check rs rating tool apply income stock just do high adrenaline growth play dividend stock have relative price strength rating higher mean stock be top fifth market term month relative performance know help keep conviction necessary hold ibd dividend leader screen quarter name show rs rating higher include hasbro have rs conagra food cag rs coca cola enterprise cce home depot hd altrium mo cme cme also worthwhile compare stock rs rating industry peer ibd stock checkup do instantly home depot rank fourth stock retail wholesale build product industry group strong show analyze move average stock week week move average be rise positive mean mid long term price trend be last week many stock punctured support line hasbro fall week line briefly coca cola enterprise bounce week average reveal exceptional strength week pass see hasbro reclaim week line prolong stay line signal weakness uptrend downtrend be best checked weekly chart do see pattern higher high higher lows least several month cme have do so april last week brief plunge
25,CME,straight distribution day bull be hope break monday get avoid distribution day thank lower volume seller be still market weigh weakness china europe fall day move average last week give
26,CME,company be raise dividend certainly have shareholder mind so company today have be raise fastest past year
27,CME,ibd scour dividend leader screen see partial list page find firm be show least double digit growth cash payout make cut average long term increase be
28,CME,imagine own stock not only have excellent earning stability be critical dividend sound fundamental also have potential decent capital appreciation bigger dividend income investor best world
29,CME,novartis nvs head list ibd calculate swiss ethical drug giant have grow dividend past year annualize dividend be share equivalent yield beat yield
30,CME,novartis also boast year earning stability factor scale highly stable highly volatile
31,CME,novartis earn share revenue flat vs year
32,CME,well fargo wfc rank second ibd dividend leader dividend growth rate annualize cash dividend be share yielding
