,ticker,content
0,COL,unite technology utx takeover avionic maker rockwell collin col look set eu approval largest deal aerospace history clear key regulatory hurdle source reportedly close matter tell reuter give pratt whitney parent unite technology more leverage resist pressure like boee ba airbus eadsy bombardier bdrbf seek price cut unite tech expect close deal year pending regulatory approval world get newsletter deliver inbox more info product service privacy policy term useunited technology share fall stock market today rockwell collin lose last year boee voiced skepticism unite tech rockwell collin deal boee now support merger unite tech rockwell have sign boee partner success supplier cost cut initiative boee unite technology be dow jone component component rockwell collin history go away back arthur collin founder collin radio company cedar rapid iowa company be buy rockwell international fall financial difficulty manufacturing conglomerate spun avionic division create current rockwell collin aerospace giant boee have previously voiced concern consolidation industry plane maker european rival airbus expressed unease honeywell hon plan buy unite technology also be interested boee now back unite tech rockwell deal supplier join cost plan boee help force rival airbus cut production jet defense aerospace stock watch industry newswill defense contractor start bidding war
1,COL,boee ba reportedly end opposition unite technology utx rockwell collin col merger xlast year boee voiced skepticism unite tech agreement buy rockwell collin unite tech expect close deal year pending regulatory approval boee now support merger unite tech rockwell have sign boee partner success supplier cost cut initiative accord wall street journal time record industry production be critically important have business arrangement supplier drive increase focus meeting cost schedule quality commitment boee customer boee reportedly say boee share close stock market today unite tech fall rockwell collin add get newsletter deliver inbox more info product service privacy policy term isn first time boee have be consolidation industry plane maker european rival airbus eadsy voiced concern honeywell hon plan buy unite tech journal report be interested defense aerospace stock watch industry newswill defense contractor start bidding war
2,COL,unite technology utx push back activist investor say split underperform industrial conglomerate release billion shareholder value quarterly investor letter friday third point ceo dan loeb argue breaking unite tech business unit elevator climate control aerospace hedge fund see such move reverse year realize full potential company franchise asset fix problem advanced gear turbofan jet engine unite technology pratt whitney unit letter speak new significant stake industrial giant have already be report march unite technology counter statement disagree several assertion third point letter specify add full portfolio review be complete year pending acquisition rockwell collin col close ceo greg haye have say be mull breakup core business get newsletter deliver inbox more info product service privacy policy term usestill third point letter make note unite tech weak operate performance add way split unlock excess value net separation cost third point add utc fit pattern many underperform conglomerate value be diminish ill effect size fit approach corporate strategy incentive compensation capital allocation history poor management lead most recently botch ramp next generation gear turbofan gtf engine say wall street analyst expect gtf be profit driver problem jet engine lead ground flight tension aircraft maker airbus eadsy meanwhile rival jet engine maker general electric ge report delivery next gen leap be schedule ge unit make boee ba jet engine blow apart midair april analyst have argue struggle general electric break ge have divest nbcuniversal most ge capital past several year meanwhile dowdupont dwdp recent union dow chemical dupont aim split more focuse company unite technology ge dowdupont be dow jone component be boee share unite technology pop stock market today hit month low thursday ge rise back day line still long term lows rockwell collin advanced airbus add boee gain be interested general electric break break ge stock ge dividend look safer good news stock top key levelge engine spotlight southwest ntsb probe fatal flight
3,COL,be unite technology utx more valuable property together be utc better separate business question largest industrial conglomerate answer be come soon chief executive say wednesday unite tech megadeal rockwell collin col last year be see prelude potential breakup industrial giant year road investor digest hefty price hope ceo greg haye separate aerospace focuse unit part company make carrier air conditioner otis elevator wednesday morning haye signale open possibility unite tech disparate business result great benefit recently enact tax reform end year come back have answer term really think do portfolio long term tell audience barclay industrial select conference miami florida real question be do get significant multiple expansion have separate company vs conglomerate structure add describe aerospace business enjoy significant scale elevator business climate control system business haye expect rockwell collin acquisition close june july add earning next year trump corporate tax cut unite tech be able pay rockwell debt much more quickly have anticipate even month give option portfolio explain company have cash overseas expect repatriate year more have expect share connecticut base unite technology punch rally stock market today dow jone component sit late january high find resistance day line wednesday have gain past year vs gain dow jone industrial average whole dow peer general electric ge be mull breakup own retreat wednesday ge share have lose more half value past year company mull sale industrial gas engine business selling overseas part iconic light unit try remedy sharp decline profit mmm fall track top stock market trend free ibd breakup question many multus industry company come investor have grow disenchant conglomerate structure part disenchantment stem concern hope synergy component business have fail materialize september haye have describe talk corporate breakup premature tell new york time unite technology need revenue combine operation business pay debt tie rockwell collin deal haye point wednesday various business conglomerate benefit share back office service such payroll centralize tax system be imagine significant dissynergy splitting portfolio well time cost add haye also affirm miami event unite tech have resume production gear turbofan engine expect have wring most teethe issue end year be interested general electric break break ge stock stock market forecast read prediction top stock invest stock market start simple routine
4,COL,pentagon air force be cancele airborne command surveillance aircraft budget document show monday plan retire newer bomber keep cold war era boee ba fly joint surveillance target attack radar system be not funded presidential budget day defense news report air force be cancele jstar program favor link system together perform same task get be survivable be key recap current jstar have aircraft do do now air force deputy assistant secretary budget maj gen john pletcher tell reporter probably able do less ll be more competitive contest environment boee lockheed martin lmt northrop grumman noc be lead team bid new aircraft program replace current fleet northrop service be unsure new family platform look pletcher say include putt current sensor drone mq reaper other asset space ground cancellation jstar recap wasn surprise air force have be critical platform last fall november air force secretary heather wilson say current system large plane radar system belly meet less combatant commander requirement jstar replacement also envision large plane meet less requirement current threat come defense secretary james mattis say september have talk air force chief staff new way perform key airborne command control mission boee understand air force have many compete priority address budget boee say statement look forward work air force define path forward boee dow jone component rise stock market today lockheed advanced northrop grumman gain company have relative strength line record high signale strong performance vs index be still chance program go forward congress push back decision final budget ibd take stock market correction be not time start make new buy rather step away completely more important ever investor stay step market latest market analysis be sure read big picture air force be get more plane budget request lockheed boee super hornet boee kc tanker service also announce begin retire rockwell collin col northrop bomber fleet once northrop start delivery secretive be mid part decision present fy president budget air force update bomber fleet fund development replacement engine wilson say statement also continue necessary modification keep relevant come line decision keep older not newer be due maintenance total cost mission capability accord air force statement overall presidential budget defense spending plan also give troop pay raise add service member rank be interested defense aerospace stock watch industry newsthese defense contractor stand stock market correction
5,COL,industrial giant general electric ge miss quarterly forecast early wednesday backed strong earning guidance fellow dow component unite technology utx beat view guide earning consensus investor initially cheer ge news then chief financial officer tell analyst conference call regulator be investigate recently announce insurance charge chief executive say company intend make further change portfolio continue exist be ge future look different do today ceo john flannery say call comment follow report mid january ge be open big breakup estimate fourth quarter earning tumble cent share revenue dip accord zack investment research last week ge say take charge legacy reinsurance business result ep cent exclude insurance loss tax cut other industrial portfolio action revenue total organic equipment order fall organic service order also drop backlog grow vs overall top line be weak segment ge have say plan focus power aviation healthcare top expectation power revenue fall aviation revenue be flat healthcare revenue rise meanwhile oil gas revenue jump renewable energy revenue rise transportation revenue sank light revenue fall outlook full year ep be still see largely consensus stock share be stock market today rise much earlier session premarket trading recent month trouble boston base company have cut guidance halved dividend vow slim complex structure portfolio other cloud have hung ge include major challenge energy power finance unit trump tax cut cut long term debt rating ge have say plan shed asset concentrate core industrial business have also acknowledge breakup separate public company also be necessary ibd take investing income alone be risky learn buy best dividend stock combine high dividend yield earning growth solid share price trend estimate ep flat vs year revenue result ep exclude charge cent share related tax cut revenue otis revenue grow climate control security revenue climb pratt whitney revenue increase aerospace system sale grow outlook exclude rockwell collin col acquisition full year ep midpoint consensus view total sale midpoint consensus stock share be set new record intraday high stock have advanced december past cup handle entry jan unite tech compete fellow industrial conglomerate ge jet engine pratt whitney division make gear turbofan engine style rival ge leap slew initial hurdle gtf be poise change drag earning profit driver unite tech pending rockwell collin deal also broaden aerospace portfolio include avionic cabin interior company other business make otis elevator carrier air conditioner spinoff unlock value fellow diversify manufacturer honeywell hon report friday be interested general electric break break ge stock stock market forecast read prediction top stock invest stock market start simple routine
6,COL,heico hei have relative strength rs rating upgrade thursday look best stock buy watch keep close eye relative price strength exclusive rating investor business daily identify price performance worst best score rating show stock price behavior last week compare other stock database year market history reveal market biggest winner often have rs rating north begin biggest climb look winning stock try simple routineheico be now consider extend buy range clear buy point first stage flat base see stock form new pattern follow buy opportunity week tight pullback day week line take look top bottom line number company have post rise ep growth last report sale growth have also increase same time frame company earn rank peer aerospace defense industry group heico heia rockwell collin col be also group highest rate stock related defense aerospace stock watch industry newswhich stock be show improve technical action use ibd relative strength rating relative strength line help judge stock
7,COL,thursday kratos defense security solution ktos clear noteworthy performance benchmark relative strength rs rating rise percentile improvement day re research best stock buy watch be sure pay attention relative price strength ibd unique rating identify share price movement worst best score rating show stock price performance trail week stack other stock database year market history reveal market biggest winner tend have rs rating least early stage move see ibd help make more money stockskratos defense security solution be work consolidation buy point see stock clear price heavy trading keep mind later stage consolidation entail more risk earning growth picked last quarter revenue gain fall company earn rank peer aerospace defense industry group heico hei heico heia rockwell collin col be top highly rate stock group related defense aerospace stock watch industry newswhich stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
8,COL,american public first sign space warfare be be wage win be giant explosion light sky wing fighter crash ground instead everyday convenience take grant be disrupt such atms stream video world most powerful military be cripple enemy destroy disabled critical space infrastructure part space war navigation guide missile missile warning alert rely gps satellite critical intelligence come spy satellite drone navy ship infantry grunt use communication satellite disruption mundane comfort increasingly rely satellite communication eventually grind daily life halt entire global economy way life be enabled space capability say col shawn fairhurst deputy director air force space command success american company spacex new space race be more vulnerable ever war space russia china be ramp offensive potential effect space warfare worldwide commerce hurt adversary alike military unmatched global footprint forward deploy posture mean be especially dependent space base asset ibd take new space age be dawn billionaire elon musk amazon jeff bezos look explore deeper final frontier make space exploration commercial development more affordable so be once key enabler dominance famously display first gulf war precision weapon space base imaging left world awe strike be become channel adversary exploit gain upper hand russia china be build capability challenge unite state america challenge ally change balance power world gen john hyten head strategic command say reagan national defense forum december allow happen feb susan gordon principal deputy director national intelligence warn china russia have laser weapon design damage space base sensor day later air force chief staff gen david goldfein predict only be matter year space warfare be wage sign free ibd newsletter market prep tech reportamid grow alarm war space pentagon plan pour more money space capability company boee ba northrop grumman noc lockheed martin lmt raytheon rtn make rocket satellite other space asset be poise receive dollar space be once see sanctuary military activity even serve stage cold war brag right outer space treaty enact outlaw use nuclear weapon space prohibit testing weapon build military basis moon other celestial body then satellite have envelop planet international space station have be maintain sign global scientific cooperation china russia have make secret space warfare ambition have satellite weapon ready combat next few year accord latest threat assessment report intelligence community release feb threat have be grow year china shock world fire ground base missile destroy old weather satellite be widely see test satellite system last month intelligence report say china have be training such ground base satellite missile russia be develop similar technology blow satellite carry risk attacker create massive debris field perhaps piece put own satellite jeopardy too intelligence report note less blunt method such russia experiment satellite now orbit satellite have official mission inspection refueling repair be turn weapon stop short destroy target china have satellite extendable robotic arm say be used collect space junk likely also be used cripple work satellite russia reportedly have highly maneuverable satellite secretly launch orbit be used bump other satellite isn helpless have potentially dual use technology be give offensive mission too satellite dock exist satellite refuel be turn weapon order bump enemy satellite orbit equip jammer laser say theresa hitchen senior research associate university center international security study china have be work similar technology northrop also provide jamming capability warn only very small amount defense satellite communication be secure protected intercept jamming threat company decline provide additional information jamming other defense capability military commercial satellite active defense make individual satellite less appeal target war space way be build large satellite used many nation so attack be see aggression potential coalition way be develop more maneuverable satellite avoid collision other satellite missile space debris military be also look deploy greater quantity smaller satellite spread capability instead current model build large satellite make juicy target accord hyten employ ground base jammer be only effective target satellite be range laser also be used temporarily blind permanently disable satellite technology isn mature enough yet be effective large satellite bottom line be have much more lose space combat adversary do don have good option fight back be asymmetrical situation potential adversary aren reliant space system hitchen say not tit tat thing be nuclear weapon policymaker be aware threat be work address national defense strategy release january emphasize need prioritize investment resilience reconstitution operation assure space capability attack critical defense government economic infrastructure be anticipate fiscal budget request air force be seek increase space funding second straight year significant increase space portfolio budget focus build more jam resistant gps satellite improve system missile warning situational awareness space perhaps just important more funding hardware be figure kind response attack merit establish norm space warfare be difficult prevent attack spiraling control example china use satellite missile warning shot tell back escalate situation hitchen say result be exact opposite see move sign aggression attack missile launch site escalate situation attack chinese homeland wrinkle be fast grow commercial space industry spacex show deliver large military spy satellite new falcon heavy rocket spacex boee oneweb be numerous company plan launch thousand satellite low earth orbit come year new constellation enter space provide space base internet service well surveillance tracking such capability be useful company want keep tab shipping fleet theory help military too commercial system be be deliberately used provide military capability time war legitimate target hitchen say so happen china russia use space asset commercial satellite be act war be policy issue be be actively discuss say stephen flanagan senior political analyst rand corp outer space be vacuum fight win happen vacuum fairhurst say war win likely start space instead war start ground sea extend space so option range economic sanction proportional response different domain air ground base attack aren lock answer fairhurst say bottom line be nation have right defend attack just be attack space doesn mean have respond space be interested boee apple build parallel internet spacespace industry news top aerospace stocksdefense aerospace stock watch industry newsin space race here spacex not come first
9,COL,general electric ge be lean breakup decision expect soon spring source tell cnbc tuesday report follow announcement industrial giant earlier day take charge legacy reinsurance business well comment ceo john flannery charge result past several year only further belief need continue move purpose reshape ge be look aggressively best structure structure portfolio maximize potential business say conference call accord bloomberg review result many many different permutation include separately trade asset really unit make sense ge have already announce plan shed asset narrow scope just business aviation power system health care together account majority ge industrial revenue profit plan be widely pan be unveil november fail halt stock free fall be worsen ge halve dividend conserve capital ge share be stock market today fall back day move average week rally siemens siegy honeywell hon have also take step slim recently be respectively unite technology utx be acquire rockwell collin col lose ibd take dow giant just hit buy zone outlook long current confirm uptrend equivalent green light stay place lead stock breaking buy point be more likely not have wind back here good place start look stock be poise move higher ge also announce tuesday ge capital unit expect make statutory reserve contribution fill shortfall insurance portfolio year contribute first quarter roughly follow year fund ge capital suspend dividend ge foreseeable future ge say review reserve testing conduct help outside expert be tie long term care policy reinsure ge capital runoff insurance business north american life health move help restore ge capital ratio appropriate level add note unit play key role help finance ge portfolio industrial product time be move forward company charge magnitude legacy insurance portfolio runoff more decade be deeply disappointing flannery assume role chief executive august say deutsche bank research analyst john inch flag ge insurance risk jan note note ge spun genworth big player traditional long term care insurance company have struggle negative claim tie long term care portfolio least perhaps surprising many ge retain substantial long term care insurance policy be now expect cost company billion dollar write light ge cash crunch wonder ge insurance wo offer clue company be pursue divestiture rail prospectively baker hughe bhge unit potentially less optimal time cyclical perspective more be interested top tech stock be buy strong rs linesstock buy watch top ipos big small cap growth find best stock break
10,COL,general electric ge have be nudge major shareholder consider breakup industrial giant signale tuesday be option announce multibillion dollar hit legacy long term care insurance business activist investor nelson peltz trian fund management be push year old industrial giant explore possible sale spin out sprawl business include core health power segment new york post say late tuesday cite unnamed source trian founding partner ed garden also serve ge board reportedly have be meeting ge chief john flannery recently trian decline comment post be look aggressively best structure structure portfolio maximize potential business flannery say tuesday call analyst add separately trade asset really unit be option recently november ge have say keep key power aviation health care business even look exit several other trian have see stake dow stock drastically dwindle value first make hefty investment post suggest come behest former ceo jeff immelt trian buy ge share ge share dive stock market today surrender last gain ge hit intraday just year low dec ge industrial conglomerate peer siemens siegy honeywell hon be also slim portfolio be cent respectively fellow dow member unite technology utx be acquire rockwell collin col edge ibd take dow giant hit buy zone outlook long current confirm uptrend equivalent green light stay place lead stock breaking buy point be more likely not have wind back here good place start look stock be poise move higher trian deliver return lower most hedge fund peer post say attribute performance ge firm be see back exit immelt push deeper restructure garden voiced support flannery gain board seat late last year trian demand change company collaborate scene management turn trouble business ge do not respond ibd request comment post story more be interested chip gear stock rock upbeat earning reportsstock buy watch top ipos big small cap growth find best stock break
