,ticker,content
0,CVS,stock future be lower monday morning dow jone index nasdaq head start second quarter walmart wmt reportedly be talk humana hum president trump continue hammer amazon amzn make new threat scrap nafta trade agreement tesla tsla face more negative headline ahead model production figure meanwhile china begin implement tariff product be officially retaliation steel tariff come trump have announce plan penalty chinese good stock market enter correction last week index dow jone test day move average many lead tech stock suffer serious damage major average rebound dow jone surge more week nasdaq composite gain first quarter dow jone fall nasdaq advanced get newsletter deliver inbox more info product service privacy policy term usestock future point decline vs fair value index dow jone future be nasdaq future fall stock market today keep mind extend trading often doesn carry regular session stock future do not predict last tuesday sell stock future do point solid open thursday didn see magnitude regular session gain walmart be talk health insurer humana accord multiple report mean deepen exist partnership possibly takeover follow several other big health care deal include pending cvs health aetna takeover cigna purchase express script deal reflect part concern amazon move health care walmart humana have same logic cvs health aetna deal walmart have thousand pharmacy store deal humana direct more person pharmacy boost sale perhaps curb cost humana also have sizable pharmacy benefit manager operation much pharmacy giant cvs be also huge pbm walmart stock fall late thursday trading humana jump humana leap monday premarket walmart be not yet active react regular trading depend company confirm deny talk investor see takeover likely amazon tumble day line wednesday report trump want go commerce giant white house deny amazon move be way thursday trump twitter accuse amazon pay little taxe pay too low rate postal service amazon initially fall further close higher stock market rally strongly amazon hold day week line saturday trump continue amazon claim twitter also hammer washington post own amazon ceo jeff bezos be subject be report post office lose average package deliver amazon amount billion dollar fail time report size company lobbying staff have balloon donald trump realdonaldtrump march do not include fake washington post be used lobbyist so register increase parcel rate amazon shipping cost rise post office scam stop amazon pay real cost taxe now donald trump realdonaldtrump march amazon stock be early monday tesla confirm friday autopilot be engage recent model crash kill human driver national transportation safety board last week say be probe accident sunday ntsb say be unhappy tesla disclose detail crash late thursday tesla recall model vehicle possible flaw power steering also last week moody downgrade tesla heavy cash burn model production wo tesla release first quarter production delivery figure model model model week focus be model output have repeatedly miss company target have cut push back several time automaker once again race boost vehicle output delivery end quarter tesla encourage model model production worker volunteer help model highlight tesla hasn work ramp production steady sustainable way autopilot model wo be more glaring now tesla longer have such huge technological edge major automaker be rapidly introduce electric vehicle general motor gm alphabet googl unit waymo be plan roll robotaxi service tesla sister company spacex put old tesla roadster space tesla stock thursday rebound tumble week march share fall early monday stock be week lows really have not make much progress relative strength line track stock performance vs index have be lag last june rs line be lowest level start even tesla beat low ball model production estimate stock get nice pop win change stock overall laggard trend tesla ceo elon musk crack april fool day joke tweeting tesla be bankrupt tesla go bankrupt
1,CVS,palo alto california april intense effort raise money include last ditch mass sale easter egg be sad report tesla have go completely totally bankrupt so bankrupt believe elon musk elonmusk april be interested top stock make bullish move market reboundedcan make big stock profit small cash yes here be way here fang trade finally be dead big picture damage repair patience become keythese tech stock come fly color rough week
2,CVS,pfizer pfe president donald trump be play game chicken drug price increase number other pharmaceutical company follow suit face appear pfizer dow jone component acquiesce trump push drug price increase reality pfizer only say defer price hike president blueprint reform go effect end year be first height capital market analyst andrea harris say amount thinly veil threat pfizer trump drugmaker want trump put shut come hit middleman pharmacy benefit manager also know pbms pharmaceutical company offer rebate drug so patient don have pay high list price pbms act middleman drugmaker insurance company negotiate rebate customer include large employer medicare medicaid pbms express script esrx cvs health cvs unitedhealth unh be fire be question middleman pass much saving patient not do so keep drug price artificially high get newsletter deliver inbox more info product service privacy policy term use trump administration take pfizer threat more seriously pharmaceutical industry be take administration threat pressure department health human service issue new regulation reform current use pbm rebate ban say former be more likely harris say report client friday share pharmaceutical company be slightly biotech stock slip fraction stock market today enthusiasm follow news late tuesday pfizer back drug price increase be take effect july follow extensive discussion president trump trump have previously accuse pfizer other pharmaceutical company enact drug price increase reason goldman sachs analyst jami rubin call pfizer drug price increase july calculate risk do not succeed average company put forth average increase drug rubin say current political climate take chutzpah trump have call pharmaceutical company get away murder price drug trump claim blueprint force pharmaceutical company cut drug price analyst say still not clear blueprint decrease price height harris describe dozen question public comment vs actual policy most biopharma company have eliminate practice semiannual price increase only take increase begin year rubin say report client pfizer have be only company second increase year globally roche rhhby nordisk nvo take second price increase biotech company celgene celg go increase be blockbuster cancer drug revlimid pomalyst rbc capital market analyst brian abraham say report week even celgene hike remain line medical inflation rbc abraham goldman rubin expect pharmaceutical company self polouse come drug price increase guidance company be key second quarter think more realistic outcome pfizer news be company have be even more conservative next round price increase rubin say second round increase essentially become related make roar stock profit little cash yes here be trade stock most penny stock fail make investor richlook next nvidia start simple routine
3,CVS,here be investing action plan friday need know investor come day june job report often stock market mover take back seat big news day possibly first big shot china trade war trump tariff be set hit stroke midnight trump tariff do kick midnight eastern time add worth high tech chinese import beij be set immediately retaliate dollar dollar tariff auto agriculture stock have fall recent week trump trade war fear so unclear major average key sector react china tariff go effect not broader implication be huge tariff take effect then be outset technological cold war beij be turn back re table hold then wall street heave sigh relief know trump trade threat prove be mostly bark not bite get newsletter deliver inbox more info product service privacy policy term usechina right now be set slap further tariff build car suvs hit ford tesla tsla other germany daimler ddaif already warn profit alabama build suvs suffer chinese tariff agriculture include soybean indirectly hit deere thrive american farmer rake profit lead maker cree be company hit trump tariff trump administration turn request exemption cree cree warn tariff limit spending plan manufacturing expansion trump tariff hit semiconductor maker come next batch worth good target tariff still face final review likelihood rise markedly first round tariff take effect tariff multinational face other significant hurdle china beij make life difficult dow jone stock boee ba caterpillar cat apple aapl china have be hold qualcomm qcom takeover nxp semiconductor nxpi economist expect june employment report show add job last month unemployment rate hold labor department report be due et average hourly earning be big number watch expect annual wage growth tick match best pay gain costco cost boost start wage other wage cent hour effective june follow wage hike earlier year target tgt walmart wmt cvs health cvs kroger kr more rise wage growth offer more evidence historical link lower unemployment higher pay be still intact higher wage turn be expect fuel higher inflation upside surprise wage boost odd third fourth fed hike year long rise trade war fear don curb economic enthusiasm also trump tariff hit be lose china trade war big auto stock rev higher be trump tariff ploy work watch ibd list stock growth stock market today track market trend best stock watchchart read beginner most profitable chart pattern
4,CVS,walmart wmt be early talk humana hum possible takeover accord multiple report late thursday walmart humana deal push world largest retailer deep health care be midst major consolidation binge gain scope cut cost humana stock shot late trading initial wall street journal report reuter also confirm talk closer link even acquisition walmart slide walmart humana deal follow cvs health cvs aetna aet combination cigna ci buy express script esrx deal be effort match surpass unitedhealth unh well fend amazon amzn get newsletter deliver inbox more info product service privacy policy term usewalmart have thousand pharmacy namesake sam club store buy humana offer same potential benefit drugstore giant cvs acquire aetna drive drug prescription location walmart already have relationship humana humana member get many prescription walmart location humana be major medicare advantage insurer also own pharmacy benefit manager cvs also be pbm express script be pure play pbm amazon have hint enter pharmacy drug distribution business fashion commerce giant also recently team jpmorgan chase jpm berkshire hathaway brkb joint venture rein health care cost employee walmart enter health care field complicate effort compete amazon online sale grocery delivery other retail area be interested cigna buy express script even pharmacy benefit manager come firecvs re go deliver amazon jpmorgan berkshire seek doamazon health care disruption fear clash reality
5,CVS,walgreen boot alliance wba report better expect fiscal second quarter earning revenue wednesday drugstore rival cvs health cvs rite aid rad be midst big merger part wave health care consolidation walgreen also raise full year guidance walgreen earn share vs year earlier revenue grow analyst have expect drugstore chain earn sale accord zack investment research same store sale rise comparable pharmacy sale walgreen now see earning share include trump tax cut benefit be slightly higher cent upper end prior target analyst have expect full year ep share close higher stock market today hit just open stock be not far october year low relative strength line track stock performance vs index be just year low get newsletter deliver inbox more info product service privacy policy term aid be early walgreen spend year try buy rite aid settle purchasing nearly store left rite aid year agree takeover grocery giant albertson have be privately hold year go public result transaction cvs health december agree acquire health insurer aetna aet rally cvs health be drugstore operator also lead pharmacy benefit manager walgreen reportedly have be try take drug distributor abc talk have stall now walgreen already own meanwhile prescription have grow walgreen company december say take stake sinopharm hold guoda drugstore china investment intend expand international reach consolidation have health care industry recent year spur partly affordable care act well amazon amzn pact jpmorgan chase jpm warren buffett berkshire hathaway brkb lower health care cost employee cigna ci recently agree buy pharmacy benefit manager express script esrx threat amazon entry also have help spur more pressure gain size scope cvs walgreen also face competition big retailer walmart wmt target tgt be interested cigna buy express script latest sweeping health care dealstock rise relative price strength humanadrug distributor sink pricing opioid lawsuit concern
6,CVS,dow jone index nasdaq composite retreat volatile market trump trade war fear wax wane nike nke bank stock fuel friday rebound crude oil price hit multiyear high general electric ge kick dow jone announce partial breakup amazon com amzn move disrupt pharmacy shipping industry harley davidson hog say shift production europe due tariff anger president donald trump dow jone index nasdaq composite sell monday wednesday breaking testing key support level concern trump trade war move china investment fall week even gain thursday friday so far dow jone be have gain nasdaq treasury yield curve continue flatten signale concern fed rate hike road bank stock pressure week flatten yield curve rebound friday fed clear most raise dividend buyback energy stock rally crude price soar ge pop restructure plan nike sprint sale revival big stock buyback oil future jump more barrel highest level supply issue north america iran trump administration warn ally need stop import iranian crude november accord report meanwhile key oil sand facility canada be shut august crude stockpile fall barrel more expect gasoline supply rise barrel accord weekly energy information administration datum domestic production be flat last week barrel day general electric ge end century run dow jone industrial average say plan shrink even further industrial giant seek pare debt simplify spin ge healthcare divest majority stake oilfield service company baker hughe bhge prior smaller divestiture ge now focus aviation power renewable energy decision follow year long deep dive new ceo john flannery period ge stock crumble half analyst warn dividend cut second payout earning outlook be slice last year ge stock rebound fall multiyear lows get newsletter deliver inbox more info product service privacy policy term profit grow cent share revenue growth easily quash analyst view cent ep sale north america sale rise buck straight quarters year year decline world largest athletic apparel brand also announce share buyback program share nike leap friday hit new high harley davidson face double whammy past week first get hit tariff european union then get slam president trump wave white flag iconic motorcycle maker say eu tax retaliation trump steel aluminum tariff cost roughly year announce plan shift production europe overseas avoid hit harley take fire trump tweet analyst see risk harley davidson suffer long term reputation hit harley stock retreat amazon turn small fry disrupt major industry thursday deal buy online pharmacy pillpack revenue give amazon just toehold industry roil many health care stock new dow jone stock walgreen boot alliance wba tumble thursday cvs health cvs be buy insurer aetna aet partly anticipation amazon enter pharmacy space fall drug distributor mckesson mck fall amazon also say help entrepreneur launch local business deliver amazon package fleet vehicle plan help send share up fedex thursday federal reserve release second final round annual stress test clear most shareholder payout plan nation largest financial firm well fargo wfc rally friday buyback dividend plan jpmorgan chase jpm many other bank stock slash gain close lower fed restrict payout plan morgan stanley ms goldman sachs gs fail division embattled deutsche bank db fed say morgan goldman maintain capital distribution level paid recent year capital ratio fall fed minimum result time reduction due tax reform goldman morgan come close miss fed minimum key leverage ratio first round test past week ipos raise several ipos show double digit gain first day trading biotech new issue neuronetic stim rally debut tricida tcda rise largest ipo be bj wholesale club bj raise share rise first day furniture retailer lovesac love jump first day trading canadian marijuana producer canopy growth corp cgc report first quarterly earning list company canopy turn steeper loss year spend more investment ahead canada recreational legalization beer wine giant constellation brand stz have take stake canopy report fiscal earning share miss estimate sale roughly line share constellation tumble friday sonic earning rise cent share better consensus cent ep sale slide more expect decline nearly vs analyst view revenue fast food drive chain now project full year earning vs prior guidance narrower guidance imply consensus ep share retreat lennar len stock pop demolish earning estimate tuesday largest homebuilder fall back later week meanwhile kb home kbh rise friday builder score double beat late thursday carnival ccl share sank lowest level more year cruise line pare full year ep outlook norwegian cruise line nclh royal caribbean rcl share also drop carnival warn fuel cost exchange rate paychex payx retreat potential buy point quarterly earning meet revenue edge past estimate payroll hr service provider expect revenue grow fiscal ep rise fend exist new rival such cloud base paycom software payc walgreen boot alliance announce buyback quarterly dividend hike cent drugstore company also top earning view guide modestly higher same store sale fall share plunge lowest level year amazon deal buy pillpack akamai technology akam cut revenue guidance currency headwind raise ep outlook greater expect operate efficiency accenture acn deliver fiscal third quarter earning beat global service firm have be make acquisition push digital cloud cybersecurity product gw pharmaceutical gwph rise fda approve cannabis base drug epidiolex treat seizure disorder wwe wwe stock explode pin bigger expect deal st century fox fox comcast cmcsa broadcast show boee ba stock flash sell signal china firm commitment purchase jet european rival airbus eadsy ongoing trade tension boee go seesaw week remain maroon day move average get instant access more trading idea exclusive stock list ibd proprietary rating only also ibd stock daybest growth stock buy watch see update ibd stock invest stock market start simple routine
7,CVS,stock future buzz tightly mixed action wednesday court ruling washington late tuesday electrify early trade time warner twx discovery communication disca st century fox fox express script esrx be just few name spun motion ruling gain loss telecom stock bracket tuesday late trade st century fox discovery communication lead nasdaq future index slip fractional decline comcast cmcsa take largest loss nasdaq stock block hrb fall furthest name dow jone future be fraction struggle heavy loss walt disney court decision nasdaq future rise fraction future be less time warner scale more follow ruling district judge allow move forward acquisition company decision cap month effort earn approval deal make top distributor pay tv see deal essential effort compete advertising dollar internet content provider lead facebook fb alphabet googl google department justice be reportedly consider filing appeal ruling trade comcast drop walt disney dip discovery communication have jolted higher late tuesday be inactive early wednesday st century fox surge fox end tuesday session top buy range buy point have initially clear ruling also send handful health care name higher pharmacy benefit manager express script scramble higher regulatory resistance deal lead investor grow wary cigna ci effort take express script cigna share be unchanged early wednesday tuesday ruling also ease investor concern cvs health cvs bid acquire aetna aet aetna rise cvs health climb late trade tuesday stock be inactive ahead wednesday open time warner ruling market return standard lay low typically strike ahead key federal reserve decision market be gear quarter point hike mark fed seventh increase view be split fed be likely hoist rate more time second half fed offer official policy announcement et fed chairman jerome powell press conference schedule et provide additional detail fed strategy play remainder year european central bank meet discuss rate policy possible wind monetary stimulus program thursday friday bank japan have monthly monetary policy meeting japan be expect maintain rate policy year government bond target yield block swoon more report fiscal fourth quarter sale earning comfortably analyst target full year revenue guidance be just consensus expectation however company say discount pricing affect top line performance stock have be climb right side month base pivotal software pvtl report tuesday close share jump more late trade be inactive early wednesday fiscal first quarter revenue blast past consensus expectation loss be less forecast san francisco base company also hoist ep revenue guidance estimate stock be extend clear ipo base june end tuesday april ipo share staffing service leader korn ferry kfy china bitauto hold bita be schedule report quarterly result wednesday morning korn ferry share be extend clear flat base march oil price be factor wednesday trade slip late tuesday follow weekly datum american petroleum institute europe brent crude benchmark be west texas intermediate dip hold barrel early wednesday datum release api show barrel draw oil inventory well consensus expectation barrel drawdown earlier tuesday news report say saudi arabia have boost production back barrel day have plan increase additional barrel june energy information administration release official oil inventory datum et wednesday related big be time warner ruling even stock be rallyingat time warner ruling set big medium stockstesla help nasdaq gain twitter lead growth stock shine
8,CVS,nasdaq composite rise record high fang stock rally slew hot tech ipos soar index be little change dow jone fall trump trade threat weakness many energy financial stock many retailer also fall rh rh canada goose goos etsy etsy soar federal reserve hike rate predict more close takeover time warner federal judge deal adobe system adbe pull back strong earning nasdaq composite advanced techs power ahead index be flat dow jone retreat medium stock health giant rally get court buy time warner many retail stock cool recent run rh rh dave buster play online art craft site etsy etsy soar result guidance fed policymaker see more hike raise rate wednesday federal judge time warner deal condition reject justice department argument merger hurt competition pay tv industry close merger friday landmark ruling boost share price medium firm cbs cbs lionsgate lgf discovery communication disca decision be expect open door more acquisition medium firm telecom giant deal also bode well big vertical health care merger include cvs health cvs buy aetna aet comcast cmsca expect launch takeover bid st century fox entertainment foxa offer cash rupert murdoch entertainment company premium walt disney offer disney november agree buy fox include stake broadcaster sky stock fox board be expect withdraw recommendation disney offer company be unlikely carve fox analyst say get newsletter deliver inbox more info product service privacy policy term video game conference spotlight major title come soon such leader activision blizzard atvi microsoft msft nintendo ntdoy sony sne esport be major topic year show tournament game such fortnite battle royale epic game super smash bro nintendo rise subscription service such electronic art ea origin access premier microsoft msft xbox game pass also be hot topic be future stream video game ea activision clear buy zone take interactive break fed hike key interest rate expect second time year somewhat surprisingly policymaker pencile more hike year chairman jerome powell declare economy be great shape expressed sense hawkish shift policy be risk retail sale rise best gain month back powell assessment spur wall street firm boost second quarter gdp growth projection more meanwhile core consumer price inflation picked year highest early further increase be likely adobe system adbe earn adjust share fiscal year year sale analyst expect digital medium marketing software firm earn adjust share sale current fiscal third quarter adobe guide modestly higher adobe share pull back friday big run last few year share etsy etsy soar thursday art craft online retailer raise revenue guidance announce new subscription package higher seller fee other initiative now see revenue growth prior guidance etsy raise transaction fee seller spend direct marketing last year etsy have active seller platform active buyer earning more double share smash estimate cent share kmg chemical kmg make chemical used chip solar panel consumer electronic also raise full year sale forecast share rocket week blast buy zone canada goose goos swung profit cent share loss cent share year revenue more double analyst expect loss cent sale outerwear company typically make money fall winter lose money warmer month canada goose see fiscal ep growth least revenue more canada goose stock soar friday rh rh furniture purveyor formerly know restoration hardware grow earning share fold vs view revenue dip surprising analyst expect enhance earning guidance strong outlook drive investor confidence share soar tuesday add rh history wild stock swing earning report arcade restaurant chain dave buster play top view ep grow revenue rise same store sale fall narrower decline expect dave buster be roll new virtual reality game tie new movie jurassic world fall kingdom analyst see game changer dave buster ceo steve king retire aug cfo brian jenkin succeed share shot tuesday definitively retake support day line reach month high report opec report rise production saudi arabia raise opec production outlook bpd april report grow shale production international energy agency warn economic turmoil venezuela renew sanction iran lead supply gap late next year opec make lose production president trump blast opec tweet high oil price energy information administration say domestic crude stockpile fall more expect production rise crude fall week barrel private equity giant kkr kkr set buy envision healthcare evhc share cash deal value hospital staffing company include assume debt usg corp usg agree be acquire germany knauf end month talk usg largest investor warren buffett lead berkshire hathaway brkb urge wallboard maker negotiate buffett have rescue usg housing market collapse call investment disappointing last year workday wday pay adaptive insight have be ipo help expand cloud offering business plan stryker syk say not talk fellow medical device company boston scientific bsx potential takeover dispute report have make takeover approach pivotal pvtl report first quarter public company top expectation send share company say lose cent share vs estimate cent loss revenue rise top view share surge astrazeneca azn eli lilly lly tuesday scrap phase study alzheimer disease treatment call lanabecestat drug appear unlikely work early alzheimer disease mild alzheimer dementia also ibd stock invest stock market start simple routinestock buy watch top ipos big small cap growth stock
9,CVS,investor be run exit anticipation federal action drug company blame opioid crisis drug distributor include cardinal health cah abc mckesson mck extend loss second day president donald trump pledge lower drug price very substantially not so distant future say justice department be consider major federal litigation company involved crisis trump threaten get tough drug dealer include used death penalty certain case speaking yesterday new hampshire state hardest hit opioid addiction justice department decide early april join local government sue maker opioid painkiller endo international endp share plunge much tuesday be be investigate various state opioid distributor be investigate include cardinal health mckesson much be unclear possible suit distributor however stock clearly seem be trend hyper sensitively evercore analyst ross muken cover drug distributor write note be possible be party proceed join file lawsuit base trump also reiterate promise lower drug price health human service secretary alex azar say agency be roll proposal month plan aim seek discount drug middleman include pharmacy benefit manager such express script esrx cvs health cvs caremark unitedhealth unh optumrx be interested biotech flirt battle opioid makerswal mart offer pill disposal product curb opioid abuseopioid crisis be time larger thought report say
