,ticker,content
0,CVX,xstock trade mixed wednesday apparently unaffected surprising reshuffle saudi arabia succession plan country king replace nephew son heir throne wednesday action come late sell tuesday send general market fall record high tech heavy nasdaq lead major market index rise edge slightly higher dow jone industrial average turn negative dow industrial nike nke set pace advance merck mrk follow rise downside chevron cvx fall be downgrade neutral macquarie crude oil price have fall bear market status high boee ba fall cowen raise price target airplane maker intel intc decline software company surge almost news report company go private merger deal bmc software private company other advancer include advanced micro device amd carmax kmx rise respectively downside retailer foot locker fl decline energy firm continue recent slide helmerich payne hp chesapeake energy chk fall respectively earning front red hat rht jump beating fiscal earning sale target late tuesday stock have be testing week line recent trading session extend buy point computer software company adobe system adbe trade higher exceed street estimate fiscal lead stock stock market today paypal pypl rally receive upgrade pacific crest security analyst raise stock overweight sector weight ibd recent ipo floor decor fnd look extend day winning streak rise share hover ipo base buy point other top performer include regeneron pharmaceutical regn paycom software payc regeneron rise gruhub moved downside regional bank east west bancorp ewbc fall china stock new oriental education edu decline transunion tru fall related earning calendar analyst estimate stock watchboeing adobe red hat price target hike chevron downgradeddow jone industrial average dow stock news analysisadobe crush wall street estimate guide higher
1,CVX,stock market close mainly higher wednesday dow jone industrial average be flat buy be concentrated technology stock nasdaq lead increase thank strength technology stock composite however be unable close back day move average rise less dow be fraction lower small cap lag russell be lose close bell volume rise be foregone conclusion follow monday half session stock market higher close nasdaq breadth be negative loser lead winner ratio nyse nasdaq dow component intel intc lead industrial gain more chipmaker be just touch bottom new base sit new high intel underscored solid day chip stock thank combination strongest monthly chip report year other positive chatter semiconductor maker chip equipment firm chip designer be top industry group wednesday trading software biotech also be industry group help nasdaq outperform chevron cvx exxon mobil xom be dow weakest member energy sector tumble broadly crude oil fall more wipe day gain auto sector also lag auto part automaker ranking low performance table tesla tsla skid more heavy volume goldman sachs make bearish comment electric car manufacturer tesla close day move average first time break base april few brokerage make new high wednesday most notably trade financial etfc clear buy point saucer base volume be flat not surprising find institutional investor hesitate buy market direction remain uncertain trade sharply improve quarterly result last year now earning be softening again ep growth have drop past quarters analyst expect decline current quarter full year consensus estimate be rise ep increase transportadora gas del tgs break past buy point undefined base heavy volume thinly trade stock be several argentina base stock have be act well month transportadora gas be largest natural gas production company argentina have most extensive gas pipeline system latin america bounce back loss profit last year cent share be expect grow earning year related chip stock jump industry see strongest growth online broker be buy zone right nowstock broker schwab td ameritrade trade form basis fight price warscrude suffer worst loss month russia say
2,CVX,banking oil stock help fuel light gain key index monday nasdaq get weigh broad decline large mega cap techs dow jone industrial average gain more poor performance tech component intel intc microsoft msft strength name such jpmorgan chase jpm goldman sachs gs chevron cvx help offset slide tech land see daily chart jpmorgan have rise further past buy point shallow double bottom base stock have be featured past stock market today column summer break first stage bottom base pattern cent week cup handle form aug gain nasdaq composite sank nasdaq slide july holiday shorten session market be close tuesday independence day small cap do best monday hour trading session smallcap rally nearly russell add other market crude oil continue last week surprising rebound wti future jump barrel highest level june not surprisingly ibd industry group oil gas machinery oil field service drill international exploration production firm lead upside industry group shot higher intel have be struggle fall more june take day move average process then former leader tech bull market have fall week high see ibd stock checkup intel get lowly accumulation distribution rating meaning past week institution be likely net seller stock intel look poise solid rally jan share clear week cup handle base stock rise day volume jump average however intel rally last just day early february mega cap semiconductor play drop day line draw red see daily chart decline feb have not yet trigger golden sell rule be clear indication intel stock action be not behave way expect follow solid eventually intel trigger loss cut sell rule march share hit intraday low microsoft be less shape business software cloud compute xbox firm be just week peak be struggle retake day move average recent session notice daily chart however intel microsoft have big air cushion rise day line head head count microsoft prove have better growth intel former own ep rating earning past year have beaten publicly trade company ibd database have grow earning quarters row latter have slightly better ep rating yet have post ep increase just quarters microsoft be also expect increase earning share fy end june fy current year analyst consensus see intel earning rise share related bank stock be beating dividend yield basingstock market today apple do well second half latest investor corner learn chart pattern be equity market head
3,CVX,opec oil production rise last month output cut deal accord monthly report cartel tuesday oil price rise modestly share energy giant such exxon mobil xom chevron cvx change little opec production climb barrel increase libya nigeria iraq iraq output last month rise barrel day barrel day libya nigeria be exempt current production pact remove barrel oil day market iraq be still include deal baghdad argument be exempt cut need more fund fight islamic state last month opec top opec producer agree extend output cut deal march cartel production increase monday facto opec leader saudi arabia say cut shipment asia july barrel day accord reuter source source say shipment fall next month crude future fall morning trade close barrel third straight gain price fall extend trade american petroleum institute report crude inventory rise barrel analyst be expect continue decline exxon mobil finished essentially flat stock market today chevron tick higher exxon mobil chevron dow component be rebound sharp downturn bp bp share climb royal dutch shell rdsa gain bp royal dutch shell find support day line recently also monday energy information administration say monthly report see production major shale basin jump barrel day barrel day july biggest increase be expect permian basin barrel day increase related opec exit strategy ll figure later
4,CVX,crude future fall sharply wednesday higher stockpile other rich nation opec production deal dow jone industrial average component exxon mobil xom chevron cvx fall bp bp royal dutch shell rdsa also be testing support levelsx inventory jump barrel oecd country april meaning total be year average barrel higher opec production cut deal november accord international energy agency monthly report iea say stockpile seem be fall japan europe singapore be still rise china separate report energy information administration say crude stockpile fall barrel last week short barrel decrease analyst be expect gasoline inventory rise barrel report american petroleum institute last tuesday say oil stockpile rise barrel last week domestic oil production rise barrel day barrel eia also say wednesday crude future close barrel hit month low gasoline future sank lowest level late november share exxon mobil drop stock market today chevron lose dow close higher techs retreat follow fed hawkish policy statement exxon chevron find support day line royal dutch shell drop close just day line bp decline just day european oil major have be trading better exxon chevron recent month last month opec top nonproducer decide extend production cut remove barrel day market march effort push stockpile year average producer continental resource clr eog resource eog diamondback energy fang have continue pump reduce impact opec cut have market iea see supply rise barrel day year barrel day next year continental resource fall eog lose diamondback opec monthly report tuesday cartel production climb barrel increase libya nigeria iraq iraq output last month rise barrel day barrel day monday facto opec leader saudi arabia say cut shipment asia july barrel day accord reuter source source say shipment fall next month effort ease supply glut related opec exit strategy ll figure later
5,CVX,oil future fall sharply month low energy department report surprise jump crude stockpile energy information administration say stockpile jump barrel last week analyst expect barrel decline inventory gasoline inventory increase barrel late tuesday american petroleum institute industry group report barrel drop gasoline inventory rise barrel domestic production fall barrel day barrel day prior week crude plunge barrel brent tumble well barrel share exxon mobil xom fall stock market today chevron cvx be hit month low intraday exxon mobil chevron be member dow jone industrial average bp bp share slide royal dutch shell rdsa fall bp royal dutch shell have be form basis pull back recent day now testing day line monthly short term energy outlook tuesday eia say oil output average barrel day barrel day currently analyst believe production hit key mark year phil flynn senior market analyst price future group say earlier year production reach barrel day august eia also say see opec oil production average barrel day year barrel day grow tension qatar other opec member undermine opec deal facto opec leader saudi arabia unite arab emirate have cut diplomatic ty doha related oil war shale opec consumer
6,CVX,nasdaq reversed lower touch time friday semiconductor stock take heat financial outperformed again strong show thursday fuel news house pass bill seek undo dodd frank financial reform pass dow jone industrial average edge higher help strength chevron cvx pfizer pfe goldman sachs gs jpmorgan jpm also outperformed selling nasdaq weigh dow component apple aapl microsoft msft show loss nearly lose nasdaq composite slump distribution day be work nasdaq volume be tracking higher thursday level nvidia nvda reversed spectacular fashion hurt negative comment short seller citron research rise intraday share be afternoon trading nvidia be several growth name ibd hit hard other decliner include macom mtsi lumentum lite nasdaq chip name micron mu kla tencor klac apply material amat show loss financial remain bright spot california base east west bancorp ewbc extend gain rise share be nearly so far week still buy range buy point be low volume so far stock market today digital realty trust dlr real estate investment trust operate datum center announce plan buy smaller competitor dupont fabro technology dft share digital realty fall news seek support day move average dupont fabro jump nearly benchmark crude oil july delivery be recently trading barrel year treasury yield add basis point related red hot reit expand presence boom datum center marketalibaba score price target hike stock climb new high
7,CVX,index tracking etfs be lower board tuesday major stock market indicator cool chevron cvx exxon mobil xom weigh dow jone industrial average small cap be biggest loser ishare russell iwm spdr midcap mdy fall spdr spy powershare qqq trust qqq spdr dow jone industrial average dium be barely lower chevron exxon weigh blue chip respective loss west texas intermediate crude price slide barrel news report show increase production libya nigeria vaneck vector oil service oih drop month low spdr oil gas exploration production xop fall ishare energy iye energy select sector spdr fund xle unite state oil fund uso powershare db oil fund dbo unite state gasoline fund uga slip apiece gold play be slightly lower precious metal price dip ounce upside ishare nasdaq biotechnology ibb gain break past flat base entry still buy range homebuilder health care utility be also higher china be focus ahead msci decision include share mainland chinese stock global index ishare china large cap fxi be ishare msci china etf mchi ease hang seng index shanghai composite show modest loss related find happen stock market today
8,CVX,xstock trek lower tuesday give back only piece ground gain monday nasdaq take hardest hit fall drop dow jone industrial average drift preliminary datum show volume exchange come higher monday level west texas intermediate crude drop just barrel oil slough undercut low settle lowest point november move ve send oil related stock crowd lowest slot dow barely even register chevron cvx exxon mobil xom drop less oil stock post only day worst loss stock general electric ge be dow worst performer weak trade apple aapl tumble fang stock end lower price target increase netflix nflx medical drugmaker biotechs post strong session merck mrk pfizer pfe easily top dow industrial respectively ibd stock regeneron pharmaceutical regn alexion pharmaceutical alxn lead nasdaq biotechs drugmaker take day top gain nasdaq stock regeneron surge reach month high novartis nvs report rth macular degeneration drug have outperformed regeneron eylea head head clinical trial regeneron be clear month cup base novartis share rise tuesday alexion jump regulatory filing show ceo ludwig hanson make purchase company share worth ibd leaderboard stock floor decor fnd end higher back early high gain left share buy range buy point settle april ipo price retail be tuesday worst perform industry dd penney jcp drop ross store rost shed almost worst decline nasdaq stock several big name be schedule roll earning report close adobe system adbe fedex fdx red hat rht top list related biotechs be lead industry month highamazon get rating upgrade whole food buy be grubhub next
9,CVX,stock market open lower tuesday appear settle follow monday record breaking advance dow jone industrial average logged fresh record high monday tuesday moved blue chip index trade tech heavy nasdaq decline yesterday surge dow industrial mcdonald mcd pace advancer rise american express axp follow gain american express break flat base buy point downside dow component drop more early tuesday chevron cvx verizon communication vz exxon mobil xom general electric ge advanced micro device amd rise alexion pharmaceutical alxn moved homebuilder lennar len gap higher report earning sale beat street expectation other homebuilder follow suit pulte home phm toll bro tol rise downside chipotle grill cmg drop update outlook show higher operate cost automotive part retailer reilly automotive orly advance auto part aap decline apiece remain week lows energy name decline unison price crude oil drop transocean rig marathon oil mro fall more lead stock stock market today tesla tsla give back early gain still rise report release national safety transportation board find fault tesla automate pilot system involved highly publicize crash model driver be kill meanwhile fang member netflix nflx fall slightly have price target raise guggenheim security analyst have best idea rating video streamer other analyst action include upgrade graphic chipmaker nvidia nvda moved pacific crest security raise nvidia sector weight underweight action ibd show new issue floor decor fnd jump follow monday regeneron pharmaceutical regn rise downside china education stock new oriental education edu tal education tal decline more related lennar earning top view share eye buy pointnetflix price target hike nvidia upgrade nike pt lowereddow jone industrial average dow stock news stock news quote facebook amazon netflix google
