,ticker,content
0,DAL,relative strength rs rating delta air line dal moved higher percentile tuesday get lift look best stock buy watch factor watch closely be relative price strength exclusive rating investor business daily measure market leadership worst best score score show stock price movement trail week compare other stock database decade market research show top perform stock typically have rs rating north begin biggest run see delta air line continue show renew price strength hit benchmark look winning stock try simple routinedelta air line be try complete consolidation entry see stock break heavy volume earning share growth fall company most recently report quarter revenue grow prior report company earn rank peer transportation airline industry group skywest skyw ryanair ryaay allegiant travel algt be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also airline industry news stock watchibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
1,DAL,welcome move delta airline dal see relative strength rating improve monday look best stock buy watch keep close eye relative price strength ibd unique rs rating track technical performance used worst best score identify stock price action last week compare rest market decade market research reveal top perform stock tend have higher rs rating early stage move see delta airline continue rebound hit benchmark see ibd help make more money stocksdelta airline be try complete consolidation buy point see break heavy volume company bottom line growth decrease company most recently report quarter revenue rise previous report delta airline hold rank peer transportation airline industry group azul azul skywest skyw allegiant travel algt be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also airline industry news stock watchstock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
2,DAL,welcome move delta airline dal see relative strength rating rise wednesday look best stock buy watch factor watch closely be relative price strength exclusive rating investor business daily identify market leadership worst best score score show stock price behavior trail week compare other stock database year market history show best stock often have higher rs rating early stage move see delta airline continue rebound clear threshold see ibd help make more money stocksdelta airline be build cup handle buy point see break heavy trade top bottom line growth moved higher company most recent quarter earning be compare prior report revenue increase look next report apr company earn rank peer transportation airline industry group azul azul ryanair ryaay skywest skyw be top highly rate stock group related airline industry news stock watchstock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
3,DAL,here be investing action plan thursday need know investor come day delta air line del be report earning consumer price index be set be release meanwhile monthly global oil market report international energy agency be due delta air line airline report earning
4,DAL,delta air line dal continue show strong earning layer step offset higher fuel cost leave analyst wonder stock doesn reflect seem be go right airline xon conference call thursday delta executive be ask different version same question do get investor actually jpmorgan analyst jamie baker preface question note airline industry merger wave year past keep implode sense thing delta other be different time economy be roar say stock year date re trading multiple better industry be basically joke re essentially get credit ve accomplish so question be be still break here response other management stress be succeed counter swell fuel cost have gut airline stock year ceo ed bastian say margin expansion be important appeasing street company say plan trim fall flight schedule have set stage accomplish goal end year management also say continue shuffle flight schedule area pass fuel cost passenger more corporate travel revenue rise quarter president trump double complaint international trade bastian say carrier be not see sign rumore escalate trade war be hurt travel business otherwise delta air line thursday also hike dividend cent share share delta air line rise stock market today be still day average be week high american airline aal share sell wednesday rise thursday unite airline ual picked get newsletter deliver inbox more info product service privacy policy term useearlier morning delta air line slash full year earning share outlook cite expect increase fuel cost analyst expect earning share management expect total unit revenue growth midpoint range mark slight slowdown gain notch carrier ep rise zack estimate revenue come just forecast adjust fuel cost surge strong revenue momentum improve cost trajectory reduction bps underperform capacity fall schedule have position delta return margin expansion year end say bastian say statement call precisely delta rebalance flight schedule later year be also not completely clear carrier say be reduce capacity underperform market latin america region say face most difficulty quarter elsewhere international travel remain strong negotiation crumble term departure european union delta say business traffic be record level outlook corporate demand remain strong carrier say higher fuel cost have lead analyst wonder airline adjust flight schedule shore sale profit airline potentially deploy flight area more expensive fly pull back elsewhere smaller supply seat flight help airline raise fare american airline wednesday add worry carrier lower unit revenue outlook weaker domestic pricing power even strong travel demand higher oil price increasingly allow airline pass higher cost consumer analyst say american likely also adjust flight capacity growth plan higher fuel cost eat profit southwest luv last month cut own outlook full year capacity growth unit revenue important efficiency metric gauge airline revenue relate flight capacity have generally improve last year american announcement left analyst wonder competition southwest airline luv be blame american demand rely low fare other downplay american airline forecast say downbeat forecast be expect thursday call delta say domestic yield ability charge passenger more fly be weaker be flush consumer appetite travel experience help leisure travel management say delta also say be room improve corporate airfare trend company say corporate fare have moved internationally ask reporter point higher fare curtail demand bastian only say trend be still pretty good re not see anything other strong demand product say get instant access more trading idea exclusive stock list ibd proprietary rating only be interested top airline issue warning higher fuel price bitesouthwest abandon piece history dna permanentlys earning hot trump trade war guidance airline industry news stock watch
5,DAL,southwest luv tuesday report bump june traffic gauge seat filled slip question rise fuel cost trade war weigh airline stock ahead second quarter earning carrier aug also abandon something describe forever part history dna peanut cite risk passenger peanut allergy peanut forever be part southwest history dna southwest say statement however ensure best onboard experience everyone especially customer peanut related allergy ve make difficult decision discontinue serve peanut flight begin aug ultimate goal be create environment customer include peanut related allergy feel safe welcome southwest flight statement continue airline spokesperson tell ibd end peanut service be permanent southwest continue serve free pretzel wonderful portfolio free snack longer flight carrier say hope offering please customer be nostalgic sad see peanut go carrier join unite airline ual american airline aal not serve peanut flight unite warn be not possible prevent customer bring food item board contain major food allergen include peanut southwest edge stock market today still day line unite dip american lose delta air line dal report earning thursday rise southwest passenger traffic rise june capacity airline supply seat flight rise month load factor measure seat filled be month year airline report second quarter earning week ahead wall street be lookout way airline contain cost jet fuel price rise southwest already dial back full year flight capacity last month due higher jet fuel cost wake engine blowout flight april result death passenger southwest also cut outlook unit revenue company cite lower booking largely due reduce marketing effort be interested earning hot trump trade war guidance name boee trademark airbus rename seriesboeing have realign air travel route show howsouthwest roll cheap airfare deal here catchairline industry news stock watch
6,DAL,rise dollar rebound oil price improve tone china well nato summit brussel help bolster global trade thursday send stock steep early gain caterpillar cat boee ba bounce more lead dow software developer technology nail breakaway gap follow takeover bid chip giant broadcom avgo china stock number energy stock lodge potent rebound delta air line dal stir modest airline rally report solid performance second quarter dow jone industrial average skip nasdaq composite seize gain start bell hold advance broadcom brand lb suffer steep early decline early economic news be positive labor department consumer price index edge june economic have project growth hold steady level year year cpi be line expectation core cpi energy food rise vs year level just forecast steady growth rate first time unemployment claim drop sharply week end july labor department report be claim prior week well expectation new filing trade war fear stir tuesday white house expansion tariff schedule vs china ease somewhat overnight bloomberg report china propose discussion country have return bargaining table bloomberg economic forecast impact trade war remain manageable economy meanwhile china continue pledge retaliation expand tariff list get newsletter deliver inbox more info product service privacy policy term usechina market rebound central bank set dollar peg yuan lowest level month lend country export currency boost shanghai composite jump retake wednesday loss give index shot first weekly advance week hong kong hang seng index gain putt track first advance week japan tokyo nikkei pop bounce second week rebound support day move average europe market also bounce higher soft manufacturing datum ftse london scale cac paris advanced frankfurt dax be ahead afternoon trade delta air jump report increase second quarter earning view gain revenue rise narrowly top expectation company lower full year earning guidance project increase fuel cost delta share have be lag critical support level january high other airline climb delta good vibe american airline group aal unite continental ual logging gain enterprise software leader technology spiked open trade broadcom announce late wednesday pay cash acquire new york base company broadcom management say purchase be important build block company expansion become world lead infrastructure technology company gap moved marked breakaway gap past cup base buy point broadcom share dive open trade worst decline nasdaq index china base stock alibaba group baba leap baidu bidu vault higher jd com jd rise more open trade huya huya scramble ahead hunt third significant gain week share end wednesday week stock ipo price still june high downside bath body work victorium secret owner brand lb topple nearly lower columbus ohio base outfit report growth same store sale slow june gain president donald trump tone north atlantic treaty organization turn positive casual press conference brussel president man good cop bad cop negotiating strategy once again seem have have effect nato ally unanimously publicly agree increase portion alliance funding potentially relieve military cost burden trump backed away earlier threat exit alliance instead tout value organization continue criticize spending level germany energy relationship russia germany defense minister urge businessman donald trump look output not just balance sheet germany contribute nato annual budget second largest pay share paid oil price take modest bounce post wednesday worst single day loss march benchmark west texas intermediate gain early thursday remain barrel wednesday slide brent crude jump trading just brent crude collapse wednesday international energy agency warn thursday recent production increase saudi arabia other have eat global industry spare production capacity capacity represent industry safety cushion event unexpected outage decrease potential output mean global output easily be stretched limit accord iea monthly report iea say be prepared release reserve emergency stockpile necessary global energy body have only have release emergency reserve time accord wall street journal get instant access more trading idea exclusive stock list ibd proprietary rating only related dow future rally strongly watch top big picture key risk year current gainsdelta top view raise dividend soar fuel coststrump tariff be ll know china trade war be seriouscopper price keep sink not just china trade war
7,DAL,american airline aal wednesday cut second quarter unit revenue outlook weaker domestic pricing power airfare announcement appear surprise wall street dent airline stock leave analyst search reason rise fuel cost strong demand have give airline more leeway charge passenger more fly analyst wonder reason cut say most finger be be point competition southwest luv other say american less upbeat view unit revenue be unusual many airline have suggest worst fare discounting be american airline say expect second quarter unit revenue increase lower earlier outlook gain carrier say cut be due lower anticipate domestic yield yield measure much money airline get passenger book flight share american tumble close stock market today carrier stock have be lows not see election airline stock year have suffer due higher jet fuel cost president trump trade related provocation other airline stock retreat well delta air line dal report second quarter earning thursday slip unite airline ual lose southwest fall touch day line fuel cost rise investor prefer airline push fare cost higher solid demand environment higher fare usually translate higher unit revenue unit revenue gauge efficiently airline operate measure sale relation airline overall flight coverage environment higher fuel price account seem be very strong demand curious domestic yield be weaker expect stifel analyst joseph denardi say research note have theory concrete explanation seem most finger be be point american neighbor add refer southwest american wednesday also say lose pretax income result computer system problem psa airline regional airline carrier own force cancellation flight last month say cost fuel unit only be less bump expect earlier due partly lower expect maintenance cost trump administration tuesday say impose tariff extra chinese product tariff target worth chinese product take hold friday analyst worry full blow trade war force company cut spending spending pullback turn crimp corporate travel airline prepare report second quarter earning month wall street be focuse carrier counterbalance rise fuel price american ceo doug parker say last month customer face rise airfare cost higher fuel expense prompt carrier pull back flight offer however say such scenario be unlikely term southwest report june traffic result tuesday have already pare back full year flight capacity delta announce own decision many flight ultimately offer rest year report thursday rise jet fuel environment airline be raise price investor expect yield show improvement offset higher labor fuel cost cowen analyst helane becker say research note increase yield take time investor do not anticipate reduction mostly most airline have indicated lot deepest discount fare have left system say even american have benefit strong demand demand appear be product low fare jet fuel cost rise unit revenue flag american likely trim fall winter flight schedule well say demand remain solid need show overcome rise fuel cost higher fare say get instant access more trading idea exclusive stock list ibd proprietary rating only be interested earning hot trump trade war guidance delta air line make key decision next month fuel hit profittop airline issue warning higher fuel price biteairline industry news stock watch
8,DAL,delta air line dal release second quarter earning thursday wall street be brace response higher fuel cost international tension have converge airline stock profit year delta air line last month cut second quarter earning share outlook cite sharp rise jet fuel cost carrier month stick ep forecast compare zack forecast analyst expect revenue rise fuel cost labor be typically airline biggest expense delta first cut ep outlook june analyst have be wait see airline trim flight schedule otherwise rearrange recapture sale delta june say make decision handle flight capacity plan fall company say decision be make lens strong demand volatile fuel first course action be adjust fall winter schedule try raise fare strong market cowen analyst helane becker say research note last week concern fuel corporate leisure travel remain solid delta expect gain second quarter unit revenue airline sale relate scope flight coverage delta unit revenue outlook be important investor continue worry industry ability raise ticket price cover rise jet fuel price becker say note southwest airline luv last month also pull back outlook flight capacity growth year higher fuel cost american airline aal say traveler have deal steeper fare price fuel cost run higher delta stock rise stock market today american airline stock lose southwest airline stock retreat delta american southwest recently hit worst level year unite airline ual be unite stock test support day line have be consolidate more year morgan stanley analyst rajeev lalwani say research note monday expect delta cut earning share outlook year say american air earning share likely come lower end expect range also say airline foreign exchange related advantage be subside condition also deteriorate airline international business area strength delta recent quarters analyst remain concern trade war china europe other ding company spending plan ultimately hit corporate travel outside airspace be crowd rival kind difficulty await airline stock have be pressured rise fuel price trade issue supply concern iran sanction italy north korea russia brexit etc deutsche bank analyst michael linenberg say research note last week conversation investor have encounter far more excuse sell reason buy analyst also worry state brazil economy much weigh demand latin america good news linenberg say be really good airline stock say investor expectation sector be quite low be view probably wouldn take much positive news send airline share higher continue be interested earning hot trump trade war guidance delta air line flag wild card earning guidance yearsouthwest abandon piece history dna industry news stock watch
9,DAL,here weekly investing action plan need know investor come week earning season start kick jpmorgan chase jpm citigroup well fargo wfc strong earning be expect bank index component generally investor focus continue especially trump trade
