,ticker,content
0,DISCK,relative strength rs rating discovery communication disck moved higher percentile friday get lift re research best stock buy watch keep close eye relative price strength ibd unique rs rating track market leadership show stock price action last week compare other stock database history show best perform stock typically have rs rating least early stage move see discovery communication continue rebound hit benchmark look winning stock try simple communication be build cup handle buy point see break volume least higher normal earning grow last quarter prior report revenue also increase company earn rank peer medium radio tv industry group nexstar medium nxst be rank stock group get newsletter deliver inbox more info product service privacy policy term also stock be show improve price performance use ibd relative strength rating relative strength line help judge stock
1,DISCK,tuesday discovery communication disck get positive adjustment relative strength rs rating unique rating track technical performance show stock price action last week measure other stock database history show top perform stock typically have better rs rating begin largest price move see discovery communication continue show renew price strength clear threshold look best stock buy watch start herediscovery communication be try complete cup handle entry see stock clear price heavy volume earning share growth decrease company most recently report quarter top line grow prior report company earn rank peer medium radio tv industry group nexstar medium nxst be top rank stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
2,DISCK,nation top perform fund past month have be ramp buy medical internet stock ve have vary degree success resist downward pull stock market july large drug provider such actavis act allergan agn questcor qcor salix pharmaceutical slxp have be steady performer investor hospital stock such
3,DISCK,discovery communication disck see welcome improvement relative strength rs rating wednesday increase ibd proprietary rs rating track market leadership used worst best score show stock price performance last week match rest market year market history show best stock typically have rs rating north launch biggest price move see ibd help make more money not currently ideal time buy share see stock go form consolidation break earning growth decrease company most recent report sale rise company earn rank peer medium radio tv industry group nexstar medium nxst be rank stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
4,DISCK,discovery communication disck see positive improvement relative strength rs rating wednesday increase ibd unique rs rating identify technical performance show stock price action last week measure other stock database decade market research reveal best stock tend have rs rating north begin biggest run see discovery communication continue show renew price strength clear threshold see ibd help make more money stocksdiscovery communication be work cup handle entry see stock break heavy trade top bottom line growth moved higher last quarter earning be compare prior report revenue increase discovery communication hold rank peer medium radio tv industry group nexstar medium nxst be top rank stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
5,DISCK,welcome move discovery communication disck see relative strength rating rise wednesday exclusive rating investor business daily identify market leadership worst best score rating show stock price behavior last week hold other stock database history show best stock often have rs rating least launch largest run see discovery communication continue rebound clear threshold look best stock buy watch start herediscovery communication be try complete cup handle entry see break volume least higher normal top bottom line growth moved higher company most recent quarter earning be compare prior report revenue increase next quarterly result be expect feb company hold rank peer medium radio tv industry group nexstar medium nxst be top rank stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
6,DISCK,thursday nexstar medium nxst receive upgrade relative strength rs rating look best stock buy watch factor watch closely be relative price strength ibd unique rating track market leadership worst best score grade show stock price behavior trail week compare other stock database year market history show best stock tend have rs rating least early stage move see nexstar medium continue rebound hit benchmark look best stock buy watch start herenexstar medium be try complete cup handle buy point see stock clear price volume least higher normal earning growth rise last quarter revenue gain fall company hold rank peer medium radio tv industry group amc network amcx discovery communication disck be also group highest rate stock get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
7,DISCK,stock index close bullishly high day range friday jitter president trump trade war nasdaq fall first minute trade trim loss less close edge blue chip be mostly lower caterpillar cat suffer
8,DISCK,welcome move amc network amcx see relative strength rating improve friday re research best stock buy watch keep close eye relative price strength ibd proprietary rs rating measure technical performance used worst best score show stock price performance trail week match other stock year market history reveal stock go make biggest gain tend have higher rs rating launch largest climb see amc network continue rebound hit benchmark look best stock buy watch start hereamc network be work consolidation buy point see clear price volume least average earning growth decline last quarter revenue gain moved higher company earn rank peer medium radio tv industry group nexstar medium nxst discovery communication disck be also group highest rate stock get newsletter deliver inbox more info product service privacy policy term also stock be show improve technical action use ibd relative strength rating relative strength line help judge stock
9,DISCK,discovery communication disck settle only new high wednesday grow profit thank rise popularity cable tv channel include animal planet tlc first note discovery have class share trade publicly share share share give owner vote company decision make be more
