,ticker,content
0,DLTR,dollar tree dltr have relative strength rs rating upgrade thursday try find best stock buy watch keep close eye relative price strength ibd unique rating measure share price movement worst best score rating show stock price movement last week compare other stock database year market history reveal best stock typically have rs rating north launch biggest climb look winning stock try simple routinedollar tree be try complete consolidation buy point see clear price heavy trade earning share growth decrease company latest report revenue rise company hold rank peer retail discount variety industry group ollie bargain outlet olli be rank stock group get newsletter deliver inbox more info product service privacy policy term also stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
1,DLTR,relative strength rs rating dollar tree dltr head new percentile monday get lift look best stock buy watch factor watch closely be relative price strength exclusive rating investor business daily identify market leadership worst best score grade show stock price movement last week stack other stock database decade market research show stock go make biggest gain often have rs rating north early stage move see dollar tree continue rebound hit benchmark look best stock buy watch start heredollar tree be now consider extend buy range clear buy point first stage flat base see stock form new chart pattern follow buy opportunity week tight pullback day week line company bottom line growth drop company most recently report quarter revenue rise previous report company earn rank peer retail discount variety industry group be rank stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
2,DLTR,centric discount retailer top first quarter earning estimate late wednesday give bullish guidance share poise gap buy range xestimate component ep be expect more double cent accord zack investment research revenue be expect surge same store sale be see rise accord consensus metrix result ep cent cent exclude cent benefit revenue same store sale outlook ep cent view cent revenue assume approximate flat comparable sale consensus full year ep be now see prior view consensus full year revenue be now see prior view vs consensus view consistent performance continue reinforce confidence nationwide store opportunity see ceo joel anderson say statement be make discipline investment support future growth be excited announce plan build new distribution center just south atlanta provide capacity flexibility continue grow southeast stock soar late indicate move buy range hour price don always carry share close stock market today still buy territory clear entry tuesday fellow discount chain ollie bargain outlet olli fall report strong earning late tuesday dollar general dg rise dollar tree dltr be relative strength line gauge stock performance vs be also hit new high firm have be standout retail sector still carry strong ibd composite rating addition ep rating be excellent putt top stock track metric stock be rank second retail discount variety industry group ollie be wise remember common pitfall new experience investor alike buy stock just ahead earning report act right be ibd introduce option strategy limit risk earning get newsletter deliver inbox more info product service privacy policy term retail chain sell toy tech accessory room decor less research have show company low price strategy have manage discount amazon amzn big time craze fidget spinner beef company sale last year squishy fake slime other item help fill interest spinner cool be target least net income sale growth company also seem likely benefit toy demise brand increasingly turn exposure also be interested ollie bargain outlet raise guidance beating fashion apparel maker stun profit stock soar dow lead mixed action retail leader buy zone ahead earningsnew option strategy limit risk make money stock used slim investing system
3,DLTR,many investor view option trading risky endeavor stock option actually help minimize risk earning come week bullish call option trade make sense top rate growth stock set report earning report be due like mongodb mdb home home guidewire software gwre
4,DLTR,next earning report schedule mar dollar tree dltr be trading entry entry be base first stage flat base buy stock just ahead earning be risky typically don have enough time build profit cushion latest quarterly number come be sure follow sound buy sell rule minimize exposure look best stock buy watch start company show ep growth last quarter revenue increase consensus analyst estimate call earning share growth quarter growth full year annual growth estimate be recently revise lower company have composite rating earn rank peer retail discount variety industry group be rank stock group note date earning report be subject change check company update related earning calendar analyst estimate stock watchnew option strategy limit risk earning
5,DLTR,discount retailer ollie bargain outlet olli boost full year outlook earning easily top estimate late tuesday new top line view match consensus estimate wall street expect earning share soar cent accord zack investment research revenue be expect climb result ep cent revenue same store sale operate margin increase basis point year outlook full year ep be now see consensus prior view revenue be now see line consensus prior view stock ollie fall late former ipo leader stock close fresh record high stock market today hit record high intraday other discount retailer rise clear flat base buy point vault monday report quarterly earning wednesday get newsletter deliver inbox more info product service privacy policy term usedollar general dg rise dollar tree dltr big lot big fall sell last week follow disappointing earning report ollie have be make steady progress keep momentum have maintain go public tuesday close be just outside profit take zone breaking week base flat base nov stock relative strength line remain time high be trading far day line be reason stock be currently lead retail discount variety group however annual sale growth high teen past year mean fall short qualify slim stock investment system seek annual earning growth least past year closeout retailer have prove resilient amazon amzn effect thrive rise importance commerce much company inventory come closeout product liquidation bankruptcy collapse toy provide big opportunity also be interested fashion apparel maker stun profit stock soar hot chinese stock software firm buy range report investing action plan retail stock expect growth near buy zone ahead earningsnew option strategy limit risk make money stock used slim investing system
6,DLTR,software internet content stock still flex relative strength index continue cool stock today final trading session alphabet outperformed nearly gain volume be run average less hour go regular session meanwhile major index look set finish strong strength biotech security steel gaming software enterprise software education company thursday current outlook remain market confirm uptrend ibd upgrade outlook uptrend pressure confirm uptrend resume rally convincingly back key day move average tuesday week briefly touch day line bounce higher et dip nearly dow jone industrial average slide nearly nasdaq composite still trade breakeven numerous enterprise design desktop financial software firm rally downside discount variety retail dairy truck meat construction machinery soap datum storage stock fall hard yield benchmark treasury year bond hold month peak still sharply start year nasdaq edge fractionally nasdaq tracking powershare qqq trust qqq etf be jan see latest ibd update stock today go stock market today market trend section homepage investor com alphabet googl biggest name nasdaq power more higher share rise volume run more typical level google search engine owner have invest heavily waymo self drive technology be work expand partnership major automaker get newsletter deliver inbox more info product service privacy policy term usealphabet have compile impressive record mainly double digit earning growth profit slump quarters second quarter earning grow vs year level past quarters revenue rise same time frame full year profit be see rise share stock have spend nearly week day move average key technical point stock break be rise ahead day line alphabet be current base high current base hold double bottom shape first low be second low undercut first low however look future additional instance institutional accumulation form solid price gain average turnover see ibd stock checkup volume ratio alphabet stand slightly negative watch see ratio hit neutral level higher ibd semiconductor equipment stock have joined list premier growth stock brook automation brk entegris entg mks instrument mksi read ibd story technology section more detail be base downside stock today dollar tree dltr fall hard gapping reach lowest level september deep discount chain report jump fiscal first quarter profit share miss thomson reuter consensus view marked smallest year year ep increase quarters sale rise decelerate top line gain prior quarters west texas intermediate crude oil future dove barrel yet lead energy stock hardly budge indeed sharp decline crude price remain stoutly higher jan ibd leaderboard energy play marathon oil mro hold firm lose just cent integrate oil play have advanced much past correct buy point well form cup handle watch see marathon rise past proper buy point hit price range trigger key offense type sell signal be especially effective choppy market wish beat major index consistently wall street be expect marathon earn cent share year lose cent share analyst also see profit rise additional cent share chinese adrs consumer theme still remain healthy china lodging htht rank ibd be hold wednesday solid advance share hotel chain be still past buy point double bottom thus stock remain extend past proper buy zone read investor corner column merit be discipline average cost share stock break please follow saito chung twitter ibd_dchung more commentary growth stock breakout sell signal financial market related find correct buy point growth stock yield big big picture column ibd stock index be crush stock be leaderboard now latest investor find next google start simple routine
7,DLTR,here investing action plan friday need know investor come day fashion retailer abercrombie fitch anf discount store chain big lot big report earning investor likely focus job report other key economic datum auto sale also be release
8,DLTR,warehouse club costco wholesale cost top quarterly earning view close thursday share fall hour trading once again hit resistance buy point earlier have be busy day retail pricer burlington store burl centric chain american eagle outfitter aeo top quarterly estimate deep discounter dollar general dg dollar tree dltr fall short estimate fiscal ep jump revenue grow estimate call same store sale be see exclude gas sale foreign exchange impact comp result ep rise sale grow get newsletter deliver inbox more info product service privacy policy term usestock costco stock fall hour trading share close stock market today costco rise high briefly top buy point costco have clear entry intraday several session have fail close estimate ep vault increase sale result burlington store earning share jump sale climb outlook burlington raise full year ep range cent increase match ep beat stock share pop further extend recent past flat base buy point burlington be find support day line estimate ep cent revenue same store sale be see american eagle aerie surge accord consensus metrix result ep cent revenue same store sale rise american eagle aerie soar outlook ep cent consensus view cent comp sale increase mid single digit stock american eagle fall share abercrombie fitch anf report friday sank estimate ep sale same store sale be see rise result ep sale same store sale climb stock share crash stock have be cup handle base buy point estimate ep revenue same store sale be expect grow dollar tree family dollar result ep revenue same store sale grow dollar tree family dollar stock share plunge be interested big mover late facebook deserve closer lookretail commerce stock industry newsbest growth stock buy watch see update ibd stock listsstock buy watch top ipos big small cap growth stockslooking best stock buy watch start here
9,DLTR,bearish earning option trade work quite well latest week toll brother tol meanwhile cheap call option trade ross store rost turn be cheap reason investor have several intriguing chart consider earning option trade come week high quality name salesforce com crm costco ticker
