,ticker,content
0,DVA,unitedhealth group unh nation largest health insurer report fourth quarter earning tuesday comfortably top analyst estimate estimate profit share year revenue growth accord zack investment research result ep revenue grow year outlook unitedhealth offer guidance be update gop tax legislation project ep range share current analyst consensus be stock share unitedhealth double gain close clear flat base buy point stock market today however relative strength line track stock performance vs index have be lag recent week tuesday dow industrial component swung higher dow reversed sharply lower top first time ibd take unitedhealth be rank ibd medical manage care industry group base earning sale margin stock performance trend visit ibd stock checkup see other insurer stack medical manage care group be rank industry group base stock performance long current confirm uptrend equivalent green light stay place lead stock breaking buy point be more likely not have wind back here good place start look stock be poise move higher unitedhealth have be envy industry expand manage care prescription benefit management health service technology consult optum unit become leader category unitedhealth agree december buy medical unit davita dva unit fourth notable deal pending merger cvs health cvs aetna aet be often say be response loom threat amazon com amzn enter retail prescription drug business analyst say cvs be really aim follow well adapt unitedhealth model success unitedhealth management have expressed openness partnership amazon also be interested top tech stock strong rs line hit buy pointscitigroup flirt strong earning chart show flawstock buy watch top ipos big small cap growth find best stock break
1,DVA,name big weighting tech stock allianzgi focuse growth fund pgwax do not aim focus asset sector tech stock stake last count oct come way stock stock analysis fund focuse growth next biggest sector weighting be consumer cyclical stock concentration have work well fund investor past year go thursday fund gain top large cap growth rival track morningstar outperformed peer past year average annual gain averaged time span fund aim long term price gain seek stock lead fund manager karen hiatt call high quality company co manager raphael edelman believe sustain growth post earning surprise well generate attractive cash flow look company strong management have track record build shareholder value deliver strong free cash flow hiatt say achieve hiatt edelman invest only best idea portfolio hold just stock nov manager also focus manage risk way do be aim buy stock be reasonably price fund focus manager best idea be reflect relatively big weighting fund top position top holding apple aapl facebook fb amazon com amzn unitedhealth group unh visa account more fund asset apple be past month fang stock facebook amazon be unitedhealth be visa be datum point apple have be noisy recently hiatt say think just investor fine tune expectation run rate new iphone also call apple attractively value forward month price earning multiple be trading discount addition say apple benefit recently enact tax bill get lower tax rate freedom repatriate overseas cash cache more leeway used cash ibd take tax reform let apple bring overseas money home tax rate vs old rate make billion dollar available stock buyback ibd have report facebook hiatt see chance earning decline company continue invest like company long term outlook facebook find news way monetize asset number user increase advertising growth remain strong hiatt also see amazon spending investment own future amazon internal investment have tend pay term market share gain say amazon investment prime program example be pay form increase user spending amazon takeover whole food market help amazon get closer customer capture high income customer base relatively low merchandise overlap gain insight fresh food distribution say especially like amazon trend outside revenue last quarter be more higher expect add prime penetration amazon increase capability video grocery india health care say so much optionality amazon moat grow deeper wider outside technology sector hiatt like prospect unitedhealth largest manage care company most exciting be optum business say optum provide pharmacy benefit management technology service also run clinic doctor office unit have significant amount datum give unitedhealth competitive advantage be able leverage datum provide lower cost supply chain lower cost customer say so area significant growth hiatt also like unitedhealth acquisition dialysis center davita dva medical unit fourth big takeover start visa benefit refashion company visa europe business acquire visa europe have be run co op hiatt say ve turn profit focuse business lot upside visa also gain shift digital payment transaction be toll taker global spending hiatt say really scalable business isn much have do incremental dollar bring related stock market forecast smaller price gain foreign tilt
2,DVA,unitedhealth unh announce wednesday buy dialysis center davita dva medical unit cash insurer fourth major deal year deal davita join unite optum care unit manage outpatient medical care january unitedhealth bring surgical care affiliate chain outpatient surgery center combination davita medical group optum lead even higher level performance davita ceo kent thiry say medical group have be weaker spot davita recent earning report unitedhealth share fall cent stock market today davita soar management plan use proceed sale share repurchase ibd take read ibd big picture column day stay top market direction key indicator let know be aggressive move sideline unitedhealth deal come cvs health cvs announce sunday buy aetna aet spark increase scrutiny health insurer medical merger related top merger activity company not name cvs aetnastock buy watch top ipos big small cap growth stockslooking best stock buy watch start here
3,DVA,major average close mixed nasdaq edge lower even technology stock try reassert market leadership later week bitcoin scream higher wild roller coaster action ahead cboe cboe launch future sunday cvs health cvs be buy aetna aet amazon amzn threat broadcom avgo be go hostile qualcomm qcom bid home depot hd bank america bac lead several big company announce new stock buyback first solar fslr lead hot solar group sharply higher dow lose nasdaq pare weekly loss techs seek reassert leadership late week fang stock do well solar play surge many chipmaker chinese internet remain damage cvs health cvs major drugstore pharmacy benefit manager pay health insurer forge new giant aim provide insurance low cost clinic low cost prescription drug unitedhealth unh already have pbm meanwhile amazon amzn reportedly be mull entry prescription drug business cvs pay cash share share aetna friday close be equal share aetna rise just investor be worry deal regulatory cvs fall unitedhealth unh buy medical unit dialysis center davita dva cash insurer fourth notable takeover deal year unitedhealth slide davita soar be more expect unemployment rate hold year low september october payroll be revise combine wage rise vs year earlier slightly less expect meanwhile ibd tipp economic optimism index edge lower december remain break even level straight month datum reinforce expectation federal reserve interest rate hike wednesday share first solar fslr jump largest solar product maker provide guidance top consensus estimate earning meet revenue first solar also provide update series panel show confidence long await product rollout have huge implication company several other stock rate energy solar group rally bitcoin mania reach fever pitch digital currency clear tuesday night top platform thursday pull back sharply friday future trading cryptocurrency begin sunday cboe cboe cme group cme have set dec kickoff date td ameritrade amtd ally financial ally let customer trade bitcoin contract other broker be sit sideline so far stephen roach well regard economist yale senior fellow tell medium bitcoin be toxic concept investor dangerous speculative bubble delta air line dal get boost wall street carrier report solid november traffic result southwest luv ratchete fourth quarter unit revenue outlook unite airline ual also raise unit revenue outlook announce buyback hawaiian airline parent hawaiian holding also hike fourth quarter unit revenue forecast possibly help recent bankruptcy filing rival island air hawaiian share slide carrier indicated stronger pricing competition be horizon first quarter broadcom avgo turn unsolicited bid fellow wireless chipmaker qualcomm qcom hostile takeover attempt announce slate candidate hope replace qualcomm member board director expect put board nominee vote qualcomm shareholder company annual meeting set march qualcomm reject broadcom nov bid worth say undervalue company have refuse negotiate meanwhile broadcom post fiscal fourth quarter result beat wall street target guide higher current quarter raise quarterly cash dividend share big intraday move broadcom close week hold recent buy point ep rise share revenue grow slightly analyst estimate order growth be weakest quarters entry level luxury homebuilder see profit margin decline toll bro tol share fall be sharply other builder home depot hd approve buyback issue long term sale forecast honeywell hon announce buyback bank america bac say buy back extra stock top buyback announcement less month health insurer anthem antm buyback mastercard also repurchase common share also hike dividend cent unite airline ual announce buyback mobile tmus announce buyback brutal summer theater chain cinemark holding cnk launch movie subscription membership program give customer discount ticket concession other benefit helio matheson hmny offer similar subscription service tumble meanwhile cineworld group agree buy theater operator regal entertainment group rgc share ollie bargain outlet olli beat view ep revenue discount retailer full year guidance imply ep roughly line sale fall short ollie fall thursday rise week ford plan launch new car world top auto market include new suvs electrify vehicle ford lincoln several affordable electric vehicle build anhui zotye joint venture ford also inked online sale deal alibaba baba say continue work chinese search giant baidu bidu self drive technology ford general motor gm be automaker plan electrify most model entire lineup come year drive large part china clean car push bmw bmwyy say be aim increase electric vehicle sale next year fiber optic company ciena cien finisar fnsr report better expect quarterly revenue miss profit ciena announce stock buyback fiscal finisar forecast current quarter earning revenue expectation also announce plan expand manufacturing sensor consumer automotive customer late finisar begin make sensor undisclosed customer october quarter rival lumentum lite have ramp sensor manufacturing customer believe be apple aapl rh aka restoration hardware see profit rocket line view sale climb comp grow better expect share rise rh be look expand london express confidence gallery restaurant membership model disney reportedly be close deal acquire key st century fox ticker symb foxa fox studio well certain international cable asset deal happen disney ceo bob iger likely push back retirement again cnbc say cite source hd supply hds earn cent share revenue analyst third quarter view industrial distributor also guide higher target share lululemon athletica lulu beat estimate ep cent sale growth yogawear heavyweight also offer upbeat current quarter profit guidance share jump nearly healthequity hqy fall health saving account administrator narrowing ep outlook lower end prior guidance ep jump cent revenue beating edison international eix tumble fear down edison power line have spark southern california wildfire edison say have indication facility be responsible veeva system veev tuesday report adjust income cent share sale top consensus cloud base life science software maker fall line guidance dell technology dvmt say sale rise year year fiscal third quarter end nov fuel strong sale notebook pcs server adjust earning rise dell be private have tracking stock stake vmware vmw
4,DVA,stock dip start gate wednesday weak overseas action take early toll news name include snap snap take interactive drive mixed trade open dow jone industrial average nasdaq composite slip less drop slightly more davita healthcare dva time warner twx post heavy early loss wal martwmt jumpoed head dow start bell walt disney drop threaten snap day rally attempt climb bottom month consolidation apple aapl fang stock be mixed netflix nflx lead group take interactive bolt higher report adjust fiscal second quarter earning third quarter full year guidance analyst view hour report also show net booking rise quarter vs expectation success grand theft auto nba game gap gain marked rebound support stock week move average be not buy opportunity share be extend late stage base beaten fiber optic telecom gear group apply optoelectronic aaoi leap open sugar land texas base outfit report gain share earning rise sale fourth quarter earning revenue guidance be consensus view improve prior quarter expectation stock have dive july match com mtch land open gain online date service report mixed third quarter result tuesday close earning slip more expect revenue growth top analyst estimate company fourth quarter revenue outlook be well consensus view however due grow subscriber base match tinder gold mobile app gain send share buy range buy point week tight pattern laser tool maker coherent cohr flash higher rise report late tuesday fourth quarter earning surge revenue gain number be well analyst target gap move send ibd stock past buy point first stage cup handle base chicken producer pilgrim pride ppc vault higher solid third quarter beat earning soar rise revenue far expectation share quickly moved buy range rebound second test support week move average follow august double bottom base snapchat parent snap drop early action pair analyst downgrade follow company late tuesday earning report venice calif base company third quarter earning fall slightly less forecast analyst revenue growth miss estimate sharp drop ad pricing worry investor share rebound overnight loss snap disclose china base internet giant tencent holding tcehy have establish stake company overseas trade be generally weak wednesday tokyo hong kong close lower hong kong hang seng index tokyo nikkei post sharp rally tuesday europe market be tightly mixed afternoon trade frankfurt dax cac paris ftse london climb positive territory other then weekly oil inventory due report energy information administration et wednesday economic calendar be quiet oil price trade slightly lower west texas intermediate benchmark hold barrel ahead report related big picture quiet loss nasdaq small cap thrashedsquare monster roku alarm com lead investing action planthese growth stock head report high expectation ibd investor research tool get start ibd
5,DVA,economy add job february jobless rate hold dip annual wage gain near cycle high labor department report friday wall street economist expect job gain unemployment rate average hourly wage rise vs year earlier just best rise recovery monthly rise be less expect january wage gain be revise slightly higher december january job gain be revise combine february be first full month president trump hailed job report financial market be brace upside surprise payroll processor adp monthly employment report show private sector add job last month more expect biggest gain nearly year dow jone industrial average index nasdaq composite open solid gain stock market today largely erased early advance afternoon major average have drift lower week oil price tumble fed march meeting loom stock do edge higher thursday outplacement firm challenger gray christmas say thursday announce corporate layoff first month year be year earlier corporate hire plan explode lead amazon amzn say hire full time worker mid build distribution network retailer also have be biggest job cutter announce layoff year thank small part competition amazon yet dow component wal mart wmt announce plan add job year federal reserve be virtually certain raise interest rate quarter point march end day meeting additional hike price end february report be solid wasn kind blowout report have concern market accelerate timetable rate hike year treasury yield rise thursday close december year high report year yield slip reason market take report largely stride be job creation get boost second warmest february record dampen report job gain spring construction employment surge meanwhile manufacturing add job health care professional business service leisure hospitality fed take hawkish shift even labor department be report weakest month rise average hourly wage mid january year year increase upward revision friday be initially report be just recent comment range company suggest tame wage increase report recent month give way faster wage inflation friday report jack box jack say look roughly wage inflation namesake qdoba brand drive partly minimum wage increase be flow higher paid team leader assistant manager avoid wage compression davita healthcare partner dva provide dialysis service outpatient center say feb call ve be experience wage inflation turnover be higher historical rate brookdale senior live bkd say feb call be see higher wage cost hire retention be forecasting compensation cost rise year drive increase salary wage normalize bonus increase health benefit cost ibd take federal reserve be get impatient raise interest rate even prospect term economic stimulus president trump be diminish speech last week fed chair janet yellen note job growth month be notably level estimate be consistent longer run trend labor force growth month wage inflation higher be signal fed labor market be basically full employment meaning trend job gain continue push wage likely inflation higher big wild card be happen labor force participation growth labor force rise participation rate continue reflect disenfranchise worker come back fold write jeffery economist mccarthy thomas simon be difficult unemployment rate continue decline february household survey be separate establishment survey yield payroll wage gain show labor force participation rate tick rise participation rate come person joined labor force household survey also show more person be work fewer be unemployed fed seem be worry get curve raise interest rate also risk tighten too fast likely robust job gain start year have be supercharged warm weather business enthusiasm president trump agenda deregulation tax cut infrastructure spending yet weather return seasonal norm long trump fiscal firepower face plenty obstacle raise risk economic takeoff turn be short live related yellen march rate hike appropriate see hike infrastructure stock rise trump national rebuild plan
6,DVA,dialysis provider fresenius medical care american renal associate davita fall monday say be subpoena premium assistance program support dialysis patient private insurance plan be more lucrative provider attorney district massachusett be investigate connection american kidney fund manage patient assistance program private plan german base fresenius fms say monday beverly mass base american renal ara also say subpoena be connection american kidney fund davita dva headquarter say be subpoena regard charitable premium assistance fresenius fall much most june trade share end day share have gain month monday include reinvest dividend compare increase benchmark dax index american renal share plunge much biggest intraday drop nov trade close davita finished regular session dialysis patient provider include fresenius davita have sue challenge new regulation tighten rule govern patient aid private plan due take effect jan american renal stand lose most profit due new restriction fresenius be affected least accord bloomberg intelligence analysis company say re cooperate investigation fresenius patient end stage renal disease currently use plan subsidize premium patient otherwise have pay patient aid steer person more expensive private coverage center medicare medicaid service argue private insurance pay dialysis provider fresenius more patient year medicare medicaid have work reduce cost recent year accord cms separately davita monday say sign year supply agreement amgen amgn anemia drug used treat dialysis patient deal replace pact be due expire next year
7,DVA,ub hike price target apple aapl tuesday suntrust robinson humphrey susquehanna initiate coverage nvidia nvda neutral rating suntrust start mobileye mbly buy goldman sachs upgrade amphenol aph buy ub increase apple pt call early sign iphone demand encourage jpmorgan monday have caution be premature view iphone demand top expectation apple share lose penny close stock market today related apple iphone see smaller crowds so apple supplier cirrus logic perfect example upside reversal suntrust start coverage nvidia neutral rating pt susquehanna initiate coverage nvidia pt also neutral rating nvidia be rank ibd electronic semiconductor fabless group member also include ceva ceva inphi iphi broadcom avgo nvidia have expand make graphic processor pcs mobile device self drive car augment reality nvidia share fall related nvidia unveil artificial intelligence tech baidu self drive start mobileye buy rating pt mobileye have be spar self drive auto technology former partner tesla tsla still supply advanced driver assistance technology top automaker part giant mobileye share close related mobileye rip tesla autopilot safety war word intensify goldman sachs start amphenol buy rating pt member ibd electronic part group be rate industry group share climb goldman sachs upgrade flextronic flex buy upgrade jabil circuit jbl neutral goldman downgrade arrow electronic arw neutral morgan stanley initiate coverage arris international arrs overweight rating pt arris be rate ibd telecom cable satellite equipment group share add other analyst move pacific crest security initiate ultimate software group ulti overweight rating raymond james upgrade davita healthcare dva outperform rw baird upgrade education realty trust edr outperform bmo capital initiate servicenow now market perform mkm partner downgrade china jd com jd neutral
8,DVA,warren buffett lead berkshire hathaway brkb continue build stock portfolio last year shedding bond holding saturday berkshire release list stock holding full year fourth quarter financial result buffett top stock holding include call company big investment american express axp coca cola ko ibm ibm well fargo wfc berkshire purchase additional share ibm year boost total ownership share ownership stake end year vs end well fargo grow share stake coke american express share buyback raise berkshire percentage ownership share coke be stake own share american express buffett say major berkshire equity position not list be bank america bac buy share bank america time prior september year end share be worth say add likely berkshire buy just option expire buffett add be important realize bank america be effect fourth largest equity investment berkshire class share close stock market today be nearly feb intraday low position improve stock still trade day day average american express rise coke end flat ibm fall well fargo slide other berkshire top stock holding have share ibd leaderboard stock ownership share credit rating research agency moody mco share dialysis service company davita healthcare partner dva share heavy equipment maker deere berkshire have also be buy big block oil refiner phillip psx last summer fuel speculation be buffett next acquisition target dec berkshire own share company stake have rise phillip be monday meanwhile sixth year row buffett reduce bond holding continue low yield berkshire own aggregate amortize cost basis dec nearly end bloomberg say buffett say bond be such poor investment tool come warning label end biggest bond holding be foreign bond follow corporate bond treasury municipal bond mortgage backed security
9,DVA,medical world be vast diverse dozen specialty subspecialty treat everything sunburn brain tumor specialty attract numerous practitioner consequently lot competition patient other be more narrow much less competitive
