,ticker,content
0,DVN,past year shale exploration production company have focuse grow flow oil now focus be shift flow cash xconcho resource cxo apache apa eog resource eog slew other shale producer report third quarter result week crude price have climb barrel have struggle stay ever price collapse producer spending vs cash flow likely be key metric investor outlook capital expenditure be dim company focus more financial return operate cash flow vs expand production oilfield service provider schlumberger slb say earlier month north america land operation company add capex production growth be fall short expectation ceo paul kibsgaard say earning call analyst have lead moderate investment appetite early report shale company echo sense caution friday cabot oil gas cog report result fall short wall street estimate reaffirm total program spending forecast remain commit deliver positive free cash flow continue focus improve corporate return increase return capital shareholder prudent capital allocation chairman ceo dan dinge say statement phil flynn senior market analyst price future group say be look focus wellhead profitability shale earning report expect company be less aggressive production be rush raise production now rush produce profitability say be positive company say be go pull back focus cash oil giant however spending picture be mixed chevron cvx say friday spend less money expect year exxon mobil xom say spend more next year increase drill shale play be reflection uncertainty continue permeate oil market increasingly look oil patch swing producer think still more big surge come knock price ian taylor ceo vitol group say oil money conference london last month expect brent crude fall barrel shale production increase vs today share eog resource bellwether industry be know apple aapl oil tech advance be stock market today climb further buy range breaking cup handle base friday crude future close barrel monday ibd take buy hold stock be risky head earning report here earning option strategy help cash post earning stock gain minimize risk weak quarter concho resource anadarko petroleum apc devon energy dvn kick busy earning week report result market close tuesday concho earning be see fall cent share revenue be expect jump anadarko be expect report loss cent share loss cent share year quarter revenue be see rise last month anadarko announce share buyback plan devon ep be expect soar cent cent year revenue be expect fall laredo petroleum lpi pioneer natural resource pxd be schedule report wednesday analyst expect laredo ep rise cent revenue pioneer ep be see jump cent revenue climb pioneer lower outlook many higher value oil barrel produce oil money conference pioneer say plan quadruple production next decade thank increase output texas ceo timothy dove say company break even be barrel give more room expand more cushion oil price fall apache eog resource be due thursday analyst see apache report loss cent share vs cent share loss year quarter revenue be expect dip eog be see swing profit cent share vs loss cent share year revenue be expect climb sanchez energy sn round week friday analyst see report loss cent share vs profit cent year revenue be expect climb related exxon boost spending add rig permian chevron cut capex oil patch now focuse cash flow vs output growthenergy stock industry news oil gas solar coal
1,DVN,here weekly investing action plan need know investor come week xtech sector favorite apple aapl tesla tsla facebook fb alibaba baba report earning come week facebook alphabet googl google twitter twtr appear capitol hill testify platform be
2,DVN,eog resource eog apple oil maintain capital spending guidance late tuesday pioneer natural resource pxd diamondback energy fang devon energy dvn trim capex forecast sign pullback oil patch xeog devon also report mixed quarterly result diamondback pioneer beat meanwhile price crude settle lower report opec boost production last month estimate profit cent share swing loss cent share year quarter revenue expect jump result adjust ep cent revenue production rise annually barrel oil equivalent day outlook capital budget be reduce well completion be defer full year production growth be now see low end forecast production be see barrel oil equivalent day operationally fall completion due unforeseen drill delay say ceo timothy dove statement maintain efficient operation have choose not accelerate activity order catch second half especially light current commodity price environment share pioneer sank late finishing higher estimate profit cent share swing loss cent share year revenue climb accord zack investment research result adjust ep cent revenue crude oil production climb annually barrel oil day total production barrel oil equivalent day outlook full year capital expenditure guidance remain increase crude production growth view prior view crude production be see barrel day total production barrel oil equivalent day eog generate high return relatively low oil price discipline investment strategy have position company strong financial foot say chairman ceo william thomas statement apply industry lead technology geoscience acreage concentrated sweet spot largest oil play eog continue grow strong rate cash flow stock eog drop late share close stock market today estimate ep more triple cent revenue surge result ep revenue production jump annually sequentially barrel oil equivalent day outlook full year capital spending be now see prior view full year production be now see barrel oil equivalent day prior full year guidance stock diamondback rise late share close estimate ep soar cent revenue rise result ep cent revenue total production fall barrel oil equivalent day outlook full year capital investment be now see decrease compare previous guidance due operational efficiency activity guidance be unchanged ability deliver attractive return environment top strategic priority be maintain operational momentum resource play organically fund capital investment further improve investment grade financial strength say ceo dave hager statement stock devon dip late share close recent datum have show sign cool activity rig count have fall last week oil production have fall last week anadarko petroleum apc say last week cut capital spending outlook conocophillip cop cut capex guidance oil major exxon mobil xom chevron cvx say friday be still focuse expand activity permian basin sign slow earlier tuesday peer bp bp report revenue beat wall street view take angola holding other shale company concho resource cxo parsely energy pe oasis petroleum oas report wednesday related oil rise third day stockpile tumble production fall
3,DVN,oil price turn lower official datum wednesday show surprise gain gasoline inventory stockpile fall sharply domestic production also edge lower xu crude inventory fall barrel last week gasoline supply jump barrel energy information administration say analyst expect barrel decline crude stockpile barrel drop gasoline stockpile late tuesday american petroleum institute industry group report barrel drop crude stockpile crude production fall barrel day bpd prior week crude future have climb earlier be barrel et release ibd take renewable energy specifically solar stock be have time sun so far year berkshire hathaway warren buffett be bullish sector read top stock solar industry here drop stockpile output come producer scale back spending late tuesday continental resource clr lower investment outlook prior outlook shale exploration production company report second quarter earning wall street view early wednesday sanchez energy sn report result analyst view last month company say cut full year capex original guidance sanchez share soar morning tradeon stock market today continental rise last week permian basin heavyweight diamondback energy fang pioneer natural resource pxd cut spending view devon energy dvn eog resource eog keep spending guidance oil major chevron cvx exxon mobil xom be still stay aggressive permian related energy stock industry news oil gas solar coal
4,DVN,apple aapl earning help lift dow jone industrial average didn help nasdaq composite index tesla tsla top forecast general motor gm other automaker report weak domestic sale apply optoelectronic aaoi crash other fiber optic play have weak guidance result economy continue grow hire moderate pace major market average continue split dow jone industrial average continue rack small gain climb top first time edge nasdaq composite fall apple tesla have well receive june quarter result many stock have big double digit percentage gain loss optical stock be loser apply optoelectronic other consumer electronic giant apple beat wall street sale earning target june quarter guide higher september quarter ease concern late iphone launch earning rise sale climb cirrus logic crus qorvo qrvo also top estimate imply healthy business apple apple advanced close buy point clear wednesday apple chipmaker struggle related be apple be bullish sale not iphone tesla tsla report smaller expect adjust loss second quarter revenue more double year quarter reach tesla receive several price target hike follow quarterly earning report beat view analyst expressed concern electric car company ability execute ambitious production schedule new model analyst also be concern tesla cash burn stock rise clear day move average here analyst don tesla earningsbefore order tesla model chevy bolt look chartapply optoelectronic see weak revenue current quarter shocker give optical stock have raise beaten guidance several time year cite slower demand large customer be amazon apply opto stock rate telecom fiber optic group crash friday acacia communication acia infinera infn also have bad news late thursday earlier week macom technology solution holding mtsi optical related chipmaker see weak china demand however oclaro oclr report better expect fiscal fourth quarter profit revenue see strong demand current fiscal year oclaro share still plunge week related apply optoelectronic plunge weak guidance optical hitjuly be rout auto sale mark biggest monthly decline august general motor gm see sale plunge vs expect ford motor sale decline nearly vs expect fiat chrysler fcau sale decline vs expect industrywide auto sale rang seasonally adjust annual rate july autodata report mark third straight month auto giant point plan fleet sale cutback retail sale also retreat toyota tm see sale unexpectedly rise japanese peer nissan nsany honda hmc have smaller expect decline related auto sale tumble worst drop nearly economy add job july slightly more expect unemployment rate tick average hourly wage rise solid report be more evidence tighter labor market likely win shift federal reserve policy path future meanwhile ism survey signale still strong manufacturing growth decelerate growth service sector grubhub grub yelp yelp top second quarter earning revenue estimate late thursday part long term partnership grubhub pay cash acquire yelp online food order delivery business eat partnership come amazon amzn be get more aggressive food delivery market grubhub rise friday yelp shot nearly symantec symc qualys qyls fireeye feye report better expect june quarter result follow computer security peer proofpoint pfpt last week symantec adjust fiscal first quarter earning rise revenue climb symantec agree sell security business digicert cash symantec share fall qualys ep climb revenue rise send share week fireeye narrow loss just cent share revenue grow strong demand new helix security platform share fall video game publisher activision blizzard atvi take interactive software report better expect june quarter result mobile online game publisher zynga znga deliver mixed report activision climb thursday fresh high retreat friday mixed guidance take spiked breaking past buy point own high zynga be little change consolidation year high related activision blizzard beat second quarter view offer mixed outlookvideo game publisher take rocket june quarter beatboee ba announce get avionic business make control electronic aircraft spacecraft aerospace giant say unit first supply part own aircraft eventually sell other firm analyst worry hurt supplier rockwell collin col honeywell hon boee also announce pricing deal spirit aerosystem spr supply dreamliner spirit have similar deal airbus eadsy spirit aero also announce strong earning soar obamacare exchange be still perilous insurer earning health medicare be cash cow aetna aet humana hum complete exit individual insurance market year end sail past earning estimate thank momentum medicare advantage business share vault record high aetna earning balloon humana earning grow smash view cigna ci wellcare health plan wcg also report strong earning molina healthcare moh see exchange big growth opportunity report loss share largely blame obamacare exchange business molina pull wisconsin utah market scale back presence washington state remain market molina say hike premium least molina share tumble related aetna trounce expectation big obamacare insurer material vmc martin marietta material mlm huge supplier construction aggregate report earning view company cite wet weather southeast delay shipment vulcan say coastal texas energy highway project be push back illinois business have be hit state budget crisis proxy infrastructure spending stock soar president trump surprise election hasn be movement infrastructure federal level company be upbeat grow backlog stronger pricing wall street analyst seem convince ll gain traction later year related trump tout market prowess trump stock erase post election gainseog resource eog oasis petroleum oas devon energy dvn report mixed quarterly result diamondback energy fang rice energy rice pioneer natural resource pxd beat concho resource cxo parsley energy pe miss eog parsley keep capex guidance steady pioneer diamondback rice cut outlook crude inventory fall less expect last week accord energy information administration production level rebound prior week crude price flirted recent run pull back burger king tim horton parent restaurant brand international qsr report mixed result burger king help weaker sale tim horton do not papa john pzza be also mixed hurt international comp sale slowness pizza chain hike leverage ratio buyback plan cheer investor taco bell kfc pizza hut parent yum brand yum beat wingstop wing initiate dividend earning top sunpower spwr report second quarter earning beat estimate stock plunge solar power company see current quarter revenue fall far estimate square sq earning beat digital payment processor bump full year guidance share fall week analyst question square valuation big run close recent buy point day line paycom software payc stock slip provider human resource payroll process software report earning profit top view issue current quarter guidance be line match group mtch name new ceo jan report earning profit miss expectation share online date service edge coherent cohr plunge wednesday quarterly earning fall short maker laser technology report ep revenue analyst be expect adjust earning revenue armour uaa swung share loss cent revenue growth sale key north america market fall business lose bankruptcy athletic apparel brand trim full year revenue guidance say lay employee workforce part restructure effort intend boost go market speed digital capability armour slide thursday hit year lows nike nke meanwhile moved buy range share adida addyy trade record high european athletic apparel giant make big gain north america
5,DVN,here weekly investing action plan need know investor come week xapple aapl tesla tsla square sq grubhub grub headline busy week earning top shale producer weigh sign slow activity oil patch fresh set
6,DVN,nike nke be start top pick fellow dow industrial component exxon mobil xom be reinstate outperform rating other energy stock be downgrade thursday xraymond james initiate coverage nike outperform rating price target
7,DVN,analyst cedric lecasble say stock be top pick active lifestyle sector thank popularity millennial china be also huge opportunity nike european rival adida addyy grow popularity western sport nike share fall stock market today nike have pull back spiking june follow strong earning close just buy point rbc capital market reinstate exxon outperform rating price target chevron cvx be reinstate underperform rating price target bernstein downgrade conocophillip cop market perform also downgrade devon energy dvn market perform crude future tumble wednesday end longest winning streak year russia reportedly say wouldn make further production cut opec top opec member meeting st petersburg later month crude future close modestly higher thursday energy information administration report bigger expect drop stockpile strong gain domestic production exxon share fall chevron dip conoco be devon slide
8,DVN,stock market head lower early tuesday follow day memorial day weekend index dow jone industrial average fall respectively nasdaq dip nearly dow industrial verizon vz pace advancer rise fast food chain mcdonald mcd fall have price target hike barclay firm maintain outperform rating raise expectation company digital delivery effort early trading blue chip laggard include financial component goldman sachs gs energy component chevron cvx exxon mobil xom global investment bank fall oil giant fall respectively oil price slip more leave west texas intermediate just barrel computer security firm symantec symc rise be upgrade overweight equal weight barclay share be attempt reclaim day line pierce downside energy name find bottom performer decline price crude oil devon energy dvn valero energy vlo fall respectively other lead stock micron technology mu jump more surge flat base buy point fellow datum storage firm western digital wdc seagate technology stx rise respectively nvidia nvda rise set fresh record high commerce giant amazon com amzn briefly break vaunted price level rise analyst action former highflier ambarella amba fall be downgrade sector weight overweight pacific crest last week stock have make strong comeback way build right side potential cup base meanwhile tesla tsla be initiate hold independent research share electric automaker soar reach new high extend day winning streak action ibd be mostly positive open several leader find pressure early tuesday recent issue floor decor fnd drop nearly last week ipo base share remain entry china education stock new oriental education edu tal education tal fall upside match group mtch ichor ichr moved respectively related analyst tout mcdonald yum cut ambarella autozonesnap seek support hot ipos be buy zonesdow jone industrial average dow stock news analysisweek review stock hit high fang oil dife opec best buy ulta shine
9,DVN,bp bp first quarter result beat wall street estimate tuesday conocophillip cop unexpectedly report loss meanwhile crude future fall barrel lowest close november estimate ep climb cent revenue result adjust ep cent revenue production rise barrel oil day stock bp list share rise stock market today have show continue operational momentum be strong quarter downstream first new upstream major project have start further completion say ceo bob dudley release expect drive material improvement operate cash flow second half bp result come fellow oil major exxon mobil xom report earning wall street view friday revenue fall short chevron cvx top profit sale estimate same day neither expect raise capital spending outlook soon chevron chief financial officer say future spending be bottom forecast brent oil price stay barrel estimate ep cent vs loss cent year revenue result loss cent share revenue conoco production quarter rise barrel day exclude libya operate production expense fall conoco see production barrel day exclude libya operationally business be run well chairman ceo ryan lance say release grow production maintain cost capital discipline financially cash operate activity more cover capital spending dividend company also announce sell asset san juan basin southwest hilcorp energy cash contingent payment stock share fall shale producer devon energy dvn diamondback energy fang report result market close tuesday devon diamondback energy beat view reaffirm spending plan related shale oil growth offset decline conventional activity halliburton oil price be enough significant increase
