,ticker,content
0,ECL,ecolab ecl report first quarter earning estimate tuesday provider water wastewater treatment service hotel restaurant other institutional client give weak full year guidance
1,ECL,ecolab say earning jump cent share beating analyst estimate penny sale rise roughly line analyst estimate
2,ECL,global market remain mixed continue sluggish trend north america softer trend europe offset favorable market asia pacific latin america ceo dougla baker say earning statement
3,ECL,share be year date be unchanged afternoon trading stock market today
4,ECL,ecolab say sale global industrial segment rise global energy segment sale grow
5,ECL,company see full year ep midpoint analyst be expect ecolab see ep cent analyst estimate cent
6,ECL,ecolab announce close acquisition champion technology chemical company earlier month
7,ECL,company announce deal october be talk justice department antitrust concern deal
8,ECL,soap clean group be rank industry group ibd track ecolab ecl report first quarter earning estimate tuesday provider water wastewater treatment service hotel restaurant other institutional client give weak full year guidance ecolab say earning jump cent share beating analyst estimate penny sale rise roughly line analyst estimate global market remain mixed continue sluggish trend north america softer trend europe offset favorable market asia pacific latin america ceo dougla baker say earning statement share be year date be unchanged afternoon trading stock market today ecolab say sale global industrial segment rise global energy segment sale grow company see full year ep midpoint analyst be expect ecolab see ep cent analyst estimate cent ecolab announce close acquisition champion technology chemical company earlier month company announce deal october be talk justice department antitrust concern deal soap clean group be rank industry group ibd track
9,ECL,relative strength rs rating ecolab ecl moved new percentile friday get lift look best stock buy watch keep close eye relative price strength ibd unique rs rating measure technical performance show stock price movement last week measure other stock database decade market research reveal best stock often have higher rs rating begin largest climb see ecolab continue rebound clear threshold look winning stock try simple routineecolab be trading buy range climb buy point cup handle once stock move higher initial entry consider extend buy range take look revenue profit performance company have post rise ep growth last report sale growth have also moved higher same period ecolab be expect release next quarterly number ecolab hold rank peer soap clean preparation industry group church dwight chd clorox clx be also group highest rate stock get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
10,ECL,welcome move church dwight chd see relative strength rating rise thursday look best stock buy watch be sure pay attention relative price strength unique rating identify technical performance show stock price action last week compare other stock database year market history show top perform stock tend have rs rating north early stage move see church dwight continue show renew price strength hit benchmark look winning stock try simple routinechurch dwight be still buy range breaking past buy point consolidation proper buy range be initial entry once stock move range best hold investing set buy opportunity church dwight report earning growth most recent report sale growth come keep eye company next round number aug company hold rank peer soap clean preparation industry group ecolab ecl clorox clx be also group highest rate stock get newsletter deliver inbox more info product service privacy policy term useget instant access more trading idea exclusive stock list ibd proprietary rating only also stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
11,ECL,welcome move church dwight chd see relative strength rating rise friday try find best stock buy watch keep close eye relative price strength ibd proprietary rs rating measure technical performance show stock price action last week measure other stock database history show market biggest winner often have rs rating least begin largest run see church dwight continue show renew price strength clear threshold look best stock buy watch start herechurch dwight be buy range climb entry consolidation once stock move higher original entry consider buy range company report ep growth last quarter sale increase keep eye company next round number aug church dwight earn rank peer soap clean preparation industry group ecolab ecl clorox clx be also group highest rate stock get newsletter deliver inbox more info product service privacy policy term useget instant access more trading idea exclusive stock list ibd proprietary rating only also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
12,ECL,clorox clx see positive improvement relative strength rs rating tuesday upgrade ibd proprietary rs rating identify market leadership show stock price action last week measure other stock database history show market biggest winner tend have higher rs rating early stage move see clorox continue show renew price strength hit benchmark look best stock buy watch start hereclorox be now consider extend buy range clear buy point first stage cup handle see stock form new pattern follow buy opportunity week tight pullback day week move average earning share growth fall company most recently report quarter sale grow prior report clorox earn rank peer soap clean preparation industry group ecolab ecl church dwight chd be also group highest rate stock related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
13,ECL,clorox clx see welcome improvement relative strength rs rating tuesday upgrade unique rating track technical performance used worst best score identify stock price action last week compare rest market year market history reveal stock go make biggest gain often have higher rs rating launch largest climb see clorox continue rebound clear threshold clorox be try complete cup handle entry see stock clear price volume least average company top line growth fall last quarter bottom line grow prior report company earn rank peer soap clean preparation industry group ecolab ecl church dwight chd be also group highest rate stock related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
