,ticker,content
0,EMN,eastman chemical emn see positive improvement relative strength rs rating thursday increase re research best stock buy watch be sure pay attention relative price strength exclusive rating investor business daily track price action worst best score rating show stock price movement last week stack other stock database decade market research show market biggest winner often have rs rating north launch biggest price move see ibd help make more money stockseastman chemical be try complete flat base buy point see stock clear price heavy trading earning grow last quarter prior report revenue also increase company earn rank peer chemical plastic industry group tredegar tg be rank stock group get newsletter deliver inbox more info product service privacy policy term also stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
1,EMN,thursday eastman chemical emn earn upgrade relative strength rs rating ibd unique rs rating track market leadership show stock price action last week compare other stock database year market history show best perform stock typically have rs rating north early stage move see eastman chemical continue rebound hit benchmark see ibd help make more money stockseastman chemical be still buy zone climb entry flat base once stock move higher original entry consider proper buy zone eastman chemical show ep growth last quarter sale growth come company be expect report latest earning sale number jan company hold rank peer chemical plastic industry group kraton kra roger rog polyone pol be top highly rate stock group related stock be show improve price performance use ibd relative strength rating relative strength line help judge stock
2,EMN,re try build earning season watch list look stock set base ahead earning here fit bill ibd member kraton kra expect report apr be trading entry entry be base first stage consolidation buy stock just ahead earning be risky typically don have enough time build profit cushion latest quarterly number come be sure follow sound buy sell rule minimize exposure look winning stock try simple routinekraton post earning share growth most recent report revenue increase analyst be look earning share growth quarter growth full year annual growth estimate be recently revise lower company have composite rating earn rank peer chemical plastic industry group trinseo tse eastman chemical emn be also group highest rate stock note date earning report be subject change check company update get newsletter deliver inbox more info product service privacy policy term also earning calendar analyst estimate stock watchnew option strategy limit risk earning
3,EMN,welcome move polyone pol see relative strength rating rise wednesday look best stock buy watch be sure pay attention relative price strength proprietary rating measure technical performance used worst best score show stock price action trail week compare other publicly trade company year market history show top perform stock tend have rs rating least early stage move see polyone continue rebound hit benchmark look winning stock try simple routinepolyone be build consolidation buy point see clear price heavy trade polyone show ep growth most recent report sale growth come keep eye company next round number apr company earn rank peer chemical plastic industry group kraton kra trinseo tse eastman chemical emn be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
4,EMN,welcome move eastman chemical emn see relative strength rating improve thursday unique rating measure market leadership used worst best score identify stock price action last week compare other publicly trade company history reveal best stock typically have rs rating early stage move see eastman chemical continue show renew price strength hit benchmark look best stock buy watch start hereeastman chemical be build flat base entry see stock clear price heavy volume company report earning growth last quarter revenue increase eastman chemical earn rank peer chemical plastic industry group roger rog kraton kra trinseo tse be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
5,EMN,welcome move eastman chemical emn see relative strength rating improve wednesday exclusive rating investor business daily identify market leadership worst best score score show stock price movement trail week compare other stock database history show stock go make biggest gain often have higher rs rating begin largest run see eastman chemical continue rebound hit benchmark see ibd help make more money stockseastman chemical be work flat base entry see stock clear price volume least average company show ep growth most recent report sale growth come company earn rank peer chemical plastic industry group kraton kra roger rog polyone pol be top highly rate stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
6,EMN,welcome move eastman chemical emn see relative strength rating rise friday ibd unique rating track market leadership worst best score grade show stock price behavior trail week hold other stock database history reveal stock go make biggest gain often have higher rs rating begin largest climb see eastman chemical continue rebound clear threshold look best stock buy watch start hereeastman chemical be now consider extend buy range clear buy point first stage flat base see stock form new pattern follow buy opportunity week tight pullback day week line company show ep growth latest quarterly report sale growth come company earn rank peer chemical plastic industry group roger rog kraton kra polyone pol be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
7,EMN,good economy have odd effect sink monday concern higher price borrow cost central bank remove crutch intend support rebound abroad individual company index quarterly result more granular measure customer attitude main driver stock be surpass wall street forecast particularly high rate not see previous decade bar result have be help ever tech health care financial include amazon amzn intel intc unitedhealth unh mastercard company dowdupont dwdp eastman chemical emn have lead supplier material higher industrial long ailing general electric ge also look solid long drought company have report quarterly result so far earning season top wall street estimate accord thomson reuter datum release thursday percent beat estimate revenue best rate estimate earning third quarter accord thompson reuter sale best least earning be currently track deliver gain revenue robust assume remain company due report meet estimate analyst also appear optimistic first quarter earning even prospect higher wage touch investor fear inflation economic growth stir anxiety federal reserve be more aggressive raise interest rate keep growth honest ibd take thursday feb market action friday monday market drubbing ibd change market outlook uptrend pressure confirm uptrend equivalent green light turn yellow make sure read big picture column day stay top market prevailing trend so ll know make sense be aggressive move sideline still global recovery have bring new demand technology energy infrastructure rebound oil price have boost demand equipment kind lift industrial turn demand supplier chemical material stock market today index dow industrial nasdaq composite sell yet again treasury yield hit multiyear high stock rally strongly start part expectation strong broad earning growth thomson reuter material sector include company dowdupont eastman company have beat earning most recent quarter highest percentage industry sector measure firm percent company material segment have beat revenue even trouble deepen general electric have weigh growth industrial sector try focus more aviation power health care segment overall have remain solid percent have beat earning revenue ge earning share slide fourth quarter face sec investigation analyst say company be remove dow technology sector technology company have beaten earning estimate lead company advanced micro device amd intel intc xilinx xlnx percent beat revenue strong growth semiconductor semiconductor equipment more tech company be also bring bigger business consumer re see transition consumer base business base be big driver aurelio say so re see thing datum center growth consumer discretionary category quarters company have produce bar result amazon amzn last week turn earning far ahead analyst expectation help gop new tax law broader migration commerce smart device projection alexa be very optimistic far exceed ceo jeff bezos say statement time don see positive surprise magnitude very often expect double earning company thomson reuter health care segment include biotech pharmaceutical health care service come analyst view beat revenue unitedhealth nation largest health insurer be company surpass earning estimate widest margin be pharma distributor cardinal health cah resm rmd align technology algn maker invisalign dental brace earning follow bmo analyst matt borsch follow manage care company hospital other care provider characterize mediocre term volume number inpatient admission outpatient procedure doctor emergency room visit more volume say have be packed end fourth quarter more person meet deductible high deductible plan have become increasingly common have high deductible health plan generally have pretty strong dynamic person average increase utilization significantly ve meet deductible therefore be see more late year say company have report so far largely aren benefit low expectation expectation have remain relatively similar earning quarter compare quarters past be tad higher revenue aurelio say investor make way fourth quarter result market volatility outlook first quarter remain not so bad typically get closer next earning season expectation decrease aurelio say so see growth rate normally drop be go begin year say expectation be earning growth first quarter thursday growth expectation be lower guidance apple aapl many iphone chip supplier so pretty bullish signal say be interested big picture stock repeat bear sell big wage gain sink stock bond reason doubt datadid congress trump just crush stock market rebound brokerage receive fresh lift tax reform rate hike obamacare exchange enrollment show surprise gain trump attack
8,EMN,relative strength rs rating eastman chemical emn head higher percentile friday get lift ibd unique rs rating identify technical performance used worst best score indicate stock price action trail week compare other publicly trade company decade market research reveal best perform stock tend have rs rating north launch largest price move see eastman chemical continue show renew price strength hit benchmark look best stock buy watch start hereeastman chemical be not currently potential buy zone see stock go form chart pattern kick new price move regard fundamental company have post quarters accelerate earning growth sale growth have also rise same period eastman chemical be expect report next quarterly number oct eastman chemical earn rank peer chemical plastic industry group roger rog kraton kra advansix asix be top highly rate stock group related stock be show improve technical action use ibd relative strength rating relative strength line help judge stock
9,EMN,friday eastman chemical emn receive upgrade relative strength rs rating ibd proprietary rs rating measure market leadership show stock price action last week compare other stock database decade market research reveal market biggest winner often have better rs rating begin biggest price move see eastman chemical continue rebound clear threshold look best stock buy watch start herenow be not ideal time jump isn proper buy zone see stock go form base break take look revenue profit performance eastman chemical have post quarters accelerate earning growth sale growth have also rise same time frame company be expect release next quarterly number oct eastman chemical earn rank peer chemical plastic industry group roger rog kraton kra advansix asix be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
