,ticker,content
0,ES,xwilliam cline be go grain cline well know economist isn convince stock market be wildly overvalue increasingly lonely view warning sign mount stock stumble wall street journal headline earlier week investor be run reason keep buy stock expose grow number warning sign journal write most commonly cite be high ratio meaning relationship stock price profit earning june survey investment manager bank america lynch find feel stock be overvalue go back average report earning standard poor stock have be note howard silverblatt recently have be tech company have especially high es not so fast say cline short paper peterson institute washington think tank work statistical comparison past argue suggest conventional wisdom be wrong low inflation low unemployment low interest rate create considerable justification relatively high price earning ratio write stake dispute be substantial weaken stock market hurt real economy production job consumer feel less confident spend less fall market also compound wo president trump have view climb stock evidence support policy be greater medium coverage indicate even cline say market advance have be robust year end year end standard poor index stock rise impressive still note gain be much less increase similar year period lead dot com bubble year end year end rise cline say stock mostly follow profit upward be relatively uncontroversial fundamentally stock be suppose reflect company present expect future profit stock price have increase faster profit raise question market be ride unsustainable speculative wave explanation accord cline be optimism future profit cite forecast investment analyst profit grow rapidly next few year level more investor believe upbeat expectation more justify today high stock price cline rely heavily statistical model attribute stock ratio factor unemployment rate inflation rate interest rate measure rate year treasury note logic low unemployment signify strong profitability good stock higher jobless rate favor opposite higher inflation foster uncertainty weaker profit higher interest rate draw money stock bond certificate deposit cline like result past year write predict ratio have be relatively close actual level reason stock aren trading far outside historical experience suggest takeaway true be market be act mostly rationally aren drive speculation stock be simply more attractive most alternative today even cline calculus rest optimistic assumption strong gain profit muted inflation low unemployment interest rate favorable condition reverse rise interest rate be most obvious vulnerability indeed federal reserve be nudge rate higher pre empt worsening inflation financial speculation also possible turmoil trump administration spill financial market investor conclude many president proposal include so call tax reform stand scant chance passage so stock market not be crazy certainly giddy related market trendshow
1,ES,stock be mixed mostly unchanged friday back forth session xbuyer come short spell news president trump chief strategist steve bannon be white house luster wear quickly rise much nasdaq be hour left go session edge higher dow jone industrial average ease option expire friday result unusually heavy volume particularly nyse nasdaq advance decline line have weaken considerably index bearish outside day july end be distribution day distribution day nasdaq july be major source consternation bull sign institutional selling have be see market top past dow performance wasn too bad consider share nike nke be close fall sympathy foot locker fl plunge weak quarterly result stock market today gold top troy ounce level pull back spdr gold share gld most liquid gold etf give back early gain try clear buy point rise nearly early share be recently trading meanwhile several name ibd utility leader screen look poise upside breakout eversource energy es add work cup shape base buy point american electric power aep picked also work cup shape base entry growth stock have be volatile lately ibd leaderboard name alibaba baba add recent gain rise jump nearly thursday quarter big earning sale growth friday outperformance be fuel several positive analyst comment meanwhile strong earning nice outlook apply material amat fuel gain chip equipment bellwether be trading just day move average carve cup handle base buy point related high profile name set ahead earningsfoot locker hibbett sport crash earning outlook nike fall company want secure home phone case new secular bull run gold
2,ES,slight cool interest rate lately benchmark treasury year bond yield ease friday utility stock respond favorably dow jone utility average rebound week add rebound prior week utility be many defensive stock be lag stock market today dow utility
3,ES,mid early wec energy group wec be not exciting company term cash payout shareholder quarterly payment hover cent cent share year then payment shrank big time plunge cent share december remain level more year
4,ES,sector not only hold manage climb tuesday stock market rout utility sector become haven investor fled most other part market dow utility average spdr utility most widely trade utility etf climb investor often turn utility stock market tumble utility have reliable revenue
5,ES,somewhat turbulent session major index tuesday many stock make ibd utility leader screen show stability not least name have build sound look basis here be brief review chart work utility continue offer stable cash payout prospect capital gain so long federal reserve do not quickly raise interest rate price natural gas do not spike strong job market also benefit utility term attract new customer keep current one eversource energy es last cover column march have arguably build pair handle month saucer base first handle show buy point cent feb intraday high second handle show intraday peak begin reversal march add dime price get alternative buy point notice case eversource do not rebound way back saucer left side high handle form left side peak cup double bottom tend lead successful breakout remember not breakout work electric power utility serve new england clear entry unusual look saucer base june eversource rally just week then drop more next month fortunately share do not venture far week move average new saucer base be born eversource have annual dividend yield paid cent share march ameren aee yield rally past entry nearly month cup handle base feb year now share be testing support rise day move average xcel energy xel yield have form nearly month cup handle base minneapoli base diversify utility have moved steadily rise past entry march cms energy cms have build month cup handle week handle offer entry again eversource xcel see mildly lower handle base be not too far left side high cup annualize yield be related income investor reason dividend play soar income investor invest financial play
6,ES,small cap stock etfs crushed large cap sibling postelection rally last year hope president trump unleash force growth pent america year be crush hope small cap ishare russell iwm jump nov december end have slip year date large cap sibling ishare core ivv rise period sharp reversal fortune small cap be spotlight fourth annual ftse russell small cap summit viewpoint be caution go forward give small cap valuation earning outlook fiscal stimulus say steven desanctis small midcap strategist jeffery co desanctis have be describe cbnc longest run most widely follow small cap strategist wall street speak ibd heel summit comeback small cap company less market capitalization such ibd stock nutrisystem ntri depend top trend play view view other investing expert ftse russell summit russell rhoad director education cboe option institute say index show investor perceive risk small cap market be low indicate begin rotation back small cap raise concern rhoad give market drive sentiment headline unanticipated event shake market smaller stock tend underperform be pickup risk desanctis say shock haven see real elevation volatility add be level last see time dot com bubble say tom goodwin senior index research director ftse russell urge investor keep es perspective cite research show explain third movement share price year horizon be even less predictive future return shorter term valuation be elevated watch point say wouldn want make too much market expectation accelerate gdp growth be part reason small cap run way ahead large cap late last year recently gdp estimate have moderate yield curve have flattened trouble small cap expert desanctis say smaller stock offer best return time however term lag serve etf investor well temper expectation expectation big defense spending big infrastructure spending big tax cut be start slip market pricing reform stock market rally be trouble trump fail deliver small cap especially hard hit desanctis be watch promise economic stimulus happen year become issue really hurt stock need borrow have debt balance sheet desanctis say small cap company need borrow grow thus hurt specifically monetary policy tighten ring especially sweet ears small cap investor accord ftse russell goodwin small cap stock tend perform positively longer time frame extend rate tighten period related be go etf market
7,ES,many investor price earning ratio be single most indispensable indicator stock purchase sadly be putt trust myth surely ratio be most common way gauge stock valuation share price compare company earning usually share price be divide trail month earning share idea be lower ratio more attractive stock be ideal ratio vary many investor look stock ratio equal lower be now trail month basis other valuation method be require read equity analyst be treat finance course accept doctrine here rub decade market research find winning stock tend have ratio value investor consider too expensive even start giant price run long stock have superior fundamental institutional support other trait market winner valuation doesn really matter google owner alphabet googl famously reach ratio share price go september january folly ratio be discover ibd founder chairman william neil conduct research exactly cause stock explode price strong earning growth especially most recent quarters be key factor share winner be usually well acceptable level stock begin big price advance fact es get even higher advance gain strength high ratio neil explain make money stock be result accelerate earning growth be attract institutional investor stock cause share price soar today market include new example successful stock have defy norm price earning expectation veeva system veev top buy point last cloud base software maker life science time have lofty ratio veeva continue climb thank largely strong earning report late push stock week high november veeva break past buy point week flat base ratio be today share be trading new issue planet fitness plnt break large cup handle last july time price earning ratio be didn matter chain gym rise nearly buy point start new base related invest correct buy point mark time great opportunitywhen buy stock big winner produce cup handle basewhen sell stock maintain good defense quickly cut loser quickly
8,ES,oil fall libyan port be set resume shipment drill revival undermine potential opec output curb rebalance market future drop new york saudi arabian energy minister khalid al falih say march kingdom extend cut supply stay year average day later datum show rig count grow ninth week libya official say sunday es sider ra lanuf port be prepare restart oil export oil price dip barrel first time month record american stockpile rise output weigh production reduction opec ally organization petroleum export country win decide prolong cut minister include russia novak meet weekend kuwait discuss deal progress money manager cut net long position oil record reopen libyan port be reason today drop rig count doesn help bob yawger director future division mizuho security usa inc new york say phone drop net length be signal speculator market be vulnerable west texas intermediate crude april delivery expire tuesday fall cent settle barrel new york mercantile exchange more actively trade contract drop cent total volume trade be day average brent settlement slip cent barrel london base ice future europe exchange global benchmark crude close premium wti widest january future briefly pare loss reuter report opec producer increasingly favor extend production cut second half year be probably short blip michael cohen head energy commodity research barclay new york say phone spread isn sustainable forecast be wti go discount early year discount cent second third quarters oil driller boost rig count last week datum baker hughe show have add machine field year nation crude output have climb barrel day most february last year accord energy information administration agency be project report crude stockpile rise barrel last week accord median response bloomberg survey re very precarious position ahead be important report wednesday yawger say finally get inventory drop last week report come big drop import have be temporary market take barrel build breaking back libya es sider ra lanuf port restart shipping oil week day jadalla alaokali board member national oil corp say phone country oil output have increase barrel day sunday due more production waha oil co say
9,ES,oil extend longest winning streak more month market anticipate output cut opec opec producer help speed elimination supply glut future advanced new york climb seventh session gain equity market price be set recover next year production cut help rebalance oversupplied market saudi arabia energy minister khalid al falih say last week opec nation outside group include russia have agree trim barrel day next year oil have trade barrel organization petroleum export country agree last month curb production first time year iraq second biggest opec producer be fully commit accord oil minister jabbar al luaibi say thursday cairo meeting organization arab petroleum export country opec partner have establish committee monitor cut ensure producer abide pledge opec secretary general mohammad barkindo say opec be say right thing production cut win be assessed later january kyle cooper director research iaf advisor houston say phone bullish market have be able hold barrel big psychological level west texas intermediate crude february delivery rise cent barrel new york mercantile exchange earlier advance highest intraday level week be trading monday christmas holiday total volume trade be day average price be year brent february settlement climb cent barrel london base ice future europe exchange global benchmark be premium wti lot strength market be mostly result optimism production cut go start new year gene mcgillian manager market research tradition energy stamford conn say phone still be uncertainty shale production negate large part cut say driller add rig eighth straight week baker hughe inc report friday oil rig count rise last week highest level january gasoline future february delivery rise gallon february gasoline crack spread rough measure profit refine crude gasoline climb cent barrel
