,ticker,content
0,ETN,cite solid long term growth strategy bank america lynch upgrade share eaton etn raise target price lift profit estimate firm raise eaton neutral underperform put new share price target note thursday analyst attend eaton analyst day see company
1,ETN,eaton etn see welcome improvement relative strength rs rating monday increase unique rating measure technical performance show stock price action last week measure other stock database year market history show top perform stock typically have rs rating north launch largest run see eaton continue rebound hit benchmark look winning stock try simple routineeaton break earlier have fall back prior entry cup handle stock re tracking clear buy point then retreat more original entry price consider fail base stock set new chart pattern buy point also understand latest pattern be later stage base make riskier establish new position add share exist earning growth fall most recent quarter revenue moved higher company hold rank peer diversify operation industry group cheme che roper technology rop honeywell international hon be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
2,ETN,diversify industrial stock eaton etn have do good job improve profit margin tax margin come highest least quarters third quarter report eaton say rise profit margin be higher sale volume saving restructure increase be impressive consider pressure commodity inflation
3,ETN,most hurt trump administration plan tariff steel aluminum include unite technology utx ingersoll rand ir johnson control jci rbc capital market warn note date sunday rbc capital deane dray also caution atkore international atkr eaton corp etn pentair pnr feel pain especially trump set storm stock market thursday say impose tariff steel import aluminum import say monday doesn think be trade war add be not back tariff eaton have already size tariff impact potential headwind earning share dray note overall tariff squeeze term margin manufacturer automobile hvac system electrical equipment construction build product dray add still rbc expect multus industry company eventually withstand tariff impact cite strong underlie fundamental manufacturing sector recent tax reform windfall share unite technology close stock market today report republican congress be push back more tariff plan ingersoll rand dip johnson control gain eaton rally atkore gain pentair rise use ibd marketsmith free march
4,ETN,see stock buy point get chart pattern recognition run custom screen start nowmeanwhile dray rbc colleague joseph spak argue friday term impact steel tariff automaker be minimal give buy commodity regionally contractual buy effect be inflationary time goldman sachs warn friday higher steel cost hit ford gm profit represent adjust operate income respectively cnbc report addition multinational high sale such mmm boee ba face risk retaliation trading partner goldman say monday height capital market say white house be push finalize release proposal steel tariff late thursday early friday order dominate news cycle weekend steel heavy western pennsylvania give republican candidate rick saccone boost special election house representative march firm clayton allen write note allen former government policy advisor warn lack progress detail such legal justification move compliance wto rate yet derail tariff expect trump administration soften position slightly implement tariff quickly exemption country company specific level possibility jpmorgan analyst believe quota be better option just tariff alternative remedy commerce secretary wilbur ross have propose president trump option tariff steel import country quota product steel import other country equal export option quota import country steel product be better alternative view jpmorgan michael gambardella write same day trump propose tariff be announce be interested tech stock be set find key big picture bull pound bear changetrade war not stock ibd share winning trait stock market forecast smaller price gain foreign tiltwhere be market head look pastinvestment pro stock
5,ETN,stock sell gold price usually rise stock market fall sharply stock market today president trump cancele upcoming summit north korean leader kim jong key market index however pare loss close north korea have make progress agree dismantle latter nuclear program side appear be back exchange barb again trump scuttle summit north korea be not surprising still produce uptick geopolitical uncertainty be bullish safe haven gold silver kitco senior technical analyst jim say accord article kitco gold future rise more ounce precious metal be see safe haven investor have be trading lowest level december price move boost gold fund get newsletter deliver inbox more info product service privacy policy term usespdr gold share gld track price gold be get close regain day line high be start build right side base potential buy point gld be last featured etf column april be bounce day move average fund be year date wednesday accord morningstar inc vs gain fund be slightly ahead april gold etf average annual return past year sharply lag performance same period gld carry expense ratio ishare gold trust iau bear expense ratio show similar price action gld ishare fund marked anniversary january be wednesday average annual return past year also underperform wide margin other way invest gold include be few idea prefer leverage play target double triple performance inverse performance underlie index be aware tend be more volatile nonleveraged counterpart usually have higher expense ratio also be interested investor play high yield sector lead dow stock key way play chip stock micron soar again new idea play top ai bitcoin blockchain stock
6,ETN,technology oil be top perform etfs past month health care cocoa lead respective sector commodity category little change occur top diversify stock fund category broader market remain relatively stable past month be close race top performer be separated basis point most first trust dorsey focus fv moved spot take lead year date gain accord morningstar direct powershare pure growth rpg last month top fund tie fv return former guggenheim pure growth undergo name change invesco complete acquisition guggenheim etf business april first trust dorsey dynamic focus fvc technically stay ytd advance move notch be powershare qqq trust qqq also weigh gain fv provide exposure first trust sector industry base etfs dorsey associate think have potential outperform fvc also offer exposure first trust etfs nasdaq bill index risk management strategy get newsletter deliver inbox more info product service privacy policy term usea little more movement occur sector fund category powershare small cap health care portfolio psch take top spot return last month winner etfmg prime cyber security hack follow close gain first trust dow jone internet fdn moved step third return aside big surge psch technology focuse fund continue dominate sector performance list richard turnill blackrock chief global investment strategist remain bullish equity tech stock particular extraordinarily strong earning momentum corporate tax cut fiscal stimulus underpin positive view write recent commentary momentum value style factor well financial technology foreign sector see bigger change vaneck vector egypt egpt rushed top ytd gain ishare msci saudi arabia ksa fall second place advance global msci norway norw hop third ninth commodity category cocoa show continue strength ipath bloomberg cocoa subtr etn nib hold court gain oil play slide second third fourth place push wheat grain lower west texas intermediate crude make headline week first price top then take barrel multiyear high trump administration decision withdraw iran nuclear treaty deal boost oil price thursday expectation tighter global supply powershare db oil dbo unite state oil uso unite state brent oil bno moved fifth sixth seventh place respectively dbo gain year date uso bno rise persian gulf related geopolitical risk have help fuel double digit gain oil year blackrock turnill say favorable supply demand picture have provide additional juice make oil top perform asset class investor seek exposure oil now see more appeal energy equity commodity do favor energy stock underlie commodity oil price have run well ahead energy stock year trend have start turn note factor support energy firm focus capital discipline evident first quarter earning result past oil market rally company be not make huge investment future production instead be used free cash flow return capital shareholder increase buyback dividend also be interested tech stock etfs lead sector past month market volatility shake market volatility go past way profit surge sector trump bump
7,ETN,problem investing be lose money sometimes lot investor velocityshare daily inverse vix short term exchange trade note xiv learn hard way product blow have be liquidate leave investor big loss now re sue credit suisse group cs note issuer janus index calculation service publisher note intraday indicative value close indicative value xiv be exchange trade product track cboe volatility index better know vix xiv wasn etf exchange trade note etn etns don hold underlie security stock bond re unsecured debt instrument issue bank promise pay performance index xiv promise pay inverse vix vix go xiv go amount vice versa do buy shorting vix future xiv have become popular previous year have return accord eric balchuna senior etf analyst bloomberg intelligence then feb vix jump report say note price be et fall time indicative value be not update second be typical janus index calculation service be responsible provide estimate note value note have lose more value credit suisse enact provision next day close etn prevent further loss get newsletter deliver inbox more info product service privacy policy term use issuer build cushion so lose value liquidate do say peter shea partner law firm gate instance vix shot so high eat cushion end day investor be sue say suffer damage rely integrity market paid artificially inflate price note plaintiff class not have purchase note price paid have be aware market price have be artificially falsely inflate defendant mislead statement accord court document credit suisse tell ibd publicly available prospectus accurately fully disclose risk investment xiv be only intend sophisticated institutional client credit suisse do not engage conduct design mislead investor regard xiv value cause feb decline xiv price janus be not available comment person sue ll say didn realize get liquidate have loss lock other word didn read prospectus shea say very sophisticated product lot person don have basic understand have simplified disclosure educate basic so lot retail investor stay away product deny be painful say bloomberg balchuna be kind manipulation haven see doesn seem much case everything be disclose prospectus etn track be tracking vix future have good day etn have bad re inverse future go much go exchange trade product suffer huge loss feb well manage stay open proshare short vix short term future etf svxy also fall day feb fund change give inverse performance half inverse vix short term future index single day fund meet new objective day index fall fund rise approximately fee similarly day index rise fund fall sister fund proshare ultra vix short term future etf uvxy now seek give half time performance vix short term future index single day fund meet new objective day index rise fund rise approximately change be make notify shareholder proshare say believe be best interest fund shareholder promptly implement change proshare decline comment also be interested capture more upside less downside low volatility etfsblockchain expand bitcoin amazon nvidia alibabais portfolio ready handle increase market volatility
8,ETN,exchange trade fund popularity keep grow investor plow money popular low cost vehicle offer access basket stock trend doesn appear be wane combine asset etfs surge january accord investment company institute year total number etfs rise january year launch very first etf spdr spy be now fund available variety category style gain further insight etfs potential benefit growth outlook checked todd rosenbluth senior director etf mutual fund research cfra cfra acquire global rosenbluth be director etf mutual fund research capital iq previous experience include manage editor value line mutual fund survey financial advisor morgan stanley full interview rosenbluth also discuss current trend etf space follow ibd investor own etfs rosenbluth investor want exposure stock bond market look etfs typically provide low cost exposure broad investment category narrower thesis benefit diversification transparency example rather own just merck mrk investor health care select sector spdr xlv fidelity msci health care index etf fhlc hold merck peer include johnson johnson jnj pfizer pfe company other related industry include medtronic mdt unitedhealth group unh actively manage mutual fund investor see daily etf determine think continue fit portfolio ibd be too many etfs rosenbluth approximately third cfra rate etfs come market march so think investing investor determine etf serve legitimate investing purpose so more likely gain sufficient asset be viable keep mind cfra rate far more mutual fund etfs several dozen asset manager offer similar sound product give sentiment shift lower cost etfs away more expensive mutual fund cfra expect more mutual fund be close merged response get ibd market prep tech report newsletter free ibd do think fuel further etf growth hinder growth rosenbluth investor advisor adoption etfs design support asset allocation need be go further drive etf growth vanguard voo ishare core msci eafe iefa be example such well diversify product more investor gain comfort etfs money continue flow establish come product investor always favor mutual fund wrapper want active management address many large asset manager include davis fund legg mason pimco vanguard offer actively manage etfs area potential growth ibd even factor base etfs aren new smart beta continue be buzzword have contribute rise popularity smart beta fund rosenbluth actively manage mutual fund struggle keep return msci eafe index investor be seek alternative smart beta etfs launch last year include popular goldman sachs activebeta large cap equity gslc ishare edge msci multifactor usa etf lrgf combine factor approach offer diversify yet lower cost approach quantitative investing here again many large asset manager have expand etf presence used smart beta product response grow demand last month jpmorgan minimum volatility jmin oppenheimer russell low volatility factor ovol usaa msci usa value momentum blend index etf ulvm have launch be cover cfra research ibd esg environmental social governance fund have be news too do think last trend rosenbluth esg mutual fund asset have be quite sticky even many actively manage mutual fund slowly bleed asset favor index base etfs expect time esg etfs gain traction investor further embrace etfs put money work focuse conviction value ibd new trend re see now rosenbluth re see investor look more closely thematic etfs traditional sector well diversify etfs etfs focus robotic blockchain other potentially long term investment trend more narrowly construct product such global robotic artificial intelligence botz robo global robotic automation index robo reality share nasdaq nexgen economy blcn innovation share nextgen protocol etf koin tend charge premium price relative market cap weight etfs more asset manager compete investor interest fee have continue move lower ibd type etfs do expect outperform interest rate rise rosenbluth equity etfs cfra think more economically sensitive sector include financial industrial benefit rate rise due strong economy vanguard financial index etf vfh ishare transportation average iyt be couple example addition interest rate rise cfra be focuse bond etfs limit interest rate sensitivity low duration product reduce downside impact federal reserve raise rate ishare year investment grade corporate bond shyg spdr bloomberg barclay short term high yield bond etf sjnk be example short term etfs rate favorably cfra ibd give feb market sell early redemption velocityshare daily inverse vix short term etn xiv be thought vix tie volatility etfs be appropriate type investor rosenbluth vix base product be not rate cfra focus etfs directly hold stock bond not derivative however investor need understand inverse leverage etfs aggressively move warning loss pile quickly ibd do xiv early redemption mean harder investor manage risk so do affect market operate rosenbluth xiv be exchange trade note not traditional etf be other product ve talk etns investor need understand be issuer risk consider top usual investment risk etf shut investor get fair warning understand portfolio help track receive hold product close xiv mechanic be much different road closure be much shorter important note however happened xiv be spel prospectus so be less example larger market issue more example investor need know exactly re get involved particularly leverage inverse volatility product ibd be sound strategy long term investor etfs rosenbluth long term investor regularly review etfs re hold understand security fit go forward investor also periodically rebalance asset position do not move tandem not necessarily stand still even passively manage etfs ibd do cfra assess etfs do differ other industry researcher rosenbluth cfra provide forward look rating more etfs combine holding analysis fund attribute include expense ratio technical analysis etf much cost be bigger driver future return year track record well track typically unique index etfs rate favorably cfra do so have confidence valuation risk consideration holding also compare etfs separate mutual fund relevant metric differ other compare active mutual fund try beat etfs such spdr seek replicate index equity etf rating launch nearly year global umbrella top rate etfs have outperformed index bottom rate etfs have underperform equity fund research be acquire independent research provider cfra research late investor learn more https newpublic cfraresearch com email protected rosenbluth be twitter also be interested blockchain expand bitcoin amazon nvidia alibabafirst trust launch new blockchain etf meet demanddow back apple reversal gold shine bitcoin fall
9,ETN,exchange trade product tracking vix future be see first sign life investor yanked more etps follow spike market volatility velocityshare daily vix short term etn know ticker tvix take more week first time etn have see inflow month accord bloomberg datum proshare ultra vix short term future fund uvxy gather datum show fund promise provide twice performance cboe spx volatility index fund have be hemorrhage money equity selloff send vix highest level year feb price uvxy example soar much day then plunge record follow session meantime buyer also have be pour money strategy bet volatility proshare vix short term future fund ticker svxy see single day inflow almost follow market rout vix show hint normalcy slide back soar most record last week investor be comfortable bet market calm again
