,ticker,content
0,ETR,friday entergy etr earn upgrade relative strength rs rating look best stock buy watch factor watch closely be relative price strength ibd unique rating track market leadership worst best score grade show stock price movement trail week hold other stock database history reveal market biggest winner typically have better rs rating begin largest climb see entergy continue rebound clear threshold see ibd help make more money stocksentergy be build saucer handle entry see stock break heavy trading earning growth decline last quarter revenue moved higher company hold rank peer utility electric power industry group idacorp ida aes aes be also group highest rate stock get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
1,ETR,more stock be back ibd utility leader screen include entergy etr boast dividend yield new orlean base entergy provide electricity customer arkansa louisiana mississippi texas also supply natural gas customer baton la new orlean week company report first quarter earning miss expectation ep increase revenue climb favorable weather first quarter help make good comparison vs year period majority entergy earning come regulate utility business provide base consistent earning cash flow company hilliard lyon analyst david burk note post earning report get newsletter deliver inbox more info product service privacy policy term useentergy also have major merchant generation business have be challenge business recent year burk say company be exit analyst say strategy make sense reduce long term risk take year implement company now estimate be business such view entergy most suitable utility investor somewhat more risk solely regulate utility burk write have neutral rating stock entergy share be work cup type base buy point chart action isn meaningful utility stock entergy numerous breakout past many year have result minor moderate gain stock be more valuable investor dividend play pay quarterly dividend cent share translate solid annualize dividend yield be increase couple cent past year analyst expect full year earning share decline vs last year sale be expect climb accord thomson reuter last week earning report entergy affirm operational earning guidance share related nextera energy extend dividend hike beat earning view occidental petroleum thrive permian basin set bullish base
2,ETR,relative strength rs rating el paso electric ee moved new percentile wednesday get lift look best stock buy watch keep close eye relative price strength unique rating track technical performance show stock price movement last week compare other stock database year market history show top perform stock often have higher rs rating early stage move see el paso electric continue show renew price strength hit benchmark look best stock buy watch start hereel paso electric be still buy zone breaking past buy point cup handle proper buy range be initial entry once stock hit benchmark best set buy opportunity company report ep growth most recent report sale growth come company earn rank peer utility electric power industry group aes aes firstenergy fe entergy etr be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
3,ETR,westar energy wr have relative strength rs rating upgrade friday welcome improvement still higher score look look best stock buy watch keep close eye relative price strength ibd proprietary rs rating track market leadership used worst best score indicate stock price action last week match other stock year market history show stock go make biggest gain tend have higher rs rating begin largest climb see westar energy continue rebound clear threshold look winning stock try simple routinewestar energy be build cup handle buy point see clear price volume least average company report negative growth sale earning last quarter westar energy be expect release next quarterly number westar energy earn rank peer utility electric power industry group entergy etr idacorp ida aes aes be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
4,ETR,westar energy wr have relative strength rs rating upgrade monday welcome improvement still short better score prefer see look best stock buy watch factor watch closely be relative price strength ibd unique rating measure price performance worst best score grade show stock price performance last week hold other stock database year market history reveal top perform stock tend have rs rating least launch largest price move see westar energy continue rebound hit benchmark see ibd help make more money stockswestar energy be try complete cup handle entry see clear price heavy volume westar energy post negative growth top bottom line last quarter westar energy be expect release next quarterly number westar energy earn rank peer utility electric power industry group entergy etr firstenergy fe aes aes be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
5,ETR,electricity consumption tie bitcoin other digital currency computer network give boost utility create partnership opportunity renewable energy developer say morgan stanley report overall impact increase demand seem minimal time key utility beneficiary highlight include american electric power aep xcel energy xel entergy etr nichola ashworth morgan stanley analyst say report client publish wednesday utility serve region lowest cost electricity american electric power xcel be take advantage low cost wind power drive rate even lower be also potential wind solar developer highlight nextera energy nee pattern energy pegi get involved supply firm renewable power solution concentrated mining operation ashworth add digital currency transaction require energy intensive computer network public ledger call blockchain provide record digital token be first mine used compute power bitcoin verify transaction add blockchain earn miner specific number bitcoin design bitcoin mining software make very expensive term compute power electricity add new block cryptocurrency power use be face more scrutiny particularly china official be concern miner be take advantage low electricity price part such midwest northwest also offer mining network low power cost ashworth say report ibd take find best stock buy be tricky investor business daily make easy educational tool stock list research leaderboard more electricity consumption bitcoin be great forecast global electric vehicle morgan stanley add however theory bitcoin energy usage decline long run network be design produce block minute regardless energy use bitcoin reward mining block however half year next time be become unprofitable mine then theory less mining occur related be resistance stock warning chip sector investor bitcoin blockchain private industry ain see nothing yetjust many more blockchain pretender bring bitcoin cryptocurrency news trend
6,ETR,tuesday entergy etr receive positive adjustment relative strength rs rating unique rating identify technical performance show stock price movement last week compare other stock database history show best stock tend have rs rating begin biggest price move see entergy continue rebound clear threshold look winning stock try simple routineentergy have moved more past entry first stage double bottom meaning now proper buy zone look stock offer new buy opportunity week tight pullback day week line earning growth picked last quarter revenue gain fall company hold rank peer utility electric power industry group edn pampa energia pam pnm resource pnm be top highly rate stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
7,ETR,putt together watch list focus stock higher rs rating entergy etr now meet criterium jump wednesday ibd proprietary rating measure market leadership worst best score rating show stock price movement last week compare other stock database history reveal best stock often have rs rating north begin biggest climb see ibd help make more money stocksentergy be now consider extend buy range clear buy point first stage double bottom see stock form new pattern follow buy opportunity week tight pullback day week line earning growth increase company latest report top line fall company hold rank peer utility electric power industry group edn pampa energia pam pnm resource pnm be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
8,ETR,friday entergy etr get upgrade relative strength rs rating ibd proprietary rating measure market leadership worst best score rating show stock price performance last week hold other stock database year market history show best stock tend have better rs rating launch biggest price move see entergy continue show renew price strength hit benchmark see ibd help make more stocksentergy have moved more past entry first stage double bottom meaning now proper buy range look stock offer new chance pick share week tight pullback day week move average top bottom line growth moved higher last quarter earning be compare prior report revenue increase company be expect report latest result oct entergy hold rank peer utility electric power industry group edn pampa energia pam nextera energy nee be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
9,ETR,importance timing buy stock be perhaps nearly important steady eddie income play be turbocharge growth company take xcel energy xel column already featured xcel member ibd diversify utility industry group time year march april former day right side
