,ticker,content
0,EXPD,wednesday hub group hubg get upgrade relative strength rs rating ibd unique rating identify market leadership worst best score rating show stock price movement trail week hold other stock database year market history show stock go make biggest gain often have rs rating least begin largest run see hub group continue rebound clear threshold look winning stock try simple routinehub group be build cup handle buy point see clear price volume least higher normal top bottom line growth moved higher company most recent quarter earning be compare prior report revenue increase hub group earn rank peer transportation logistic industry group zto express zto xpo logistic xpo expeditor international expd be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
1,EXPD,relative strength rs rating zto express zto climb new percentile thursday rise exclusive rating investor business daily measure market leadership worst best score rating show stock price movement last week stack other stock database year market history reveal market biggest winner tend have rs rating early stage move see ibd help make more money stockszto express be now consider extend buy range clear buy point first stage cup handle see stock form new pattern follow buy opportunity week tight pullback day week line top bottom line growth moved higher company most recent quarter earning be compare prior report revenue increase company be expect report latest result nov zto express earn rank peer transportation logistic industry group expeditor international expd be top rank stock group related stock be show improve price performance use ibd relative strength rating relative strength line help judge stock
2,EXPD,welcome move ch robinson worldwide chrw see relative strength rating rise wednesday ibd proprietary rs rating track technical performance used worst best score show stock price action last week stack other stock database year market history reveal market biggest winner often have rs rating north launch largest climb see ch robinson worldwide continue rebound hit benchmark see ibd help make more money stocksch robinson worldwide be now consider extend buy range clear buy point first stage cup handle see stock form new pattern follow buy opportunity week tight pullback day week line earning grow last quarter prior report revenue also increase company earn rank peer transportation logistic industry group xpo logistic xpo expeditor international expd schneider national sndr be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
3,EXPD,welcome move expeditor international expd see relative strength rating improve thursday proprietary rating track market leadership used worst best score indicate stock price action trail week match other stock history show best perform stock typically have rs rating north early stage move see expeditor international continue rebound hit benchmark expeditor international be trading buy range breaking past buy point cup handle once stock move higher initial entry consider proper buy zone ep growth decline last quarter revenue rise company hold rank peer transportation logistic industry group xpo logistic xpo be top rank stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
4,EXPD,welcome move schneider national sndr see relative strength rating improve wednesday ibd proprietary rating track market leadership worst best score grade show stock price movement last week hold other stock database year market history show market biggest winner typically have rs rating north early stage move see schneider national continue show renew price strength clear threshold schneider national have rise more past entry first stage ipo base meaning now proper buy zone look stock offer new buy opportunity week tight pullback day week move average company post earning growth last quarter revenue gain come look next report jul company hold rank peer transportation logistic industry group xpo logistic xpo yerr expeditor international expd be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
5,EXPD,pop quiz tell individual investor ve be pay sufficient attention market today question sector have advanced most ranking early november say bank be wrong understandably so early november bank sector be already sector thank expectation higher interest rate go tuesday
6,EXPD,transportation sector soar ibd sector just presidential election current slot transport begin rally election dow transportation index rise nov highest mark year strength run industry sector trucking shipping railroad airline
7,EXPD,stock index suffer worst loss week tuesday afternoon trade nasdaq sever dow jone industrial average slash respectively small cap russell lead loser drop volume stock market today be emphatically higher major exchange utility provide shelter dow jone utility average pull back gold be different story ishare gold trust iau exchange trade fund gap ibd gold mining industry group surge newmont mining nem race more higher score new high find winner top rate stock be hard task ibd only stock rise only show strong volume grubhub grub provider online takeout order restaurant grab gain volume average lower rate stock freight logistic provider expeditor international expd break base date october stock jump volume average expeditor beat wall street consensus number earning fall bit shy revenue seattle base company ep rating be mean company ibd database be grow earning faster west texas intermediate crude oil future slide fall barrel
8,EXPD,trio lead stock break new high tuesday broader market decline trex trex rally surpass buy point cup handle base heavy trade share hit record high re now extend entry well higher buy point base open price
9,EXPD,stock moved worst intraday level tuesday head final hour regular trading session only dow stock be higher apple aapl pfizer pfe continue pressure blue chip index nasdaq be shed dow jone industrial average give volume be higher board vs same time monday pfizer lead dow loser loss more average volume quarterly beat share jump year high monday be still handle buy point clear july drug giant have still not say split company go forward suppose make announcement end year apple also weigh blue chip index stock be trading best level more month appear be run resistance level iphone maker last week report profit sale decline second straight quarter result beat forecast share rally week retail airline apparel stock be biggest loser stock market today tire maker drugstore software stock lead scant upside cvs health cvs gap surge regain day day line fast turnover drugstore giant report mixed result earning top view sale miss cvs narrow full year ep guidance earlier outlook new midpoint be consensus estimate trex trex gap soar massive volume month high report earning sale top view expeditor international expd also break clear cup handle buy point busy trade logistic service provider report profit beat estimate revenue miss forecast ibd only stock be buck downtrend lead grubhub grub share online restaurant order platform provider climb hefty trade be highest level year downside be lead discount retailer well broadsoft bsft ellie mae elli more
