,ticker,content
0,EXR,real estate investment trust reit outperformed broader equity market first month year accord new report national association real estate investment trust apartment reit lead various sector return end september nareit say follow infrastructure self storage reit respectively total return reit nareit index period be little dividend yield total return reit world be defined stock dividend income capital appreciation taxe commission positive economic trend have increase demand commercial real estate year supply new property remain tight historical standard say nareit ceo steven wechsler statement accompany result such market condition provide support key reit fundamental such occupancy rate rental income cash flow dividend growth say apartment reit be also strongest performer ibd finance property reit industry group group be not rank highly group track top rate apartment performer include avalonbay community avb post property pps high ibd composite rating possible brookfield property partner bpy be also active multifamily other commercial property have rating infrastructure american tower amt hold cr second largest group market cap shopping center giant simon property group spg have cr self storage reit extra space storage exr sovran self storage sss rate
1,EXR,major average reversed early gain wednesday didn crimp wednesday new high list several top rate name turn solid performance illumina ilmn surge heavy volume clear double bottom buy point day wall street cheer strong earning report late monday gene sequence company report earning share cent
2,EXR,self storage company cubesmart cube have be increase dividend early
3,EXR,quarterly dividend payout rise cent share cent share january april
4,EXR,give cubesmart best dividend growth rate self storage stock carry asterisk cubesmart slash dividend twice recession
5,EXR,current dividend work annualize yield be lowest vs other storage stock finance property reit industry group
6,EXR,other stock be extraspace storage exr public storage psa sovran self storage sss
7,EXR,apart best dividend growth rate cubesmart have best volume ratio be well neutral
8,EXR,cubesmart be work first stage base
9,EXR,stock advance pause consolidate first second stage base be more likely work later stage basis
10,EXR,stock clear buy point handle april be drawback market be correction volume didn meet desire minimum increase handle be low base research show low handle be more likely fail
11,EXR,however cubesmart get second shot stock be sketch new handle buy point
12,EXR,fund operation increase most recently past quarters revenue step same period
13,EXR,demand storage be tie person move discretionary spending general economy rate storage unit have be rise ceo chris marr say friday discuss latest result entire industry be do well marr say self storage company cubesmart cube have be increase dividend early quarterly dividend payout rise cent share cent share january april give cubesmart best dividend growth rate self storage stock carry asterisk cubesmart slash dividend twice recession current dividend work annualize yield be lowest vs other storage stock finance property reit industry group other stock be extraspace storage exr public storage psa sovran self storage sss apart best dividend growth rate cubesmart have best volume ratio be well neutral cubesmart be work first stage base stock advance pause consolidate first second stage base be more likely work later stage basis stock clear buy point handle april be drawback market be correction volume didn meet desire minimum increase handle be low base research show low handle be more likely fail however cubesmart get second shot stock be sketch new handle buy point fund operation increase most recently past quarters revenue step same period demand storage be tie person move discretionary spending general economy rate storage unit have be rise ceo chris marr say friday discuss latest result entire industry be do well marr say
14,EXR,potlatch pch have relative strength rs rating upgrade monday welcome improvement still shy higher score prefer see look best stock buy watch factor watch closely be relative price strength exclusive rating investor business daily identify market leadership worst best score rating show stock price performance last week hold other stock database decade market research reveal stock go make biggest gain often have rs rating north early stage move see potlatch continue show renew price strength clear threshold look winning stock try simple routinepotlatch be build consolidation buy point see clear price volume least average top bottom line growth moved higher last quarter earning be compare prior report revenue increase look next report apr company hold rank peer finance property reit industry group ryman hospitality property rhp extra space storage exr innovative industrial property iipr be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
15,EXR,cubesmart cube have relative strength rs rating upgrade monday welcome improvement still better score look look best stock buy watch keep close eye relative price strength ibd proprietary rs rating identify market leadership show stock price action last week compare other stock database year market history show best perform stock often have rs rating early stage move see cubesmart continue rebound hit benchmark look best stock buy watch start herecubesmart break earlier have fall back prior entry cup handle case stock break then fall more entry price consider fail happen best new base form also keep mind most recent consolidation be later stage base make riskier establish new position add share exist company post earning growth latest quarterly report sale growth come next quarterly result be expect apr company hold rank peer finance property reit industry group ryman hospitality property rhp extra space storage exr innovative industrial property iipr be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
16,EXR,thursday sun community sui earn upgrade relative strength rs rating look best stock buy watch factor watch closely be relative price strength ibd unique rating identify market leadership worst best score grade show stock price performance trail week stack other stock database decade market research show top perform stock typically have better rs rating begin biggest run see sun community continue rebound clear threshold see ibd help make more money stockssun community be build consolidation entry see stock clear price volume least higher normal top bottom line growth moved higher company most recent quarter earning be compare prior report revenue increase keep eye company next round number apr company hold rank peer finance property reit industry group ryman hospitality property rhp extra space storage exr cubesmart cube be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also stock be show improve technical action use ibd relative strength rating relative strength line help judge stock
17,EXR,thursday potlatch pch get positive adjustment relative strength rs rating look best stock buy watch factor watch closely be relative price strength ibd unique rating identify price action worst best score grade show stock price movement last week hold other stock database decade market research show best stock often have rs rating least launch largest run see potlatch continue show renew price strength hit benchmark look winning stock try simple routinepotlatch be work consolidation entry see clear price heavy volume potlatch see earning sale growth rise last quarter earning share increase revenue rise look next report apr company earn rank peer finance property reit industry group extra space storage exr be top rank stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
18,EXR,rexford industrial realty rexr have relative strength rs rating upgrade thursday welcome improvement still short better score prefer see look best stock buy watch factor watch closely be relative price strength ibd proprietary rating track market leadership worst best score grade show stock price movement trail week hold other stock database decade market research reveal best perform stock typically have better rs rating begin largest run see rexford industrial realty continue show renew price strength hit benchmark see ibd help make more money stocksrexford industrial realty be build consolidation entry see break heavy trading ep growth drop last quarter revenue rise rexford industrial realty hold rank peer finance property reit industry group terreno realty trno extra space storage exr ryman hospitality property rhp be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
