,ticker,content
0,FISV,tuesday rally bring fresh breakout not be successful tyler technology tyl break past buy point flat base turn tail be trading lower minute stock finished close volume be average company provide management local government only news
1,FISV,specialty financial service industry be rise quickly better expect earning report many leader stock group encompass financial exchange company monitor consumer credit climb place past week group wednesday ibd number group leader be buy area
2,FISV,management entail lot little detail set new employee computer password handle question health benefit vacation time
3,FISV,just starter list
4,FISV,servicenow now have become fastest grow company technology automate key activity task process make day day work life
5,FISV,firm say cloud base software service management model replace email interoffice phone call spreadsheet change way person work
6,FISV,personal life have apps help get manage information customize need want think app work say servicenow spokeswoman
7,FISV,grow number customer want servicenow cloud solution company go public revenue have grow compound annual rate
8,FISV,dollar year
9,FISV,revenue jump management expect revenue year increase
10,FISV,very few company be grow revenue base say kirk materne analyst evercore isi
11,FISV,most revenue be subscription base servicenow doesn record revenue upfront bill cycle contract be typically year recognize expense upfront revenue lag create mismatch say rob owen analyst pacific crest security
12,FISV,earning say be lag indicator cash flow billing be more lead indicator
13,FISV,backlog defer revenue combine year end totale prior year
14,FISV,company have see growth billing time say owen cash flow be just start move negative positive be earning say
15,FISV,analyst poll thomson reuter anticipate servicenow log first annual profit year year cent share cent loss expect earning more double next year cent
16,FISV,re start see leverage get bigger materne say
17,FISV,last spring investor seem have look past lack profit future gain send share low april
18,FISV,servicenow be founder target department initially be expand reach area such human resource legal facility management marketing
19,FISV,re see end customer develop apps servicenow platform owen say very compelling solution be displacing lot traditional legacy capability include help desk
20,FISV,customer try unique apps
21,FISV,example state department wildlife create custom app servicenow keep track endanger animal fashion retailer set app servicenow enable store manager report security incident such shoplifting break window threat
22,FISV,servicenow be move just be service become platform provider materne say add also be build specific apps run platform
23,FISV,servicenow plan open online app store customer date yet be set materne liken salesforce com crm appexchange
24,FISV,part compete salesforce servicenow core constituent be market salesforce com be marketing materne say have tremendous opportunity front don view mutually exclusive
25,FISV,salesforce com be first set customer relationship management database salesperson have moved more broadly organization owen say say servicenow be deploy similar land expand strategy
26,FISV,servicenow also have modest overlap cloud player workday wday be focuse human resource so call human capital market materne say add workday compete more directly oracle orcl sap sap
27,FISV,be more opportunity partner workday compete say help other sell grow customer basis re disrupter broader enterprise software world
28,FISV,materne say servicenow have significant mind share lead legacy competitor such bmc software bmc hewlett packard hpq technology be try catch have own issue
29,FISV,more servicenow new customer be part global world largest company accord management
30,FISV,customer range bagel eatery chain einstein noah restaurant group global firm astrazeneca azn other be standard life flextronic flex vitamix many other
31,FISV,customer count rise
32,FISV,fourth quarter servicenow add net new customer total worldwide newcomer include satellite broadcaster dish network dish financial service firm fiserv fisv car com
33,FISV,renewal rate servicenow exist customer quarter be
34,FISV,only provider deliver enterprise service management solution global scale say materne have fairly nice defensible position
35,FISV,big question say be new rival threat
36,FISV,doesn see hot private company emerge anytime soon kind capital need compete global scale management entail lot little detail set new employee computer password handle question health benefit vacation time just starter list servicenow now have become fastest grow company technology automate key activity task process make day day work life firm say cloud base software service management model replace email interoffice phone call spreadsheet change way person work personal life have apps help get manage information customize need want think app work say servicenow spokeswoman grow number customer want servicenow cloud solution company go public revenue have grow compound annual rate dollar year revenue jump management expect revenue year increase very few company be grow revenue base say kirk materne analyst evercore isi most revenue be subscription base servicenow doesn record revenue upfront bill cycle contract be typically year recognize expense upfront revenue lag create mismatch say rob owen analyst pacific crest security earning say be lag indicator cash flow billing be more lead indicator backlog defer revenue combine year end totale prior year company have see growth billing time say owen cash flow be just start move negative positive be earning say analyst poll thomson reuter anticipate servicenow log first annual profit year year cent share cent loss expect earning more double next year cent re start see leverage get bigger materne say last spring investor seem have look past lack profit future gain send share low april servicenow be founder target department initially be expand reach area such human resource legal facility management marketing re see end customer develop apps servicenow platform owen say very compelling solution be displacing lot traditional legacy capability include help desk customer try unique example state department wildlife create custom app servicenow keep track endanger animal fashion retailer set app servicenow enable store manager report security incident such shoplifting break window threat servicenow be move just be service become platform provider materne say add also be build specific apps run platform servicenow plan open online app store customer date yet be set materne liken salesforce com crm appexchange part compete salesforce servicenow core constituent be market salesforce com be marketing materne say have tremendous opportunity front don view mutually exclusive salesforce com be first set customer relationship management database salesperson have moved more broadly organization owen say say servicenow be deploy similar land expand strategy servicenow also have modest overlap cloud player workday wday be focuse human resource so call human capital market materne say add workday compete more directly oracle orcl sap sap be more opportunity partner workday compete say help other sell grow customer basis re disrupter broader enterprise software world materne say servicenow have significant mind share lead legacy competitor such bmc software bmc hewlett packard hpq technology be try catch have own issue more servicenow new customer be part global world largest company accord management customer range bagel eatery chain einstein noah restaurant group global firm astrazeneca azn other be standard life flextronic flex vitamix many other customer count risesin fourth quarter servicenow add net new customer total worldwide newcomer include satellite broadcaster dish network dish financial service firm fiserv fisv car com renewal rate servicenow exist customer quarter be only provider deliver enterprise service management solution global scale say materne have fairly nice defensible position big question say be new rival threat doesn see hot private company emerge anytime soon kind capital need compete global scale
37,FISV,positive earning report spark breakout few stock wednesday trinity industry trn clear late stage base share climb heavy trading close buy point maker railroad car say first quarter earning rise share sale increase result top expectation
38,FISV,fiserv fisv have relative strength rs rating upgrade friday welcome improvement still short higher score look ibd proprietary rs rating measure market leadership used worst best score identify stock price action last week match other stock year market history reveal stock go make biggest gain often have better rs rating early stage move see fiserv continue show renew price strength hit benchmark look best stock buy watch start herefiserv have moved more past entry first stage flat base meaning now proper buy range look stock create new chance get week tight pullback day week move average top bottom line growth moved higher last quarter earning be compare prior report revenue increase company earn rank peer financial service specialty industry group msci msci broadridge financial solution br transunion tru be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
39,FISV,important metric look stock be higher relative strength rating fiserv fisv just hit mark jump monday exclusive rating investor business daily identify market leadership worst best score rating show stock price performance trail week compare other stock database history show market biggest winner often have higher rs rating early stage move look best stock buy watch start herefiserv be now consider extend buy range clear buy point first stage flat base see stock form new pattern follow buy opportunity week tight pullback day week move average company see earning sale growth rise last quarter earning share increase revenue rise fiserv hold rank peer financial service specialty industry group broadridge financial solution br be top rank stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
40,FISV,ibd stock list be regularly update add new stock watch well weed have start show weakness table ll see stock have be add remove list ibd sector leader ibd big cap stock list
41,FISV,developer fintech software be cash healthy economy compel bank other financial institution modernize migrate internet cloud service format fintech be broad range online digital network base tool service used bank insurer brokerage other financial service firm tool provide
42,FISV,keep watch list date be key make money stock market ibd help do regularly update stock screen ibd sector leader ibd big cap ipo leader table see stock have just be add remove list ibd display video id
43,FISV,fiserv fisv have relative strength rs rating upgrade wednesday welcome improvement still short higher score look ibd unique rating identify market leadership worst best score grade show stock price behavior last week compare other stock database decade market research show top perform stock often have rs rating north early stage move see fiserv continue show renew price strength clear threshold look best stock buy watch start herefiserv be not currently show potential buy point see stock go build chart pattern ignite new run earning growth rise last quarter top line fall fiserv hold rank peer financial service specialty industry group cboe cboe envestnet env msci msci be top highly rate stock group related stock be show improve price performance use ibd relative strength rating relative strength line help judge stock
44,FISV,welcome move fiserv fisv see relative strength rating improve friday unique rating track market leadership show stock price action last week compare other stock database history show best perform stock often have better rs rating early stage move see fiserv continue show renew price strength clear threshold see ibd help make more stocksfiserv break earlier have fall back prior entry flat base stock re tracking clear buy point then decline more original entry price consider fail base stock set new base entry price also understand latest pattern be later stage base make riskier establish new position add share exist company report ep growth most recent report sale gain come fiserv hold rank peer financial service specialty industry group cboe cboe envestnet env transunion tru be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
45,FISV,fiserv fisv have relative strength rs rating upgrade tuesday welcome improvement still shy better score look ibd unique rating identify market leadership worst best score score show stock price performance trail week hold other stock database history show market biggest winner often have higher rs rating begin largest price move see fiserv continue show renew price strength hit benchmark look best stock buy watch start herefiserv be work flat base buy point see stock break volume least higher normal fiserv show earning growth latest quarterly report sale growth come company be expect report latest result oct fiserv earn rank peer financial service specialty industry group cboe cboe envestnet env markit info be top highly rate stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
46,FISV,welcome move fiserv fisv see relative strength rating improve wednesday ibd unique rs rating track market leadership used worst best score indicate stock price performance trail week compare rest market year market history show top perform stock typically have better rs rating early stage move see fiserv continue rebound hit benchmark stock be not ideal buy point right now see be able form break proper chart pattern fiserv show earning growth last quarter sale growth come company earn rank peer financial service specialty industry group cboe cboe transunion tru msci msci be top highly rate stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
47,FISV,tech stock highlighted monday action stock market today apple aapl retook buy point nvidia nvda hit new high dow jone industrial average be track straight xpowershare qqq trust qqq rise spdr dow jone industrial average dium spdr spy hold gain chip lead upside sector fund vaneck vector semiconductor smh ishare phlx semiconductor soxx more apiece component stock graphic chipmaker nvidia rally more new high soxx have form cup handle potential buy point consumer staple biotech retail also advanced oil play slide west texas intermediate crude price fall barrel vaneck vector oil service oih spdr oil gas exploration production xop be unite state oil fund uso dip powershare db oil fund dbo be flat energy bank most gold play also lag midcap exchange trade fund be buy zone test day move average line vanguard mid cap etf vo find support pull back july intraday peak prior bounce day early last month yielded gain year old fund track crsp mid cap index have amassed asset biggest sector weighting june be consumer cyclical nearly technology financial service industrial accord morningstar inc top holding include fiserv fisv newell brand nwl western digital wdc index be market cap weight individual stock position tend be more top holding account less asset many other index provider crsp rank stock market cap then build index base set percentage instance top market be consider mega cap next make crsp midcap universe also minimize turnover allow holding be share index so company shift market cap be moved next index stage instead once vo have trail year gain vs benchmark index aug slightly outpace past year past year return vs market cap weight index usually lead lower turnover vo annual turnover be expense ratio be ultra low ishare russell mid cap iwr featured column also find support day line etf stage june manage small advance pull back day early july fund marked anniversary last month have attract track russell midcap index also market cap weight also have low annual turnover iwr carry expense ratio prologis pld zoetis zts fidelity national information service fis be top holding account just total asset iwr also lag ytd basis gain pull ahead benchmark index past year past year thursday pick first trust equity opportunity fpx ishare edge msci quality factor qual have find support respective day line related sector gainer loser equity play buy etfs watch own nvidia top hold dow hold oil reverse higher big dividend play
48,FISV,pace breakout top rate stock slow friday couple financial make promising move new high visa jump nearly early scale back close change volume be more double average credit card company beat expectation march end quarter earning share
49,FISV,financial technology firm fidelity national information service fis fis get upgrade wednesday wake investor day tuesday send stock briefly new high analyst katri sterne agee crt lift rating buy neutral set price target writing fis be shift away project base more stable higher margin business line view major reason downward rerate fis valuation past be par peer fiserv fisv jack henry associate jkhy sticky high recur revenue model have be company lackluster performance last year trigger weak service business katri write upgrade note believe ceo message point exercise more stringent control consult arm capco reflect management realization cross selling service project base business have be major deviation company traditional model credit suisse analyst paul condra also note fis have issue guidance expectation imply ep growth next year raise price target maintain neutral rating fis stock hit time high early trading stock market today early afternoon be fraction stock break cup handle base earning report last week be now extend past buy point hold strong composite rating putt top stock
50,FISV,lead stock shot gate big gain process new week time high krispy kreme doughnut kkd gap soar month high massive volume jab beech march lead buyout keurig green mountain purchase doughnut
51,FISV,bank farm more tech service try keep customer manage more money phone fiserv fisv company provide back end technology finance industry seem be expand solid measure pace company spill triple digit growth quarter be draw more adventurous investor be many wall street seem fiserv steadiness company routinely generate single digit sale gain low double digit earning growth aid share buyback follow fed rate hike last year forecast fatter industry tech budget more same be store worry downturn consolidation company analyst say due primarily steady income base have revenue recur give very good visibility number help enable more accurate guidance minimize surprise earning season roll monness crespi hardt analyst veytsman tell investor business daily do increase pricing give longevity contract give fact client have be number year say re grow slowly steadily veytsman say nature company contract client help fiserv maintain firm foot many deal be longer term retention be high morningstar note research company addition costly potentially hugely disruptive financial company switch core process service help fiserv keep customer fold even wall street hand wring possible recession chief executive jeffery yabuki tell ibd see trend tech spending fiserv own client continue most revenue be base discretionary mission critical technology longer term contract be not subject dramatic fluctuation say email be see stable grow demand newer technology enhance experience increasingly digital world brookfield wis base fiserv serve bank credit union retailer other client world ve withdraw money automate teller transfer balance account good chance go smoothly part fiserv create merger fiserv handle everything transaction process datum analysis person person payment system year technology spending see grow bank credit union customer fiserv bread butter company be set follow argus research say believe fiserv remain well position benefit technology infrastructure spending primary customer bank credit union many be work improve process efficiency online bill payment debit card transaction argus analyst stephen biggar say research note last month help revenue keep rise modest mid single digit pace biggar say add argus see sale growth year share be past month company have composite rating best possible boost most recently strong fourth quarter result be marked better expect operate margin company also have try stay relevant acquisition fiserv snap mobile banking company com digital payment outfit cashedge give popmoney bank base person person payment system participate institution have help drive sale growth company announce acquire open solution give real time account process technology don need new product day biggar say need something fairly significant year have own sort life cycle last month fiserv say unite nation federal credit union employee largest asset begin used fiserv core account process technology analyst say federal reserve rate hike december help strengthen bank finance potentially free cash technology budget view fed rate increase first time decade good news bank way help fund need increase spend institution look way keep broad change technology landscape ceo yabuki say company fourth quarter earning call last month concern persist fiserv make less money consolidation continue banking industry due tighten regulation event financial crisis merger acquisition reduce client count give bigger combine company more muscle negotiating cheaper contract price company fiserv however reduction client hasn materialize veytsman say prospect more bank bring tech operation house seem unlikely fiserv count well fargo wfc big client potentially signale stronger shift outsource larger bank monness crespi veytsman say consolidation actually accelerate trend tech outsource consolidate also look see happen bottom line re do cost say someone be not consider used fiserv client maybe together yabuki see consolidation continue stress number account transaction have keep rise company foreign exchange stronger dollar also hurt company international exposure be limit veytsman say jack henry associate fis be company primary competitor concern also linger fiserv debt yabuki cite company free cash flow last year still biggar veytsman say company acquisition have be relatively focuse restrain be forgive wonder person person service popmoney compete paypal pypl venmo payment tech offering facebook fb alphabet googl potentially apple aapl however yabuki say be early innings veytsman say popmoney be intend more side dish offering midcap bank main course very hard challenge paypal say
