,ticker,content
0,FLR,pandora gopro gpro xerox xrx report result extend trade thursday future major index rise moderately market look april payroll datum due friday nasdaq future tick fair value thursday close future dow jone industrial average add future also manage gain even energy construction powerhouse fluor flr fall hard hour action major index have so far struggle dow jone industrial exit thursday session week be nasdaq composite hold decline be tracking second straight weekly slip dow have pull back test support day move average nasdaq be still hugging day line end thursday critical level support get newsletter deliver inbox more info product service privacy policy term friday european stock market have careful eye labor department april payroll report slate release market open investor also have ear news trade talk underway china name plan report early friday alibaba group baba celgene celg ruth hospitality group ruth pandora surge power past analyst sale earning target report subscriber first quarter shake shack shak scale nearly easily beat first quarter expectation management raise full year revenue guidance stock be extend just buy range buy point cup handle base wingstop wing be hour advancer ibd stock glide higher sale earning comfortably clear consensus target first quarter same store sale growth leap nearly double increase expect analyst share be november be again testing week move average medifast med charge ahead late trade weight watcher wtw launch aftermarket advance report sharp acceleration first quarter revenue profit growth weight watcher be form cup base buy point arista network anet dump more thursday close bell network gear software developer blow past analyst first quarter estimate sale guidance just meet consensus view disappointing investor ibd stock be past month have be struggle hold support week move average form late stage base fluor unraveled loss report fourth straight earning decline stock have climb august low have be consolidate february friday slate report include vf corp vfc manufacturer apparel brand north face van lee other stock be trading buy point cup base apparel maker have be demonstrate rise strength boise cascade bcc be early april low move right side month cup base consensus expectation be earning gain rise revenue company report result early friday also friday growth stock investor be watch see ibd stock warrior meet coal hcc retake buy point alabama base miner jump briefly past cup base buy point thursday report strong first quarter sale earning beat late wednesday share be clear ipo base july big picture stock index reverse higher muddy marketkeep track market stock add stock spotlight include adobe mastercard arista revenue outlook line stock fall be cisco gain alibaba carbon black ipo job report investing action plan
1,FLR,infrastructure stock include equipment maker caterpillar cat steel construction material supplier vulcan material vmc be buoy early wednesday trading optimism president trump speech congress last night trump didn offer detail reiterate plan invest new road bridge tunnel airport railway combination public private fund even dow jone industrial average index surge record high stock market today infrastructure stock generally outperformed major average dow component caterpillar close higher steel rally nucor nue rise construction engineering giant fluor flr add vulcan material gain martin marietta material mlm rise caterpillar steel other infrastructure stock be big winner presidential election have be recent week look clarity trump do ibd take big boost federal infrastructure spending be huge infrastructure stock here construction industry ceo be bullish outlook even president trump doesn come time have come new program national rebuild trump say exactly time have mind legislation be unclear report last week say passage infrastructure bill generally take month new fund start flow major way have be mixed signal white house big priority infrastructure be administration write keefe bruyette wood washington analyst brian gardner write wednesday think infrastructure spending get squeeze compete agenda item such health care tax reform related
2,FLR,steel dow industrial component caterpillar cat vulcan material vmc other infrastructure related stock rebound monday president trump promise big spending ahead tuesday speech trump say monday choice step investment road bridge other infrastructure infrastructure stock sell last week report trump administration delay infrastructure bill do likely delay significant federal spending earliest steel rise stock market today tumble last week steel climb late trading cowen co upgrade stock outperform raise price target fellow steelmaker nucor nue climb heavy construction mining equipment maker caterpillar advanced rebound day line find support last week construction material firm also rally vulcan material martin marietta material mlm heavy construction firm fluor flr climb rebound day line trump give prime time tuesday speech joint session congress expect lay idea priority taxe health care infrastructure more related steel material mining stock dive trump mull infrastructure delay trump obamacare repeal tax cut vow big infrastructure boostlockheed northrop raytheon rally trump seek defense budget boost
3,FLR,reviews president trump speech congress be strongly positive pundit public so far investor do speech really matter dow jone industrial average soar first time wednesday open bell index nasdaq composite also jump record high tuesday dow industrial slip end string straight gain index dip nasdaq composite small cap russell trump be right stock market impressive rise election have be drive policy then didn say speech matter whole lot more anything do say wednesday early gain reflect shift view treasury yield regard possible federal reserve rate hike march meeting didn say pay advance dollar infrastructure plan potential boon caterpillar cat steel maker steel nucor nue engineering construction firm fluor flr construction aggregate supplier vulcan material vmc last week report plan be delay be true not clear more reason think so tuesday night however nucor steel vulcan material caterpillar fluor be morning action event appear be logjam contentious issue block road more spending highway bridge trump manage successfully turn page rocky first week office part stay fray decline take clear position issue largely determine economic agenda rise fall obamacare tax reform now enter potentially hazardous stretch presidency ll have take firm policy stand divide narrow govern majority senate obamacare issue trump say be address tax reform clock be tick come replacement unify republican something have prove impossible year law passage humana hum have already say exit exchange aetna aet dow component unitedhealth unh have foot door anthem antm molina moh win commit sticking share unitedhealth other health insurer rise intraday come april republican haven get duck row insurer face set premium be full panic mode start pull plug participation exchange leave swath country insurer ibd take grow doubt timing size president trump tax spending stimulus plan market be pricing higher odd federal reserve hike rate again early month tax reform doesn look be easier trump want cut corporate tax rate house proposal do so depend raise tax import be fought wal mart wmt entire retail sector now general motor gm be call tax problematic grow number gop senator oppose idea trump stick vague generality speech say create level play field american company worker oppose only arrive plan pay not border tax then take away value corporate tax subsidy effort turn mud fight trump be slow start clarify put economic agenda action not surprising agenda tackle major problem have long defy solution make investor nervous regardless trump say last night related
4,FLR,president trump monday call effort repeal replace obamacare unbelievably complex say tax cut plan have line trump sound fire begin make good campaign plan massive infrastructure spending boost be easiest lift bipartisan appeal create more construction job make investment highway bridge other productivity enhance project trump comment monday lit fire infrastructure stock caterpillar cat rise steel fluor flr vulcan material vmc stock get hammer last week report emerge white house be think push infrastructure bill yet still not be green light trump infrastructure plan repeal replace plan president obama signature program run trouble multiple front look increasingly possible republican have signal retreat rest economic agenda advance accord trump everything be control say monday white house have arrived really really good solution obamacare discuss tuesday night joint session congress think ll hear tell insurer white house monday include unitedhealth unh aetna aet anthem antm investor confidence president trump be ride tuesday speech high hope tax cut surge infrastructure spending regulatory reform have help fuel explosive postelection stock market rally doubt have be creep ability deliver still dow jone industrial average have rally straight session friday longest winning streak decade trump vow cut corporate tax rate hinge house gop proposal border tax face serious opposition senate pit big importer wal mart wmt best buy bby exporter boee ba general electric ge hint plan have emerge trump signale win provide detail help investor gauge prospect tax reform advance obamacare be dominate agenda trump explanation be tax reform have take account budget effect repeal replace good reason expect regulatory reform ease compliance cost wide array industry big bank jpmorgan chase jpm bank america bac also have be lift hope lower corporate tax rate steeper yield curve boost net interest margin yet diminish confidence trump economic package do much growth next year have lead treasury yield sag recent week ibd take backer border tax say dollar rise effectively negating higher tax bill face importer yet be happen stronger dollar hurt tourism industry include trump hotel white house seem have go back forth support border tax raise more decade offset cost lower corporate tax rate treasury secretary steven mnuchin tell fox news have only just begin study border tax proposal last week mnuchin say goal be pass tax reform august acknowledge timetable slip trump have make clear figure do obamacare be top priority short term dissension republican replace law raise risk draw effort best risk quagmire preliminary congressional budget office score house approach repeal replace much obamacare reportedly show big increase rank uninsured run counter white house promise republican be consider hold vote repeal big part obamacare even victory be uncertain be best outcome investor lose obamacare fall top agenda clear way more growth oriented policy related lockheed northrop raytheon rally trump seek defense budget stock jump president trump vow spend big steel material mining stock dive trump mull infrastructure delay heavy construction rebound receive trump infrastructure boost border tax die trump corporate tax cut collapse
5,FLR,not have hear read much company argan agx year ibd stock spotlight column featured twice august probably know bigger peer heavy construction industry say argan have take big dog role group year stock perked june day rockville md firm report outstanding result fiscal first quarter end april profit leap cent share mark biggest increase recent year revenue bulge large top line increase represent acceleration increase prior quarter end january revenue fall vs year level quarters number help explain argan sterling earning share rating grade smr sale profit margin return equity available ibd stock checkup argan share gap sharply june finishing more heaviest volume almost month move ignited run past stock have be bump head month then become acceptable price area buy stock trace cuplike pattern go back late november then valid buy point emerge cent nov intraday high high serve left side lip cup base argan have rally nearly investor have decide take gain key rule ibd style growth investing be call platinum rule simply hold share have yet test support key day move average argan play important role electric power producer provide engineering infrastructure construction service boast expertise not only help construct natural gas power plant also biomass power energy facility solar farm wind farm biofuel plant argan market cap share price multiply share outstanding be fraction giant heavy construction group meanwhile share fluor flr market cap have be dull year nice rally first quarter melt fast early heavy construction giant post disappointing first quarter result ep revenue quarter row second biggest name company group jacob engineering jec market cap have fared much better late april stock clear handle buy point long choppy base have rally much even then jacob command mediocre composite rating argan wildan group wld goldfield gv sterling construction strl be only stock composite higher maximum latter be thinly trade share argan announce annual cash dividend cent share payable oct shareholder record oct give stock modest dividend yield figure however time argan be toss extra cent share holder special time cash payout ceo rainer bosselmann note news release success complete panda power plant project pennsylvania encourage company board approve extra dividend keep mind heavy construction industry result be lumpy especially smaller player argan have see decline yearly sale past fiscal year now revenue be see climb october end third quarter related know golden rule selling platinum rule rank highest earning growth engineering heavy construction firm
6,FLR,term ethane ethylene cracker ammonia don make sexy headline be keyword link resurgence domestic chemical manufacturing be boom so broad be alter global competitive landscape lure large segment chemical trade back shore company be spending more
7,FLR,live city size chance be see construction crane way work bigger city crane have crop everywhere support project raise new apartment tower office public building industrial complex institutional investor seek benefit trend have help lift stock
8,FLR,market have have nice week run so have oil price tuesday trade high feb low back positive ground year west texas intermediate crude be february low best move month climb
9,FLR,june deadline bear congress renew export import bank charter old debate be be revive existence government role private sector
