,ticker,content
0,HD,first quarter earning season have give investor plenty profitable trading opportunity term bullish earning option play several winner have emerge include penumbra pen latest week penumbra strong performance come heel solid showing marathon oil mro tenet healthcare thc shutterfly sfly also highlighted space
1,HD,here weekly investing action plan need know investor come week earning season turn focus several top retailer include walmart wmt home depot hd macy jwn continue upheaval sector networking gear giant cisco system csco also report few more notable chinese
2,HD,hd supply hds see welcome improvement relative strength rs rating tuesday upgrade look best stock buy watch keep close eye relative price strength ibd proprietary rs rating track market leadership used worst best score indicate stock price action trail week compare other publicly trade company decade market research reveal best stock tend have rs rating north early stage move see hd supply continue show renew price strength hit benchmark see ibd help make more money stockshd supply be work cup handle buy point see break volume least average regard fundamental hd supply have post quarters increase earning growth top line growth have also increase same time frame hd supply earn rank peer retail wholesale build product industry group floor decor fnd be rank stock group get newsletter deliver inbox more info product service privacy policy term also stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
3,HD,industrial supply distributor hd supply hds report better expect fourth quarter earning sale early tuesday give bullish guidance estimate earning be expect be flat cent share revenue accord zack investment research result hd supply earning rise cent share revenue be outlook hd supply see ep cent revenue vs consensus cent company expect sale analyst see stock share rise stock market today move day move average hd supply be month cup handle base buy point hd supply be rank seventh retail wholesale build product group currently hold good not great ibd composite rating relative strength rating be concerningly low last week hd supply complete acquisition harris construction supply specialty construction distributor serve northeast mid south atlantic region ibd take learn use call option investor significantly reduce risk capitalize base stock be make breakaway gain cause earning report hd supply have squeak view earning past quarters top sale view last quarter company have struggle outperform expectation meaningful degree also be interested more ipos break initial public offering deliver unicorn hypehomebuilder stock watch housing market newsbullish chart pattern do know basic cup handle
4,HD,apple aapl sell badly friday touch day move average first time mid february stock market bear also send major index trip day move average friday first time week nasdaq composite slide nearly dow jone industrial average yet major index still manage march higher second week row wake key follow take place april square sq meanwhile offer fresh proof remain true market leader share run more stretch year date advance more square be huge winner well addition square transunion tru charle schwab schw trade financial etfc western alliance bancorp wal show bullish action blast gain more schwab continue work new base etrade be now extend recently retake entry point week cup handle yield benchmark treasury year bond continue soar rise high practically eclipse feb year date high higher interest rate help boost net interest profit margin bank other financial firm square san francisco base digital transaction business analytic innovator rise climb high average turnover large cap tech be likely middle form new base base wall street see jack dorsey lead tech firm grow full year profit cent share year square have ramp higher clear tightly wound flat base buy point april get newsletter deliver inbox more info product service privacy policy term base base pattern be awesome generator price gain only selling pressure overall market ease stock market be confirm uptrend april follow improve stock market outlook raise market correction confirm uptrend square show excellent composite rating scale ibd stock checkup nasdaq composite sank nearly get go then stretched loss more follow rally last week volume be lower thursday level accord preliminary datum lead index still cling weekly gain roughly be jan so tech center index be still week close key day move average nasdaq tracking powershare qqq trust qqq etf fall too slip mildly day move average first time nearly week hand tool shoe paper numerous defensive industry group pace downside see weekly gain slim prior week large cap benchmark rally turnover climb roughly higher vs same time thursday nyse overall trading volume have be hold day average nasdaq least straight week nyse trading have be muted nearly week row typically best follow through give alert investor chance hunt breakout leadership quality stock term excellent fundamental relative stock price strength fund sponsorship take place day day new rally attempt also occur much later home depot hd be sole stock component dow jone industrial average initially gain point more share retreat just fraction volume be usual level home depot diy home improvement chain have be correction mode striking new high jan peak come right first year intermediate market correction stock hasn fall much lose just market value well range normal decline say cup handle base saucer base chart pattern be common dow industrial type issue home depot have pound steady not rip roar profit growth earning share have lift vs year level past quarters street see fiscal profit rise share consumer tech titan apple gap day move average sign weakness iphone ipad giant stock fall more hit intraday low intense turnover apple be now tickle long term day move average be trading time high apple have already rally burst cup handle way back jan so due rest keep watch base complete note new click tech blog post morgan stanley analyst katy huberty trim price target consumer electronic digital service firm cite concern iphone sale however huberty also reportedly advise client buy share price weakness apple report fiscal sale march end quarter close point slice price target do not amount much term market value stock market value be apple have share outstanding google operator alphabet googl lose just weak turnover still manage post stout weekly gain nearly watch see hold day move average paint red ibd daily chart megacap tech be form new double bottom base middle peak stock first second lows be stock continue rebound set potential cent middle peak alphabet be expect increase first quarter profit share follow ep gain prior quarters name currently leaderboard new entrant intuitive surgical isrg cool second straight day normal fashion big cap medical play remain buy range entry shallow cup handle share ease average volume go back transunion credit report agency financial datum expert have hold spot leaderboard watch list more week friday stock gap open jump share get high easily surpass buy point shallow cup handle base be better view flat base entry cent left side high case transunion be proper buy range right open price flat base entry expert consumer financial datum post jump first quarter earning cent share spanking thomson reuter consensus estimate nearly issue biggest year year increase quarters revenue grow mark third quarter row accelerate top line growth transunion also announce acquisition base callcredit skecher skx get body slam gapping more finishing session sell wipe month worth gain volume soar past share more quarter total float share stock day average turnover be share day company report rise earning cent share sharply undercut wall street expectation sale rise ease top line increase move faster pace year quarter weak rise net margin edge basis point lower decline suggest shoe giant feel price pressure competition see cost climb please follow saito chung twitter ibd_dchung more commentary analysis lead growth stock buy point sell signal financial market related stock be move sharply right now trigger buy sell signal find stock be new ibd top screen check herestock buy latest investor cornera peek ibd be leader recent breakout fare lately be still golden rule investing
5,HD,here investing action plan tuesday need know investor come day many investor be keep close eye hot chinese stock yy yy ipo spinoff huya huya announce earning guidewire software gwre be buy zone ahead earning ollie bargain outlet olli hd supply hds
6,HD,retail landscape be rapidly change amazon amzn other commerce site upending traditional brick mortar retailer such macy target tgt do keep track broad industry trend affect retailer restaurant especially current emerge leader ibd keep key sector news here company earning expansion monthly retail sale feature future mall online shopping expect find news home depot hd mcdonald mcd wal mart wmt ebay ebay general motor gm sale here ibd also highlight best perform retailer include fundamental technical analysis view more retail stock industry newsget instant access more trading idea exclusive stock list ibd proprietary rating only related best stock buy watch
7,HD,lowes company low have relative strength rs rating upgrade wednesday try find best stock buy watch be sure pay attention relative price strength exclusive rating investor business daily measure price movement worst best score rating show stock price movement last week stack other stock database decade market research reveal market biggest winner tend have higher rs rating early stage move look best stock buy watch start herelowes company be build buy point see stock clear price volume least average company see earning sale growth rise last quarter earning share increase revenue rise lowes company earn rank peer retail wholesale build product industry group floor decor fnd hd supply hds apply industrial technology ait be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term useget instant access more trading idea exclusive stock list ibd proprietary rating only also stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
8,HD,augment reality become major sale driver apple aapl iphone apps provide pathway ar glass wall street analyst say think ar apps command price premium bank america lynch analyst wamsi say note client tuesday reiterate buy rating apple stock company strong capital return growth service ar provide yet competitive advantage also raise price target apple stock apple share slip close stock market today augment reality overlay digital information object person field view used mobile display special glass application include navigation commerce education entertainment more get newsletter deliver inbox more info product service privacy policy term usear generate additional revenue apple now say come ar apps rest increase iphone sale say apple introduce ar eyeglass revenue upside be much say current ar apps iphone ipad include video game well software lowe low home depot hd let customer see home improvement look purchasing say apple fire open salvo augment reality field release generation smartphone ar kit software last year iphone iphone series be first handset develop ar application mind analyst expect apple generation handset due september advance company ar effort get instant access more trading idea exclusive stock list ibd proprietary rating only related apple stock get price target hike prospect new iphonesapple debut io group facetime new augment reality appsar glass come soon face
9,HD,start stock dow jone industrial average djia now include america largest company wide range industry include apple aapl exxon mobil xom intel intc nike nke goldman sachs gs general electric ge have be only remain original dow stock be just replace walgreen boot alliance wba conjunction nasdaq composite dow jone index dow stock serve bellwether general market american economy help investor gauge current environment future outlook bookmark page ongoing coverage dow stock benchmark index scroll see list component stock dow jone industrial average index get newsletter deliver inbox more info product service privacy policy term useclick symbol get latest news stock quote company get instant access more trading idea exclusive stock list ibd proprietary rating only related best stock buy stock be ibd big cap
