,ticker,content
0,HFC,monday hollyfrontier hfc get upgrade ibd smartselect composite rating new score indicate company be now outperform stock term most important fundamental technical stock pick criterium best stock tend have better grade kick significant move so be sure keep mind look best stock buy watch hollyfrontier be currently form cup handle entry see stock break heavy trade least average look winning stock try simple routineone weak spot be company ep rating track quarterly annual earning growth look improve better show top stock accumulation distribution rating show heavy buy institutional investor last week get newsletter deliver inbox more info product service privacy policy term company report earning gain have now post accelerate ep growth consecutive quarters sale growth increase prior report mark quarters rise growth hollyfrontier earn rank peer oil gas refine marketing industry group delek holding dk be top rank stock group related company be now outperform stock see stock just come ibd top stock list
1,HFC,miss stock market rally energy sector be have better now several oil etfs be provide opportunity elude last year first trust energy alphadex fxn be try capitalize new trend portfolio nearly stock oilfield service refinery production drill related company ibd international oil exploration production industry group etf stock reside have climb year date more company first trust energy alphadex be part ibd exploration production industry group be refinery gas station etf be group include etf best pick get newsletter deliver inbox more info product service privacy policy term hfc have rally april stock break new high pbf energy pbf also break early april be nearly buy point ibd energy sector be year date finishing barely higher miss most gain be sure sector return lag software semiconductor internet apparel other sector energy stock also be sensitive price crude oil lesser extent natural gas add element risk be lack other sector friday saturday energy sector face potential volatility opec other major oil producer meet discuss output target first trust energy alphadex performance have roughly correlated price crude be almost same connection oil price be big reason etf have underperform long term end march etf be year period fund have gain year be find support pullback day move average leave share buy area best buy close possible day average now first trust energy alphadex used selection methodology grade stock month price performance year sale growth certain valuation factor other item stock be choose russell make fund primarily mid large cap asset median market capitalization holding be related best oil stock top oil gas producer make case more gainsu crude inventory fall output flat iran saudi arabia clash loomsenergy stock industry news oil gas solar coal
2,HFC,more day price tag permian basin pipeline crunch increasingly affect investor much be west texas oil driller top explorer focuse boom shale region have lose combine market value week shipping constraint devour profit fetch barrel crude parsley energy pe share have wilted time diamondback energy fang have be defange even production soar dwindle pipeline space rail trucking shortage have raise shipping cost boost discount permian producer take offload oil bottleneck benefit refiner buy cheaper crude pipeline owner extra space drag explorer just don want touch permian name say gabriele sorbara william capital group analyst new york be fall cliff relief not come new pipeline be expect be run now here rundown winner loser space crunch be pure play shale producer even permian stalwart be longer ticket success energy equity price benchmark west texas intermediate crude have fall company focuse primarily permian have be shun hardest fall concho resource cxo have lose market capitalization tuesday wednesday oil texas be trading barrel brent crude global benchmark price even pioneer natural resource pxd relatively strong finance secure pipeline contract have be william capital sorbara say phone lose market value shortage be real deem much market sell overblown even discount permian crude be selling well many producer set budget earlier year investor be flee relative safety larger name more diverse portfolio such occidental petroleum oxy share be flat past couple week permian biggest oil producer also pump middle east colombia roughly output year base higher international crude pricing capital security say analyst note company also operate pipeline gulf coast export terminal benefit cheaper crude price largest company company diverse portfolio rotate capital sorbara say re pure play only thing do be step brake bottleneck permian major gulf coast refiner operator other part country serve less congested pipeline have relative advantage analyst say include delek dk cvr refine cvrr hollyfrontier hfc refinery new mexico arkansa northeastern texas other location accord barclay delek get crude permian hollyfrontier get cvr get bank say june analyst report delek share have climb past week cvr be hollyfrontier be simply put think refiner big lower input cost analyst include justin jenkin raymond james associate say june note enterprise product partner magellan midstream partner also stand benefit blowout price own crucial pipeline permian dock space gulf used export have plan add more very idea congestion be beneficial say sandy fielden director oil research chicago base morningstar go pitch new pipeline expand pipeline go hold open season expect see full crowd anxious sign quickly enterprise start full service april mile sealy pipeline carry barrel day crude heart permian key export facility houston also own lion share crude storage tank dock gulf magellan operate own part barrel day bridgetex pipeline transporting oil permian corpus christi texas route be schedule expansion early add interest company say last month almost exist customer longhorn pipeline connect permian houston have renew contract year
3,HFC,oil renaissance underway unite state good time be refiner especially re hollyfrontier hfc forefront american energy stock favorable economic condition fatten margin hollyfrontier share be surge sit sweet spot reap benefit low acquisition cost crude oil yet sell refine petroleum higher pricing standard whole refine space be beneficiary fairly wide spread brent crude oil europe north american base wti west texas intermediate crude oil cfra analyst stewart glickman tell investor business daily current pricing dynamic dalla base hollyfrontier be simple company say purchase crude barrel be wti base mean local crude acquisition cost be drive be now low wti price once refine product send customer shell rdsa biggest customer able sell global market more costly brent standard overseas refiner operate get newsletter deliver inbox more info product service privacy policy term useright now gap be roughly barrel glickman say spread be widening be attribute fairly good compliance output cut opec russia further shale production have surprised upside glickman say thing work hollyfrontier favor be location refinery mostly middle analyst say unusual compare other refiner many be center gulf coast region smaller gulf coast peer hollyfrontier refinery be competitively well position morningstar analyst allen good say feb report hollyfrontier operate refinery locate wyoming utah kansa oklahoma new mexico particular competitive advantage hollyfrontier be proximity canadian border canadian crude be extremely price disadvantaged right now glickman note be canadian producer try export crude awful lot production very little take away capacity result even lower initial crude price disadvantage canada work hollyfrontier favor glickman say barrel day hollyfrontier refine barrel be canada other base oil come bakken shale formation permian basin other hot shale drill spot hollyfrontier stock break cup handle base buy point april volume be lighter average isn ideal heavy volume indicate institutional support still relative strength line hit new high stock hit new price high be bullish line be continue higher run relative strength line measure stock price performance vs share be now extend roughly buy point be flat friday trading energy stock have be steady climb late oil refine be volatile competitive industry glickman say march report now volatility have be upside crude oil price hit more year high barrel thursday accord global platt own pira energy group project price wti be barrel year barrel volatility price crude have impact energy stock glickman say less important wti slip bit spread brent remain high long spread remain high hollyfrontier be fine say morningstar good expect spread remain wider historical level wti brent trade close par ultimately think transportation cost move light crude midcontinent gulf coast result long term wti average differential brent barrel hollyfrontier primarily play downstream refine space majority stake master limit partnership holly energy partner hep also have midstream transportation storage operation glickman note mlp model be not concern increase level distributable cash flow hollyfrontier benefit general partner potentially result holly energy partner abandonment mlp structure aside relationship holly energy partner crude margin tighten potential concern hollyfrontier be regulatory risk new regulation make more difficult hollyfrontier obtain ship refine product weigh margin glickman say also note risk be part parcel investment oil gas industry shale boom recent year have doubt reinvigorate oil gas industry unite state shale have seat big boy table maynard holt chief executive energy industry focuse investment bank tudor picker holt co tell ibd ceraweek oil gas conference houston earlier year shale be here politically stable place just improve tax regime service be plenty be labor be plenty deal landowner not government be arguably best place planet re choose want invest oil industry hollyfrontier be see big benefit corporate tax reform rate shrink reform tax code encourage capital investment lower corporate rate better enable manufacturer compete global market hollyfrontier chief executive george damiris say company fourth quarter earning call feb hollyfrontier be increase capital expenditure year be big step glickman say be very acceptable problem company be generate cash flow way hollyfrontier get more competitive vs other energy stock be acquisition company be be decidedly conservative front ve see number deal participate process didn end winning obviously otherwise have announce deal re go continue look only pull trigger see value damiris say call hollyfrontier be set issue first quarter result open company be expect swing profit cent share vs loss cent share last year accord analyst zack investment research revenue be project rise deceleration prior quarter sale growth also be interested energy stock industry news oil gas solar coalstock buy watch top ipos big small cap growth stockscrude oil price be sharply be bakken shale play back
4,HFC,stock market correction continue linger more more top stock be buy point market follow upside retailer continue emerge market leader market weakness top retail stock ollie bargain outlet olli initially fall thursday weak revenue guidance share rally well lows
5,HFC,energy be perhaps begin gain larger presence ibd new high list be oil gas alternative such solar energy solaredge technology sedg conocophillip cop be make noise form sharp new high solaredge clear narrow tight consolidation share get high retreat reversal gain week be still robust notice weekly chart expert inverter turn photovoltaic power usable electricity have not touch week move average week end feb first second test week line usually present lower risk opportunity add share winning position stock so do stock refuse come close even prick week move average aggressive investor suggestion be engage advanced buy technique solaredge case move past cent march peak strong volume offer place add very small number share never buy same amount normally proper point reason avoid overall cost share run too fast advanced follow entry point be base method ibd founder bill neil used find way buy more share biggest stock market winner include pic save now know big lot big amgen amgn stock wage strong run find period week stock do not fall much trade relatively tight volume be dull then buy stock clear highest price such narrow consolidation case solaredge stock fall final week march be paltry decline compare ascent achieve prior week volume shrank average week solaredge be ibd feb stock catapult past buy point somewhat stretched double bottom key chart pattern stock make lows second low undercut first solaredge pass test low easily go first low see dec add cent middle peak lows mark proper buy point conocophillip meanwhile be bust week cup entry midday volume be run bullishly strong usual level proper handle be form so find buy point add cent cup left side peak buy zone go houston base member ibd international oil gas group be expect earn share biggest profit earn share large cap firm have significant interest north atlantic water norway well asian pacific region wall street see conoco revenue grow first quarter year overall tuesday west texas intermediate crude oil price rise barrel be year date hollyfrontier hfc maker diesel jet fuel other light derivative petroleum race new high ground tuesday dalla base firm be highlighted monday new high column point share hit high narrow handle entry learn more advanced buy point ibd special home study course advanced buy strategy available investor com store please follow saito chung twitter ibd_dchung more analysis commentary growth stock financial market related retail energy play lead new high listwhy key buy least stock follow stock ibd right latest investor corner
6,HFC,new high remain thin side even major index rebound decent form monday stock apparel energy food sector deserve attention growth stock hunter urban outfitter urbn get high reverse loss volume be sharply average operator
7,HFC,oil logging surge multiyear high energy stock have be lead index broader market here be energy stock compelling chart action conocophillip cop valero energy vlo hollyfrontier hfc wildhorse resource wrd viper energy partner vnom crude rise friday settle barrel mark weekly gain hit highest level late brent crude gain barrel weekly increase crude future fall barrel monday investor see syrium tension contain follow lead airstrike saturday oil price retreat significantly crude related stock struggle advance even maintain current level stock cite here continue rally small cap shale play viper energy subsidiary diamondback energy fang lead group best composite rating wildhorse resource shale play earn conocophillip hollyfrontier have valero have conocophilip valero hollyfrontier wildhorse viper energy have relative strength line record high reflect energy stock outperformance index wildhorse valero be present potential buy opportunity get newsletter deliver inbox more info product service privacy policy term usevalero energy break consolidation base buy point wednesday volume be light still share pop hit new high now extend entry wildhorse resource clear buy point cup base thursday share sprint now clearly extend wildhorse have especially bullish rs line not only be rs line new high ground now be new high stock hit new price high wildhorse come public december other energy stock conocophillip viper energy partner hollyfrontier be now further extend buy range never want chase stock more past buy point many leader pull back buy range keep mind however want see light volume pullback rather rapid selling conocophillip rise monday further extend buy point clear several session viper energy partner clear entry point april become extend friday share rise monday also have strong rs line parent company diamondback have be trend lower attempt late march ultimately fail hollyfrontier be continue rise steadily april cup handle base buy point share jump monday never want see double digit gain disappear so hollyfrontier pull back be careful round trip meanwhile bp bp be cup shape base buy point bp have composite rating also oil gas driller near buy point turnaround take shapestock market future rally syrium mission accomplish top china stock sell ipo be buythese tech titan just carved bullish patternstock buy watch top ipos big small cap growth stocksenergy stock industry news oil gas solar coal
8,HFC,stock market rally early monday look snap back friday heavy loss tech stock be lead way stock market today nasdaq composite advanced dow jone industrial average moved apiece index be see support long term day move average line dow jone industrial nike nke moved stock moved closer potential buy point flat base entry bullishly stock relative strength line hit new high last week retailer have be source strength current stock market correction meanwhile apple aapl jump be try get back day line get newsletter deliver inbox more info product service privacy policy term fang stock be mostly higher early monday gain range alphabet googl netflix nflx set pace rise apiece alphabet share be battle support day line recent week high amazon com amzn follow advance share continue languish day line stock current pullback have fall much time facebook fb lag gain stock be well day move average line oil gas refiner hollyfrontier hfc be breaking cup shape base entry early monday advance share be right level morning trade volume be tracking just average lead growth stock most top name be head north morning trade paypal pypl be top performer rise share have be correction model feb be stick day line downside floor decor fnd decline almost be still extend cup shape base buy point related stock market rally isn dead key sector action be bad signq earning netflix top ipos join stock expect growthwilliam neil live purpose learn beststock market volatile tariff tesla amazon job weekly reviewfacebook ceo hot seat delta jpmorgan citi report investing action plan
9,HFC,stock take rest wednesday day major index signale new market uptrend be likely work yet decline masked underlie strength decent range industry span energy sector high tech nasdaq composite show seesaw trading end day
