,ticker,content
0,HLT,hilton worldwide hlt have relative strength rs rating upgrade thursday look best stock buy watch be sure pay attention relative price strength ibd unique rating track share price movement worst best score grade show stock price movement last week stack other stock database year market history show top perform stock often have better rs rating early stage move look best stock buy watch start herehilton worldwide be work consolidation buy point see stock break heavy trading hilton worldwide post ep growth latest quarterly report revenue rise keep eye company next round number hilton worldwide hold rank peer leisure lodging industry group china lodging htht be top rank stock group get newsletter deliver inbox more info product service privacy policy term also stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
1,HLT,private equity behemoth blackstone bx have checked position hilton worldwide hlt year stay selling last share stephen schwarzman lead investment giant sell share iconic luxury hotel chain sale generate base hilton thursday close hilton worldwide have say be repurchase share private transaction ll count hotelier exist buyback plan share repurchase have be approve audit committee hilton be pursuant count company exist share repurchase program company say press release hilton share rise stock market today stock have rise last year blackstone edge marriott international mar inched wyndham worldwide wyn rise cent hilton have be form week cup base buy point marketsmith analysis show however stock have ibd composite rating just leverage buyout specialist blackstone take hilton private deal hilton go public again end private equity firm raise hilton stock sale june november reduce hold sale sell china hna group time paid also be interested penn get mightier thank sport bet acquisition conrad hilton be solid hotel build blackstone gramercy deal rock warehouse reit industry more deal flow company be now outperform stock make money stock used slim investing system
2,HLT,home sharing website airbnb homeaway be often see steal customer traditional lodging business now world largest hotel company think disrupt disruptor xmarriott international mar start offer short term home rental london last month partnership local company call hostmaker test go well marriott expand home sharing offering other city leverage loyalty program expertise brand stand crowd field chief executive officer arne sorenson say earning call wednesday platform have grow million million unit be almost paralyze array choice lack brand sorenson say think bring brand bring service product focus deliver something be simply better product much be home sharing pilot marriott call tribute portfolio home be integrate loyalty program accord service be currently limit residence marriott study business time be testing only determine company run full compliance law sorenson say be restriction short term rental many city marriott isn first hotel company dabble home sharing accor own luxury home sharing onefinestay hyatt hotel have invest home sharing startup oasis recently incorporate offering hyatt loyalty program get newsletter deliver inbox more info product service privacy policy term usemarriott largest competitor be stay home sharing fray least now believe be enough different business be not something need focus hilton worldwide hlt chief executive christopher nassetta say company earning call last month be interested best growth stock buy watch see update ibd stock listsstock buy watch top ipos big small cap growth stockslooking best stock buy watch start here
3,HLT,far east hotel giant china lodging group htht aim get back track report first quarter result close follow earning miss prior quarter estimate wall street expect earning share double cent revenue jump accord yahoo finance result come close stock china lodging stock rise stock market today top stock leisure lodging industry group have be consolidate past week test day move average april soon china lodging report preliminary figure stock be shooting buy point marketsmith analysis show late stage base breakout late stage basis work be more likely fail get newsletter deliver inbox more info product service privacy policy term usechina lodging know huazhu hotel group china boast upscale joya manxin midmarket ji starway economy hanting inn chain hotelier be benefit vast rapidly grow urban middle class have money time travel china lodging enjoy profit gain prior quarters china lodging boast best possible ibd composite rating fellow chinese ibd stock tal education tal baozun bzun fall respectively baozun release quarterly earning later week hotel giant marriot international mar hilton worldwide holding hlt fall respectively also be interested bye bye buy point ibd stock china lodging sink late miss new option strategy limit risk strength line have clue stock health best chinese stock buy company be now outperform stock
4,HLT,stock end lower wednesday wall street mulled rise oil price unrest syrium release minute march fed meeting close session lows major stock index be bit disappointing tuesday follow day major stock index dow jone industrial average lose weigh weakness boee ba unitedhealth unh lose give back nasdaq composite ease preliminary datum show volume nyse nasdaq come lower tuesday level minute march federal reserve meeting be release et minute show more rate hike be way improve economy new york mercantile exchange benchmark crude oil jump barrel rise tension middle east president trump warn russia get ready missile strike syrium separately government supply datum show inventory rise barrel latest week more expect day mover aerovironment avav be top gainer share surge stifel upgrade share buy hold raise price target aerovironment make unmanned aerial vehicle surveillance reconnaissance meanwhile defense contractor raytheon rtn extend winning streak session share rise set flat base entry couple fang stock buoy nasdaq leaderboard name netflix nflx add nearly bullish analyst commentary have be get louder ahead company earning report due monday close facebook fb meanwhile add close ceo mark zuckerberg continue testimony capitol hill share nearly so far week heavy volume gainer include hilton worldwide hlt share jump company announce secondary offer share selling stockholder affiliated china base hna tourism group offer be price get newsletter deliver inbox more info product service privacy policy term ibd atlassian team continue find support day move average ahead next week earning report share rise nearly result be due april close related check online broker be buy rangeoil price keep soar trump threat trump rise output supplyalexion jump biotech merger bandwagon buy
5,HLT,richard chaifetz be think big graduate doctorate see opportunity provide broad base mental health service general public open dozen psychological treatment center midwest goal national franchise system fund commit advertising yellow page month charge credit card only have few dollar name hadn succeed have go bankrupt chaifetz ceo chairman compsych corp tell ibd chicago office know professional mental health field often didn have good business acumen see attractive opportunity provide infrastructure marketing oversight then insurance model begin change direct reimbursement patient coverage hmo expand service pioneer employee assistance program eaps eventually selling mental health center succeed spade today compsych be world largest provider customize program improve life worker range overall wellness work life balance meeting need expert legal financial help serve person country help client include comcast cmcsa hilton hotel hlt retain best employee increase productivity crain chicago business last april estimate annual revenue privately hold company accord chaifetz ve always have double digit growth so expect estimate increase more last year chaifetz be born brooklyn attend eastern military academy huntington long island parent divorce graduation be only cadet receive appointment military academy west point turn army wasn want spend life advice eastern headmaster instead attend saint loui university st loui mo second semester freshman year work degree psychology father have little contact parent divorce stop pay tuition mother couldn provide enough teacher salary continue chaifetz refuse give plead university president let stay commit not only pay student debt do something big university once become successful permission grant work kind job part time school year full time summer include mental health facility graduate magna cum laude go earn psy illinois school professional psychology psychology be fluffy be attract fact neuropsychology be study relationship brain function behavior emotion cognition be more scientific exact come diagnosis chaifetz say never forget promise saint loui university chaifetz wife jill donate lead gift build chaifetz arena seat sport facility also funded chaifetz trading center alma mater farmer school business miami university oxford oxford ohio pioneer fully integrate eaps cover everything crisis intervention disability management brand organization small private concern fortune chaifetz say be able grow globally serve so many industry empower own employee solve problem custom fit client need encourage not only innovate expect challenge status quo help avoid fall standardization trap big company often do compsych recruit high energy intellectually curious creative individual be willing test limit boundary good business sense selection process not only used extensive interview background check also test used role play make sure candidate fit culture new hire be tasked create superstar other organization be incentivize reward performance boomer retire more millennial be hire chaifetz be confident company future study have show younger person want meaningful work believe entrepreneurial culture be excellent fit chaifetz say compsych have gradually expand offering most critical be absence management help company meet requirement decade old family medical leave act fmla lower cost less liability exposure health care organization have largest percentage employee leave give year hotel hospitality employee have lengthiest absence overall average more day compsych integrate eaps have help health care worker absenteeism drop life satisfaction have rise area company excel be manage opioid abuse crisis cost lose productivity yet quarters employer have not offer training detect misuse fatality rate be time higher world average accord unite nation compsych multus prong approach include cognitive behavioral therapy manage inpatient outpatient treatment lead provider coordinate pharmacy family support access online workshop master level clinician compsych growth have be entirely organic counsel client be careful go merger acquisition study show fail pay client be advise have clearly defined core competency leverage expand avoid try merge culture be not compatible most problem be not due miscalculating financial intangible aspect chaifetz say re buy service person aspiration be not good fit new company culture financial goal be unlikely come fruition play important role help client make sure understand need expectation new employee enlighten corporate leader have come see cost effectiveness employee wellness service compsych be especially appreciate crisis hurricane harvey last summer company conduct more critical incident stress management session chaifetz be give humanitarian award illinois holocaust museum always want help person psychologist jill tell audience be call michael jordan industry pretty much savant dale grenold executive vice president compsych say chaifetz be type leader let take risk be autonomous same time very direct feedback clear expectation grenold say drive level confidence push person achieve more operate place strength time crisis have unique ability create clarity find solution ceo compsych corp world lead provider employee well be program overcome need completely new business model early year lesson attract client offer easy solution area have biggest challenge reliance market research stifle creativity create too organization marginalize opportunity
6,HLT,hilton worldwide hlt see ibd smartselect composite rating jump wednesday day new score tell company be now outperform stock term most important fundamental technical stock pick criterium winning stock often have higher grade early stage new price run hilton worldwide have now climb proper buy zone clear entry cup handle look winning stock try simple stock sport ep rating mean recent quarterly longer term annual earning growth be outpace stock accumulation distribution rating show heavy buy institutional investor last week company post ep gain sale growth increase prior report mark quarter rise revenue gain hilton worldwide earn rank peer leisure lodging industry group china lodging htht be rank stock group related company be now outperform stock
7,HLT,marriott international mar report result late wednesday top estimate hyatt also beat forecast hilton worldwide holding hlt wyndham worldwide wyn report better expect earning wednesday morning hotel stock have relative strength line be record longtime high stock relative strength line measure performance relation investor keep eye high rs stock market correct ll often be strong market rebound estimate ep revenue result earning share revenue company say due change adopt new financial standard be provide abbreviated guidance marriott say continue expect uptick global revpar revenue available room company say expect comparable revpar be flat north america constant dollar basis company guidance first quarter revpar growth north america reflect unfavorable shift easter holiday tough comparison presidential inauguration woman march washington marriott say share fall hour stock market today estimate drop ep cent revenue be expect rise result ep cent revenue share dip late estimate flat earning share revenue accord zack investment research result ep rise share revenue include discontinue operation european rental vacation business have be designate discontinue operation wyndham explore strategic option outlook wyndham see revenue increase exclude european rental vacation business see ep estimate exclude impact wyndham plan acquisition hotel franchising hotel management operation la quinta lq wyndham also hike quarterly dividend cent cent share be unchanged hour estimate earning share cent revenue slide result ep cent vs year earlier adjust basis revenue be revenue available room revpar climb currency neutral basis outlook hilton be adopt new accounting standard hit ep slightly boost adjust ep hotel operator see adjust ep cent full year revpar instance analyst have expect ep cent share be hour be interested stock watch wyndham worldwide see rs rating rise steve wynn step wynn resort ceo sexual misconduct claimsmacau gaming revenue soar most casino stock rally even
8,HLT,lasalle hotel property lho stock surge monday private equity giant blackstone bx beat back rival bid buy firm busy monday merger news nextera energy nee fifth third bancorp fitb roper technology rop ihs markit info be other big name involved takeover deal today blackstone win battle lasalle hotel property pay share private equity behemoth outdo pebblebrook hotel trust peb have tender bid april lasalle own upscale hotel operate market state district columbia get newsletter deliver inbox more info product service privacy policy term useblackstone share climb stock market today lasalle stock rally deal come just day blackstone checked position hilton worldwide hlt year stay selling last share sell share iconic luxury hotel chain utility powerhouse nextera energy nee reveal monday buy asset rival southern co so nextera obtain gulf power florida city gas southern interest oleander stanton natural gas plant deal be worth include debt move come wider industry consolidation utility look way be more energy efficient nextera stock rise southern advanced fifth third bancorp buy chicago base mb financial bank mbfi stock cash deal create fourth largest chicago bank total deposit combine firm hold share total market city middle market fifth third fall mb financial stock jump service provider announce monday be buy software company powerplan cash private equity firm thoma bravo second dollar deal company roper purchase business software business deltek roper technology stock climb blackstone be involved deal monday selling stake datum firm ipreo information service giant ihs markit info goldman sachs gs be also selling stake ipreo part deal deal allow british firm ihs markit expand contract business strengthen financial service operation ihs markit stock edge also be interested not stay hilton blackstone check sell stake athenahealth confirm takeover bid iff blackstone clinch deal dow jone nasdaq jump china trade war fear ease bullish chart pattern ii find exact buy invest stock market start simple routine
9,HLT,wednesday wyndham worldwide wyn receive upgrade relative strength rs rating look best stock buy watch factor watch closely be relative price strength ibd unique rating track share price movement worst best score score show stock price behavior last week compare other stock database history show stock go make biggest gain tend have better rs rating launch biggest run see wyndham worldwide continue show renew price strength clear threshold look best stock buy watch start herewyndham worldwide be work consolidation buy point see break volume least average wyndham worldwide post earning growth latest quarterly report sale growth come look next report apr company hold rank peer leisure lodging industry group china lodging htht marriott international mar hilton worldwide hlt be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
