,ticker,content
0,HRL,thing have hold steady market continue volatile way relative outperformance defensive stock top industry group tuesday issue include utility food real estate investment trust stock spotlight too boast fare share defensive stock food tobacco play hormel food hrl be top stock meat product
1,HRL,stock index close mixed monday shake weakness oil price close alphabet googl surge record high company post result beat estimate extend trading rally parent company google become most valuable company world nasdaq climb erase early loss more
2,HRL,stock index close mixed monday shake weakness oil price nasdaq climb dow jone industrial average fall small cap russell add close bell volume be weaker compare friday total stock have be shadowing oil price index rise stock market today
3,HRL,market launch new uptrend work defensive stock be likely give way stock tilt growth thought let look dividend stock offer growth potential sift ibd dividend leader screen cull best earning growth expect not stock appear table paper consider only stock upward earning revision top brinker international eat street expect owner chili grill bar maggiano little italy restaurant boost earning fiscal year end june pretax margin hit least year high fiscal feb brinker declare increase quarterly dividend cent share cent annualize yield be campbell soup cpb recently soup maker have be act more growth stock dividend stock analyst expect earning jump fiscal year end july be best annual growth campbell hasn raise dividend quarterly payout be cent share annualize yield air product chemical apd street be peg earning growth year end september air product raise dividend rd year row look increase be declare sometime march yield be dunkin brand dnkn analyst see earning growth year last year year growth rate dunkin declare dividend increase early month quarterly payout be raise cent share cent yield be cme group cme ep be expect rise year company recently raise quarterly dividend cent share cent yield be honorable mention hasbro have ep growth hormel food hrl clorox clx
4,HRL,economy be enter recession stock consumer staple health care telecom be best place hide say barclay glionna name tobacco giant philip morris international pm reynold american rai drug giant merck mrk pfizer pfe meanwhile include general electric ge stock buy recovery doesn see recession term be red flag such collapse oil price retreat so far year slow growth global economy china report monday glionna joined grow number analyst provide list recession resistant stock take slightly different tack other offer list recession playbook recovery playbook other top pick recession playbook be campbell soup cpb coca cola ko johnson johnson jnj procter gamble pg hormel food hrl philip morris stock close tuesday reynold american maker camel cigarette add merck gain pfizer rise campbell soup climb johnson johnson procter gamble end flat glionna say recovery playbook best perform sector previous period economic recovery used exit recession indicative recovery have be energy material industrial consumer discretionary stock list ford motor general electric general motor gm harley davidson hog viacom ford end gm lose tuesday ge tick harley davidson fall viacom plunge more expect result december end quarter meanwhile cowen analyst put own list recession stock tuesday say believe stock appeal low end consumer have minimal global exposure appear well suit weather economic downturn top pick price clothing retailer ross store rost wal mart store wmt ross store climb wal mart fall
5,HRL,tyson food tsn quarterly profit far outpaced estimate company also raise full year earning estimate drive stock new time high parent jimmy dean hillshire farm ball park state fair aidell brand say fiscal first quarter earning share time item shot beating analyst forecast cent share third quarter row company have beaten wall street projection meat producer post record margin chicken prepared food segment tyson raise full year profit forecast share well analyst estimate however revenue fall consensus be president ceo donnie say written statement ongoing effort invest grow core product line be pay sale volume most recent week period be company define core strongest brand highest growth opportunity tyson food share gap much friday morning close stock market today stock rise month long flat base be now buy point springdale ark base company forecast chicken beef pork turkey industry production increase be moderate export growth increase supply pressure meat price year tyson say result forecast total sale fiscal year be previous estimate due decline price revise guidance be consensus analyst poll thomson reuter food meat product group be rank best ibd list industry other large company group hormel food hrl announce fiscal result feb rise pilgrim pride ppc release earning thursday dip cal maine food calm report lower expect revenue ep december fall sanderson farm safm be slate report earning feb climb
6,HRL,meat product industry group have emerge group thursday ibd rise be partly defensive money manager shift company show steady growth belief hold better high flier market turn lower company group have see have see solid earning sale growth recent quarters stock group have composite rating supply demand have drive story several stock commodity price have be fall make feed cheaper cattle herd be grow several year decline factor be year western drought force cattle rancher reduce herd now be come end el nino bring rain stock group composite rating be hormel hrl maker spam jennie turkey skippy peanut butter black label bacon muscle milk company note recent presentation most recent earning report grocery product refrigerate food product business be benefit input cost deflation growth china have also be factor tyson food tsn nation largest meat packer sale forecast year record profit nov earning report chicken business be strong pork continue do well think worst be beef chief executive donnie say conference call chicken producer have weather outbreak avian flu force destruction large flock hormel report sale decline jennie turkey bird flu say product have become clear category leader be be embraced health conscious millennial hurt producer help cal maine food calm nation largest egg producer top rank meat product industry group be unscathed disease outbreak benefit price egg soar last quarters year year earning growth be triple digit sale grow clip tax margin be north analyst see good time come eventual end forecast ep decline fiscal cal maine stock have give ground recent week be now trading day move average acquisition have also be factor industry group tyson recently buy hillshire brand have give bigger footprint package food business hormel food last year paid buy organic processed meat maker applegate farm hormel say organic natural producer market share value add protein
7,HRL,defensive stock continue perform well market dean food df be exception company be largest processor distributor fluid milk other dairy product popular brand include dairypure milk truemoo flavored milk regional brand include alta dena country fresh dean land lake
8,HRL,wasn much good be say friday rout lead stock take beating only bright spot be cal maine food calm gain find resistance day move average even wasn cheery news lift share indiana turkey farm confirm bird flu outbreak say usda be go
9,HRL,investor ride roller coaster stock market pile large blend etfs past month blend fund hold mix growth value stock such offer more moderate level risk more skillful navigation choppy water powershare high quality sphq be top perform etf large blend category
