,ticker,content
0,IBM,ibm ibm report quarterly result late tuesday once again be time stock market analyst agonize ibm performance big blue top view earning revenue wasn good enough convince street stock gap sharply huge volume gap down quarterly result be nothing new ibm past quarterly report include tuesday ibm gap result case stock gap stock give back gain next several week yet investor well ground history know too pass get newsletter deliver inbox more info product service privacy policy term uselet look number factor surround ibm history year late early ibm stock be stick mud august july stock price decline investor old enough have live period only shake head kid analyst panic challenge be rarely new always take time overcome honk surround ibm stock decline be mainly change technology personal computer be shift technology big little ibm success big side become handicap newer more versatile world do ibm survive new leadership loui gerstner be name ceo april gerstner run show march step gerstner year reign ceo ibm stock rise vs nasdaq accord ibd sister company william neil co figure do not include dividend do ibm need new leadership now stock market seem think so ginni rometty become ceo jan then stock have fall bad be nasdaq rise same period be rometty fault probably not ceo be field manager baseball fair unfair be hire be fire team disappoint be area however ibm have not disappoint dividend quarterly dividend payout be share calculate annualize yield ibm yield be second highest yield stock dow jone industrial average verizon be yield ibm have increase dividend year row dividend increase be usually announce late april look streak rise year row reason first ibm cash flow share be easily cover increase share dividend second ceo want be associate end dividend increase streak third ibm be close minimum criterium earn spot dividend aristocrat lineup minimum criterium be year consecutive dividend increase be ibm buy growth stock perspective heck income investor regard chart differently stock chart monthly chart be best way view ibm now april mid february ibm fall next month stock rebound low wednesday afternoon ibm be mid february low income investor want watch price area be stock have find recent support warren buffett berkshire hathaway brka have reduce stake ibm almost nothing buffett be wrong rate fund seem think so fund rating ibd reduce exposure ibm other fund increase hold steady position alex gunz fund manager heptagon capital be few make bullish case ibm january appearance cnbc gunz say ibm turnaround be take commoditize space ibm growth be company call strategic imperative include cloud blockchain gunz say change be expect happen overnight say progress be more year view heptagon capital report january note ibm be gain exposure blockchain technology blockchain be technology bitcoin be expect be radical accord report blockchain technology be internet be year report add major player ibm microsoft appear currently have take lead related here ibm stock fall first quarter earning beatdow stock breaking threaten totextron long overdue element reveal much company
1,IBM,ibm ibm stock fall wednesday first quarter earning report beat estimate top bottom line contain disappointment xshare plunge close stock market today company come ahead earning profit view be problem surface analyst say gbh insight analyst daniel ife write research note client bottom line be help time tax gain so apple apple basis ibm miss street profit margin expectation letdown be revenue come ibm grouping strategic imperative ife say company have undergo major lengthy transition cast old business emphasize cloud compute datum analytic mobile technology security refer strategic imperative get newsletter deliver inbox more info product service privacy policy term use revenue number be line estimate bull be hope clean modest beat key growth segment represent underpinning ibm turnaround story write ife ife maintain rating attractive ibm price target tech icon report first quarter result market close tuesday revenue beat consensus estimate year quarter ibm report adjust earning share beating consensus estimate company say revenue strategic imperative lead cloud security grow first quarter company reaffirm adjust earning guidance share street analyst be hope more upbeat outlook cautious guidance decline storage revenue also outweighed earning beat oppenheimer analyst ittai kiron say consistency be still lack ibm turnaround progress have be slow write research note client revenue growth be flat constant currency basis make difficult gain conviction ibm ability deliver consistent improvement rbc capital market analyst amit daryanani maintain rating outperform company price target stock be fairly attractive see framework turnaround take shape daryanani write also be interested stock market today track market trend best stock watchartificial intelligence become top corporate spending priority
2,IBM,ibm ibm report first quarter earning market close tuesday beat analyst view top bottom line stock fall hour trading tech icon report revenue beating consensus estimate year quarter second quarter row quarterly gain break year string quarterly revenue decline ibm report adjust earning share beating consensus estimate ibm say remain target meet adjust earning objective least share current consensus estimate be share share be hour trading stock market today get newsletter deliver inbox more info product service privacy policy term useibm have undergo major lengthy transition cast old business emphasize cloud compute datum analytic mobile technology security refer strategic imperative company say revenue strategic imperative lead cloud security grow first quarter past month revenue strategic imperative reach represent total revenue cloud revenue quarter rise year period security revenue grow revenue operate net income free cash flow increase quarter broad base improvement gross margin trajectory continue deliver shareholder value say james kavanaugh ibm chief financial officer prepared remark earning release
3,IBM,ibm ibm kick earning season big technology company report first quarter result market close tuesday consensus be ibm report first quarter revenue year period be second quarter row quarterly gain break year string quarterly revenue decline consensus adjust earning be share ibm beat view report fourth quarter result month share decline concern future profit growth big blue revenue earning beat estimate gross margin operate margin be view earning cash flow guidance also disappoint ibm share fall close stock market today stock hold weak ibd relative strength rating possible get newsletter deliver inbox more info product service privacy policy term useibm have undergo major lengthy transition cast old business emphasize cloud compute datum analytic mobile technology security group ibm refer strategic imperative generate revenue last year represent percent total sale expect reach account more revenue year company now also emphasize advanced form compute such artificial intelligence blockchain technology quantum compute other earning report technology company google owner alphabet googl report market close april amazon amzn report earning close april also be interested ibm hold patent lead straight year samsung intel followibm launch blockchain joint venture maersk global tradingbitcoin cryptocurrency news trend
4,IBM,stock forget worry trade rule china dodd frank banking regulation inflation apple aapl lead market higher friday nasdaq charge ahead dow jone industrial average large cap add respectively volume fall major exchange bull ve prefer price gain
5,IBM,key market index fund finished mixed wednesday ibm ibm weigh dow jone industrial beating earning sale forecast spdr dow jone industrial average dium dip powershare qqq trust qqq climb spdr spy add stock market today foreign market outperformed ishare msci emerge market eem ishare msci eafe efa advance ibm gap plunge more close tuesday big blue report result top view top bottom line full year profit forecast be bit light most other big cap techs dow be slightly higher intel intc clear flat base buy point intraday pare gain close entry apple aapl ease remain well day line close flat base entry energy metal miner homebuilder lead upside sector fund spdr oil gas exploration production xop surge extend streak get close buy point west texas intermediate crude price leap barrel consumer staple semiconductor bank lag intel gain vaneck vector semiconductor smh fall back day move average asml hold asml shed beat consensus forecast profit margin current quarter disappoint bitcoin gain accord coindesk open level bitcoin investment trust gbtc rise remain day line have be most past month apple microsoft msft other surge big cap tech stock be set stage potential buy opportunity market continue rebound technology select sector spdr fund xlk gap add space day move average tuesday shape right side shallow base buy point now be cent left side high exchange trade fund provide exposure technology telecom stock index marked anniversary december be last featured etf column march share test day move average software represent biggest sector weigh april nearly asset internet software service come technology hardware storage peripheral service semiconductor stock weigh smaller position telecom service gear electronic equipment make rest get newsletter deliver inbox more info product service privacy policy term useit top holding apple microsoft facebook fb alphabet googl account roughly stock portfolio apple be build right side flat base get close buy point iphone maker be reportedly plan news subscription service base recent acquisition digital magazine app texture microsoft be also form flat base buy point be alphabet leap more tuesday regain day line facebook continue recover late march lows be still day line xlk return year date monday outperform advance average annual return be also beating past year etf carry expense ratio tuesday pick spdr aerospace defense xar break past flat base entry remain potential buy zone also be interested techs lead stock market rally dow apple intel buy pointdow hit resistance day apple stock move highercan shake market volatility go past
6,IBM,tech stock be pressure early trade wednesday stock future steer positive start future dow jone industrial average be fair value ibm ibm drag early action future nose nasdaq future scratch gain ibm intuitive surgical isrg lam research lrcx railroad csx csx unite airline ual be lead name active early trading medical tech stock have power market tuesday major index seize powerful gain rise trade netflix nflx goldman sachs gs unitedhealth unh post first quarter result carry element upside surprise investor send more stock news high session past week get newsletter deliver inbox more info product service privacy policy term dow nasdaq climb day move average tuesday session technical line have present possible barrier market week old uptrend test remainder week be benchmark index be able maintain new level support top tech stock early motion intuitive surgical bolt higher maker da vinci robotic surgical system report ep gain rise revenue first quarter late tuesday number surgical system ship soar quarter procedure perform used da vinci system rise intuitive share rise regular trade tuesday stock best session january share be more month new base close tuesday less potential buy point lam research tumble late action largely positive fiscal third quarter report chip equipment leader earning revenue jump be consensus target guidance also surpass expectation lam be first chip sector name report result season investor be feel flighty chip stock general lam share surge tuesday regular trade stock have be consolidate nearly week unite climb premarket trade first quarter revenue earning squeak past analyst target second quarter guidance be positive company quarterly conference call be set et today unite share be consolidate have long way go reach valid buy point dow ibm dive tuesday close legacy tech brand post stronger expect result report second straight quarter year year revenue growth first time more year full year earning guidance be just shy consensus view however stock have have little success attempt climb month consolidation ibd issue interactive broker ibkr edge premarket trade greenwich conn base online broker report larger forecast sale earning gain tuesday close stock close tuesday buy range buy point flat base morgan stanley ms asml hold asml bancorp usb be name report result early wednesday wednesday session also offer simple calendar economic release homebuilding stock aren likely see much reaction weekly mortgage application datum due mortgage banker association open later morning energy stock oil price now hover year high respond weekly oil inventory news energy information administration afternoon federal reserve release march beige book related big picture nasdaq take command fuel stocksthese dow stock be just buy flash bullish signalgoldman sachs crush ahead leader be set upuse trend line buy growth stock rule help avoid lose stock
7,IBM,here weekly investing action plan need know investor come week earning season pick momentum result due netflix nflx goldman sachs gs general electric ge ibm ibm score other airline stock get rattle further unite airline ual report give update expansion plan
8,IBM,start stock dow jone industrial average djia now include america largest company wide range industry include apple aapl exxon mobil xom intel intc nike nke goldman sachs gs general electric ge have be only remain original dow stock be just replace walgreen boot alliance wba conjunction nasdaq composite dow jone index dow stock serve bellwether general market american economy help investor gauge current environment future outlook bookmark page ongoing coverage dow stock benchmark index scroll see list component stock dow jone industrial average index get newsletter deliver inbox more info product service privacy policy term useclick symbol get latest news stock quote company get instant access more trading idea exclusive stock list ibd proprietary rating only related best stock buy stock be ibd big cap
9,IBM,oracle orcl chief executive safra catz say monday discuss defense department cloud compute contract president trump tell pentagon plan find only provider isn sound strategy just make sense tell journalist oracle office petach tikva israel never hear something single cloud challenge anyone point significant commercial customer have cloud pentagon intend award single contract multiyear cloud service contract go team make multiple company final request proposal outline contract long year be schedule be release award end september catz share title ceo mark hurd usually keep lower profile colleague come oracle affair washington bloomberg report earlier criticize bidding process private dinner trump earlier month get newsletter deliver inbox more info product service privacy policy term usecatz add procurement process seem design benefit amazon com amzn aw rival oracle compute storage product have idea be give unfair advantage say monday have idea anyone think be good idea trump tell be very confident pentagon have fair review say oracle have lead campaign washington prevent amazon winning defense department contract bloomberg have report catz company have cooperate microsoft msft ibm ibm other effort have include lobbying lawmaker defense official white house israel born catz serve executive committee trump transition team be swear office later joined administration american technology council focuse government modernization catz oracle have orchestrated transition cloud base product decade mainstay traditional corporate compute software shift hit snag company cloud sale growth slow send stock tumble most more year last month redwood city calif base company be late entrant cloud have continue face stiff competition include rival amazon microsoft salesforce com crm have continue boost internet base software offering catz say company number last year be impact change licensing model give impression slower growth even think start see cloud acceleration be very significant don want time right now oracle share gain close stock market today have fall company disappointing earning release last month
