,ticker,content
0,ISRG,abaxis abax have relative strength rs rating upgrade monday proprietary rating track market leadership used worst best score identify stock price action last week match rest market decade market research show best perform stock tend have rs rating north begin biggest run look best stock buy watch start hereabaxis have rise more past entry first stage consolidation meaning now proper buy range look stock offer new chance pick share week tight pullback day week move average top bottom line growth moved higher last quarter earning be compare prior report revenue increase abaxis hold rank peer medical system equipment industry group cantel medical cmd intuitive surgical isrg cutera cutr be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
1,ISRG,american century growth fund twcgx be feel oat fund be year go thursday thank part gain aerospace giant boee ba year video game provider activision blizzard atvi robotic surgical system maker intuitive surgical isrg fund gain be better double year average annual gain top average year large cap growth rival track morningstar direct well gain information technology consumer staple be fund first fifth largest sector nov weighting respectively reflect outlook expressed manager gregory woodham justin brown note commentary growth prospect appear strong tech valuation consumer staple be compelling factor matter manager seek invest company fundamental be strong improve share price performance do not fully reflect trait activision be fund tech holding so be facebook fb apply material amat latter happen be member ibd list top perform growth stock facebook be also member leaderboard ibd premium service spotlight play play move top stock trading facebook share be so far year ibd reader see facebook be buy range prior flat base buy point big volume nov slide be bad sign stock be hold so far number daily active facebook user have climb facebook grow mobile platform be pull bulk company total advertising revenue manager activision video game publisher think continue benefit ongoing shift online subscription model away reliance console base video game shift subscription model tend boost business margin american century research show capital spending semiconductor company be rise apply material be semiconductor equipment provider be see rapid growth due increase demand chip used artificial intelligence big datum application growth fund manager tell shareholder ibd take apple alphabet google microsoft other be race develop artificial intelligence hardware software bookmark ibd ai page follow latest development consumer staple fund manager note dollar tree dltr be buck trend weakness brick mortar retailer dollar tree benefit focuse lower income consumer manager say company have boost result due acquisition family dollar chain dollar tree share be so far year earning share grow past quarters wal mart store wmt earning share inched modest past quarters reflect competitive challenge face brick mortar retailer general compete online retailer such amazon amzn be also hold american century fund wal mart sale rise past stanzas yet wal mart share be so far year such bullishness investor third quarter report last month wal mart commerce sale jump gross merchandise volume leap company appear be learn compete online ibd recently report wal mart acquisition jet com have beef online capability acquisition such modcloth bonobos moosejaw be help megastore build indie fashion cred enabled firm beat forecast last month give upbeat holiday quarter guidance wal mart also announce last month start sell lord taylor department store product walmart com broaden assortment product fashionable apparel ibd have report american century growth appear poise continue run aim leadership stock largest holding have ibd composite rating so do top new buy third top new buy have comp rating ibd composite rating be score scale stock poise move higher often have comp rating higher related new tax bill affect need much retirement saving age income
2,ISRG,important metric look stock be higher relative strength rating hill hrc now clear threshold jump friday ibd proprietary rating identify market leadership worst best score rating show stock price movement last week hold other stock database decade market research show best stock typically have rs rating launch biggest price move look best stock buy watch start herehill have climb more past entry second stage cup handle meaning now proper buy zone look stock create new chance pick share week tight pullback day week move average company show earning growth latest quarterly report sale growth come company earn rank peer medical system equipment industry group cantel medical cmd intuitive surgical isrg cutera cutr be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
3,ISRG,index other major average hit record high wave earning weaker dollar greenback rebound somewhat netflix nflx sky-rocket blowout subscriber growth bullish outlook celgene celg buy juno therapeutic juno intel intc surge earning outlook texas instrument txn other top chip fail impress quarterly financial apple aapl continue lag grow chorus concern regard iphone sale production airline stock plunge unite airline ual say expand rapidly set stage renew price war index dow industrial nasdaq rally solidly hit fresh record high earning season heated fall dollar have act tailwind multinational stock profit rebound year lows thursday president trump say expect stronger greenback netflix nflx be big earning winner intel intc also do texas instrument txn lam research lrcx be several lead chip stock struggle earning airline stock plunge unite airline ual apple aapl iphone related stock sell several analyst cite evidence weaker iphone demand share rocket record high netflix nflx add stream subscriber worldwide crush fourth quarter target internet tv stream giant end total stream subscriber analyst predict netflix subscriber gain come netflix implement price hike service plan europe netflix credit hit original content such tv series stranger thing crown movie bright subscriber gain period march quarter netflix be predict add net new subscriber chipmaker intel intc maxim integrate product mxim stm xilinx xlnx beat december quarter target get mixed reviews investor texas instrument txn post line result share be punish sector continue wrestle concern chip cycle have ebb top chip gear maker lam research lrcx kla tencor klac beat view sell news meanwhile xilinx joined nvidia nvda amd amd benefit sale high performance chip mining bitcoin other cryptocurrency related intel beat fourth quarter target offer cheery outlookbiotech merger heated celgene celg agree pay car drug developer juno therapeutic juno didn already own sanofi sny reach deal biogen biib hemophilia spinoff bioverativ bivv celgene acquisition come prepare lose exclusivity cancer drug revlimid juno rival gilead science gild novartis nvs make car drug treat blood cancer sanofi deal follow fail merger early wednesday novartis nvs report core earning share sale respective constant currency basis easily beating consensus thursday biogen biib report sale grow top consensus adjust earning grow be short also thursday celgene beat lower analyst view abbvie abbv friday top expectation adjust profit sale climb sale unite airline ual send airline stock tailspin carrier tell analyst plan expand flight coverage investor fear move do part regain relevance smaller city unite once abandon risk more competition cheaper fare help passenger threaten profit american airline aal earning call signale wouldn change profit growth target base unite ambition now southwest airline luv jetblue jblu alaska air alk also report general electric ge miss earning disclose sec probe core unit do well ge keep outlook industrial member dow industrial caterpillar cat mmm unite technology utx report strong earning guidance insurer traveler trv consumer product giant procter gamble pg also beat earning view verizon vz miss ep top revenue johnson johnson jnj top view fall patent ruling vs blockbuster arthritis fighter remicade president trump slap tariff import large washing machine part solar panel tax washing machine decrease then expire year duty solar cell module phase year solar technology provider suniva solarworld charge china be provide unfair subsidy financing solar producer whirlpool whr complain korean maker be dump washing machine excessively low price whirlpool also report quarterly earning rally first solar fslr initially pop close less china base daqo new energy dq lose crude top barrel brent edge briefly oil inventory continue drop oilfield service provider halliburton hal crushed quarterly forecast international growth outpace domestic growth share shot clear buy point baker hughe bhge edge past earning estimate be upbeat spending customer share fall nearly market price possibility ge fully spin business northrop grumman noc raytheon rtn general dynamic gd top profit forecast raytheon general dynamic miss revenue northrop give strong guidance lift dividend raytheon gd say order backlog be strong defense firm surge record high lockheed martin lmt boee ba report next week steel dynamic stld earning rise top view modestly sale climb rank company ibd steel producer industry group say be shape be good year thank more moderate inventory level improvement global demand pricing incremental investment drive tax cut specialty steel producer allegheny technology atus nearly double profit estimate revenue grow fuel high performance material jet engine freeport mcmoran fcx benefit higher copper price boost earning ahead estimate revenue grow negotiation indonesia ownership massive grasberg mine be progress haven erased uncertainty company outlook casino operator wynn resort wynn la vegas sand lvs put result beat top bottom line help rebound macau world largest gaming market sand ceo sheldon adelson cite acceleration mass gaming market chinese administrative region only area nation gamble be legal wynn share plunge friday erase nearly weekly gain report allegation serious sexual misconduct ceo steve wynn ford motor see ep climb cent revenue grow analyst have expect ep cent sale accord zack investment research ford be buy mobility startup autonomic transloc share extend sell prior week ford outlook disappoint investor fiat chrysler fcau deliver strong result generally affirm ambitious financial target send share fresh week high new oriental education edu logged ep growth short view sale gain narrowly beat fiscal estimate student enrollment grow china base school education provider offer guide sale view higher share tumble recoup loss end week tal education tal meanwhile surge nearly thursday retake day ep jump revenue growth tal enrollment swell td ameritrade amtd trade financial etfc beat top bottom line fiscal earning share jump td ameritrade revenue expand see full year earning exclude item vs expectation td ameritrade also say allow customer buy sell certain etfs day week trade report ep revenue ll also acquire retail brokerage account capital financial cof asset share online broker fall modestly week millennial focuse free investing app robinhood let person buy sell bitcoin other cryptocurrency commission intuitive surgical isrg report adjust income share sale rise respective metric top expectation robot surgery gear maker give cautious guidance homebuilder nvr nvr miss earning sale view share tumble crash week line first time more year huge volume doj subpoena mortgage unit lennar len bigger expect new home sale decline other homebuilder also suffer notable decline
4,ISRG,many same exchange trade fund perform best last year continue lead broader market so far year continue xprospect wall street new year likely depend largely effect tax overhaul potentially higher interest rate rate hike year next year be appropriate cleveland federal reserve bank president loretta mester say thursday slightly faster pace fed official prefer speaking fed senate democrat agree temporary bridge measure government shutdown be poise go effect midnight friday list top perform etfsark invest ceo catherine wood bitcoin tech stockstop etf pick tax overhaul likely boost economy be already run full capacity say richard turnill blackrock global chief investment strategist lower taxe capital spending incentive lead more consumer business spending overhaul tax code include supply side reform inject significant term demand stimulus economy run full employment note recent commentary faster grow accelerate global growth result rise inflation higher treasury yield steeper yield curf overall see strong earning momentum home head like financial technology dividend grow stock let take look last year winner be do note re only few week new year etfs be rank performance instead year date so year date return be more tell now last year diversify stock winner continue outperform past month top etf ishare edge msci usa momentum factor mtum return ytd innovator ibd ffty come second be close gain pair ark invest fund ark innovation arkk ark web arkw top sector fund category last year gain accord morningstar direct ve also continue outperform broader market jan arkk arkw post ytd return respectively vs be first etfs significant exposure bitcoin investment trust gbtc make top holding last year investment trust have suffer steep decline year be longer fund biggest name arkk top include tesla tsla stratasys ssys juno therapeutic juno arkw top holding include amazon amzn twitter twtr nvidia nvda global robotic artificial intelligence botz place sixth last year boast biggest ytd return jan fund track indxx global robotic artificial intelligence thematic index target company involved industrial robotic automation nonindustrial robot autonomous vehicle japan account botz asset greater asia region north america make greater europe botz biggest holding be japan yaskawa electric fanuc keyence well graphic chip designer ai player nvidia intuitive surgical isrg make da vinci surgical robot robotic focuse etf robo global robotic automation robo have return year fund have greater exposure north america nearly greater asia represent japan greater europe make rest top holding include roomba maker irobot irbt laser company ipg photonic ipgp yaskawa fanuc foreign stock arena kraneshare csi china internet kweb see biggest ytd gain score second best performance category last year return last year fund emqq emerge market internet ecommerce emqq be close gain year related alternative etfs help hedge portfolio market riskmoney manager play offense defense favor sector
5,ISRG,nasdaq composite outperformed friday uneventful session see dow jone industrial lag mostly due weakness ibm ibm american express axp report earning ibm gap fall report rise sale news be offset gross margin operate margin come view american express meanwhile lose nearly report earning announce suspend share buyback program first half nasdaq end shorten week trading gain nearly picked dow add major stock index extend weekly streak shrug threat possible government shutdown small cap be star day russell jump not far crack level dollar be weak again year low year treasury yield add basis point fang name amazon com amzn give back early gain still rise news raise monthly prime membership netflix nflx meanwhile get flurry price target hike ahead earning report monday close share rise less ahead result stock market today nvidia nvda be nice gainer nasdaq help positive comment bofa lynch share rise late stage base be work well so far biotech space share acorda therapeutic acor jump news be acquisition target biogen biib earning biogen be still buy range buy point be due thursday open outperformance growth stock start year have be sight behold ibd be driver seat again friday nearly half name list more leaderboard name ibd component floor decor fnd hit time high rise more breakout basis be sparse retailer big lot big pass muster rise end week well buy range entry earning season start kick gear report due netflix intuitive surgical isrg lam research lrcx well dow component johnson johnson jnj traveler trv related ibm turn corner result concern profit arisenetflix intuitive surgical set report earning season ramp upapple iphone end life predict production cut see
6,ISRG,idexx laboratory idxx have relative strength rs rating upgrade wednesday welcome improvement still short higher score prefer see exclusive rating investor business daily identify market leadership worst best score grade show stock price performance last week stack other stock database history reveal stock go make biggest gain typically have rs rating early stage move see idexx laboratory continue show renew price strength clear threshold look best stock buy watch start hereidexx laboratory be still buy zone move past buy point consolidation once stock move higher initial entry consider proper buy zone earning growth decline most recent report sale moved higher look next report feb company earn rank peer medical system equipment industry group intuitive surgical isrg be top rank stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
7,ISRG,welcome move steris ste see relative strength rating improve tuesday proprietary rating measure market leadership show stock price action last week compare other stock database decade market research show best stock typically have rs rating least early stage move see steris continue rebound hit benchmark see ibd help make more money stockssteris be build flat base buy point see stock break heavy volume earning growth fall last quarter revenue moved higher company be expect report latest performance number feb steris earn rank peer medical system equipment industry group intuitive surgical isrg cantel medical cmd cutera cutr be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
8,ISRG,dow marked new record high thursday stock extend early gain apple aapl remain track end day slide spdr dow jone industrial average dium spdr spy powershare qqq trust qqq be small cap lead ishare core small cap ijr ishare russell iwm soar respectively apple climb continue find support day move average have clear flat base buy point dec pull back iphone maker report quarterly result feb close energy homebuilder retail be top sector fund gainer stock market today oil etfs surge west texas intermediate oil price rise barrel spdr oil gas exploration production xop leap vaneck vector oil service oih add xop be highest level nearly month oih be trading best level april gold play also gain underlie commodity future real estate utility consumer staple lag bitcoin extend loss accord coindesk digital currency be earlier rise bitcoin investment trust gbtc sank poise extend decline fourth straight session south korea bitcoin biggest market say work bill ban cryptocurrency trading robot artificial intelligence be longer science fiction fantasy company irobot irbt nvidia nvda be practically household name investor look own share such company take look robo global robotic automation robo exchange trade fund be extend mid december rebound day move average remain potential buy range flat base entry robo have advanced recent pullback day prior share rise mid july bounce support line nov intraday high year old fund track robo global robotic automation index have attract north america account biggest regional weighting jan nearly asset accord morningstar direct greater asia be next japan represent more third region greater europe make remain top holding stock portfolio include laser maker ipg photonic ipgp offshore oil gas outfit oceaneering international oii clean robot maker irobot irbt japan fanuc daifuku further list be name such zebra technology zbra intuitive surgical isrg graphic chip designer nvidia component be roughly equal weight ibd take make money catch etf uptrend require knowledge read chart learn ibd university nvidia be big winner last year score gain notch return so far year santa clara base company make splash early week consumer electronic show la vegas announce uber self drive partner well new deal volkswagen vklay baidu bidu fund be lead broader market so far year return jan vs robo year gain year average annual return also beat benchmark index clock respective advance period etf carry expense ratio robotic play global robotic artificial intelligence botz be also buy range flat base entry ideal buy point be fund be featured etf column jan stage solid rebound day line share be support line botz top holding jan include nvidia fanuc intuitive surgical daifuku related apple wal mart be just buy point flash key warningchina hit stock buffett vs bitcoin new high cannabis stock market close record high be bitcoin longer fraud robotic etf tap growth manufacturing drone other areasai bitcoin radar niche etf help
9,ISRG,relative strength rs rating omnicell omcl moved new percentile monday get lift proprietary rating track market leadership used worst best score indicate stock price performance trail week compare rest market decade market research show best perform stock often have better rs rating early stage move see omnicell continue show renew price strength clear threshold look winning stock try simple routineomnicell be build cup handle buy point see stock clear price volume least average take look top bottom line number omnicell have post rise ep growth last report sale growth have also increase same time frame omnicell earn rank peer medical system equipment industry group cantel medical cmd cutera cutr intuitive surgical isrg be top highly rate stock group related stock be show improve price performance use ibd relative strength rating relative strength line help judge stock
