,ticker,content
0,JBHT,stock close broadly higher monday dow jone industrial average come bit short reclaim day move average netflix nflx rise close company announce result dow climb end slightly day move average get back trend indicator be positive sign market continue climb bottom signal week also close just day line nasdaq composite be small cap russell climb volume be higher nasdaq nearly flat nyse compare same time friday winner lead loser ratio nyse nasdaq netflix share rise close company earning share be extend find support pullback day move average video stream company report quarterly earning company earn cent share line view subscriber growth be strong amazon com amzn be drop plan sell drug hospital cnbc report news cause drug distributor stock rally mckesson mck jump trade back day move average cardinal health cah rise bounce month low drugstore medical wholesale supply medical product distributor stock also be monday top industry group afternoon trading amazon com share be continue trade day move average transportation sector continue lead logistic trucking truck manufacturing top industry group today market hunt jbht jump heavy trading company beat profit expectation earlier today stock climb back day move average be form base buy point bank continue earning announcement bank america bac beating first quarter earning morning earning rise cent share adjust revenue rise nearly analyst have expect cent revenue stock erased loss be more close defense contractor unite technology utx rise raytheon rtn northrop grumman noc raytheon climb buy point flat base volume be fading northrop be form base buy point boee ba be defense contractor have be see increase interest late friday france britain launch coordinate strike syrian chemical weapon facility accuse syrium used such weapon civilian breakout monday proofpoint pfpt rise past buy point flat base volume be weak proofpoint be several cybersecurity stock rise monday industry conference get underway analyst speculate buyout company cal maine food calm break volume more average share egg producer top buy point cup handle base close bit entry cal maine have be profitable past quarters post loss past quarters sale have rebound sharply february end quarter several optical stock slide commerce department bar chinese company import official say firm illegally ship equipment iran north korea lumentum lite tumble oclaro oclr acacia communication acia finisar fnsr stock be ibd fiber optic industry group have rebound group only lumentum have ibd composite rating related charle schwab beat ahead top rate trade interactive brokersbank america earning jump stock set upoption trading earning expectation high netflix alcoa atlassianstock drop market ignore good news earning
1,JBHT,breakout growth stock be always interesting covenant transport cvti gap move past buy point last week be maybe more interesting most occur powerful trade session nasdaq decline gain help lift stock week ibd stock spotlight list screen specifically look stock strong fundamental be build just basis covenant trucking fleet operator base chattanooga tenn remain buy range buy point shallow base stock be thinly trade disqualify slim leader candidate be often case stock fundamental strength do draw attention rank transportation trucking group industry group often breed more hot stock time particularly group be cyclical be trucking get newsletter deliver inbox more info product service privacy policy term userun list chart group quickly show stock base build mode most be thinly trade do not have strong enough earning outlook top name trucking group old dominion freight odfl be just buy point hunt jbht be cup handle buy point knight swift transportation knx be flat base buy point average ep gain outlook be very healthy revenue line consensus view call revenue gain old dominion gain hunt knight revenue be see spiking company begin incorporate result last year merger swift transportation much smaller knight transportation march combine company also acquire richmond va base abilene motor express abilene specialist dry van refrigerate transport reportedly bring truck annual revenue analyst consensus be project ep jump surge revenue first quarter knight post ep gain revenue advance fourth quarter first gain line chart knight old dominion show relative price strength line press new high hunt rs line be just shade recent high related logistic battle own last mile amazon tesla world oil stock buy point iran tension lift crude trump china tariff likely be time larger steel duty new high scarce stock beat odd vigilant fed be shift rate hike goal post
2,JBHT,hunt jb transportation service jbht see improvement ibd smartselect composite rating friday new rating show stock be outpace stock come most important stock pick criterium market biggest winner often have higher rating early stage new price run hunt jb transportation service be now buy range breaking buy point flat base look winning stock try simple stock have ep rating mean recent quarterly longer term annual earning growth top stock accumulation distribution rating show roughly equal amount buy selling institutional investor last week company report earning share gain revenue growth increase prior report mark consecutive report increase revenue gain hunt jb transportation service hold rank peer transportation truck industry group old dominion fght line odfl saia saia be also group highest rate stock related company be now outperform stock
3,JBHT,consider name put watch list look stock higher rs rating hunt jb transportation service jbht just meet criterium new score ibd proprietary rating measure market leadership worst best score grade show stock price movement trail week hold other stock database year market history show stock go make biggest gain typically have rs rating north begin biggest run look best stock buy watch start herehunt jb transportation service have rise more past entry first stage flat base meaning now proper buy range look stock offer new buy opportunity week tight pullback day week line earning share growth decrease last quarter revenue rise keep eye company next round number jan company hold rank peer transportation truck industry group old dominion fght line odfl forward air fwrd saia saia be top highly rate stock group related stock be show improve technical action use ibd relative strength rating relative strength line help judge stock
4,JBHT,relative strength rs rating hunt jb transportation service jbht climb higher percentile friday get lift ibd proprietary rs rating identify market leadership used worst best score identify stock price action last week stack other stock database history show stock go make biggest gain tend have better rs rating launch largest climb see hunt jb transportation service continue show renew price strength clear threshold see ibd help make more money stockshunt jb transportation service be build flat base buy point see break heavy trade ep growth decline company most recent performance report revenue grow prior report hunt jb transportation service earn rank peer transportation truck industry group old dominion fght line odfl saia saia forward air fwrd be top highly rate stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
5,JBHT,here weekly investing action plan need know investor come week earning season pick steam more big bank report such bank america bac citigroup goldman sachs gs tech heavyweight ibm ibm set major milestone quarterly result leader
6,JBHT,here be investing action plan wednesday need know investor come day federal reserve conclude day policy meeting whole bunch trucking stock trucking fleet operator hunt jbht truck maker navistar nav be hover buy point trucking sector stock movement
7,JBHT,friday hunt jb transportation service jbht receive upgrade relative strength rs rating exclusive rating investor business daily measure market leadership worst best score rating show stock price movement last week hold other stock database year market history reveal best stock often have better rs rating launch biggest climb look winning stock try simple routinehunt jb transportation service be now consider extend buy range clear buy point first stage consolidation see stock form new pattern follow buy opportunity week tight pullback day week line earning growth decline most recent report revenue gain moved higher company earn rank peer transportation truck industry group saia saia old dominion fght line odfl landstar system lstr be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
8,JBHT,major market average turn lower ahead expect congressional vote gop tax bill house representative be expect vote today senate vote happen today wednesday dow jone industrial average fall drag apple aapl downgrade fall tech heavy nasdaq trade meanwhile bitcoin future cme fall dow jone industrial component wal mart store wmt pace advancer gain discount retailer be upgrade neutral buy citigroup price target potential upside nearly monday close price share be well extend flat base entry downside apple recent lose luster early tuesday fall nomura downgrade iphone maker buy neutral say iphone have already be price stock share be back flat base entry tesla tsla reversed early gain fall early tuesday shipping giant unite parcel service up pre order tesla semis tuesday announcement come heel previous order pepsico pep wal mart hunt jbht stock be build right side potential base company report earning darden restaurant dri top top bottom line estimate early tuesday prompt rise share stock be now extend cup handle entry friday buy range run release mark second straight quarter earn growth acceleration bullish fundamental metric meanwhile micron technology mu fedex fdx report earning close bell analyst expect datum storage firm earn share revenue accord zack investment research share rise be just key day support level delivery giant be anticipate report ep revenue stock be extend mid september flat base buy point ibd paypal pypl decline payment processor be hold day line be build first base flat base mid july related dow jone industrial average dow stock news vote tax bill micron fedex report investing action planwhat do oracle align technology control arista share flat base
9,JBHT,index be slightly lower week even dow component wal mart wmt cisco system csco sky-rocket strong earning hope titan continue transition faster growth market dow general electric ge tumble wall street isn sell turnaround plan tesla tsla unveil new future vehicle even struggle get model door general motor gm ramp electric car goal chinese internet leader tencent tcehy jd com jd yy yy netease nte have strong earning report index fall week dow lose nasdaq composite climb hit time high thursday wal mart cisco netapp ntap apply material amat several chinese internet help movement tax cut general electric be disappointment wal mart share earning unexpectedly rise share sale growth include commerce growth investor be pleased send share thursday record high wednesday target tgt offer weak guidance highly competitive holiday quarter discounter do top forecast ep fall cent sale rise share tumble day line wednesday regain key level end week new general electric ge ceo john flannery offer plan turn trouble industrial giant wall street find ge strategic vision hold little be new bold ge reduce footprint just key division aviation power health care flannery also halved profit outlook ge rich dividend investor send ge share nearly year low cisco system csco surge year high computer networking giant say expect december quarter revenue rise first year year gain nearly year cisco forecast earning cent share midpoint guidance vs estimate cent cisco report strong demand new catalyst network switch new switch be part cisco plan grow recur subscription revenue defer revenue rise latest quarter netapp ntap report revenue beating consensus estimate adjust earning come cent share ahead view cent datum storage networking company also raise outlook december quarter share soar maxx parent tjx fall short revenue estimate sale meet ep view rise share midpoint profit guidance fall short current forecast send share lower price peer ross store meanwhile easily top view profit gain cent share revenue grow comp beat view ross raise comp outlook ross share surge friday gap gps abercrombie fitch anf rally friday well receive report apparel chain warren buffett berkshire hathaway brkb buy more apple aapl share third quarter sell huge share ibm ibm holding regulatory filing show big investor clash iphone maker hit record high george soro soro fund management dump entire stake david einhorn greenlight capital slash stake nearly half david tepper appaloosa double stake outside tech berkshire keep faith airline soro load consumer stock be good week china internet company report quarterly result top estimate big winner be yy yy provider livestream service yy report revenue smash consensus estimate share soar more tencent holding tcehy leader gaming messaging see share approach new high quarterly result china commerce company jd com jd get boost well do com wuba call craigslist china mobile gaming specialist netease nte trounce earning view send share surge nearly thursday almost friday consumer electronic retailer best buy bby earn adjust cent share third quarter year year sale analyst expect cent best buy blame delay launch apple aapl iphone hurricane texas florida disappointment holiday quarter best buy expect earn share sale base midpoint guidance analyst be modele ep sale semiconductor equipment giant apply material amat beat fiscal fourth quarter sale earning target guide higher current quarter stock climb record high news finally eclipse previous record reach april dot com bubble chip gear stock get lift positive earning report be kulicke soffa industry klic also semiconductor equipment firm lam research lrcx get boost announce capital return program biotechs be relatively beat last week few key exception prime therapeutic fprx continue take hit monday diving nearly datum pancreatic cancer trial used drug cabiralizumab bristol myer squibb bmy blockbuster opdivo pacira pharmaceutical pcrx lose tuesday food drug administration set date advisory committee discuss drug exparel regional anesthetic also tuesday loxo oncology loxo lead biotech deluge stock broadly lose agree codevelop cancer drug bayer bayry deal wednesday acorda therapeutic acor dip month low report death late stage parkinson disease study nektar therapeutic nktr defy trend rise nearly year high monday promising trial drug nktr bristol opdivo skin kidney lung cancer tesla tsla unveil electric semi truck higher expect mile battery range well next generation roadster sport car ceo elon musk say new truck start production tesla have struggle deadline meantime jb hunt jbht other plunk reservation offer cash burn tesla more capital model rollout tesla share rise fraction friday meanwhile general motor gm plan sell electric vehicle year aggressive new target hinge next gen ev platform less costly battery inflation appear be firm hurricane recovery be play role new labor department datum suggest core consumer price exclude food energy rise year annualize gain past month rent inflation have be recent strength used car price also bounce october likely temporary effect demand create hurricane harvey irma destroy hundred thousand vehicle evidence suggest economy be something roll retail sale moderate surge upwardly revise september overall gain edge past expectation come weak side outside auto rise emirate announce order boee ba value list price instead expect airbus eadsy order boee also inked order max jet discount carrier flydubai airbus have surprise own shocking industry watcher order neo jet neos investor indigo partner largest airbus history even bombardier bdrbf sign order struggle cseries line show boee say middle east need new airplane next year value market outlook new plane dick sporting good dks report third quarter earning sale beat estimate struggle retailer say earning share next year fall much cite flat same store sale plan spend money commerce private brand other investment dick share fall tuesday rise teh week however foot locker fl hibbett sport hibb report better expect earning send share soar friday mall base foot locker say inventory be fall good news nike nke hibbett sport cite strong online sale raise full year guidance crude output hit new high barrel day bpd week report energy information administration say stockpile increase barrel analyst expect drop barrel world energy outlook international energy agency estimate output jump barrel oil equivalent day currently iea also cut oil demand forecast barrel day crude future fall slightly week rh rh upscale furniture retailer formerly know restoration hardware give preliminary earning figure be well estimate other guide revenue estimate higher share soar thursday upscale home furnishing chain william sonoma wsm tumble friday weak earning datum service provider splunk splk report third quarter result beat estimate top bottom line revenue forecast expectation send share friday buffalo wild wing bwld share zoom nearly tuesday previous evening hour wall street journal report private equity firm roark capital have offer share restaurant chain wireless chip maker qualcomm qcom reject unsolicited acquisition offer broadcom avgo say propose deal undervalue company broadcom be undeterred indicated take proposal directly shareholder square sq say trial bitcoin service let user square cash money transfer app buy sell digital currency exchange
