,ticker,content
0,JEF,la vegas smartwatch be next big thing currently lack killer app
1,JEF,adoption smartwatch include upcoming apple aapl watch be muted industry come have application consumer expert say international ce week
2,JEF,analyst tech columnist ve be wear smartwatch now year half say tim bajarin analyst creative strategy have yet find call killer app make want
3,JEF,doesn mean win emerge especially apple launch promise be category define product say apple plan start selling apple watch early part year feature health communication information application
4,JEF,apple join smartwatch already market lg lenovo samsung sony sne other
5,JEF,smartwatch be meant complement smartphone not replace say dennis miloseski vice president design samsung be design enhance mobile lifestyle say
6,JEF,person pull phone look average time day say ridiculous stat say re check time read message alert
7,JEF,putt information wrist be more appeal dig phone pocket purse say
8,JEF,many factor include different usage scenario well fashion style influence smartwatch succeed say steve sinclair vice president product marketing lenovo motorola mobility unit
9,JEF,isn app technology go make whole thing break sinclair say however market already be heating say
10,JEF,area devote company show smartwatch ce be compare last year show say shawn dubravac chief economist director research consumer electronic association host ce
11,JEF,smartwatch market be see lot experimentation see sell dubravac say
12,JEF,cea forecast smartwatch be sell year
13,JEF,basis unit intel intc have focuse fitness health application wearable be thing smartphone don do well
14,JEF,so far smartwatch don solve problem better phone already do say jef holove general manager basis
15,JEF,related apple watch mass production expect beginla vegas smartwatch be next big thing currently lack killer app adoption smartwatch include upcoming apple aapl watch be muted industry come have application consumer expert say international ce week analyst tech columnist ve be wear smartwatch now year half say tim bajarin analyst creative strategy have yet find call killer app make want doesn mean win emerge especially apple launch promise be category define product say apple plan start selling apple watch early part year feature health communication information application apple join smartwatch already market lg lenovo samsung sony sne other smartwatch be meant complement smartphone not replace say dennis miloseski vice president design samsung be design enhance mobile lifestyle say person pull phone look average time day say ridiculous stat say re check time read message alert putt information wrist be more appeal dig phone pocket purse say many factor include different usage scenario well fashion style influence smartwatch succeed say steve sinclair vice president product marketing lenovo motorola mobility unit isn app technology go make whole thing break sinclair say however market already be heating say area devote company show smartwatch ce be compare last year show say shawn dubravac chief economist director research consumer electronic association host ce smartwatch market be see lot experimentation see sell dubravac say cea forecast smartwatch be sell year basis unit intel intc have focuse fitness health application wearable be thing smartphone don do well so far smartwatch don solve problem better phone already do say jef holove general manager basis related apple watch mass production expect begin
