,ticker,content
0,KMI,canada buy kinder morgan kmi canada ltd tran mountain oil pipeline controversial expansion project bid ensure get build fierce opposition xfinance minister bill morneau natural resource minister jim carr announce plan tuesday ottawa be build be build morneau say deal include expansion related pipeline terminal asset be expect close august construction continue season federal government transfer more new owner appropriate buy pipeline have become increasingly likely prime minister justin trudeau first pledge only backstop be go get pipeline build trudeau say tuesday morning head meeting cabinet purchase mark stunning development trudeau government effectively nationalize country highest profile infrastructure project operator be find project have be beset legal uncertainty rise protest environmental group province british columbia be key test trudeau bid balance environment economy back pipeline expansion push national carbon price reduce greenhouse gas emission canada first offer earlier month indemnify expansion project make tuesday announcement plan include exist pipeline be operation plan announce tuesday have several stage construction continue year federal loan guarantee deal be finalize government look new owner owner transfer project then indemnify owner certain cost calgary base kinder morgan canada unit houston base parent be little change toronto trading monday market value share be halter tuesday pending announcement company be due hold call morneau announcement side have be talk company set deadline government give certainty face opposition british columbia be concern increase tanker traffic possible oil spill pacific coast trudeau pledge regularly pipeline be build tran mountain expansion almost triple capacity barrel oil line run alberta terminal vancouver kilometer mile expansion be see oil industry crucial link asian market allow producer diversify away take vast majority canadian oil export be interested energy stock industry newsbest growth stock buy watch see update ibd stock listsstock buy watch top ipos big small cap growth stockslooking best stock buy watch start here
1,KMI,etfs tracking muscle more wednesday slew robust financial result higher oil price market proxy benchmark blue chip dow jone industrial average be eyee third straight day gain first time volatile year spdr spy gap stock market today several stock holding make bullish move follow earning report watch maker fossil fosl soar much smash view gps company garmin grmn travel book site priceline pcln jump respectively retake day move average pipeline giant kinder morgan kmi advanced news warren buffett have big stake firm end december spy have tiny stake garmin priceline kinder morgan less almost top holding include apple aapl jab higher late morning trade year date feb iconic exchange trade fund have give investor fled riskier asset sign global growth be stall unite state oil fund uso spiked wednesday buoy comment iranian official back ceiling oil output shortly noon crude rise much barrel vs previous day close largest etfs backed physical gold nudge higher intraday snap day loss investor seem discount possibility imminent rate hike ahead release minute federal reserve latest meeting gold rise year high last week investor fled safe haven asset global stock market sell dollar trade flat basket other major world currency wednesday here look major exchange trade fund tracking various asset class be perform today follow daily etf market action be key successful investing spdr spy rs powershare qqq qqq rs spdr dow jone industrial average dium rs ishare core mid cap ijh rs ishare russell iwm rs ishare msci eafe efa rs vanguard ftse emerge market vwo rs spdr gold share gld rs ishare core aggregate bond agg rs powershare db bullish uup rs
2,KMI,ibd dividend income screen stock grow earning dividend be sea red monday rest market lesson be learn be such thing stock immune global turmoil matter safe think be least stock buck trend sort magellan
3,KMI,stock step modest early gain rise trade thursday pop oil price augment heavy slate big name earning report volume pulse higher stock market today rise nyse nasdaq compare action same time wednesday early economic news be mixed surprise fall
4,KMI,straight record year dividend payout investor expect muted payout growth due part sag energy sector month show first monthly decline indicated rate forecast total dividend paid share stock next month be same most recently paid dividend more year copper miner freeport mcmoran fcx month suspend share payout cent slash dividend yield earlier year also december energy pipeline operator kinder morgan kmi hack dividend stall indicated rate be short term blip average dividend growth be decelerate come just shade monday last year increase accord datum compile dow jone index exclude company least double dividend average hike company year be last year be be bit more cautious company be bit more cautious say howard silverblatt senior index analyst dow jone index increase slightly continue decline hopefully not much dec share indicated dividend imply payoff slightly more share be only fraction november turn be decline once december number come be first such decrease february taxe corporate profit fall third quarter commerce department say dividend be paid earning company be find position wariness tax profit margin historic high labor market tighten corporation struggle boost earning sluggish global economic growth december dividend hikesdespite decelerate increase stand be record year term dividend payout increase amgen amgn boee ba walt disney announce big increase december alone amgen be hike annual payout share boee disney provide oil market doesn fall apart dividend increase mid single digit percentage range silverblatt add shouldn come big surprise big weight dividend be obvious culprit energy wallop fall crude oil price crude trade barrel june earlier month trade barrel hit lows not see great recession accordingly energy have be worst perform sector company past year result have be dread dividend cut year date energy issue have cut dividend accord silverblatt previous year combine cut dividend oil major preserve like freeport kinder morgan already have slash dividend payout large oil company be stay course exxon mobil xom royal dutch shell rdsa chevron cvx have maintain dividend year oil ongoing price decline choose cut capital spending instead cut dividend be kiss death silverblatt say master limit partnership popular investment vehicle energy pipeline storage company have rough year price oil other commodity sank barometer sector alerian mlp amlp exchange trade fund have tumble year corporate america favorite short term earning fix stock buyback continue company be sit cash enough buyback dividend silverblatt add continue pressure activist investor other shareholder only add practice company repurchase own share general stock haven have outstanding year double digit increase investor see standard poor index generally have be flat winner loser have even market be stock picker be year buy summer house live tent silverblatt say
5,KMI,conocophillip cop chevron cvx other be able keep dividend crash oil price even other company sector cut payout december conoco say dividend be highest priority use cash chevron ceo tell cnbc pay dividend be company priority royal dutch shell rdsa statoil sto have make
6,KMI,sharp drop last week major market index many etfs have more do plunge oil price keenly watch fed move expect wednesday benchmark etfs tracking dow nasdaq dump many exchange trade fund turn negative investor be large braced first rake
7,KMI,energy etfs continue sell tuesday fall oil price close well session lows jittery investor eye overnight chinese trade datum show weakness export import datum add fear slow growth world second largest economy china be also second biggest oil consumer unite state oil price close
8,KMI,conocophillip joined other oil major standing dividend even mining company pipeline operator be force cut payout prolong commodity slump conocophillip cop say thursday dividend be highest priority use cash tuesday chevron cvx ceo john watson tell cnbc pay dividend be priority royal dutch shell rdsa
9,KMI,freeport mcmoran fcx halter dividend cut capital spending wednesday join other mining company commodity price fall freeport say stop pay cent share annual dividend cut capex activist investor carl icahn have be push
10,KMI,stock extend loss midday thursday day federal reserve raise interest rate first time nearly decade fall dow jone industrial average nasdaq be
11,KMI,volume be run higher nyse nasdaq compare same time wednesday
12,KMI,economic news be mixed unemployment claim fall little less expect week end dec manufacturing mid atlantic region fall much more expect december conference board index lead economic indicator rise november prior month increase ahead analyst forecast
13,KMI,mining energy stock be hit hardest stock market today decline oil metal price
14,KMI,newmont mining nem colorado base miner gold silver lose lead lower oil transportation stock oneok oke also drop
15,KMI,most ibd stock be lower lead global payment gpn fall more heavy volume stock plunge wednesday slice day line agree buy rival credit card payment processor heartland payment system hpy
16,KMI,total system service tss credit card payment processor ibd fall remain well buy point cup handle base clear october
17,KMI,chinese social medium stock weibo wb be bright spot jump more heavy volume close buy point deep cup shape base
18,KMI,stock boast rise relative strength line accumulation distribution rating indicate strong demand share stock have more double fall low aug stock extend loss midday thursday day federal reserve raise interest rate first time nearly decade fall dow jone industrial average nasdaq be volume be run higher nyse nasdaq compare same time wednesday economic news be mixed unemployment claim fall little less expect week end dec manufacturing mid atlantic region fall much more expect december conference board index lead economic indicator rise november prior month increase ahead analyst forecast mining energy stock be hit hardest stock market today decline oil metal price newmont mining nem colorado base miner gold silver lose lead lower oil transportation stock oneok oke also drop most ibd stock be lower lead global payment gpn fall more heavy volume stock plunge wednesday slice day line agree buy rival credit card payment processor heartland payment system hpy total system service tss credit card payment processor ibd fall remain well buy point cup handle base clear october chinese social medium stock weibo wb be bright spot jump more heavy volume close buy point deep cup shape base stock boast rise relative strength line accumulation distribution rating indicate strong demand share stock have more double fall low aug
19,KMI,special report income investing bond common stock aren only game town come income investing risk averse income investor saving account money market account have benefit safety good luck get respectable yield re lucky get yield income investor do have option
20,KMI,pipeline company energy transfer equity ete purchase william co wmb pipeline company deal agreement announce monday william shareholder get share share energy transfer combination include debt deal be value william co share close
21,KMI,stock future be have pull back early high ahead thursday open surprise jump mid atlantic region manufacturing
22,KMI,dow future trade point fair market value point gain hour earlier nasdaq future hold point gain sticking close earlier high future pull back point gain
23,KMI,stock market today carry bit less weight shoulder decisively punch past day move average nasdaq gain more altitude important line support wednesday
24,KMI,investor draw confidence minute fed oct meeting show majority federal open market committee favor rate hike december apple aapl also factor day gain gapping better gain upgrade goldman sachs
25,KMI,current uptrend still bear heavy load distribution day nasdaq be good cause keep cautious stance new purchase stock flash sell signal
26,KMI,relatively light economic calendar open labor department report weekly jobless claim ease week end nov prior week economist consensus have forecast pullback claim week move average continue higher mark third straight advance
27,KMI,philadelphia federal reserve regional manufacturing survey firm november rise beat consensus expectation flat outcome index fall read october follow tally september
28,KMI,conference board be set release lead economic indicator index october et
29,KMI,dow unitedhealth unh drop premarket action minnetonka minn base manage care provider trim full year ep guidance consensus view company say claim activity deteriorate individual participation insurance exchange lag
30,KMI,seller keep pressure retail apparel maker send best buy bby perry ellis pery loss mixed quarterly report buckle bke ton store bont report earning miss stock remain unchanged premarket trade
31,KMI,keurig green mountain gmcr ahead top premarket action owner cup coffee franchise trounce analyst earning expectation revenue fall less forecast management boost quarterly dividend cent keurig share end wednesday november high
32,KMI,salesforce com crm jab bell ep leap gain revenue narrowly clear analyst consensus projection revenue earning projection be line analyst view management hoist full year ep guidance just consensus software service leader end wednesday buy range bit more cup base buy point
33,KMI,china base play chalk strong premarket move
34,KMI,ctrip com international ctrp soar higher deliver result online travel site end wednesday buy point double bottom base
35,KMI,china base micro blog site weibo wb shot premarket trade report ep cent cent share loss year view cent revenue surge better forecast stock finished wednesday deep cup base stock future be have pull back early high ahead thursday open surprise jump mid atlantic region manufacturing dow future trade point fair market value point gain hour earlier nasdaq future hold point gain sticking close earlier high future pull back point gain stock market today carry bit less weight shoulder decisively punch past day move average nasdaq gain more altitude important line support wednesday investor draw confidence minute fed oct meeting show majority federal open market committee favor rate hike december apple aapl also factor day gain gapping better gain upgrade goldman sachs current uptrend still bear heavy load distribution day nasdaq be good cause keep cautious stance new purchase stock flash sell signal relatively light economic calendar open labor department report weekly jobless claim ease week end nov prior week economist consensus have forecast pullback claim week move average continue higher mark third straight advance philadelphia federal reserve regional manufacturing survey firm november rise beat consensus expectation flat outcome index fall read october follow tally september conference board be set release lead economic indicator index october et dow unitedhealth unh drop premarket action minnetonka minn base manage care provider trim full year ep guidance consensus view company say claim activity deteriorate individual participation insurance exchange lag seller keep pressure retail apparel maker send best buy bby perry ellis pery loss mixed quarterly report buckle bke ton store bont report earning miss stock remain unchanged premarket trade keurig green mountain gmcr ahead top premarket action owner cup coffee franchise trounce analyst earning expectation revenue fall less forecast management boost quarterly dividend cent keurig share end wednesday november high salesforce com crm jab bell ep leap gain revenue narrowly clear analyst consensus projection revenue earning projection be line analyst view management hoist full year ep guidance just consensus software service leader end wednesday buy range bit more cup base buy point china base play chalk strong premarket move ctrip com international ctrp soar higher deliver result online travel site end wednesday buy point double bottom base china base micro blog site weibo wb shot premarket trade report ep cent cent share loss year view cent revenue surge better forecast stock finished wednesday deep cup base
36,KMI,apple aapl make goldman sachs list good bad stock own federal reserve hike interest rate
37,KMI,central banker meet week discuss lift benchmark rate september increase be see sure bet few month recent global turmoil mediocre datum have prompt analyst expect hike later
38,KMI,cupertino calif base tech giant be place good list strong balance sheet bloomberg report other company make grade range tech food finance
39,KMI,be google googl chipotle grill cmg well fargo wfc priceline group pcln pepsico pep blackrock blk oracle orcl kinder morgan kmi dollar tree dltr
40,KMI,other hand company lot float rate debt be avoid fed hike rate financing cost rise goldman sachs analyst say report last week
41,KMI,enormous sum cash overall balance sheet strength apple also have lot float rate debt accord goldman
42,KMI,company make not so great stock list include mcdonald mcd ebay ebay metlife meet coca cola ko general motor gm johnson johnson jnj allergan agn chevron cvx time warner twx ford motor general mill gis
43,KMI,somewhat schizophrenic list apple goldman sachs report didn faze investor apple share rise finishing stock market today help early indication latest iphone model be see high demand
44,KMI,follow ciaran mcevoy twitter ibd_cmcevoy facebook apple aapl make goldman sachs list good bad stock own federal reserve hike interest rate central banker meet week discuss lift benchmark rate september increase be see sure bet few month recent global turmoil mediocre datum have prompt analyst expect hike later cupertino calif base tech giant be place good list strong balance sheet bloomberg report other company make grade range tech food finance be google googl chipotle grill cmg well fargo wfc priceline group pcln pepsico pep blackrock blk oracle orcl kinder morgan kmi dollar tree dltr other hand company lot float rate debt be avoid fed hike rate financing cost rise goldman sachs analyst say report last week enormous sum cash overall balance sheet strength apple also have lot float rate debt accord goldman company make not so great stock list include mcdonald mcd ebay ebay metlife meet coca cola ko general motor gm johnson johnson jnj allergan agn chevron cvx time warner twx ford motor general mill gis somewhat schizophrenic list apple goldman sachs report didn faze investor apple share rise finishing stock market today help early indication latest iphone model be see high demand follow ciaran mcevoy twitter ibd_cmcevoy facebook
45,KMI,equity income be legacy mutual fund classification investment strategy use dividend pay stock produce income capital appreciation be not main goal equity income fund be less volatile fall stock market equity income mutual fund perform line much past year fall start
