,ticker,content
0,KR,here investing action plan thursday need know investor come day open source solution provider red hat rht specialty memory technology company smart global holding sgh grocery giant kroger kr be prepared report earning result look federal reserve stress test result major
1,KR,kroger kr be get serious meal kit grocery chain be expand presence industry deal buy home chef third largest meal kit company kroger pay much more next year certain growth target be hit accord statement wednesday xkroger have be testing sale own meal kit more store supermarket try spark growth competitive pressure aftermath amazon amzn takeover whole food market largest grocery chain roughly store kroger be latest brick mortar retailer embrace box ingredient way connect busy shopper try figure make dinner deal home chef give kroger window datum come direct consumer commerce business let chain quickly scale meal kit business accord yael cosset grocer chief digital officer allow go faster say interview expect be extremely disruptive industry home chef see sale surge last year putt blue apron hellofresh market company say have be profitable last quarters have position meal kit maker mass favore barbecue burger buttermilk chicken more foodie inspire organic option offer competitor home chef also sell smoothie kit fruit basket meal kit industry have be grapple online subscription model presence brick mortar store put company product front thousand customer day home chef already offer item online walmart com hannaford click collect program walmart wmt start selling meal kit earlier year plan have store end albertson co second largest supermarket chain buy home chef competitor plait last year part response amazon push grocery business source tell bloomberg news time grocery industry insulation commerce start unravel year amazon announce whole food deal less food be buy online most observer expect number surge come year cause grocer bolster digital capability addition home chef deal kroger recently partner ocado british online supermarket know automate warehouse quickly fill delivery order home chef headquarters remain chicago purchase be expect close second quarter company employ isn plan layoff chief executive officer pat vihtelic say interview home chef have receive offer past kroger be right partner gain wider audience vihtelic say really want be everywhere customer be say feel kroger be best fit be interested best growth stock buy watch see update ibd stock listsstock buy watch top ipos big small cap growth stockslooking best stock buy watch start here
2,KR,wage growth likely accelerate march job report hawkish implication fed interest rate outlook goldilock be way wall street economist expect monthly employment report et show gain job unemployment rate dip lowest december average hourly wage growth tick annual basis so so february expect improvement wage growth be start trend reason first dozen major employer announce wage hike past few month few come early enough show february job report walmart wmt cvs health cvs hike minimum wage hour month raise minimum wage target tgt say last month pay current associate least hour start spring get newsletter deliver inbox more info product service privacy policy term usesecond wage growth recede spring rise just annual rate march june month see depress pay gain drop replace month firmer growth year annual rate trend higher take closer look walmart wage change pay hike announce january walmart hadn raise base wage nearly year big deal walmart hike minimum wage current associate hour february wage hike be contagious walmart be big enough put upward pressure wage other employer target costco cost be quickly hike pay shortly move average hourly earning growth rise july momentum flag walmart wage hike come jobless rate be nearly now so competition worker have intensified least worker lower end wage spectrum pay hike appear be broad base starbucks sbux kroger kr dollar tree dltr ross store rost have say re raise pay meanwhile dozen bank include bank america bac well fargo wfc hike minimum wage hour teller wage gain accelerate jobless rate move come month fed policymaker lean interest rate hike not just fed model assume inflation follow wage growth higher reason be skeptical example kroger say last month use bulk tax cut offset cost higher wage lower price be interested check dow jone stock be buy pointboee ge unite tech fall china hit aviation order roll invest late stage bull market fang stock slumpstock watch stock just get add ibd ipo leaderstop stock lgi home break buy zone strong growth
3,KR,tuesday supervalu svu get positive adjustment relative strength rs rating look best stock buy watch factor watch closely be relative price strength ibd proprietary rs rating track technical performance show stock price action last week compare other stock database history reveal market biggest winner tend have rs rating north launch biggest run look best stock buy watch start heresupervalu have moved more past entry second stage consolidation meaning now proper buy range look stock offer new buy opportunity week tight pullback day week move average earning growth decrease last quarter revenue gain moved higher company be expect report latest earning sale number jul company hold rank peer retail super mini market industry group kroger kr be top rank stock group get newsletter deliver inbox more info product service privacy policy term useget instant access more trading idea exclusive stock list ibd proprietary rating only also stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
4,KR,murphy usa musa have relative strength rs rating upgrade thursday welcome improvement still higher score prefer see try find best stock buy watch be sure pay attention relative price strength ibd proprietary rs rating track market leadership show stock price movement last week compare other stock database year market history reveal best stock tend have higher rs rating launch largest climb see murphy usa continue rebound hit benchmark look best stock buy watch start heremurphy usa be try complete cup handle entry see clear price heavy volume earning growth increase last quarter top line fall company earn rank peer retail super mini market industry group kroger kr national grocer vitamin cottage ngvc be also group highest rate stock get newsletter deliver inbox more info product service privacy policy term also stock be show improve price performance use ibd relative strength rating relative strength line help judge stock
5,KR,important metric look stock be higher relative strength rating supervalu svu now clear threshold jump wednesday look best stock buy watch be sure pay attention relative price strength ibd proprietary rating identify market leadership worst best score rating show stock price performance last week stack other stock database history reveal market biggest winner typically have rs rating least begin biggest run look winning stock try simple be now consider extend buy range clear buy point second stage consolidation see stock form new pattern follow buy opportunity week tight pullback day week line earning growth decline last quarter sale moved higher company hold rank peer retail super mini market industry group murphy usa musa kroger kr national grocer vitamin cottage ngvc be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
6,KR,welcome move supervalu svu see relative strength rating rise tuesday re research best stock buy watch keep close eye relative price strength ibd proprietary rs rating measure market leadership used worst best score show stock price performance trail week compare other publicly trade company year market history reveal top perform stock often have rs rating north early stage move see supervalu continue rebound hit benchmark look winning stock try simple have climb more past entry second stage consolidation meaning now proper buy zone look stock offer new chance get week tight pullback day week line earning share growth drop last quarter top line rise company hold rank peer retail super mini market industry group kroger kr national grocer vitamin cottage ngvc spartannash sptn be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
7,KR,leadership sector fund change dramatically past month volatile stock market weigh former top name year date basis most leader remain same retail real estate energy etfs top list outperformer base month gain see accompany table amplify online retail ibuy come first return june accord morningstar direct fund launch april be also only etfs table hold double digit year date gain ibuy track eqm online retail index be compose company generate least revenue online virtual business transaction stock do business traditional online retail online travel online marketplace traditional retail account asset april marketplace travel make respectively top country weighting be china japan germany top holding june represent stock portfolio be carvana cvna wayfair tripadvisor trip land end le etsy etsy ibuy charge expense ratio invesco kbw premium yield equity reit kbwy place second month return fund track kbw nasdaq premium yield equity reit index be month high recently recover week move average top holding june include washington prime group wpg new senior investment group snr government property income trust gov kbwy expense ratio be spdr retail xrt be third month return etf have pull back buy range handle buy point shallow base fund biggest sector weighting be apparel retail asset internet direct marketing retail account automotive retail specialty store xrt top holding include rent center rcii carvana wayfair kroger kr netflix nflx fund carry expense ratio spdr oil gas exploration production xop return past month be year date several oil play include xop be set basis read etf leader column get newsletter deliver inbox more info product service privacy policy term useget instant access more trading idea exclusive stock list ibd proprietary rating only also dow stock rally nike vault record highbest etfs monthly performance reportlatest etf news analysis
8,KR,here be investing action plan friday need know investor come day june job report often stock market mover take back seat big news day possibly first big shot china trade war trump tariff be set hit stroke midnight trump tariff do kick midnight eastern time add worth high tech chinese import beij be set immediately retaliate dollar dollar tariff auto agriculture stock have fall recent week trump trade war fear so unclear major average key sector react china tariff go effect not broader implication be huge tariff take effect then be outset technological cold war beij be turn back re table hold then wall street heave sigh relief know trump trade threat prove be mostly bark not bite get newsletter deliver inbox more info product service privacy policy term usechina right now be set slap further tariff build car suvs hit ford tesla tsla other germany daimler ddaif already warn profit alabama build suvs suffer chinese tariff agriculture include soybean indirectly hit deere thrive american farmer rake profit lead maker cree be company hit trump tariff trump administration turn request exemption cree cree warn tariff limit spending plan manufacturing expansion trump tariff hit semiconductor maker come next batch worth good target tariff still face final review likelihood rise markedly first round tariff take effect tariff multinational face other significant hurdle china beij make life difficult dow jone stock boee ba caterpillar cat apple aapl china have be hold qualcomm qcom takeover nxp semiconductor nxpi economist expect june employment report show add job last month unemployment rate hold labor department report be due et average hourly earning be big number watch expect annual wage growth tick match best pay gain costco cost boost start wage other wage cent hour effective june follow wage hike earlier year target tgt walmart wmt cvs health cvs kroger kr more rise wage growth offer more evidence historical link lower unemployment higher pay be still intact higher wage turn be expect fuel higher inflation upside surprise wage boost odd third fourth fed hike year long rise trade war fear don curb economic enthusiasm also trump tariff hit be lose china trade war big auto stock rev higher be trump tariff ploy work watch ibd list stock growth stock market today track market trend best stock watchchart read beginner most profitable chart pattern
9,KR,stock market open mixed mostly unchanged early thursday seller quickly take charge first minute trading dow jone industrial average undercut day move average fall nearly intel intc chevron cvx caterpillar cat general electric ge lag share intel lose nearly news ceo brian be step due inappropriate relationship employee chevron also fall more oil price fall ahead friday widely anticipate opec meeting crude oil future be lows still lose barrel stock market result today several commerce firm be pressure supreme court rule state require online retailer collect sale tax hurt online sale remain be see internet retailer etsy etsy wayfair stamp com stmp show loss avalara avlr be big winner thank ruling share soar good new high cloud base software firm specialty be tax compliance go public last week nasdaq composite lose small cap lag russell nasdaq gainer st century fox fox be top performer speculation comcast cmcsa come even higher bid disney bid earlier week other gainer include darden restaurant dri share gap consolidation rise more strong earning conventional entry be volume be run more time usual level other earning winner include micron technology mu kroger kr share micron be kroger jump micron report allay concern softness memory chip price wall street focuse jump online sale kroger most ibd name be lower leaderboard name paypal pypl ibd buck trend gain also trade war heat eu tariff kick investing action planthese company be now outperform stockstip millennial aim become big picture reason nasdaq be beating dow
