,ticker,content
0,KSU,kansa city southern ksu see welcome improvement relative strength rs rating monday upgrade look best stock buy watch be sure pay attention relative price strength ibd unique rs rating track technical performance used worst best score indicate stock price performance trail week stack other stock database decade market research reveal stock go make biggest gain tend have rs rating least early stage move see kansa city southern continue rebound clear threshold look winning stock try simple routinekansa city southern break earlier be now prior entry flat base stock re tracking clear buy point then decline more original entry price consider fail base stock set new base entry price also understand latest pattern be later stage base involve more risk kansa city southern post earning growth most recent report sale growth come company earn rank peer transportation rail industry group csx csx be rank stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
1,KSU,kansa city southern ksu see positive improvement relative strength rs rating wednesday rise exclusive rating investor business daily measure market leadership worst best score score show stock price behavior trail week hold other stock database decade market research show market biggest winner typically have rs rating least early stage move see kansa city southern continue rebound clear threshold see ibd help make more money stockskansa city southern be try complete flat base buy point see stock break volume least higher normal earning growth increase last quarter sale fall look next report jan kansa city southern hold rank peer transportation rail industry group union pacific unp be rank stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
2,KSU,canadian pacific railway cp see welcome improvement relative strength rs rating thursday upgrade look best stock buy watch factor watch closely be relative price strength ibd proprietary rating track market leadership worst best score grade show stock price behavior trail week hold other stock database year market history show best stock tend have rs rating north early stage move see canadian pacific railway continue rebound clear threshold see ibd help make more money stockscanadian pacific railway be try complete flat base buy point see stock break heavy trading canadian pacific railway show earning growth most recent report revenue rise next quarterly number be expect apr canadian pacific railway hold rank peer transportation rail industry group kansa city southern ksu be top rank stock group get newsletter deliver inbox more info product service privacy policy term also stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
3,KSU,union pacific unp have relative strength rs rating upgrade friday look best stock buy watch factor watch closely be relative price strength unique rating measure market leadership used worst best score show stock price action trail week match other publicly trade company history reveal best stock often have higher rs rating early stage move see ibd help make more money stocksunion pacific break earlier be now prior entry cup handle stock re tracking clear buy point then fall more original entry price consider fail base best stock form new pattern also understand most recent consolidation be later stage base such basis be more prone failure company report ep growth latest quarterly report sale growth come keep eye company next round number apr union pacific earn rank peer transportation rail industry group kansa city southern ksu be top rank stock group get newsletter deliver inbox more info product service privacy policy term also stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
4,KSU,first big split republican lead congress president trump house speaker paul ryan gop member house way mean committee have come opposition propose tariff steel aluminum import opposition be thing washington post report congressional republican be privately talk other option keep trump risk trade war white house doesn reconsider raise possibility legislation far clear veto proof majority handcuff trump trade be assemble give democrat praise last week tariff announcement party line trade have increasingly blur possible odd buck trump improve trade measure clearly backfire yet potential congressional intervention have help ease concern wall street impending imposition tariff dow jone industrial average index nasdaq composite also turn overnight loss solid gain stock market today steel stock surge thursday trump sprung surprise announcement white house infighting idea be mostly lower monday steel be steel dynamic stld ak steel ak nucor nue fall cent use ibd marketsmith free march
5,KSU,see stock buy point get chart pattern recognition run custom screen start nowmeanwhile stock be vulnerable trump trade agenda come pressure early monday then cut loss gain ground trading session progressed trump have set tone weak open tweeting willing exempt mexico canada import tariff only new fair nafta agreement be sign afternoon trading company be big user steel aluminum ford rise general motor gm boee ba kansa city southern railway ksu have extensive network mexico be cent ibd take sell trigger president trump tariff plan have change outlook stock market big picture column explain thursday now stock market volatility have return more important ever read ibd big picture column day stay top market direction key indicator let know be aggressive move sideline ryan office say be extremely worry consequence propose tariff district include factory harley davidson hog produce motorcycle have be highlighted european union official likely target retaliation trump follow trump dismiss emerge opposition policy monday say re not back add doesn expect trade war ensue read line trump be expect other country put tariff have more lose keep friday tweet country usa be lose many billion dollar trade virtually country do business trade war be good easy stock buy point be show strong relative strength trump tariff stock be hurt most fed inflation gauge stay tame here reason investor be nervouswhat be inflation do matter fed amazon vs walmart locking horn battle retail futureai news artificial intelligence trend lead stock
6,KSU,tuesday kansa city southern ksu earn positive adjustment relative strength rs rating ibd proprietary rating measure market leadership worst best score rating show stock price behavior last week hold other stock database history reveal market biggest winner tend have better rs rating early stage move see ibd help make more money stockskansa city southern be trading buy range clear entry flat base once stock move higher original entry consider proper buy area earning growth increase last quarter revenue fall company earn rank peer transportation rail industry group union pacific unp be top rank stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
7,KSU,rail operator csx csx turn mixed result late tuesday electronic brokerage firm interactive broker ibkr beat top bottom line estimate earning share increase cent revenue slip result ep cent exclude effect tax cut restructure revenue fall stock csx rally late share close stock market today be slightly extend buy point earning be csx first december death former ceo hunter harrison veteran railroad executive reputation tighten cost turn company canadian pacific railway cp canadian national railway cni james foote have replace harrison ceo csx performance continue strengthen fourth quarter build schedule railroad model be instituted hunter harrison foote say statement tuesday canadian pacific report fourth quarter earning thursday kansa city southern ksu report friday canadian pacific fall kansa city southern gain estimate ep cent more fivefold increase revenue more double result ep cent exclude effect tax cut revenue customer equity grow year customer account increase total daily active revenue trade increase stock interactive broker fall late share close hit record high intraday stock clear short consolidation last week charle schwab schw be set report wednesday gain set record high trade financial etfc td ameritrade amtd also rise slightly fresh high be interested trader eye result interactive broker flirt strong earning chart show flawthese top tech stock strong rs line hit buy pointsdow giant unitedhealth hit buy zone earning list hottest industry group surprise
8,KSU,kansa city southern ksu have relative strength rs rating upgrade thursday welcome improvement still shy better score prefer see exclusive rating investor business daily track share price movement worst best score grade show stock price behavior trail week hold other stock database history show market biggest winner typically have rs rating north early stage move see kansa city southern continue rebound clear threshold see ibd help make more money stockskansa city southern be still buy range climb entry flat base once stock move higher initial entry consider extend buy range earning growth increase last quarter sale fall company earn rank peer transportation rail industry group union pacific unp be rank stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
9,KSU,thursday be remember low point donald trump presidency widely denounce immigration remark have be banner day announcement fiat chrysler fcau move production ram heavy duty pickup mexico michigan financial market be throw modest loop wednesday afternoon report emerge canada now expect president trump put motion withdrawal nafta possibly next few week share general motor gm kansa city southern ksu be slide speculation yet fiat chrysler news be recent development now make term nafta exit unthinkable here be reason be extremely unlikely trump move pull trade agreement trump strategy boost american manufacturing always have involved carrot stick now get carrot pass law corporate tax rate make more attractive location produce good urgency apply punitive tariff have abate fiat chrysler move give trump tangible result prove policy be make difference rust belt extent steve bannon worldview still hold influence oval office dismissal august abruptly end release michael wolff best seller trump time campaign manager lob bomb president child now trump seem be virtually alone white house republican party belief walk away nafta ibd take read ibd big picture column day stay top market direction key indicator let know be aggressive move sideline long current confirm uptrend equivalent green light stay place lead stock breaking buy point be more likely not have wind back here good place start look stock be poise move higher not be overstatement say trump be brace war preserve presidency trump comment week raise doubt submit interview special counsel robert mueller underscore possibility midterm election be matter political life death trump even proof collusion emerge democrat seize trump unwillingness cooperate investigation impeach obstruct justice third vote senate be need conviction trump priority be keep house republican hand re war don go look unnecessary battle most economist expect fairly modest boost growth tax cut year goldman sachs jpmorgan economist forecasting percentage point rise gdp possible estimate be too conservative company well fargo wfc wal mart wmt respond hike minimum wage economy be best thing gop have go election year trump win want disrupt positive trend spread uncertainty time business have new incentive invest growth grow odd potentially prolong government shutdown status so call dreamer announce plan leave nafta offset much good economic news trump pull paris climate agreement disavow iran nuclear deal order wind defer action program dreamer so make nafta different first case trump moved face deadline break exist policy actively carry president obama program case daca example trump administration have decide defend obama executive action court nafta be different deadline make decision trump start month clock withdrawal current uncertainty create mexico status prefer trading partner be probably sufficient influence business decision fiat chrysler be interested here come scratch federal deficitapple wal mart be just buy point be invest stock free new apps aim beginnerslook best stock buy watch start invest stock market start simple routine
