,ticker,content
0,LEG,stock close higher friday be sure thing way index fade afternoon nasdaq composite finished higher surrender most increase nasdaq do hold day move average show support be encourage composite top stock make similar bounce microsoft msft apple aapl alphabet googl be rise touch day average week also fade late amazon com come close hit week move average also be rebound climb also hold day move average get newsletter deliver inbox more info product service privacy policy term dow jone industrial average rise nike nke be dow darling athletic apparel company beat profit sale expectation late thursday nike also announce stock buyback stock soar nearly big volume find support day move average week index logged loss roughly small cap lag russell end lower friday late market swoon volume fall accord early figure be bit surprise final day month quarter usually cause window dressing trading mutual fund other institutional investor add winning stock make portfolio look excellent even miss major climb energy stock continue advance oil price have best week april best month advance april fiber optic semiconductor equipment biotechs networking be lead industry group give technology sector leg get instant access more trading idea exclusive stock list ibd proprietary rating only related apple video plan take shape strategy uncleariran libya china fuel biggest rise oil price be year nike
1,LEG,best time buy stock amazon com amzn facebook fb netflix nflx nvidia nvda strong market uptrend break kind chart pattern launch virtually major move third installment stock chart read beginner series ll learn spot most profitable chart pattern aka basis cup handle double bottom flat base understand stock chart concept basis buy point breakout be sure also read first part series get newsletter deliver inbox more info product service privacy policy term usewhen look best stock buy best time buy main factor come play ll significantly increase reward reduce risk element line buy so learn spot basis remember chart action aka technical analysis be just part stock pick puzzle be sure use buy checklist make sure piece be place invest tip even deeper understand chart pattern work read more concept psychology basis ibm ibm walmart wmt nvidia countless big winner have make large gain cup handle market cycle decade name come pattern look teacup view side be quaint name extremely powerful pattern here be basic element look second part series chart read learn support resistance bottom cup handle be area support floor peak handle be most recent point resistance ceiling buy point be base most recent area resistance peak handle testing ground stock punch decisively resistance heavy volume do sign strength sign large investor be buy aggressively therefore push stock higher note add cent peak handle determine buy point do just make sure stock be push ceiling not just bump head day look volume be least higher stock daily average such spike trading be sign conviction attempt average volume show lack enthusiasm mean just head fake nvidia cup handlewhen nvidia deliver classic cup handle first piece stock pick puzzle be already place stock market be confirm uptrend nvidia innovative self drive car video graphic technology be drive strong earning sale growth final piece chart action fall place nvidia form break cup handle chart note relative strength rs line be new high nvidia break be bullish sign market leadership see stock clear buy point also note nvidia be featured ibd list top growth stock just launch run nvidia eventually rise more next month form multiple basis additional buy point way spot pattern weekly chart see identify cup handle amazon form october february learn more cup handle double bottom be pattern repeat market cycle resemble have choppy seesaw look not surprisingly double bottom typically form general stock market be show similarly volatile roller coaster behavior here look double bottom cup handle indeed chart pattern want see volume come least higher normal day double bottom facebook double many big buzz ipo stock facebook get rocky start follow market debut social medium giant bolt double bottom july earning growth rebound chart note huge spike volume facebook launch eventually become nearly move next year spot pattern look weekly chart micron technology mu see double bottom form june august learn more double bottomsas name imply flat base be shallower cup handle double bottom also shorter take just week form ll often find stock form flat base breaking cup handle double bottom think brief rest period quick sprint stock jump cup handle double bottom then pause form flat base resume climb here be key element flat base netflix flat basenetflix form week long flat base begin june stream giant fly pattern next month quickly pull back form cup handle note bottom new base form right buy point prior pattern positive sign support breaking cup handle netflix pull back again form yet flat base turn third be charm netflix really take break second flat base begin year spot pattern weekly chart see spot powerful abiom abmd launch flat base early january year learn more flat basesget instant access more trading idea exclusive stock list ibd proprietary rating only also improve investing result simple step routinelook stock nvidia start herestock chart decode webinar see overview read stock get timely alert basis buy point free trialrelated book make money stock get start success story
2,LEG,check way facebook stock have respond datum breach scandal smack company earlier year seem clear social networking giant long apology tour have help lift stock xon public relation facebook fb news page company be headline such remove bad actor facebook say facebook take piece hate speech disabled fake account first quarter further company be still run medium blitz start call face fact explanatory campaign include national commercial broadcast regular message facebook user facebook also be try keep user update do prevent false news fact check program be work have pledge commit task force person get job do daniel ife head technology research gbh insight have call datum breach darkest chapter facebook year history still say fundamental damage social network platform have be very contain re see minimal damage last few month term user engagement trend advertising say ife facebook be go hand hold period user regulator app developer make sure thing be repeat get newsletter deliver inbox more info product service privacy policy term usea detail datum breach emerge facebook stock plunge high feb year low march stock have rebound then indicate facebook recovery plan be work facebook stock surge time high june monday share gain close stock market today facebook datum breach involved research firm cambridge analytica access personal information user social network breach seep way presidential election due connection allege russian meddle subsequent congressional hearing facebook chief executive mark zuckerberg be drag house senate panel give hour worth testimony then facebook have face storm criticism user advertiser regulator past few month europe facebook trouble help spur european union implement general datum protection regulation create datum protection rule europe take effect facebook alphabet googl google unit already have comply have also raise question digital advertising revenue facebook google be impact long term regulatory wave europe create disruption think bark be bite say gbh ife ife have rating highly attractive facebook stock price target trouble facebook be face hasn slow consistent pace double digit growth revenue earning facebook first quarter revenue jump year period growth earning share second quarter analyst be look facebook report revenue growth also see growth earning share work facebook favor be massive size have monthly active user third world global population same period year person log daily spending average minute visit put together facebook have enormous influence advertiser account revenue facebook clout result large amount datum have user be match only google combine rake digital advertising spending include alphabet youtube other social networking site include twitter twtr snap snap pinterest yelp yelp have hardly put dent facebook armor be occur facebook stock still have several revenue growth lever pull biggest ace hole right now be instagram photo video sharing mobile platform just surpass user compare snap snapchat have user end first quarter facebook have steadily monetized instagram ad company do not break instagram revenue be however see analyst core revenue driver lot room accelerate keybanc capital market analyst andy hargreaf believe ad revenue more double year think instagram account facebook total revenue core facebook mature instagram be key next leg growth hargreaf write report client month have overweight rating facebook price target facebook continue grow core user base increase effectiveness advertising offering combine massive opportunity grow instagram monetize messaging product believe create substantial opportunity future growth many year write growth lever be facebook messenger platform past month analyst have spot first advertisement messenger include ad staple uber peloton just last week have see consistent ad facebook messenger first time rbc capital market analyst mark mahaney say june note client facebook messenger have monthly active user mahaney think messenger contribute revenue translate earning share company have outperform rating facebook price target future growth lever be facebook other messaging platform whatsapp user be overhang analyst be watch closely issue be younger user be abandon platform social apps consider more cool other reason already happen not level have yet threaten stock gbh ife say facebook have dominate social medium landscape america youth longer be most popular online platform teen recent pew research center survey say survey facebook teenage usage half teen age say use facebook use youtube instagram snapchat more often order notably say teen have smartphone almost half say almost constantly use internet big pool advertising opportunity be challenge demographic speak instagram acquisition go zuckerberg best move evolution facebook say ife instagram have do be put competitive moat demographic get instant access more trading idea exclusive stock list ibd proprietary rating only related mark zuckerberg facebook datum breach dark side social mediafacebook zuckerberg admit big mistake apologize scandalfacebook reject claim new york time story user datum first time facebook see lose youth audience snapchat
3,LEG,even indiana jone probably have give howard carter team dig hundred boulder egypt valley king arduous year look lose tomb tutankhamun research tell tomb be not even find thousand year child king death carter once enthusiastic financial backer be lose patience history greatest example persistence massive payoff carter remove rubble reveal entrance tomb nov discovery be still consider most significant archaeological feat modern time tarek el awady curator king tut treasure golden pharaoh exhibit tell ibd email send egypt howard carter discovery tomb tutankhamun still stand greatest discovery make man el awady say valuable treasure carter find still draw crowds museum world carter do achieve goal persevere be equally priceless include carter be never formally trained archaeologist even scientist be son artist artist learn archaeology job be hire age draw egyptian artifact wealthy family skill artist win spot travele egypt best archaeologist time include percy newberry learn carefully excavate catalog dig artifact knowledge pair previous training artist create powerful blend skill set few world possessed learn lot job learn re standing have do pearce creasman associate professor director egyptian expedition university arizona tell ibd put piece together learn person add special skill draw mix carter skill set be so unique command respect dig be later name chief inspector egyptian antiquity service position set success later newberry other carter learn importance be highly detailed cataloge everything find journal finding be richly illustrated painstaking detail standard practice archaeology today perhaps see excessive even obsessive day capture detail carter develop breakthrough system classify dig culminate king tut discovery group object find be designate number nichola reeve john taylor write howard carter tutankhamun smaller group item find be then notated single multiple letter such aa bb cc aaa bbb ccc again be carter apply talent something learn someone else carter learn excavation british excavator flinder petrie taught importance small find brian fagen archaeologist emeritus professor anthropology university california santa barbara tell ibd researcher work tomb still consult notebook be exceptional record far ahead time carter closely observed take valuable tip expert just importantly know ignore too theodore davis wealthy attorney successful archaeologist carter be work declare early great find valley king already have be find carter disregard davis expert opinion carter own experience prove be just precious not more davis carter be maverick operator stubborn ambitious brim self confidence william cross author carnarvon carter tutankhamun revisit hide truth doom relationship tell ibd know spark ingenuity convince tomb tutankhamun be somewhere valley king davis give dig carter have find backer fund continue search carter quit stable job inspector egyptian archaeological service free time search hardest year life follow carter quest tomb be almost obsession know complete need financial back davis left quest carter team new financial supporter wealthy briton lord carnarvon difficulty be convince keep writing check even carter find nothing year year carnarvon grow frustrated be cut carter financing carter modify approach appeal carnarvon sense investor time archaeologist team keep half find return remainder egypt carter know cost financing dig be fraction reward possible find tomb explain economic carnarvon say wouldn pay keep dig carter own pocket pitch be so compelling blending economic reasoning scientific precision convince carnarvon keep writing check get guy buy sometimes take be person make something really big happen creasman say carter sharp tongue have make difficult sell idea be smart enough eloquent enough tale tutankhamun lose tomb be entice trust millionaire investor look cash antiquity glint gold come cross say just imagine success isn go do much success come visualize get carter provide example still antiquity inspector carter look back examine successful dig valley king not just everyone most archaeologist randomly dig carter apply detailed grid block system analysis past discovery allow build holistic picture mind be explore wasn retroactively apply work do valley king know area other person have miss creasman say study past record carter know other dig foot right foot left foot here have not dig everything everywhere perhaps be example carter elevated archaeology blending facet unique mind artist carter attention detail allow visualize part valley be clean territory area have ever excavate creasman say have map head internal motivation creasman say haven do everything do ve do person obsess thing let go carter love life work ever start artist passion drive keep look learn other be purely drive money have give work valley king be magic silence absolute power cliff surround valley make egyptologist willing spend entire life work work run dream not ever come true el awady say passion yielded success even wasn try addition explore draw carter love horse ride west bank luxor el awady say greatest discovery happened leg horse get stick hole turn be symbolic burial king mentuhotep ii dynasty el awady say tomb beautiful statue king be discover carter bring long term plan need discipline approach find excavate site necessity record everything photograph drawing writing fagen say really be first modern archaeologist unique eye detail always mind long term outcome project get instant access more trading idea exclusive stock list ibd proprietary rating only apply unique interest ability profession reinvent possible overcome many fail attempt find king tut tomb loss financial back have do be peel shrine onion be king
4,LEG,retail stock be rally stock market didn set record first half brewing trade war rise interest rate market due serious consolidation gnaw investor confidence backdrop rebound retail stock come surprise retail industry group
5,LEG,look instagram drive advertising growth facebook fb wall street analyst say monday core facebook mature instagram be key next leg growth keybanc capital market analyst andy hargreaf say report client instagram be grow rapid pace believe pass average monthly user mark back half add hargreaf believe ad revenue grow year year estimate instagram make facebook total ad revenue hargreaf estimate instagram have user ad revenue get newsletter deliver inbox more info product service privacy policy term usefurther facebook popularity teenager have be fall kid age have be switch google youtube snapchat say study release pew research center only teenager use social medium platform year say study instagram remain popular core facebook be clearly mature ad load reach saturation point pricing last lever pull so see instagram drive increase portion incremental advertising growth say keybanc report facebook rise stock market today social medium leader have rebound sell february march tie allegation datum harvesting cambridge analytica still stock trade buy point facebook stock be year related link sell take profit hold here be several guideline followchart read basic buy point mark time real buy watch top ipos big small cap growth basic analyze stock cup find great growth stock learn spot flat base bullish chart pattern
6,LEG,walmart wmt acquire stake high flipkart give leg rival amazon amzn emerge market person xa recent report have say walmart be talk take flipkart stake go flipkart most valuable startup india be worth report bloomberg late sunday suggest company be poise gain stake major flipkart investor softbank group offloading substantial part roughly hold walmart pay least majority interest flipkart deal be inked week walmart likely face fewer regulatory hurdle currently have online retail presence india amazon be already second largest commerce player flipkart primary rival report add behemoth have be lock battle indian commerce portal early year get newsletter deliver inbox more info product service privacy policy term useflipkart major investor be now aligning walmart consider amazon purchase unnamed source tell bloomberg japan softbank major investor reportedly include ebay ebay microsoft msft tencent holding tcehy share walmart shed stock market today amazon lose ebay fall monday microsoft add tencent lose world largest retailer walmart be ramp online strategy home abroad consumer migrate online commerce drive amazon have not be decide flipkart founder continue lead business walmart purchase final stake change talk fall apart report say be interested amazon vs walmart locking horn battle retail futurewill stock market rally continue watch big tobacco become big cannabis marijuana business soar
7,LEG,marijuana stock canopy growth cgc crono group cron be mixed friday even president trump say probably back marijuana friendly legislation canada senate vote day earlier legalize recreational marijuana condition analyst suggest slide marijuana stock be simple profit take follow clear big obstacle canada trump friday make remark outside white house response question medium support bill keep federal government intrude state effort regulate marijuana sen elizabeth warren mass cory gardner colo introduce bill thursday support senator gardner trump say accord politico know exactly do re look probably end support yes trump remark put odd attorney general jeff session once say good person don smoke marijuana session january rescind obama era guidance essentially instruct federal authority take more laissez faire approach state vote legalize usage plant analyst much industry least publicly shrug move bill gardner warren help speed expansion marijuana industry pot be still federally forbid scott miracle gro smg ceo jim hagedorn last month call more state right patchwork regulation particularly california weigh hydroponic business particular call solution allow player space have adequate access banking pay fair tax rate other business bank have comply federal regulation federal government outlaw pot many marijuana business operate cash depend good relationship bank take marijuana producer medman recent regulatory filing canada note bank be fully aware nature company business continue remain supportive company growth plan medman dispensary currently cash debit card company have be value go public canada last week thursday canada senate vote legalize recreational marijuana use resistance nation conservative lawmaker bill clear senate come dozen amendment now need be weigh house commons house commons consider amendment bill send back senate legislation legalize recreational marijuana canada be first introduce last year allow user have gram marijuana medical marijuana be already legal canada amendment measure clear senate other thing place tougher advertising constraint marijuana business marijuana company not be able advertise shirt hat other item amendment let canada province decide person grow own marijuana home young adult also get ticket sharing small amount weed minor longer term basis market develop expect rule be relax unintended consequence do not materialize largely have be case market ultimately migrate more alcohol model cowen analyst vivien azer say research note date friday bill pass give canada marijuana business leg already marijuana industry canada have see wave consolidation company try position recreational legalization canopy growth big canadian pot producer share list new york stock exchange last month fall intraday close stock market today canopy trade canada ticker weed crono group such producer canada lose crono list nasdaq february trading canada publicly trade cannabis stock have reflect significant strength head announcement azer say be not surprised see modest profit take catalyst largely cowen cover canopy medreleaf kush bottle marijuana focuse exchange trade fund etfmg alternative harvest mj lose advisorshare vice etf act also have exposure cannabis tick canadian marijuana company have find new way raise money chew away legal barrier share border area have relax marijuana law have stumble try bring sale business infrastructure online scott miracle gro climb friday corona beer parent constellation brand stz have stake canopy growth rally be interested marijuana industry overtake beer legalization spur innovation big tobacco become big cannabis marijuana business soar medman eye marijuana delivery expansion sale jump marijuana stock buy watch
8,LEG,retail earning continue result sharply mixed reaction last week macy soar almost new high best buy bby trigger sell signal nearly decline thursday now dividend leader gap gps turn retail drop market close company report weaker expect earning xgap operate more gap old navy banana republic apparel store globally company be expect open old navy store year brand continue gain strength straight year decline earning gap stem bleed last year rise last quarter company earning sale grow vs year period get newsletter deliver inbox more info product service privacy policy term useaccord jeffery have buy rating price target stock street revenue forecast prove conservative base jeffery regression analysis february march credit card datum meanwhile store visit reveal encourage trend old navy show momentum april analyst estimate gap earning grow fiscal end january gap most recent quarterly dividend be paid annual yield be gap be etching right side potential cup shape base formation show entry formation have element double bottom base right leg early undercut lows left leg early february double bottom entry be cent high middle peak be stock week streak recent lows volume have come upside volume increase stock accumulation distribution rating have increase accord ibd stock checkup potential flaw be stock relative strength line be paint blue marketsmith chart be well away new high have improve sharply early related retail commerce news stock watchross store flirt buy zone earning tapbest buy stock gap weak outlook strong earning
9,LEG,china trade war have be put hold maybe not long few week spring president trump make america great again president xi jinp make china seem ready collide then come word china buy more good win impose harsh new china tariff be cool work trump tweet talk en route recent trade deal china state run person daily hailed country trump throwback vision stress steel agriculture auto oil coexist xi prescription china centrally plan high tech high income future harmony last long world most important economic relationship already trump fire china trade truce say just start then follow day say talk likely need different structure tuesday white house say have tariff worth chinese good set june news report suggest china trade war be back appear premature get newsletter deliver inbox more info product service privacy policy term usemore broadly largely status quo deal win china grand plan overtake america technological leadership nearly mean necessary ultimately china erect barrier strategic sector create economic cold war sever closely integrate global supply chain blue chip giant boee ba apple aapl intel intc pop wall street celebrate trump deal china term future china be more secure longer term remain uncertain ever make china year plan set year look anything beij other major trading partner state subsidy acquisition market access rule sometimes cybertheft xi be bent close technological gap dominate domestic market establish global leadership advanced sector such semiconductor robotic artificial intelligence official aim be steadily displace foreign component achieve self sufficiency concern china techno military ambition be only heighten belt road dollar vision command global trade financing infrastructure asia middle east europe africa china also create asian infrastructure investment bank rival world bank consensus global economy yet unclear have appetite strategy thwart beij ambition just week trump tweet trade war be good easy then demand cut china trade gap yet rather move tariff skirmish full blow china trade war trump gladly take beij pledge boost american energy agricultural purchase somewhat modest concession come trump pledge leniency chinese telecom equipment giant zte violate sanction iran north korea zte have cease operation ban american company work be trump so quick relent have favore unify approach north korean diplomacy beij also call bluff judge trump have stomach china trade war american farmer cross hair ahead key midterm election trump also have realize have much weaker hand have imagined initial threat be tariff worth high tech chinese import trump tariff largely have hit chinese venture other foreign multinational peterson institute international economic find tariff mostly intermediate good have raise production cost hurt competitiveness tariff fail hurt chinese firm directly not be surprise write peterson institute researcher mary lovely yang liang make china be aspiration current chinese tech prowess still lag other note be impossible hit tomorrow export today tariff trump say something similar desire go easy zte tweeting buy big percentage individual part company friday report say trump administration have reach deal lift zte sanction exchange financial penalty restructure management hire compliance officer still china trade relationship remain uneasy trump administration sudden shift wield big stick selling more carrot so speak reflect long run split business short term financial interest national security concern long term strategic goal say american enterprise institute resident scholar derek scissors consensus america confront china trade side keep fight tough be tell ibd likewise scissors say grow consensus hold act multilaterally hold china account even trump have change heart tran pacific partnership trade deal cobble together president obama help counter china influence east asia trump relentlessly criticize nation deal campaign drop tpp never ratify senate fourth day office recently tell top economic advisor larry kudlow explore get back yet say act multilaterally be easier do say scissors see realistic chance tpp revival instead trump be target ally steel aluminum tariff new probe auto import now america strategic drift trump status quo trade deal be play china hand scissors say cold china trade war be come re head cold war chinese characteristic scissors say aren soviet ussr china be rival not enemy fully integrate global economy don think get bad scissors say other nation have seek climb income ladder unfair trade policy build national champion yet china now have wealth commercial sophistication technical expertise make pursuit technological leadership work warn james lewis center strategic international study submission trump administration probe china technology intellectual property practice boast world fastest supercomputer half many tech unicorn private company sporting market cap wildly successful public company such baidu bidu alibaba baba tencent tcehy give fang stock run money fundamental issue other western nation sector be respond manage economy well finance strategy create domestic industry intend displace foreign supplier yet also clear military dimension china ambition become leader area include artificial intelligence robotic aerospace premise allow china join world trade organization be trade force state run system gradually converge market economy open door multinational outsource assembly line capitalize china huge pool low wage labor more recently chinese company have be move value chain aid strategic deal also technology foreign joint venture partner price market access many have question liberal technology policy other rich nation ever make sense yet now beij be direct national self sufficiency campaign minimize reliance technology germany south korea other bid buy technology have be meet not paranoia beij spel make china chinese investment tech startup surge year earlier tide begin turn end president obama advice committee foreign investment cfius block sale german chipmaker unit grand chip investment gmbh own chinese company last year president trump nix bid chinese investor buy lattice semiconductor march trump block broadcom avgo offer qualcomm qcom national security ground apparent fear be broadcom ready move headquarters singapore sandbag qualcomm wireless give leg china huawei face pressure lawmaker verizon vz year drop plan sell huawei new phone america qualcomm have long be beij sight china have threaten derail qualcomm merger dutch chip firm nxp semiconductor nxpi qualcomm pony get chinese antitrust probe qualcomm seem have buy regulatory tolerance part lend technology joint venture guizhou province produce server chip china have used such strong arm tactic gain proprietary technology cost firm upward year accord estimate beij win give tacit encouragement technology transfer cost do business china congress step breach congress be weigh legislation beef cfius let oversee more transaction include technology transfer agreement bankruptcy sale early stage venture capital deal vc industry warn ban chinese fund investment push startup migrate elsewhere trump administration reportedly have mulled curb chinese citizen participation advanced research university duke university researcher be believe have transfer knowledge develop china new stealth fighter jet china continue resist competitive market dynamic western nation naturally turn manage integration something more self protective daniel rosen founding partner rhodium group research firm write foreign affair product such toy furniture apparel avoid national security scrutiny rosen see real risk disengagement strategic area country don follow econ textbook example trade only finished good modern supply chain investment link often involve myriad country single product especially tech good breakup happen stage china march xi goal impact technology supply chain be more violent major slow move earthquake consider chip industry china trade friction be highest china consume semiconductor market fourths chip be import even factor foreign multinational output china chinese firm rank top producer chip be then assemble finished electronic apple iphone bulk be ship overseas high tech export first quarter totale cost disengagement be severe china unite state third party rosen write be possible china unite state stare hard reality eye adjustment cost likely run trillion dollar next decade seek alternative beij work hardwire system not converge long term china trade war become increasingly likely say china leader aren willing trust country future free market wage china have leap brazil mexico compete vietnam india work age population be shrink keep do so decade large extent china be go remain world manufacturing giant join rank rich nation have depend robot other technology such artificial intelligence china ascendancy be hardly sure thing many grandiose ambition central plan more spectacular element likely fall wayside council foreign relation research associate laskai write beij ai roadmap however plan still succeed only china be commit resource societywide ai push reorient education system train chinese student work ai be interested trump give best leverage china trade talk bean alibaba price target raise continue china commerce dominancethese stock rally trump cancel north korea summitbest chinese stock buy buy stock now first read column day
