,ticker,content
0,LH,important metric look stock be higher relative strength rating diplomat pharmacy dplo clear benchmark tuesday jump tuesday exclusive rating investor business daily track market leadership worst best score grade show stock price movement trail week stack other stock database history reveal best stock often have better rs rating begin biggest run look best stock buy watch start herediplomat pharmacy be work consolidation buy point see stock clear price volume least average take look top bottom line number company have post quarters increase earning growth revenue growth have be different story come most recent report diplomat pharmacy earn rank peer medical service industry group express script esrx laboratory corporation america lh be also group highest rate stock related stock be show improve technical action use ibd relative strength rating relative strength line help judge stock
1,LH,relative strength rs rating biotelemetry beat head new percentile wednesday get lift ibd unique rs rating track market leadership used worst best score indicate stock price performance trail week match other stock history reveal best stock typically have rs rating north early stage move see biotelemetry continue show renew price strength clear threshold look best stock buy watch start herewhile now be not ideal time invest see stock go form chart pattern break earning growth decline most recent quarter revenue gain moved higher company earn rank peer medical service industry group laboratory corporation america lh be rank stock group related stock be show improve technical action use ibd relative strength rating relative strength line help judge stock
2,LH,important metric look stock be higher relative strength rating diplomat pharmacy dplo just hit mark jump wednesday unique rating identify technical performance show stock price movement last week measure other stock database decade market research reveal stock go make biggest gain typically have rs rating north begin biggest price move look winning stock try simple routinediplomat pharmacy be try complete consolidation entry see break volume least average term top bottom line number company have post quarters increase earning growth revenue gain have be less impressive come most recent report company hold rank peer medical service industry group laboratory corporation america lh be rank stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
3,LH,wake solid month broad market diversify stock mutual fund fund manager be tilt value oriented stock have lag growth stock value stock valuation be increasingly attractive say tom galvin lead manager columbia select large cap growth elgax yet prospect be bright key foreign economy continue grow galvin add november broad market get lift such dow jone industrial stock boee ba cisco system csco walt disney home depot hd climb last month broad stock market make straight month gain accord lipper inc diversify stock mutual fund ride advance average monthly gain past month third positive month row lift year date gain dow hit time high point nov list mutual fund month leadersbest perform mutual fund categorieswhy fidelity give mutual fund manager more money investwhich stock be top fund manager buy bond fund decline november turn tide november gain diversify stock fund be due largely ongoing global economic growth generally better expect corporate profit benign inflation heighten prospect tax reform lower corporate tax rate say galvin fund finished top large cap growth fund performance last month wall street approval reform lighten corporate regulatory burden also boost stock market last month say john roger chairman ceo chief investment officer ariel investment lead manager flagship ariel fund argfx market leadership be poise shift value oriented category stock mutual fund come month away growth oriented one add roger fund return last month top midcap value rival track morningstar direct tilt value already seem underway november gain average midcap value fund lead diversify stock fund category small midsize company tend derive larger portion revenue earning so re likely benefit more large cap company tax reform be rotation smaller stock value stock prospect successful passage tax reform grow galvin say tax reform tilt be also diversify stock fund outpaced world stock fund averaged just gain last month japanese fund average advance lead foreign stock fund industrial fund averaged gain november lead major sector category be drive rotation value oriented stock taxable bond fund be slightly break even average november treasury fund lead other category average gain world income fund averaged gain muni bond fund lose ground overall last month gdp growth corporate profit tax reform regulatory reform benefit corporation longtime outperformance growth stock have left value stock more attractively value roger say russell value index be trading time next year earning first week december contrast russell growth index be trading lofty time biggest gap ve see career value growth roger say be inevitable reversion mean thing go too far addition federal reserve widely expect tax hike boost margin bank generally be categorize value stock roger say already firm researcher be get bullish input industrial company lot be describe recovery business momentum build roger say further amazon amzn widespread competitive influence be help keep retail price low be prevent inflationary pressure grow say least term area expect see many investment opportunity be industrial call light cyclical manufacturer group hold kennametal kmt favorite say make cut tool cut blade be used everything coal mine rebuild highway infrastructure be prime beneficiary get infrastructure spending bill congress go forward financial service also outperform especially money manager private equity fund be public say add re cheap re not popular index cite kkr kkr be large private equity firm run henry kravis say re cheap private equity be best perform asset class roger also own lazard laz re investment banking franchise say have money management mutual fund subsidiary focus emerge market international investing also like beleaguered medium space many investor be afraid cable company be suffering subscriber attrition create downward pressure fee content provider roger nevertheless msg network msgn new york city area sport network broadcast game sport team include professional basketball knick fear have be overdo roger say live sport see smartphone computer tv way content be view monetized health care be fourth largest sector prefer system instrument maker bio rad laboratory bio clinical testing service provider laboratory corp america lh re not involved riskier more complicate part health care say growth oriented fund manager still see opportunity side market ledger consumer space re overweight costco cost continue demonstrate very strong traffic gain sale growth galvin say roughly third customer be small medium size business benefit tax reform galvin also like apparel maker nike nke coffee shop chain starbucks sbux lag be potential winner galvin say have issue benefit accelerate gdp growth help fiscal stimulus stronger consumer confidence fuel lower consumer tax rate better job growth health care cvs health cvs takeover aetna aet signal more consolidation be forthcoming galvin say also looser regulatory environment tax reform motivate company repatriate profit hold outside increase attractiveness more health care company new opportunity emerge tech sector tax reform corporate profit escalation encourage more company spend technology example salesforce com crm be fastest company get revenue likely be fastest double revenue year continue go broader deeper find customer fortune company home abroad galvin say salesforce be already far market leader cloud dominance firm cloud software help business organize handle sale operation customer relationship take champlain small company fund cipsx ibd best mutual fund award winner growth small cap diversify equity category growth oriented fund own innospec iosp july specialty chemical firm have composite rating ibd smr rating earning share rise past quarters ibd take ibd composite rating be score scale stock poise move higher often have comp rating higher innospec smr rating mean top stock term sale growth profit margin return equity ratio base ibd proprietary formula related look winning stock try simple routineyou need much retirement income age income
4,LH,laboratory corporation america lh see welcome improvement relative strength rs rating thursday increase ibd unique rating measure share price action worst best score grade show stock price performance last week stack other stock database history show stock go make biggest gain typically have rs rating launch biggest climb laboratory corporation america be now consider extend buy range clear buy point first stage flat base see stock form new pattern follow buy opportunity week tight pullback day week line earning growth slow last quarter revenue moved higher laboratory corporation america earn rank peer medical service industry group biotelemetry beat be rank stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
5,LH,major index trim loss dow jone industrial average actually be positive afternoon trading wednesday nasdaq be eliminate gap price today open apple aapl largest weighting composite tumble more trim loss share be hold buy point company have mixed quarterly report late tuesday be dow be thank largely boee ba surge solid earning report fact other defense stock be strong wasn just big move boee northrop grumman noc break basis digitalglobe dgi rise past buy point cup handle heavy trading share recede entry satellite imaging company beat profit expectation weapon electronic company communication lll rise active trading medical sector be weakest wednesday trading key company plunge earning report disappoint wall street hospital medical product health care service be group medical service group laboratory corp america lh plummet heavy trading provider clinical testing service miss profit estimate several restaurant be stock be sell unusually heavy volume panera bread pnra reversed lower hit resistance day move average stock be early company result chipotle grill cmg grubhub grub also be sharply follow quarterly report general market weakness couple high rate stock break basis melco crown entertainment mpel break cup handle pattern buy point volume be tracking more average company open october resort macau chinese gamble destination be experience rebound melco also open resort philippine march nic inc egov surge past buy point base base pattern provider technology service government agency erased nearly day gain sink back pattern related casino earning perch rebound macau expand takeaway apple mixed earning reportgrubhub earning top estimate active diner fall short
6,LH,spot leadership trend stock market study leader make ibd screen week be sound strategy look cluster company particular industry group such grouping indicate rotation industry leadership more build related medical stock have crop lately build sector be pressure
7,LH,stock market today get wobbly start weak trade nasdaq backed early monday dow jone industrial average show decline
8,LH,volume dip sharply friday strong trading level nasdaq lower nyse
9,LH,commerce department report new home sale slip september annualize pace be home sell august also undercut consensus estimate milder downtick sale
