,ticker,content
0,LMT,lockheed martin lmt find way reduce pentagon current estimate own operate jet world costliest weapon program accord defense department latest annual program overview xaccord document obtain bloomberg news lockheed embrace much need supply chain management affordability initiative cut cost next generation stealth fighter estimate sustain fleet be compile pentagon independent cost assessment office have not be update accord select acquisition report sar obtain bloomberg news pentagon say week estimate be update next year acquisition official meet decide program enter full production estimate be unchanged acquisition report focuse length importance reduce figure well comment program office point say be shortcoming independent estimate report acknowledge current forecast project sustainment outlay be too costly give plan fleet growth future service operation support budget be strained bloomberg report last week air force have cut purchase third jet find way reduce operation support cost much decade be sustainment cost major concern general david goldfein air force chief staff say last month refer operate support cost new fighter absolutely accord acquisition report lockheed also optimize priority supply chain spare new production part enable exchange necessary datum right military software currently own company get newsletter deliver inbox more info product service privacy policy term uselockheed spokeswoman carolyn nelson say email bethesda base company be investing several initiative lower industry component estimate cost continue partner joint program office reduce overall operation support cost expect see similar cost reduction trend ve see production sustainment program mature operational fleet grow nelson write january be fielded aircraft be expect be deliver fielded pentagon testing office annual report congress major weapon system january say availability mission need key metric remain percent condition have exist significant improvement october increase number aircraft be interested defense aerospace stock watch industry newsbest growth stock buy watch see update ibd stock listsstock buy watch top ipos big small cap growth stockslooking best stock buy watch start here
1,LMT,be jan america be war iraq mission operation desert storm lockheed nighthawk first stealth fighter showcased america superior air power saddam hussein rest world shape stealth plane make sorties hit high value target campaign account target damage single hit enemy fire stealth play key role military second offset strategy small number high tech platform beat massive military hardware soviet boast stealth marked new era air warfare be foundation air supremacy day game change wouldn have be possible ben rich second director lockheed secretive skunk work take major risk discouragement brightest mind aerospace rich be born june manila philippine british hardwood lumber mill superintendent french linguist tension rise pacific family moved los angele just month japanese bomb pearl harbor go work father machine shop help support family war year shelved dream go college become doctor rich be finally able attend college graduate mechanical engineering degree university california berkeley later receive master degree university california los angele meet first wife faye postwar recession make job scarce rich manage find engineering job lockheed lmt wasn earn enough support grow family give notice just year employment be set take father law bakery delicatessen last second rich change mind truth be like build airplane better selling deli meat soon decide stay lockheed joined skunk work request founder kelly johnson skunk work formally call advanced development program be lockheed legendary research development lab create develop company top secret technology world war ii be birthplace fighter employee secretive unit refer skunk division start circus tent outside main lockheed build burbank next smelly plastic factory unique moniker come stinky concoction make bootlegger li abner comic strip johnson rich work highflying spy plane air force plan keep fly more year also design air inlet control system sr blackbird fly time speed sound autobiography skunk work personal memoir year lockheed rich call contribution sr most exhaust difficult nerve wrack work career rich win american institution aeronautic astronautic award blackbird propulsion system work rich aerospace top award prestigious collier trophy kelly johnson tap rich replacement rich be popular choice most skunk choose stay major transition tip hat someone ben keep operation go such strong leader kelly say larry pellett current director major project skunk work rich ask pellett join skunk work see give presentation johnson be autocratic leader be very hand technical worker rework submit design striking fear younger employee pellett say rich success reside fact never try be johnson instead adopt own managerial style be joke skunk kelly manage bad temper ben manage bad joke pellett say be cheerleader facilitator build team other employee feel same way rich brand leadership ben keep close eye problem be never second guesser alan brown rich program manager say rich autobiography rich let do thing way air force lockheed management rich take rein tumultuous time lockheed spending unpopular vietnam war be wind company find midst bribery scandal add company wo lockheed hadn win fighter contract starfighter build korean war major breakthrough be horizon aviation community consider rich father stealth idea come unlikely source pyotr ufimtsev soviet scientist theorize stealth technology paper call method edge wave physical theory diffraction paper outlined equation calculate radar cross section object ability reflect radar soviet deem paper impractical little use ufimstev discovery have stay bury soviet library not rich denys overholser radar specialist bring research paper rich just month rich take helm skunk work overholser suggest company use equation build own stealth plane evade soviet union radar take credit immediately recognize value gift be handed become apparent everyone else take major risk expand development cost have real government interest commitment rich say autobiography result be model make series flat surface look cut diamond be nickname rich folly hopeless diamond other thing oddly shape plane be now sometimes compare fly darth vader have work model lockheed hadn be invite defense advanced research project agency darpa competition build stealthy plane development contract money have be award time rich hear contest rich convince darpa head george heilmeier let lockheed join competition rich also smartly reject darpa pro offer instead submit proposal free ensure technology remain property lockheed never stray too far skunk work johnson catch wind stealth plane furiously tell rich shut development johnson erroneously believe missile be future warfare ugly flat paneled airplane never fly thought larry kitchen lockheed president time be also skeptic say company need real project not pipe dream rich recall autobiography rich persevere naysayer believe game change technology rich spend nearly dollar skunk work development cash stealth project envision huge military financial return future never waver believe stealth create biggest skunk work bonanza ever rich write be shut darpa competition first rich folly eventually beat northrop submission successful experimental prototype build quickly shelf item skunk work program be born rich be make major military breakthrough suffer major personal loss wife faye pass away rich pressed work manage grief first fly enter service keep dark plane wouldn see first mission panama wouldn become international sensation gulf war first take sky iraq rich skunk celebrate retirement rich have setback time skunk work lockheed lose bomber contract northrop noc refuse overpromise price capability become casualty death spiral decrease military spending washington lead less plane be purchase lead higher cost plane eventually go cost billion dollar more first budget congress keep cut number plane order never lie customer try dodge heat screw write know other company operated be convince reputation integrity gain more business ever lose turn away questionable venture be right rich die cancer jan legacy life skunk work stealth bring lockheed back fighter jet business company build stealth fighter latter account quarter lockheed martin yearly revenue follow rich belief need find next revolutionary advancement skunk work be develop next disruptive technology hypersonic artificial intelligence effort stay ahead grow advance adversary russia china engineer believe stealth technology be game changer skepticism shadow revere mentor lesson recognize power new technology stick project doubt respect member field be convince reputation integrity gain more business ever lose turn away questionable venture be interested defense aerospace stock watch industry newswhat lockheed secretive skunk work unit see gen fighter
2,LMT,air force have cut purchase lockheed martin lmt third find way reduce operation support cost much decade accord internal analysis shortfall force service subtract fighter jet plan order air force office charge evaluate impact operation budget assessment obtain bloomberg news defense department have say have gain control cost develop produce fleet air force navy marine corps now project internal analysis underscore current loom challenge maintain operate warplane cost much keep fly maintain accord current estimate pentagon independent cost unit chart air force analysis be complete december say service have very limit visibility increase fund go lockheed contractor support be spend get newsletter deliver inbox more info product service privacy policy term analysis represent first public disclosure potential impact support cost aren reduce used figure develop air force face annual bill year be cut back come decade air force analysis doesn represent anything close final decision accord spokeswoman ann stefanik potential reduction aircraft be staff assessment aircraft affordability premature air force consider buy fewer aircraft time stefanik say air force be work pentagon program office reach percent reduction operation support cost calculate add long term support concern be top current challenge include part shortage unavailable aircraft technical issue be resolve program end year development phase september be begin much year rigorous combat testing require law successful testing trigger full rate production most profitable phase lockheed soon late program be accelerate congress bankroll jet more request spending bill current fiscal year half operation support expenditure be tie lockheed cost include program management depot maintenance part repair software maintenance engineering stefanik say cost be grow increase flight hour air force be work gather visibility cost datum better understand rationale growth say remain cost be manage air force include military personnel fuel say upkeep cost be also challenge ally buy plane include australia italy stephen lovegrove civilian defense official tell reporter tuesday defense writer group breakfast washington be do everything hope do country also be grapple size scope future support cost very very complicate platform lovegrove permanent secretary ministry say be discuss slightly unknown territory long term cost meeting program official be buy marine corps version design be fly aircraft carrier government accountability office say october report be little doubt bring unique capability american military revise sustainment plan military be risk be unable leverage capability aircraft have recently purchase sentiment share undersecretary ellen lord pentagon top weapon buyer tell reporter january right now afford sustainment cost have re commit change be interested best growth stock buy watch see update ibd stock listsstock buy watch top ipos big small cap growth stockslooking best stock buy watch start heredefense aerospace stock watch industry news
3,LMT,lockheed martin lmt raytheon rtn northrop grumman noc have receive multibillion dollar radar contract pentagon continue bulk missile defense president trump claim north korea threat be defense giant be award deal worth provide autonomous acquisition persistent precision tracking discrimination optimize defensive capability ballistic missile defense system defense department say late tuesday company compete other pentagon narrow award single contractor radar not explicitly state contract be replacement raytheon massive sea base band radar float story oil rig platform design boee ba band radar be get old costly operate so be move ground base solution say tom karako senior fellow missile defense analyst csis new radar be deploy hawaii have degree field view north korea say add be second radar plan somewhere pacific raytheon share close stock market today northrop fall lockheed ease boee drop president trump threaten more tariff chinese good get newsletter deliver inbox more info product service privacy policy term band radar be important component missile defense agency layer ballistic missile defense system protect homeland consider largest most sophisticated radar kind successfully intercept test fire missile last year contract award replacement come trump summit north korean leader kim jong last month trump later tweet be longer nuclear threat north korea however satellite image have show north korea upgrading plutonium production reactor support building yongbyon nuclear scientific research center defense contractor picked have extensive missile defense experience lockheed have score key radar contract recently lockheed be currently build long range discrimination radar alaska karako say radar be too far north see missile head hawaii north korea lockheed be also reportedly build long range radar japan plan aegis ashore missile defense system large price tag band radar replacement be used other emerge threat such hypersonic boost glide vehicle cruise missile attack karako say pentagon missile defense review isn yet be specifically tasked congress look full range missile say counter sophisticated emerge threat peer adversary china russia space base sensor be need ground base radar be limit curvature earth still ground base radar slate hawaii still be necessary augment space base radar coverage space base sensor have be discuss administration president reagan haven make draw board predict year decision be make karako be interested defense aerospace stock ally buy boee spy plane china tension heat upair force urge new hypersonic weapon mindset faster rollouta north korea threat loom here missile defense work
4,LMT,seattle new buy boee ba poseidon maritime surveillance submarine warfare plane ally step operation south china sea replace new orion fleet cost include training be ready operation start order come new other ally look counter china more aggressive stance region boee stock rise stock market today still day move average navy be biggest customer have plane order international sale help keep cost be do be bundle navy international customer together so navy international customer get lower unit price stephen tripp senior manager global sale tell ibd visit factory june challenge bring new customer time work clearly also work well collective bargaining lower cost aren only advantage tension rise south china sea russia everyone fly jet work perfectly well compatible interoperable work together fly share maintenance facility tripp say more foreign sale be expect soon tripp say goal be have more customer sign next year south korea picked contract worth boee official tell reuter last month get newsletter deliver inbox more info product service privacy policy term usetripp say be difficult determine exact timing foreign order state department congress approve foreign military sale contract become official only then boee start work surveillance plane other potential customer include saudi arabia president donald trump visit kingdom last year riyadh announce tentative arm deal include saudi crown prince moham bin salman visit boee seattle area facility tour earlier year turkey be look longer range patrol aircraft supplement exist plane military hardware sale turkey be question congress consider block sale new lockheed martin lmt jet be modify boee erx replace lockheed orion turboprop aircraft used high power radar scan ship submarine modify radar boee ea growler scan target land coast once submarine be spot aircraft deploy sonobuoy track relay information location hostile submarine plane launch weapon raytheon rtn mark lightweight hybrid torpedo boee agm harpoon ship missile wing torpedo gps guidance system be development demand submarine capability be rise china have accelerate submarine build increase tension south china sea russia used submarine launch strike syrium have increase submarine activity europe also assist search rescue effort be involved search miss malaysia airline jet mh argentina miss submarine body jet be build boee current production line renton modification thicker skin stiffer wing bomb bay door then jet be fly street facility boee field get militarize complete final testing be build month commercial factory facility complete month raytheon be lockheed wasn active early get instant access more trading idea exclusive stock list ibd proprietary rating only be interested defense aerospace stock watchboeing clear last hurdle deliver delay kc tankersibd stock day
5,LMT,spacex falcon heavy rocket receive massive boost military contract just month maiden flight private company founder be tesla tsla ceo elon musk have be tasked deliver classify air force space command satellite accord air force announcement late thursday project be schedule completion september earlier week air force also certify falcon heavy national security mission fact new rocket have only carry test launch early february spacex beat unite launch alliance joint venture boee ba lockheed martin lmt be believe be first head head contest heavy lift mission spacex mission cost be much less minimum ula delta iv heavy launch air force contract mark additional vote confidence zuma spy satellite make northrop grumman noc be reportedly lose launch spacex falcon rocket january spacex say time do everything correctly report later suggest problem have be northrop custom build adapter be used link satellite falcon boee share be stock market today lockheed share be massive falcon heavy be foot tall consist falcon first stage core thrust engine be equivalent boee make time more powerful other rocket operate today accord spacex award latest contract spacex classify satellite air force have already plan use falcon heavy space test program mission be comprise military scientific research satellite mission be schedule sometime year falcon heavy have also secure commercial mission so far have contract stage satellite launch mission viasat inmarsat famously payload first launch back february be elon musk tesla roadster car be then send tran mar injection heliocentric orbit also be interested spacex get back controversial plan boost space taxi insane spacex prediction ceo elon musk make ahead falcon launchspace industry news top aerospace stockswhich company be now outperform stock make money stock used slim investing system
6,LMT,australia be buy advanced northrop grumman noc triton drone deal worth increase ability keep tab regional powerhouse china ally key hub america global surveillance network have just take delivery first drone have high altitude reconnaissance surveillance capability triton drone be used carry monitoring operation hotly contest south china sea operate manned boee ba poseidon surveillance plane be replace age lockheed martin lmt orion aircraft northrop grumman share be stock market today boee stock be cent lockheed rise get newsletter deliver inbox more info product service privacy policy term useaustralian prime minister malcolm turnbull say government be investing australian dollar acquire aircraft cooperative program unite state navy northrop triton drone boast same wingspan boee be able carry surveillance world surface be very important know be operate area therefore be able respond necessary threat defense industry minister christopher pyne tell australian broadcasting corporation australia insist right be able travel south china sea international water have always do be surface ship aircraft pyne also say australia ramp defense spending gross domestic product come criticism president donald trump ally have not be spending enough defense australia be member eye intelligence gathering network great britain canada new part role be carry reconnaissance surveillance southeast asia antarctica well indian pacific ocean china have become increasingly assertive claim south china sea own territory be now most hotly contest water world party state have clash neighbor such vietnam ally philippine then white house spokesman sean spicer anger beij january vow make sure protect interest resource rich trade route get instant access more trading idea exclusive stock list ibd proprietary rating only also be interested faster concorde boee hypersonic jet concept cross atlantic investor apple technology stock note dollar big picture bull market get bloody nose keep eye sell invest stock market start simple routine
7,LMT,commercial interest outer space be take cheaper launch satellite make final frontier more accessible ever tech billionaire amazon amzn ceo jeff bezo blue origin tesla tsla ceo elon musk spacex microsoft msft co founder paul allen stratolaunch system be challenge establish player boee ba lockheed martin lmt have team unite launch alliance joint venture meanwhile new constellation satellite be due enter low earth orbit come year venture capital money be pour space startup space be also expect become new battleground future conflict military be prepare emerge threat china russia bookmark page stay top latest space industry trend related defense aerospace stock watch industry news
8,LMT,lockheed martin lmt deal sell worth fighter jet turkey be threat senate vote block delivery nato ally measure part defense policy package monday night come tension eurasian country decision buy russian air defense system amendment call president donald trump ensure turkey do not threaten nato buy defense equipment russia detain citizen american pastor andrew brunson be be hold charge aid terrorist group turkey component lockheed martin slip stock market today unite technology utx pratt whitney division make engine be northrop grumman noc major subcontractor prime contractor upcoming stealth bomber fall aerospace giant boee ba be develop future fighter lockheed tumble china trade tension senate vote favor national defense authorization act authorize military spending additional be approve fund ongoing conflict measure be reconcile house bill already pass get newsletter deliver inbox more info product service privacy policy term useturkish prime minister binali yildirim say senate move be unfortunate development turkey be not alternative such attempt be regrettable go soul strategic partnership yildirim tell turkish newspaper hurriyet pentagon official fear secret be risk be sell turkey nato ally use russia system particular raise concern turkey actually help build also worry congress defense bill call pentagon submit report remove country program entirely turkey be buy missile system collect datum nato front line jet various reason be try prevent aaron stein senior fellow atlantic council tell financial time kick turkey consortium win make anyone ankara happy underscore side not yet be rock bottom term relationship president tayyip erdogan have become increasingly authoritarian ruler poise seize sweeping power referendum narrowly approve last year turkey hold election sunday choose new parliament president erdogan have crack dissent follow fail coup detain person include opposition politician journalist academic country remain state emergency turkey have agree buy russia formidable air defense system ongoing tension fellow nato member russia system deploy syrium spread other adversary pose major threat fourth generation aircraft analyst military official believe lockheed well northrop grumman bomber be only aircraft effective due stealth capability back russia test new surface air missile claim destroy even stealth aircraft new be also supposedly able intercept hypersonic missile drone other aircraft also be say be capable destroy object space mile face earth russia claim be accurate offset major advantage warfighting capacity program most expensive military program ever have face criticism cost overrun combat effectiveness stealth fighter only recently fly first ever combat mission part israeli air force operation see first combat action begin air campaign isis also be interested russia have lockheed sight testing new missile russia deadliest air defense system be head nato allylockheed martin stealth fighter make combat debut israeli aerospace stock watch industry invest stock market start simple routine
9,LMT,president donald trump push establish sixth military branch dedicate space probably be lot more expensive just extend air force capability doubt nation largest defense contractor love idea xboee ba lockheed martin lmt northrop grumman noc raytheon rtn stand gain more business new space force branch say george ferguson senior defense analyst bloomberg intelligence spending probably include communication gps surveillance satellite ability protect our degrade other launch build satellite ferguson write email company shouldn get too excited yet future space force spending be modest give need compete other big politically protected defense department priority congress already fund don have number much value be sure still be less large program such fighter jet navy virginia class submarine air force raider bomber ferguson say get newsletter deliver inbox more info product service privacy policy term air force have argue space defense be well purview new branch not only isn necessary dilute current effort extend american military space idea independent effort date early house member lead representative mike roger alabama republican begin new round advocacy call separate space corps commander chief first broach idea march call space force address service member california be interested space warfare be so vulnerable spacex winsspace industry news top aerospace stocksibd stock daybest growth stock buy watch see update ibd stock list
