,ticker,content
0,MAA,toyota motor tm invest grab holding southeast asian ride hail startup global automaker include general motor gm ford motor brace massive disruption mobility xannounce toyota stake wednesday singapore base grab call investment largest ever automaker global ride hail sector toyota grab investment be double gm pour ride hail company lyft detroit carmaker aim launch own self drive vehicle ride sharing ford motor also partner lyft plan take self drive car mainstream meanwhile toyota back lyft rival uber quarter mile drive be share self drive car accord boston consult group fact ride sharing make produce costly self drive car more economically viable estimate so call robotaxis generate revenue toyota motor share close stock market today sit day move average flat base buy point gm rise ford slip fiat chrysler fcau dip tesla tsla add grab other backer include uber china ride hail service didi chux softbank last month japan softbank invest gm self drive car unit cruise toyota investment grab be base conviction leadership drive adoption new mobility solution ming maa president grab say statement company have install mobile base more user report april say german automaker volkswagen vlkay china didi be explore joint venture tie ride hail well robotaxis grab also offer food package delivery service work toyota connect car service help driver grab platform say telematic base insurance such service reduce cost insurance premium grab driver grab toyota transaction meet certain close condition be interested invest stock free new apps aim google race ahead pack self drive carsford line side industry split robotaxi make electric vehicle profitable tesla gm look build million
1,MAA,relative strength rs rating mid america apartment community maa enter higher percentile wednesday get lift ibd proprietary rs rating identify market leadership show stock price action last week measure other stock database decade market research reveal market biggest winner typically have rs rating early stage move see mid america apartment community continue show renew price strength clear threshold mid america apartment community be build cup handle entry see break volume least higher normal company post ep growth last quarter sale growth come company earn rank peer finance property reit industry group coresite realty cor agree realty adc gaming leisure property glpi be top highly rate stock group related stock be show improve technical action use ibd relative strength rating relative strength line help judge stock
2,MAA,stock open higher monday dow industrial nasdaq add stock market have climb solid earning season nasdaq putt week rally rise so far august climb week rise aug more company have file earning report income mean analyst estimate revenue ahead forecast accord factset research real estate investment trust post property pps bolt more early trade larger multus family reit mid america apartment community maa say buy post stock deal value company reportedly expect deal close fourth quarter mid america share slip more sysco syy climb ahead open report fiscal fourth quarter earning analyst target revenue slightly short expectation food distribution heavyweight be extend flat base buy point ibd stock acacia communication acia spark early action fiber optic networking gear maker surge nearly last week follow powerful report activision blizzard atvi advanced premarket trade stock have struggle gain ground buy point rebound support week move average china base cheetah mobile cmcm claw open security software mobile internet play shot ahead last week leave so far august company report second quarter result friday cyberark software cybr slip nearly open israel base security software developer slip nearly last week try scale month consolidation high tech glass maker corning glw be month advance left share january high friday close manufacturing activity new york region slip sharply august send new york federal reserve empire state manufacturing survey read be positive tally july disappointing consensus view improvement new order remain flat shipment labor category be steady producer price dip slightly business month outlook weaken second straight month national association home builder report housing market index oil price gain half percent west texas intermediate trading just gold ease ounce dollar cede ground vs yen euro bond ease lift year treasury yield basis point overseas china mainland market surge news report trading link shenzhen hong kong market be launch early week similar link shanghai hong kong market be open year shanghai composite end monday hong kong hang seng index gain japan tokyo nikkei dip datum show gdp flat second quarter weaker expect sharp slowdown first quarter europe market trade higher benchmark index london paris frankfurt less early afternoon trade
3,MAA,investor appetite safety yield be evident tuesday real estate investment trust utility stock dominate new high reit several break provide opportunity brave weak general market condition sector be act well appeal consistent dividend draw investor flee shrink yield bond market federal realty frt break
4,MAA,have rise prospect small hike interest rate summer dent rally real estate investment trust stock analysis ibd latest screen top perform reit seem offer reply stock strong record payout show relative price strength rating higher rs rating mean
5,MAA,number ibd stock have pull back find support week move average offer new buy opportunity pullback day line bounce preferably volume be usually consider secondary buy point investor add share already successful position nice look pullback be sprout farmer
6,MAA,wall street biggest worry corporation day be pose simple question be sale judge ibd be rosier think consider friday list highly rate stock see entire ibd update day ibd leaderboard continue first second gear style gain
7,MAA,handful top rate defensive name pace list stock hit new high tuesday investor seek safe haven turbulent market campbell soup cpb maker canned soup package food rise cent just shy flat base buy point campbell soup be discuss tuesday ibd big cap
8,MAA,market volatility rev high gear january make investor queasy up down stock end bust first month year back oil slump weak corporate earning nasdaq plunge january sank manager nation best perform fund past month have step brake slow stock buy just select few top rate stock have defy gravity household tech name such facebook fb alphabet googl verizon communication vz equinix eqix have see buy action lead fund latest report period click here see list new buy top mutual fundsa handful property reit such stor capital stor mid america apartment community maa sovran self storage sss be solid performer recent month also favore top perform fund finance property reit group be rank industry wednesday top fund also add defensive utility stock atmos energy ato pnm resource pnm itc hold itc american water work awk black hill bkh ibd spot lead fund buy edward lifescience ew investing estimate latest report period fidelity contrafund fcntx add share portfolio irvine calif base firm make market medical device treat heart disease edward report fourth quarter earning result cent share year earlier beating analyst estimate cent revenue rise fourth quarter earning growth be drive high demand sapien sapien xt heart valf be deliver procedure call transcatheter aortic valve replacement therapy tavr critical care product group include hemodynamic monitoring device also perform well globally fourth quarter edward stock hold steady most stock market sell january stock clear flat month base wednesday upbeat fourth quarter earning nation lead fund have be unload lilly eli co lly latest report period be net selling fund position other drugmaker zoetis zts baxalta bxlt be also slash click here top fund latest sell
9,MAA,major average follow lead china stock friday end week thud so do crude oil nasdaq close upper half range still lose weigh weakness chip stock
