,ticker,content
0,MCD,stock rolled flat open friday heavy slate early news market appear set wrap strong week soft note netflix nflx paypal pypl take hefty early loss jpmorgan jpm mcdonald mcd hamstrung dow big bank dive report mcdonald slump news possible health investigation regard salad johnson johnson jnj slump be slap jury decision well fargo wfc post heaviest loss stock pnc financial pnc citigroup also skid lower second quarter report dow jone industrial average trim gain open boee ba more mcdonald struggle remain positive nasdaq composite rise less netflix paypal post heaviest loss update story other market coverage visit stock market today dow jone industrial average head friday session week index be less half percent level track end week day move average first time week get newsletter deliver inbox more info product service privacy policy term nasdaq end thursday week new high have gain week just fraction mark still january high global market be set end strong week choppy note friday china hong kong shanghai benchmark end friday narrowly mixed result left shanghai composite advance week snap week lose streak japan tokyo nikkei vault higher punch back day move average end week market europe defend modest gain afternoon trade london ftse frankfurt dax rise week ftse cac paris hold gain dax angled fractional increase netflix drop mkm partner hold buy rating price target steady ahead stream entertainment leader report monday jpmorgan slip early action new york base bank report earning increase rise revenue second quarter be easily analyst target net interest income rise drive rise rate loan growth stock be look first weekly increase week testing resistance converge week move average pnc financial drop second quarter report earning share rise revenue climb top consensus forecast well fargo dive release second quarter report earning revenue come short analyst expectation average loan decrease residential loan mortgage origination rise vs first quarter company efficiency ratio drop first quarter well fargo share have be struggle retake week move average mcdonald drop more report illinois department health be investigate possible link mcdonald salad person apparently sick food bear illness mcdonald voluntarily stop selling salad be work secure new lettuce vendor stock have be consolidate february johnson johnson dip st loui jury award compensation punitive damage group woman contend asbestos company baby powder cause ovarian cancer case be first report case base similar claim company spokeswoman say appeal say decision be prejudice company product neither contain asbestos cause ovarian cancer tumble department justice appealed court decision have allow close acquisition time warner last month have agree hold separately time warner cable network subject government antitrust case case doj opted appeal appeal go judge panel take month resolve share have be lock month decline world wrestling entertainment wwe vault higher morgan stanley hoist stock price target prior target note maintain stock overweight rating base target increase content deal land last month nbcuniversal fox sport world wrestling share be start year have not pause form valid base oil price turn modest gain friday remain nearly week mark second straight weekly decline west texas intermediate gain barrel brent crude add weekly rig count datum be due baker hughe bhge et get instant access more trading idea exclusive stock list ibd proprietary rating only related big picture bull take controljpmorgan citigroup well fargo report earning investing action plan gene therapy company hot pursuit do curethese top perform stock test key level peer report sale misseswhy woman lag wealth be better investorsibd stock day alphabet stock near buy point flash bullish signaltrump tariff china trade war be thaw
1,MCD,dow jone industrial average top level friday help strength unite technology utx walgreen boot alliance wag walmart wmt share mcdonald mcd johnson johnson jnj lag loss stock market result today mcdonald be pressure news health department illinois iowa be investigate intestinal illness possibly link company salad dow jone be midday nasdaq composite show gain small cap outperformed russell volume nyse nasdaq be tracking lower thursday level share johnson johnson be company be order pay woman say baby powder product give ovarian cancer meanwhile high profile earning report financial sector be largely disappointing earning beat weren enough jpmorgan jpm citigroup well fargo wfc gap sharply earning miss most financial have be stick downtrend partly due flatten yield curve related news california base first republic frc jump early company report fifth straight quarter revenue growth share pull back financial generally turn weak performance automotive repair firm monro mnro be top gainer friday jump goldman sachs upgrade buy be catalyst buy point earlier week fade monro reclaim entry conviction friday meanwhile leaderboard name netflix nflx be pressure again ahead earning report monday close ub thursday downgrade share neutral buy cite valuation share have be more double so far year ibd retailer continue show relative strength share be more potential flat base take shape also apple oil used datum stay ahead much retirement saving need age payjpmorgan citigroup earning top view well fargo miss
2,MCD,tech stock small cap stock be driver seat midday friday stock market digest strong job growth june well start tariff chinese import early gainer nasdaq include biogen biib share biotech giant soar company report positive phase trial datum alzheimer drug nasdaq composite lead way russell small cap index add rise dow jone industrial average picked mcdonald mcd merck mrk walgreen boot alliance wba lead blue chip index gain more stock market rally be fuel part better expect job growth june economy create job top consensus estimate unemployment rate rise stock market result today tech service company mantech international mant jump nearly help positive comment suntrust robinson humphrey semiconductor space advanced micro device amd be top gainer marketsmith growth more still buy range conventional entry netflix nflx be heavy volume gainer netflix be member leaderboard be best perform fang stock friday facebook fb also do well heel big price target hike thursday btig ibd name rise more include lululemon athletica lulu share be nearly bank america raise price target get instant access more trading idea exclusive stock list ibd proprietary rating only also jpmorgan citigroup well fargo kick earning season investing action planbreakout watch ipo growth near buy zonea trade tariff start bite canada top apparel stock hold
3,MCD,stock index sag monday show once again market find traction strong earning season mcdonald mcd rise strong report benefit didn spread marketwide meanwhile federal reserve be set begin day meeting tuesday dow jone industrial average reversed loss be almost earlier nasdaq fall wipe earlier gain volume stock market today fall board step volume be perhaps natural consider fed meeting later week cme group fedwatch tool put odd rate increase probability change be peg almost get newsletter deliver inbox more info product service privacy policy term major index have be encounter resistance day move average past session stock market be shake negative pressure retake day line be important first step market watcher recent worry be narrowing spread year yield vs year yield problem used yield curve market guidance be recession typically haven begin month curve invert ibd weekly cover story big squeeze point not economist agree yield be top focus right now johns hopkin university economist steve hanke argue broad money supply measure divisia be better guide economy so far year divisia grow january february march hanke call kind growth not bad point economy everything be run pretty smoothly then be stock market struggle much more useful focus happen search causation individual investor closely follow chart nasdaq be show choppiness begin early february be still place monday leader advance include mastercard retailer canada goose goos mastercard report result wednesday market open several item stand ready break good bad first bank be now expect least partial battle dodd frank regulation hill report congress be passage bipartisan package second decision steel tariff be temporary exemption european union be expire president trump reportedly hasn make decision also treasury secretary steven mnuchin be expect leave china soon trade talk third ibd industry group lineup have take definition go monday session only sector be outperform nasdaq new leader emerge outperform sector sector be software year date consumer medical leisure business service retail saving loan apparel energy bank fourth trump imply save market speaking michigan recently trump admit be do something bother market say stock market ve be have do thing let other country take advantage so re do trade deal implication be market recover once trump finish do thing market mcdonald rise almost hoisting stock day day move average line strong quarterly report earning increase vs year quarter street expect earning growth revenue drop analyst expect decline mcdonald be base deep consolidation stock be high marked late january federal reserve meeting tuesday wednesday isn expect create big wave street expect fed stand pat rate now increase now be shock related defense matter swing trading choppy market retail apparel stock investor stock indicator be canary coal mine
4,MCD,mcdonald chevron home depot gain point stock market today help push dow jone industrial average nearly higher afternoon trading thursday tesla rally again crude oil rise sharply dow jone component stock rally least point treasury bond fall push yield oil rally sharply meanwhile software stock drop en masse pressure nasdaq chip equipment firm include lam research lrcx apply material amat also take hard chin former big winner be now base mode et tech center composite fall slightly cut early loss nasdaq slump poise halt day winning streak trade virtually flat small cap fall rise session row enterprise software share take break ibd sector leader screen adobe adbe salesforce com crm servicenow now realpage rp ultimate software ulti slide more brisk volume tesla tsla have be rise comment earlier week ceo elon musk confident electric vehicle pioneer ramp weekly production pivotal model sedan unit week month end stock have rebound much term low april same time frame nasdaq composite have gain however please check marketsmith daily chart tesla ll see tesla be have trouble climb back day move average day line trace average close price stock past trading session roughly month worth action growth investor want see stock rise not only day move average day line well most top dog ibd show such trend re hit new high lead day move average higher positive side tesla now stand just week time peak price represent fantastic gain transportation innovator initially break stage base back april current base be first stage watch see stock keep muscle higher slash very visible overhead supply willing seller price range tesla sale jump last year breaking barrier palo alto calif company also lose share street see tesla bleed more red ink year estimate net loss share then earn share company have market cap share outstanding contrast toyota motor tm have market cap share price time total share outstanding share outstanding global car truck titan have sale toyota share be form saucer droopy look handle bull market handle show maximum decline high low toyota case correction week handle be acceptable provisional buy point be mcdonald mcd surge more active turnover world largest restaurant chain hit nearly month high be carve new saucer style base current buy point now be elsewhere stock today destroy short seller gain extend run session share notch time high july ipo share operator store sell item less report late wednesday earning april end first quarter catapult cent share biggest first quarter sale jump base philadelphia have aggressively expand chain new market midwest southwest california stock enter ibd leaderboard call option play ahead wednesday quarterly result stock have also rise past recent point well form base base week flat base make upper portion bullish chart pattern wti crude oil future rally get high barrel yield benchmark treasury year bond ease chevron cvx post bullish gap rise nearly volume be run mildly average nice gain integrate oil major be not yet proper buy point right now watch see chevron rally past handle portion month cup handle handle high be thus generate buy point please follow saito chung twitter ibd_dchung more commentary growth stock lead industry sector stock market breakout sell signal financial market related buy stock sell now first read column many retail consumer play have joined ibd leaderboard tesla ceo make heady expectation againwhat be cup handle help investor consistently make money stock
5,MCD,stock index show mixed action late thursday morning dow jone industrial average lead upside stock component dow post gain more chevron cvx mcdonald mcd peg biggest gain dow respectively dow advanced nearly lower nasdaq fall more small cap russell lose volume rise major exchange nasdaq russell be try fifth consecutive gain get newsletter deliver inbox more info product service privacy policy term be approach old resistance area nasdaq have already clear old resistance level light sweet crude oil pop news venezuela socialist venezuela production problem be cut oil supply dwindle supply mean higher price assume demand remain same grow breakout thursday include cement provider crh crh auto equipment maker gentex gntx saving loan flagstar bancorp fbc northwest bancshare nwbi dunkin brand group dnkn security device maker shotspotter ssti ibd industry group retail oil stock do well chip equipment maker computer group struggle update story other market coverage check ibd stock market news today related be time buy stock now sell first read column do nasdaq hit new high faang stock rise together latest investor corner
6,MCD,best software stock be hardest hit thursday seller finally come nasdaq composite straight gain dow jone industrial average end higher help solid performance mcdonald mcd chevron cvx procter gamble pg nasdaq lose selling be more subdue benchmark index ease dow gain preliminary datum show volume nyse nasdaq come higher wednesday big decliner nasdaq include chip equipment firm lam research lrcx apply material amat adobe system adbe also take hit disk driver maker western digital wdc seagate stx loss range ibd enterprise software group slump ibd best software stock servicenow now paycom payc atlassian team fall sharply loss range stock market result today oil gas related group outperformed oil price firm driller exploration production firm lead way drill group transocean rig jump buy point still look pretty good carrizo oil gas crzo meanwhile add nearly back buy point crude oil future july delivery settle barrel other gainer include leaderboard name share surge strong earning wall street like look earning sale beat well bullish sale guidance get newsletter deliver inbox more info product service privacy policy term useelsewhere new issue zscaler zs jump past alternate entry end buy point double bottom also be see chart security software name isn profitable yet show big sale growth recent quarters earning enthusiasm be short live fellow security software name okta okta share reversed sharply lower hit intraday high nearly share close also mcdonald plan more corporate job cut tech push reportibd stock day look tasty signal grubhubas retail stock boom be next
7,MCD,stock be mainly lower thursday afternoon weakness software other technology share drag nasdaq loss meanwhile energy sector continue strengthen nasdaq be poise end day streak be still week be come session lows et software semiconductor datum storage networking stock sell broadly many be hot stock appear be go normal cool specialty enterprise software group instance have rally more week dow jone industrial average rise big move several component wall street journal report mcdonald mcd plan cut more corporate job cut administrative cost seek spend more digitize restaurant get newsletter deliver inbox more info product service privacy policy term usemcdonald jump climb back day move average oil company chevron cvx exxon mobil xom rise rally energy share procter gamble pg surge nearly board member nelson peltz trian partner say reorganization plan be move forward share have slump year remain prior high small cap be hammer also russell market volume be tracking higher compare same time wednesday lead stock also come selling ibd be nearly big boost stand be ibd largest loss april index plunge energy sector lead oil price rise barrel opec member venezuela struggle economic crisis operational wo oil industry be nearly month deliver crude customer main oil terminal cnbc report oil related group make day best industry group retail sector continue outperform department store discount chain also lead discount variety store be thursday top perform industry group credit belong chain merchandise soar company result top expectation management give bullish guidance be add leaderboard earning report option play have now become quite profitable consumer electronic also rise sharply conn conn gap gain company beat profit sale expectation forecast potential same store sale gain current quarter conn sell electronic well furniture appliance be classify ibd electronic retail group earning report also spark fast food restaurant sonic sonc top week consolidation weekly chart show handle buy point related here latest retailer massive stock surge plan more corporate job cut tech push reportwhy be part ibd leaderboard
8,MCD,major index moved little dow jone industrial average slump late afternoon trade tuesday least stock solid fundamental continue work new basis set new leader stock today semiconductor firm meanwhile pace upside so do steel stock news white house be add vietnam tariff target related import philadelphia semiconductor index know sox rally more smash flat nasdaq composite loss dow jone industrial average deck point loss more least component fall volume be run slightly lower nasdaq higher nyse vs same time monday dow jone industrial stock lead downside mcdonald mcd drop more turnover be very light so far stock be slip day move average first time more week growth stock picker demand stock lead day move average higher not lag get newsletter deliver inbox more info product service privacy policy term useon other hand mcdonald trade just time peak follow magnificent run so now burger behemoth be still base mode here be more company consider watch list market remain confirm uptrend grubhub grub ibd fast grow online mobile food order delivery service be craft handle week double bottom handle represent final shakeout weak holder send share hand long term mind owner good send stock power past highest price handle handle seem less significant term entry buy point be almost same regular entry twitter twtr social medium giant sport highly respectable composite rating scale see ibd stock checkup arcelormittal mt global steel maker more have fashion cup handle feature entry point sap sap business software giant bump head price ceiling multiple time november january sap do again last week stock be now just peak new saucer handle show buy point german multinational firm have post earning share gain past quarters revenue lift same period sap enterprise software group rank industry month relative price performance rank last week have give throne oil gas exploration production industry group also stock today dow transport ease outperform major index monday smallcap slip follow saito chung twitter ibd_dchung more commentary growth stock basis buy point financial market related much money do need begin investing stock medical stock leader vault low be still gain left tank top ranking industry group today
9,MCD,wingstop wing chief executive talk serve chicken wing fresh hot longer just restaurant customer takeout order company april earning call analyst pepper ceo charlie morrison company home delivery partnership doordash chicken wing restaurant chain be used partnership test delivery
10,MCD,starbucks sbux face concern slow growth outlined earning call late thursday new promotion marketing strategy bring more java drinker cafe summertime frappuccino happy hour broad discount available anyone happened walk starbucks right time day work few year offer have not be appeal profitability standpoint recent year say management company now plan structure offer more target fashion range product frappuccino year late march coffee shop chain say only customer have receive invitation be able get espresso beverage close invitation come email starbucks app so far result have be encourage company try new approach quarter report strong incremental profit appealed customer be not yet sign starbucks reward program say executive call thursday be optimistic see response happy hour be see greater response happy hour reward customer versus reward customer so everything be very early very promising say starbucks global chief strategy officer matt ryan company say also plan introduce new frappuccino next week share be slide late close stock market today gapping day average stock build handle cup handle base entry point close bell thursday starbucks meet earning view just squeak revenue forecast follow dunkin brand dnkn solid earning beat morning starbucks post ep cent sale same store sale rise globally say company zack investment research analyst expect rise profit cent share revenue growth zack investment research same store sale company own location be see grow include comp key americas market accord consensus metrix estimate continue be pleased sustain growth espresso tea improvement throughput peak hour still worry sbux do not have meaningful initiative improve sale trajectory support valuation expansion write stephen analyst late thursday call start year starbucks reaffirm fiscal guidance ep high single digit revenue growth note current outlook doesn account plan store closing management remain bullish plan china area growth company starbucks only have relative strength rating meaning be outperform other publicly trade company rs line be spiking higher recent high share have largely be trading sideway late hit time high june last year get free access ibd digital april
