,ticker,content
0,MCO,general electric ge be line credit downgrade moody mco investor service change ge outlook negative wednesday moody reaffirm credit rating ge ge capital say lower outlook be precursor credit downgrade month ahead reflect add headwind restore ge credit profile due reserve record relation justice department probe ge capital discontinue mortgage business be yet blow beleaguered conglomerate come management be feel full fury investor firm annual shareholder meeting meanwhile aviation unit face new competition engine market roll royce boee ba rival airbus eadsy have seal deal new collaboration dow jone industrial average component ge sank close stock market today earlier month jpmorgan analyst steve tusa wonder long credit rating agency remain sideline commentary seemingly give ge precious time work way give host problem problem dog year old industrial giant include material change fundamental little progress asset sale delay revenue recognition restatement lack clean number sec investigation accord tusa point great recession company be aaa rate still end need bailout get free access ibd digital april
1,MCO,get premium stock list pass fail stock rating more start heremeanwhile ceo john flannery attempt placate disgruntle crowd firm shareholder meeting vow fix business accord wall street journal however retiree bill freeda complain promise break ten shareholder retiree meeting blame former ceo jeffrey immelt retire last summer board director demand internal investigation wrongdoing flannery concede year have be disappointing share price tumble more past month strongly feel have very very good business need be center gravity company go forward say meeting be lot change change be not easy organization company be go come stronger firm now face further threat lucrative jet engine field roll royce airbus have inked deal collaborate development ultrafan british company want new engine be more fuel efficient earliest version widebody narrow body plane be able use ultrafan due scalable design roll royce currently only make engine widebody jet more immediate target roll royce be fix issue trent engine part have be wear quicker expect boee dreamliner jet use trent ge engine business be spotlight due ongoing faa investigation fatal southwest airline luv accident boee involved be power engine make cfm joint venture general electric safran aircraft engine engine explode cause first fatal airline accident almost decade also be interested ge earning restatement bad news be almost certainty general electric break break ge stock ge dividend look safer good news stock top key level dow jone industrial average dow stock news invest stock market start simple routine
2,MCO,general electric ge need boost target raise capital even new transportation deal hit deleverage target also have consider dividend cut accord jpmorgan ge still come billion dollar additional capital fix balance sheet analyst steve tusa write tuesday reaffirm underweight rating ge share year end price target little available cash flow naturally lever don see risk mitigation perspective company size complexity be seriously consider least dividend cut more aggressive approach reinforce capital base say wednesday ceo john flannery warn be profit growth core power business year add company see turnaround plan play determine dividend have be interpreted leave door open cut source tell cnbc thursday ge doesn have plan cut payout share rally stock market today diving wednesday flannery bearish profit comment jpmorgan analysis follow news ge transportation unit combine wabtec wab deal provide ge cash merger close tusa view ge need roughly capital far more target asset sale lower debt adjust earning ratio identify possible source capital say stake baker hughe bhge be monetized roughly stake merged wabtec company yield other divestiture rake so still leave shortfall tusa say meanwhile reuter report tuesday ge be look way sell insurance business force company book steep charge earlier year ge have promise november shed asset soothe rating agency find way get leverage tusa note find leverage ratio be actually generally accept estimate vs figure moody mco have estimate credit rating moody assumption ge leverage recently tick fall tusa note firm include impact higher restructure cost earning meanwhile ge pension obligation remain significant backdrop current dividend payout ratio remain too high company deleverage time simply run business tusa say stock bear cent annual dividend yielding company slice dividend payout half november be interested general electric break break ge stock boee pounce lion air deal stock soar china xige offload oldest business new ceo biggest deal
3,MCO,general electric ge get price target hike base outlook next year earning free cash flow trouble industrial conglomerate share still go lower shorter term stifel analyst robert mccarthy raise price target note client thursday cite estimate ep industrial free cash flow fcf cent share also raise revenue view maintain hold rating ge stock say remain sideline absent more material dynamic breakup prospect however be different story mccarthy warn ge management be likely lower core ep industrial free cash flow guidance announce further reduction sprawl portfolio likely add downside risk ge share ge management have keep ep guidance mccarthy cut ep outlook year cent cent trim revenue view ge be restructure business have signale even flagship power health aviation unit become separately trade company get free access ibd digital april
4,MCO,get premium stock list pass fail stock rating more start herealso thursday jpmorgan analyst steve tusa write ge result do not show enough improvement highlighted disconnect consensus ep narrative drive stock fundamental explain record level noise number once again see fcf default valuation work here be weaker expect be expect be break even require shape recovery hit guidance remain tusa remain underweight ge stock price target earlier week moody mco investor service change ge credit outlook negative potential precursor credit downgrade month ahead ge share close flat stock market today ge peer conglomerate dow jone industrial average trade lower unite technology utx lose mmm give siemens siegy rise honeywell hon edge be interested general electric break break ge stock ge dividend look safer good news stock top key levelboee pounce lion air deal stock soar china xiunited technology gear turbofan engine get vote confidencege urge end relationship year
5,MCO,key market index fund reversed higher wednesday general electric ge weigh dow industrial boee ba soar earning report spdr spy spdr dow jone industrial average dium gain powershare qqq trust qqq add foreign market lag ishare msci emerge market eem fall ishare msci eafe efa give general electric drag blue chip loss boee lift report result top view top bottom line moody mco lower outlook ge credit rating negative say reflect add headwind restore ge credit profile ge share fall day move average boee meantime be trading time high regain day line energy homebuilder retail lead upside sector fund stock market today spdr oil gas exploration production xop rise shape right side cup base gold miner telecom semiconductor be biggest decliner vaneck vector gold miner gdx vaneck vector junior gold miner gdxj lose respectively reverse earlier gain bitcoin drop accord coindesk sharply earlier high bitcoin investment trust gbtc pare loss close day line have regain friday halter session streak bitcoin other digital money tumble wednesday perhaps due datum breach myetherwallet com cryptocurrency wallet provider now interest rate have take center stage wall street better time look sector get boost higher rate stock fall tuesday year treasury yield hit first time bolster expectation rate hike year more federal reserve official have indicated bank etfs buck decline give big early gain still close higher session bank net profit margin be expect get boost rise interest rate spdr bank kbe climb tuesday extend streak fourth straight session reclaim day move average early trading pull back rest market crater etf be now start work right side shallow base potential buy point keep mind buy be riskier volatile market get free access ibd digital april
6,MCO,get premium stock list pass fail stock rating more start fund track bank select industry index provide exposure asset management custody bank diversify bank regional bank other financial service provider regional bank account bulk asset monday thrift mortgage finance diversify bank be next biggest top holding include texas capital bancshare tcbi umpqua holding umpq voya financial voya cullen frost banker cfr bank new york mellon bk fund year date return monday trump advance accord morningstar inc average annual return past year respectively also outpace gain period gain year lag rise period kbe carry expense ratio spdr regional bank kre be trace similar pattern potential entry also advanced straight session close tuesday day line fund track regional bank select industry index top holding include texas capital east west bancorp ewbc cullen frost cit group pacwest bancorp pacw kre have return year date average annual return past year be respective etf also bear expense ratio tuesday pick spdr oil gas exploration production xop remain potential cup base buy point also be interested alphabet apple weigh market rate hike view sink stocksjpmorgan lead bank earning dividend buyback factor help large cap bank stock
7,MCO,welcome move dun bradstreet dnb see relative strength rating improve monday unique rating identify market leadership used worst best score show stock price action last week compare rest market year market history show market biggest winner typically have better rs rating early stage move see dun bradstreet continue show renew price strength hit benchmark look winning stock try simple routinewhile now be not ideal time buy share see stock go offer clear proper buy point earning growth moved company most recent report revenue fall dun bradstreet earn rank peer commercial service market research industry group global spgi costar csgp moodys mco be top highly rate stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
8,MCO,warren buffett load apple aapl make second biggest stock hold berkshire hathaway brkb portfolio well fargo wfc end berkshire hathaway apple stake totale market value buffett start pick apple share continue bet big mac ipad iphone maker course apple jump second place berkshire hathaway list biggest stock be other technology stock buffett top stock holding value look holding assume order rank dollar value holding look term recent purchase last year ve buy more apple anything else tell cnbc interview monday heap praise apple extraordinary consumer franchise here be full list buffett top stock market value end apple account stake berkshire total stock investment portfolio end vs end portfolio surge value period share apple rise stock market today be year date just record set jan berkshire hathaway gain retake day average buffett describe share buyback option american express advanced well fargo gain bank america rise cola cola fall cent sign free ibd newsletter market prep tech reportberkshire stock portfolio post compound annual gain vs gain dividend include buffett say monday have mostly sell general electric ge trouble industrial giant be look make key divestiture even berkshire seek put cash pile use big acquisition also be interested top rate stock report earning make money stock used slim investing big picture here be reason worrynot market follow work red flag watch
9,MCO,stock make new high friday apple aapl boee ba microsoft msft boost dow bitcoin play find support spdr dow jone industrial average dium lead gain spdr spy advanced powershare qqq trust qqq rise emerge market also participate ishare msci emerge market eem lift apple extend gain more mark new record high regain flat base buy point first crossed entry dec pull back day move average find support iphone maker relative strength line however have be flat lower microsoft gain new high keybanc capital market raise price target keep overweight rating cite prospect microsoft artificial intelligence product initiative gold miner retail energy be biggest sector fund gainer stock market today gold future be ounce vaneck vector gold miner gdx vaneck vector junior gold miner gdxj more have be consolidate respective day line real estate utility be few sector buck uptrend bitcoin also rise try recover thursday slump occur south korea say be work bill ban cryptocurrency trading bitcoin climb accord coindesk slightly earlier high bitcoin investment trust gbtc bounce track snap session lose streak find support day line thursday facebook fb weigh tech heavy nasdaq social network say thursday change news feed give precedence friend family post analyst say move affect facebook ad revenue want own coca cola ko american express axp other holding similar billionaire investor warren buffett powershare low volatility portfolio splv fit bill etf be potential buy range rebound day move average advanced early september bounce line dec intraday high splv be featured etf column be publish fund launch have gather asset track low volatility index comprise least volatile stock past month index also have ability respond dynamically market condition so other low volatility index move better perform sector deem necessary financial account biggest sector weighting nearly asset utility make industrial information technology consumer staple roughly top holding jan include honeywell international hon coca cola berkshire hathaway brka pepsico pep republic service rsg berkshire hathaway buffett hold company own coca cola biggest position other buffett name etf include american express axp bancorp usb moody mco procter gamble pg visa ibd take make money catch etf uptrend require knowledge read chart learn ibd university buffett tend own big dividend payer instance coca cola yield annualize offer splv month dividend be just north average payout have dividend growth rate vs spdr spy splv be year jan lag gain average annual return past year also slightly trail benchmark index return respective generally splv tend perform better stock market decline low volatility stock fall less growth stock carry expense ratio thursday pick robo global robotic automation robo hit new high remain buy zone flat base entry global robotic artificial intelligence botz make similar move related apple rise bitcoin dife time buy nvidia ai stock china hit stock buffett vs bitcoin new high cannabis stock market close record high be bitcoin longer fraud
