,ticker,content
0,MPC,oil price crude produce west texas permian basin have fall sharply past month area rise production be back bottleneck limit pipeline capacity result be block rise number producer market localize glut be carve shale producer sale be
1,MPC,continental resource clr marathon petroleum mpc lead dwarf new high list friday major index take big blow meanwhile global athletic shoe athleisure brand adida addyy outperformed lose less ground market big cap member ibd apparel shoe industry group hit new high
2,MPC,year start global oil glut crude oil price be rise oil industry momentum be pick benchmark west texas intermediate trade wednesday june low january crude oil price re-cover barrel first time december
3,MPC,whiting petroleum wll hollyfrontier hfc valero energy vlo other oil stock surge buy point tuesday oil price rise prospect increase tension iran xu crude climb settle week high barrel market expect president trump withdraw iran nuclear deal reimpose sanction follow meeting saudi crown prince moham bin salman brent crude be iran deal be come probably month so re go see do trump tell reporter tuesday iran have not be treat part world world appropriately lot bad thing be happen iran riyadh have be vocal opponent obama administration nuclear deal iran trump repeatedly promise tear agreement campaign ask tuesday leave deal salman say ll talk also tell reporter see stable oil market kingdom have year supply crude whiting share rally close stock market today consolidate cup base buy point marathon petroleum mpc climb cup base close buy point valero finished close buy point hollyfrontier pop close buy point delek dk rise clear buy point cup base stock be also day average have relative strength line be hit recent high surge get newsletter deliver inbox more info product service privacy policy term shake state department have also increase likelihood harsher sanction iran last week former exxon mobil xom ceo rex tillerson be fire secretary state current cia director mike pompeo replace pompeo be more likely support sanction iran tillerson be say james william economist energy consultant wtrg reason trump get rid tillerson be tillerson wasn nearly aggressive trump issue william say sanction iran reduce iranian oil production note oil hit barrel obama administration levy sanction iran oil win hit time say price still go higher ongoing unrest venezuela be also rattle oil market accord william monday trump sign order outlaw company citizen used venezuela new cryptocurrency petro say attempt circumvent sanction be interested energy stock industry news oil gas solar coalsaudi crown prince poise go shopping spreeopec russia be trap flood oil shale producer
4,MPC,stock rolled mixed open thursday disappointing first quarter gdp revision news amazon com amzn rattle pharmacy industry chip stock marvell technology mrvl soar china approve acquisition cavium cavm retail stock future be early pressure earning report bed bath bbby pier import pir retailer take additional heat pharmacy giant cvs health cvs new dow jone component walgreen boot alliance wba dive amazon announce buy online pharmacy service pillpack dow jone industrial average open lower walgreen dive nearly nasdaq composite trade less edge earning drive gain mccormick mkc accenture acn counter heavy loss walgreen cvs abc mckesson mck commerce department revise first quarter gdp estimate lower growth be consensus projection growth hold steady gdp price index key inflation gauge rise be well expectation also change read consumer spending estimate be unchanged growth line expectation upshot growth be slower expect quarter inflation rise faster forecast complicate pressure federal reserve have signale more interest rate hike be likely end year be already wrestling impact finance stock market get newsletter deliver inbox more info product service privacy policy term trade brawl china world other largest economy be relatively quiet early thursday white house have backed away wednesday early threat use executive privilege order curtail investment china own company technology white house attempt appease beij investor fear be meet part way china thursday regulator approve marvell cavium merger hong kong hang seng index rise market feel bottom bit less june shanghai composite drop diving new bear market low tack sixth straight weekly decline japan tokyo nikkei continue trade flat just day line support day line stock europe fall mixed trade steep loss afternoon action frankfurt dax dive cac paris trade lower london ftse ditch early gain fall oil price tick fraction lower early thursday west texas intermediate trading just barrel oil price punch month high wednesday tight weekly supply datum add list element generate upward pressure oil stock post top advance wednesday ahead thursday open marathon petroleum mpc advanced findlay ohio base refiner be look stem week decline chip stock suffer further damage wednesday selling receive positive news early thursday marvell technology spiked cavium leap announce chinese regulator have approve marvell bid acquire datum center networking specialist marvell share be break support month base effort cavium be testing support week line month base company first announce deal november retail stock come sharp pressure amazon announce buy online pharmacy service pillpack undisclosed amount term deal be not disclose news report say walmart wmt have attempt acquire pillpack less move be amazon first major health service sector move january announcement have launch joint venture berkshire hathaway brka jpmorgan jpm create more effective efficient health service program company employee cvs health tumble nearly early action stock be march attempt retake support week move average year downtrend walgreen boot alliance drilled lower pharmacy chain report early thursday fiscal third quarter sale earning top analyst target management raise company quarterly dividend add stock buyback effort drug distributor also fall hard crumble mckesson swoon cardinal health cah tumble lower amazon share rise left ibd leaderboard stock still buy range buy point other retail stock be already early pressure handful earning report pier import dive weak guidance trump first quarter sale earning beat bed bath also fall hard more dip same store sale soured otherwise positive fiscal first quarter report get instant access more trading idea exclusive stock list ibd proprietary rating only also dow jone future key tech sector flash big big picture nasdaq stormy price action be desperate trump be avoid china trade warmillennial investor love stock robinhood top holdingsibd stock day apple oil near new buy point bullish pattern
5,MPC,marathon petroleum mpc capped busy weekend activity agree buy andeavor andv create largest base refiner walmart wmt also say asda brand merge sainsbury prologis pld announce buy dct industrial dct marriott vacation vac say buy ilg ilg marathon petroleum announce deal buy andeavor increase reach western state combine company have refine capacity barrel day overtake valero energy vlo biggest refiner accord bloomberg datum marathon petroleum also report first quarter earning ahead schedule company earn cent share vs year earlier revenue climb analyst have expect cent share get newsletter deliver inbox more info product service privacy policy term usemarathon share fall stock market today stock be now back buy zone cup base buy point investor be wary buy stock plunge high volume andeavor jump walmart agree sell british unit asda group sainsbury rival supermarket operator cash stake combine business company have combine total store annual sale walmart share rise prologis world largest warehouse owner agree buy dct stock assume debt expand land holding dct stockholder receive prologis share dct share own prologis share fall dct jump marriott vacation agree buy ilg cash stock deal ilg shareholder get cash marriott vacation common stock share deal create largest luxury brand time share vacation rental revenue more property marriott vacation sank ilg climb be interested earning watch call option make sense fireeye bp marathonlooking stock start listswalmart seek even bigger share prize startup prize market
6,MPC,ibd stock screen be regularly update add new stock watch well weed have start show weakness table ll see stock have be add remove list ibd sector leader ibd big cap screen be
7,MPC,dow jone industrial average index rebound key support level end slightly lower nasdaq composite fuel apple aapl rally tesla tsla skid cash burn elon musk strange conference call mastercard hit buy zone new payment stock struggle alibaba baba pull back strong earning sprint merge mobile tmus headline several big deal job report symmetric fed stance ease rate hike fear crude oil price hit record high shale operator beat earning view dow jone undercut day move average rebound friday finish week nasdaq composite rally retake day line apple aapl fuel earning buyback warren buffett buy more share soar drive major average higher tesla tsla fall alibaba baba rally mastercard enter buy zone treasury yield pull back yield spread narrowing slightly crude oil rise nearly barrel shale earning be strong apparel stock be loser consumer electronic giant apple aapl earn share year year sale fiscal second quarter be best ep gain year latest string accelerate revenue growth report top forecast apple sell iphone just miss consensus service revenue wearable sale be strong apple also announce plan buyback big dividend hike warren buffett disclose berkshire hathaway brkb buy apple share first month bring total stake nearly apple stock surge best weekly gain year hit record high blast buy zone get newsletter deliver inbox more info product service privacy policy term usetesla report smaller expect loss forecast revenue electric car maker model production remain low company burn cash post earning conference call ceo elon musk cut wall street analyst bore question spend next minute take question blogger youtube share fall sharply thursday close week cent alibaba report better expect quarterly earning core commerce revenue swell cloud revenue more double alibaba end quarter monthly active user mobile device alibaba also give bullish outlook share rise friday jobless rate slide april lowest economy add job labor department report friday meanwhile average hourly wage growth rise just year little view fed favore gauge core inflation climb policymaker send message win panic top come month fed stress wednesday inflation target be symmetric qualys qlys fireeye feye fortinet ftnt top earning revenue view share retreat cyberark software cybr rally strong result outlook guide slightly higher meanwhile carbon black cblk jump friday debut ipo price late thursday high end recently raise range zendesk zen pop result guidance show customer support sale automation software company be build momentum rival salesforce com crm larger contract paycom payc report strong earning sale growth forecast line june quarter result send hr payroll process software maker lower fellow payroll hr cloud software firm paylocity pcty break friday result commerce software firm shopify shop top view size sale beat update guidance left investor unimpressed shopify initially fall rebound strong gain ultimate software ulti report adjust ep top estimate revenue grow also beating share rally wednesday close buy point mcdonald mcd surge score double beat ep rise revenue fall shake shack shak sky-rocket friday crushed earning beat revenue wingstop wing also jump friday result taco bell parent yum brand yum earning top share skid weak same store sale yum china yumc tumble weak pizza hut result china offset overall strong earning texas roadhouse txrh slip come par ep cent revenue viper energy partner vnom anadarko petroleum apc concho resource cxo noble energy nbl matador resource mtdr continental resource clr parsley energy pe eog resource eog pioneer natural resource pxd top quarterly estimate integrate energy firm marathon oil mro clear buy point follow earning oil price hit fresh multiyear high inventory production increase odd be rise president trump withdraw iran nuclear pact sprint mobile tmus finally agree merger share fall lack price premium fear antitrust regulator reject deal meanwhile marathon petroleum mpc agree buy andeavor andv create largest base refiner additionally walmart wmt say chain asda merge sainsbury walmart reportedly be deal buy india commerce giant flipkart prologis pld buy dct industrial dct finally marriott vacation vac reveal buy ilg ilg annual developer conference facebook fb say be enter online date business more person facebook identify single match group mtch own match com date app tinder plunge announcement facebook also introduce oculus go stand alone vr headset announce october arista network anet late thursday report ep gain revenue swell beating cisco rival see revenue line view send share tumble friday turnaround project juniper network jnpr late tuesday report ep decline wasn bad expect sale network gear cloud compute customer rebound juniper forecast profit slightly view share pop pare gain allergan agn zoetis zts teva teva exelixis exel top quarterly expectation allergan sank report unlikely make deal zoetis fall adjust profit guidance miss penny dow jone component merck mrk pfizer pfe beat profit lag sale gilead gild miss sale adjust earning hepatitis drug fall vs last year regeneron regn profit beat revenue miss eye drug eylea top view celgene celg topple analyst suggestion key drug be delay year friday celgene say refile application drug ozanimod multiple sclerosis treatment celgene also top first quarter expectation raise full year guidance sarepta srpt sale miss view loss be better expect mastercard share jump credit card giant report earning beat estimate join visa buy range square sq sale also top bitcoin make payment technology firm current quarter profit outlook come short fleetcor flt provide prepay fuel card vehicle fleet other payment product sank low outlook paypal pypl tumble amazon amzn reportedly offer merchant discount use own payment service controversy kanye west comment slavery have tangled adida addyy ceo sportswear company distance not cut ty rapper west yeezy brand be not significant part adida revenue contribute brand style image share tumble buy point adida logging currency neutral revenue growth include solid north america meanwhile armour uaa top estimate give weak outlook susquehanna say inventory be tick time bomb coach kate spade parent tapestry tpr top consensus share plunge upscale purse accessory maker raise guidance be still largely consensus north face van parent vf corp vfc beat view share retreat friday snapchat operator snap snap crash record low miss first quarter view revenue user growth several other key metric grubhub grub top first quarter earning estimate food sale miss target share fall sharply pare loss friday world wrestling entertainment wwe spiked wwe body slam earning estimate continue attract subscriber ep rise cent however revenue be miss disk drive maker seagate technology stx report quarterly earning beat estimate stock fall cautious comment tariff ferrari race zoom buy zone double beat ep rise cent revenue climb tableau datum report sale earning expectation license revenue be ahead consensus company lower full year margin guidance big datum firm stock jump
8,MPC,dow get good start monday wall street like look strong earning mcdonald mcd early gain fade major stock index technology share face fresh round selling suffer distribution day wasn great close final trading
9,MPC,dow jone future rise solidly monday morning stock future index nasdaq trio big merger deal be make headline include long mooted combination sprint mobile tmus meanwhile apple aapl report earning tuesday be still world most valuable company have be decidedly mediocre full month dow jone industrial average nasdaq composite fall last week pare loss find support day move average hit resistance day line friday amazon microsoft msft intel intc pull back post earning high apple retreat dow jone future advanced vs fair value future rise nasdaq future climb year treasury yield inched higher hit year high last week year yield nudge remember dow jone future other hour trading often doesn translate market individual stock open close follow session nasdaq future sky-rocket early friday tech gain quickly withered open get newsletter deliver inbox more info product service privacy policy term year talk sprint mobile agree combination obvious winner be tech writer editor longer have headline sprint mobile say resume talk follow sprint mobile merger talk hold investor mobile merger sprint value sprint share mobile share value sprint share base mobile friday close sprint close friday sprint tumble open stock market today be late friday buzz deal be imminent mobile stock fall fraction deutsche telekom mobile parent get stake sprint majority owner softbank get new company use mobile name mobile chief executive john legere be ceo board include softbank ceo masayoshi son antitrust regulator be sure take close look deal reduce number major wireless operator walmart sell grocery chain sainsbury pound retrenching fiercely competitive market pick battle amazon amzn home many other country worldwide walmart own stake combine firm regulator be likely take very close look deal walmart dow jone component edge higher premarket marathon petroleum mpc buy andeavor andv deal equity value enterprise value deal value andeavor share premium create largest refinery capacity pass valero energy vlo even dow jone nasdaq eke slim gain friday apple fall undercut low recent consolidation stock be begin lose sight day line apple relative strength line track stock performance vs index also sank worst level early february rs line offer quick way show stock be real leader laggard apple rs line be be exactly month early november have be trend lower dow jone tech giant earning be expect rise share revenue grow be faster ep growth straight quarter accelerate sale gain largely reflection new iphone product cycle grow fear have weigh stock be iphone demand be rapidly cool drive apple growth go forward apple guidance be key iphone giant also be expect hike dividend increase share buyback apple share rise slightly premarket trading apple have market cap nearly still most valuable public company amazon com amzn have sprint past year be now worth amazon recently surpass fellow fang stock google parent alphabet googl briefly grab crown year alphabet have market cap amazon have shot past month vs apple index alphabet have rise end last year amazon have climb alphabet apple be modestly lower amazon break friday follow blowout accelerate earning revenue growth stock fall back cup base entry close investor want online sale giant move friday intraday high amazon rise premarket trading remember amazon be very late stage base several big move recent year late stage breakout be less likely be big winner more likely fail be interested amazon ibd stock share winning growth big squeeze stock market bull run face biggest threat year big picture nasty reversal blowout earning lululemon lead retail stock be watch
