,ticker,content
0,MRO,stock future be hard early wednesday follow trump administration release late tuesday list add tariff product import china chinese authority immediately respond pledge fight measure china market open freefall narrow loss close market china base stock have take harsh hit tuesday regular session tuesday fall further early wednesday alibaba group baba baidu bidu fall nearly apiece dow china sensitive boee ba caterpillar cat unite technology utx drop more premarket trade company report earning be also have trouble chemical brand wd wdfc aircraft component maker aar air hard report oil price continue trade recent high key datum due wednesday oil producer pdc energy pdce newfield exploration nfx be buy point eog resource eog remain buy range also be form new entry nasdaq future crumble micron technology mu baidu jd com jd hardest hit future dow industrial fall fair value update story other market coverage visit stock market today get newsletter deliver inbox more info product service privacy policy term usemarket add fourth straight gain tuesday reprieve trade war fear global market await impact tariff launch friday china release expand sanction list china response late tuesday rattle market china new threat white house trade war tariff be place product side say tariff target additional potentially take effect later month tuesday move aim add tariff annual product list page document release late tuesday trade representative robert lighthizer office plan day public hearing expand sanction begin aug china pledge lodge complaint world trade organization urge other country join protect free trade china be late stage agreement country include india japan create world largest trading bloc china also announce late tuesday channel revenue trade tariff good chinese company struggle deal effect tariff china make product stock future slip bond higher send year treasury yield basis point president trump have make clear have more potential tariff target be willing put play china regulator also encourage chinese company shift supplier other country shanghai composite close hong kong hang seng index drop mood infected trade japan tokyo nikkei fall market europe shift sharply lower frankfurt dax london ftse fall morning trade oil price skid lower early wednesday pressure oil worker strike norway other global supply factor also american petroleum institute report larger expect draw oil gasoline inventory api datum show barrel draw week end july vs consensus view barrel decline gasoline stockpile fall barrel api say view project barrel draw benchmark west texas intermediate crude oil slip barrel europe brent crude tumble energy information administration release official weekly inventory datum wednesday et monthly oil supply report be due wednesday organization petroleum export country thursday international energy agency be particular interest investor attempt assess impact supply shortage canada libya gabon well strike norway pdc energy end tuesday just buy point newfield exploration hung buy point eog resource be buy range buy point be also form new base marathon oil mro slip back buy point brief tuesday memory chip maker micron technology tumble premarket trade worst late decline ibd nasdaq stock be inactive wednesday morning july court decision china halter micron sale country base allege patent infringement micron share be attempt retake support week move average climb right side late stage base pattern defense contractor aar dive nearly late tuesday be inactive wednesday morning earning top expectation revenue fall short target fiscal report stock have be trading tightly high week move average breaking flat base april lubricant hand cleaner brand wd narrow premarket loss san diego calif base outfit score sound beat fiscal third quarter result gross margin shrink company warn raw material cost be rise wd share be trading fresh high tuesday close almost clear flat base february get instant access more trading idea exclusive stock list ibd proprietary rating only related dow jone apple boee tesla slip late trump ready china tariff listapple stitch fix show leadership trait dow jone rise sector reversestock slide late trump set widen china trade wardefense stock eye nato summit trump barb continue investing action planthese oil stock hit buy point crude price rise
1,MRO,consider name put watch list focus stock higher rs rating royal dutch shell rdsb just clear benchmark upgrade re research best stock buy watch be sure pay attention relative price strength exclusive rating investor business daily track market leadership worst best score rating show stock price performance last week hold other stock database decade market research show market biggest winner tend have rs rating launch biggest run look best stock buy watch start hereroyal dutch shell break earlier have fall back prior entry cup handle stock re tracking climb buy point then fall more original entry price consider fail base best stock form new consolidation also keep mind most recent pattern be later stage base such basis be more prone failure company show ep growth most recent report sale gain come company hold rank peer oil gas integrate industry group marathon oil mro be top rank stock group get newsletter deliver inbox more info product service privacy policy term also stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
2,MRO,just bad slap fight trade escalate china friday be earning stock just much economy deliver solid june job growth friday still grow year expansion analyst expect blowout quarter earning share growth index component jump revenue accord thomson reuter wall street be bet continue scorch result rest year not be scorch president donald trump trade war china canada mexico europe other become more heated quiet earning growth next year be even more muted analyst say effect trade war have yet be price financial forecast think first tangible impact start show estimate revision earning result come say sheraz mian director research zack other word second quarter earning season offer higher drama ceo usual blanch remark headwind tailwind investor even more usual focus earning guidance post earning call commentary get answer tariff affect profit sale price corporate strategy shareholder return higher cost part supply company bring overseas mean higher cost customer business rethink even uproot complex global supply chain higher price make good sell overseas crimp international demand company cut delay major investment index company filled hundred multinational exporter be more expose tariff global demand economy second quarter gain company come courtesy president trump tax cut endure economy rebound oil price lift energy sector earning sale accord thomson energy stock include dow jone giant exxon mobil xom chevron cvx well conocophillip cop valero vlo marathon oil mro schlumberger slb many other have generally be strong performer analyst expect financial clock gain earning bump revenue jpmorgan chase jpm other bank enjoy lower taxe deregulation thomson forecast semiconductor internet software service lead tech component earning growth tech revenue be see jump apple aapl intel intc amazon com amzn netflix nflx facebook fb be slate deliver solid stellar growth estimate stand now thomson reuter be forecasting earning growth reach third fourth quarters last time have earning growth be tajinder dhillon senior research analyst thomson reuter say email however look past analyst appear have harder time justify bullish expectation company look number go forward really don start see significant drop growth get again ll be back apple apple tax rate say john butter senior earning analyst factset tougher comparison aren massive concern right now analyst say next year growth still look solid dhillon say investor expect earning growth rate be still higher year average wall street also worry economy have fewer tool disposal keep marathon run go dollar be stronger yield curve be flatter due partly federal reserve decision lift short term interest rate narrowing yield curve gap rate short term long term government debt loom large bank particular flatter curve also see precursor economic downturn have drag bank stock lower recent month bank also lend money borrower base long term rate borrow depositor accord short term rate narrower difference narrower bank net interest margin jpmorgan citigroup well fargo wfc report second quarter earning friday banking giant announce hefty shareholder return package last month be expect deliver solid ep growth jpmorgan stock citigroup well fargo other be lows fed raise rate affect money flow global emerge market well interest rate be go mian say investor class investor be scour world market yield return yield return be go develop market then reason take extra risk go argentina turkey get friday lob tariff worth chinese product more type product total first part response trump say be china trade abus tariff target aircraft part industrial part equipment vehicle other machinery duty target product related china tech focuse make china plan trump have say initiative hurt economic growth unite state many other country unite state longer tolerate lose technology intellectual property unfair economic practice trump say statement last month china friday respond penalty own product include automaker agriculture china aim tariff squarely trump base trump have threaten levy tariff china even more meanwhile trump have threaten impose global import tariff auto follow duty steel aluminum have spur europe canada mexico retaliate further trade discord force company rethink supply chain adjustment undo corporate america effort past decade more efficiently manage inventory such practice time firm business balance sheet brinkmanship have most iconic american business way general motor gm say much last week warning more tariff lead reduce presence home abroad iconic american company harley davidson hog say offer more detail earning call month plan move production skirt tariff eu brown forman bfb be raise price jack daniel part europe tariff impose eu know trump trade war impact company play expect company specific risk tariff china trade exposure be central discussion topic earning call rbc analyst deane dray cover industrial vulnerable steel aluminum tariff write note last month have crystal ball tariff situation ultimately play especially potential knock effect say company mmm dhr look best equip industrial handle trade dispute trade war also threaten chipmaker micron mu chinese court block sale chip country move see pushback nation trump trade salvo china have hold approve qualcomm qcom takeover nxp semiconductor nxpi boee ba isn subject china tariff beij favor airbus eadsy jet protracted china trade war aerospace company april downplay worry trade war baird analyst benjamin hartford cover transportation logistic company up up fedex fdx expeditor international expd hartford write research note last month see material evidence yet freight volume weakness rise global trade tension analyst tigress ivan feinseth expressed optimism strength corporate earning offset trade damage other wonder much trade war hurt corporate travel like global carrier american airline aal delta air line dal cargo demand broadly delta air earning be due thursday still expect demand grow expectation be dampen new tariff introduce alexandre juniac ceo international air transport association say air cargo demand statement week experience tell trade war long run only produce loser get instant access more trading idea exclusive stock list ibd proprietary rating only be interested stock market forecast next month expect oil etfs be form bullish chart citigroup well fargo kick earning season investing faction plan
3,MRO,stock future shed early loss climb premarket trade friday market braced crucial opec meeting dow seek avoid longest lose streak decade premarket trading red hat rht tank smart global sgh be steady follow quarterly report coca cola ko chevron cvx lead rebound dow issue amazon com amzn be unfazed follow news management shake nasdaq future swung fair value dow jone future climb thursday considerable loss rise trade left dow eighth straight decline day move average so far week dow lose streak now match logged march dow have not post consecutive loss least nasdaq slip thursday fall be track first weekly drop week get newsletter deliver inbox more info product service privacy policy term useoil price be volatile ahead closely watch meeting organization petroleum export country opec partner include russia discuss production strategy price reversed higher brent crude barrel west texas intermediate rise trading barrel price rise report iran have softened opposition agreement increase production make boost oil supply more likely much central bank stimulate economy buy bond hold interest rate opec russia agree november reduce oil output bolster glut weaken oil price strategy be effective central bank have gradually tapered stimulus program opec appear set release cap production quickly do be question global energy financial market be ask analyst quote houston chronicle say production increase less barrel day be bullish oil market saudis have recommend barrel day boost industry watcher be look hike nearer barrel day domestic oil market have not value much change month run nearly barrel wti price have only backed high energy investor grow very nervous thursday send shale producer noble marathon oil mro rsp permian rspp callon petroleum cpe more dow chevron cvx carved loss oil industry name post widest loss stock earning news red hat dive more weak second quarter guidance stock be year peak june have find support multiple time day move average smart global shed early loss rise computer memory datum storage subsystem maker top expectation fiscal third quarter fourth quarter guidance be mixed stock end thursday session ipo price fang stock amazon com reversed early loss rise investor show only mild reaction new report second shake company marketplace operation peter faricy vice president amazon marketplace be reportedly strip authority retail group head doug herrington have reportedly take much faricy role march marketplace senior vice president sebastian gunnigham resign joined wework amazon marketplace third party commerce facilitator reportedly account half amazon commerce volume amazon fall thursday supreme court ruling come increase taxe require amazon customer state amazon share be extend clear late stage base april buy point related big picture time sell growth stock own dropbox iqiyi hot ipos read thise commerce stock smack supreme court ruling state taxe
4,MRO,eni spa have relative strength rs rating upgrade thursday welcome improvement still short higher score prefer see look best stock buy watch factor watch closely be relative price strength ibd proprietary rating track market leadership worst best score rating show stock price movement trail week hold other stock database decade market research reveal best stock often have rs rating least begin biggest climb see eni spa continue rebound hit benchmark look best stock buy watch start herewhile now be not ideal time invest see stock be able establish enter buy range heavy volume company post ep growth last quarter revenue gain come eni spa earn rank peer oil gas integrate industry group marathon oil mro ecopetrol ec royal dutch shell rdsb be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
5,MRO,welcome move total tot see relative strength rating improve thursday look best stock buy watch factor watch closely be relative price strength exclusive rating investor business daily identify price performance worst best score rating show stock price movement trail week hold other stock database year market history reveal best stock often have better rs rating begin largest climb see total continue rebound clear threshold look winning stock try simple routinetotal be not currently potential buy zone see stock go form base launch new move earning growth decline company most recently report quarter revenue grow prior report company hold rank peer oil gas integrate industry group marathon oil mro ecopetrol ec royal dutch shell rdsb be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
6,MRO,petrochina ptr see welcome improvement relative strength rs rating wednesday rise re research best stock buy watch keep close eye relative price strength exclusive rating investor business daily measure share price movement worst best score score show stock price behavior trail week hold other stock database history reveal top perform stock often have higher rs rating begin biggest run see ibd help make more money break earlier have fall back prior entry cup handle stock re tracking clear buy point then decline more original entry price consider fail base stock set new chart pattern entry price also keep mind latest consolidation be later stage base such basis be more prone failure earning growth increase last quarter sale fall petrochina hold rank peer oil gas integrate industry group marathon oil mro be top rank stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
7,MRO,putt together watch list focus stock higher rs rating royal dutch shell rdsb just meet criterium new score look best stock buy watch factor watch closely be relative price strength ibd unique rs rating track market leadership show stock price movement last week compare other stock major index history show best perform stock tend have rs rating north early stage move see ibd help make more money stocksroyal dutch shell break earlier have fall back prior entry cup handle stock re watch clear buy point then fall more original entry price consider fail base best stock form new base also keep mind most recent consolidation be later stage base involve more risk royal dutch shell show ep growth latest quarterly report sale rise company hold rank peer oil gas integrate industry group marathon oil mro be top rank stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
8,MRO,look best stock buy watch focus rise relative price strength stock fit bill be bp bp have relative strength rs rating upgrade wednesday try find best stock buy watch keep close eye relative price strength exclusive rating investor business daily track share price performance worst best score score show stock price behavior last week stack other stock database year market history show best stock typically have higher rs rating early stage move look winning stock try simple routinebp be still buy range move past buy point cup handle proper buy range be initial entry once stock move range best set buy opportunity company report earning growth most recent report sale growth come company hold rank peer oil gas integrate industry group marathon oil mro be top rank stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
9,MRO,putt together watch list focus stock higher rs rating petrochina ptr be stock just reach mark now earn score look best stock buy watch factor watch closely be relative price strength ibd proprietary rs rating identify market leadership show stock price movement last week compare other stock database history reveal best perform stock often have rs rating early stage move look best stock buy watch start herepetrochina be build cup handle buy point see clear price heavy trading earning growth increase last quarter revenue gain fall petrochina earn rank peer oil gas integrate industry group marathon oil mro royal dutch shell rdsb bp bp be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
