,ticker,content
0,MTD,relative strength rs rating mettler toledo international mtd jump new percentile thursday get lift ibd unique rating identify price action worst best score grade show stock price performance trail week compare other stock database history reveal best stock tend have rs rating early stage move see mettler toledo international continue rebound clear threshold look best stock buy watch start herewhile not currently ideal time buy share see stock be able establish enter buy range heavy trade top bottom line growth moved higher company most recent quarter earning be compare prior report revenue increase company earn rank peer electronic scientific measure industry group ipg photonic ipgp novanta novt cognex cgnx be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
1,MTD,next quarterly earning report due feb mettler toledo international mtd be currently approximately shy buy point current formation be first stage cup handle understand jump stock right get ready report mean likely win have enough time build profit cushion release leave expose sudden downturn company doesn deliver type number analyst be expect minimize exposure wait see company report market react also use option strategy limit potential downside look best stock buy watch start heremettler toledo international show earning share growth last quarter sale rise analyst expect earning share growth quarter growth full year annual growth estimate be recently revise upward mettler toledo international have composite rating hold rank peer electronic scientific measure industry group ipg photonic ipgp novanta novt cognex cgnx be top highly rate stock group note date earning report be subject change check company update related earning calendar analyst estimate stock watchnew option strategy limit risk earning
2,MTD,mettler toledo mtd see ibd smartselect composite rating jump tuesday day upgrade mean stock be now outpace other stock term key performance metric technical strength mettler toledo be not currently proper entry see stock go form new base offer new buy opportunity stock earn ep rating meaning recent quarterly longer term annual earning growth be outpace stock accumulation distribution rating show heavy buy institutional investor such mutual fund pension fund last week company post earning share growth revenue growth climb prior quarter mark quarter increase revenue increase mettler toledo hold rank peer electronic scientific measure industry group coherent cohr be rank stock group related company be now outperform stock
3,MTD,index pare gain afternoon trading wednesday nasdaq continue lead component facebook fb netflix nflx trade unusually heavy volume nasdaq composite be have be much facebook fifth largest component nasdaq rise volume be run average enough put facebook ibd stock move list company be expect benefit hollywood writer strike netflix big nasdaq component fall double usual volume video stream company be breaking support day move average putt stock perilous spot dow jone industrial average be loss almost entirely hand ibm ibm big blue gap huge volume sale miss expectation analyst respond cut price target stock have only small part early gain left index meet resistance day move average second time week happened give investor pause volume be tracking higher nasdaq lower nyse winning stock beat loser nyse nasdaq auto dealer medical equipment department store chip equipment airline be top industry group earning cause move example lam research lrcx stock gap record high company beat profit estimate raise forecast education stock devry education group dv new oriental education edu gain devry climb back buy point mediocre volume china base new oriental surge new high be extend buy point company announce earning monday rev group revg soar lighter normal volume maker rvs fire truck bus other specialize vehicle break past buy point choppy cup handle base first base stock have ipo january mettler toledo mtd break past buy point flat base move come just precision instrument maker share find support day move average favorable aspect wix com wix break less week have already flash sell signal stock erased gain buy point share provider website related tool pare loss tumble almost day move average related ibm sink follow lackluster performance result analyst cutslam research gear maker jump upbeat march quarter report
4,MTD,good earning report continue fuel breakout friday msci msci break saucer type base report earning top expectation thursday operator hundred stock index report rise adjust earning share operate revenue climb share rise close buy range buy
5,MTD,stock index pare gain friday final minute close session higher erased most loss thursday drubbing rise fading final minute close just day move average nasdaq also rise dow jone industrial average add small cap russell advanced dow utility average however slide volume be tracking lower board friday be final day third quarter result volatility fund manager make last minute window dressing move make portfolio look good possible retail stock be strongest friday trading sector rise get start costco cost burst better expect earning same store sale rise exclude fuel currency factor stock bounce fall week ibd retail major discount chain industry group also get boost wal mart wmt climb keybanc late thursday initiate coverage stock overweight rating price target costco wal mart be base remain day move average online retail amazon com amzn make new high be stock draw most volume relative basis stock be extend find support day move average couple week amazon be already big winner april make second touch day line yet have continue march higher follow entry financial bounce back report deutsche bank db be close settle mortgage security case regulator far less justice department seek deutsche share jump spdr financial xlf exchange trade fund be sink thursday mettler toledo international mtd break flat base rise clear buy point volume be light company be add index month make precision measure equipment be largest supplier inspection system food medicine other industry related facebook zuckerberg nvidia qualcomm ea top insider tradesdeutsche bank jump report settlement nearare market voting clinton divide government
6,MTD,technology banking stock account big chunk new high friday only come electronic instrument field mettler toledo international mtd edge past buy point flat base share rise volume be modestly average mettler toledo have good ep rating ep gain range past quarters sale performance have be even milder decline gain company be add index month make precision measure equipment be largest supplier inspection system food medicine other industry strength chip continue talk possible nxp semiconductor nxpi acquisition qualcomm qcom nxp rise qualcomm add xilinx xlnx make new high find support day move average share rise chip designer get merger talk analyst say company make good takeover broadcom avgo logitech logi be try break past buy point flat base share computer peripheral maker close chart display high quality tight price action past week support share come week move average high volume week share close higher indicate institutional buy related analyst bullish possible qualcomm nxp merger
7,MTD,money manager vladimir val vassal hold same kind lead stock probably try buy say portfolio have outperformed peer vassal glenmede investment management aim remove messy emotion buy sell decision add performance long run say colleague include co manager paul sullivan have steer glenmede large cap growth fund gtllx average annual gain top large cap growth rival track morningstar inc past year vassal take rein early mutual fund have score average annual gain averaged fund star performance long short term make ibd best mutual fund award winner shine category equity fund growth fund large cap click here see list mutual fund month leadersin interview ibd philadelphia office vassal share investing secret here have say technique allow investing team beat time again ibd have quantitative investment approach do mean do mix fundamental research vassal look process quantitative discipline base fundamental insight work fundamental manager year be value oriented growth oriented small cap large cap even international basically responsibility be objectively assess criterium select stock particular sector universe assess work didn ve try remove emotion subjectivity process so ve build library factor work didn re different different sector talk tech analyst versus utility analyst talk very different metric company be effective not so ve build model be unique sector factor be similar look stock look relative peer sector term attractiveness be continual process year add year datum analysis ll test new idea have dialogue internal portfolio manager analyst also have dialogue lead street research firm empirical research partner bernstein jpmorgan jpm citi ibd type market do approach work best vassal process work valuation earning matter look create portfolio be cheap high cash flow versus benchmark have strong consistent profitability stock own be likely have positive earning revenue surprise fewer negative earning revenue surprise benchmark strategy struggle be investor be distract macro issue financial crisis great recession earning didn matter investor fled equity didn care price situation investor be not focuse specific company fundamental be drive macro behavioral issue model have less efficacy ibd more recently vassal other period strategy underperform be risk rally ve have pretty strong risk rally start march year lot riskiest name be outperform last couple month risk rally be lot price dislocation look stock sector lot gap high low price stock measure say price book so year risk rally be good environment active equity manager seem be large arbitrage opportunity cheap expensive stock maybe be take advantage create opportunity future price appreciation ibd so current market vassal indicator still suggest re positive growth environment economy have weak quarters model suggest expect rebound most economist expect annualize growth gdp quarter next couple quarters click here see list mutual fund category performancewe favor more cyclical sector right now technology consumer discretionary re underweight interest rate sensitive sector utility reit ibd let talk put strategy work do edward lifescience ew fit question be latest disclosure vassal own jan have good return equity more sell side analyst be raise lower estimate year next year valuation be not cheap fact more analyst be raise estimate have strong profitability momentum historically strong earning growth offset rich valuation include stock ibd other holding be attract similar reason vassal other name buy january be oracle orcl masco mas schwab schw again be attractive base criterium combination earning growth analyst estimate stock sell january be block hrb be bottom quintile sector fortunately sell something hit downside screen force portfolio question ask take time fundamental analyst portfolio manager fall love stock once put portfolio hard let go try remove emotion process long term add performance ibd do approach differ fundamental only fund manager vassal look stock be cheap have positive growth metric coverage analyst be raise estimate just look criterium work best differentiate stock sector health care company don look pipeline example stock ranking model health care emphasize high free cash flow yield low relative price book strong reinvestment rate positive earning revenue estimate revision ibd facebook fb have quarters accelerate earning share growth do look hold vassal attractive model valuation be not cheap fundamental growth story be positive so be fact analyst be raise estimate have be period sell facebook be get too rich last year fang stock facebook amazon amzn netflix nflx google be now alphabet googl be just fly valuation get too rich wouldn hold point facebook still be consider buy model ibd open stake lowe low just last year be thesis
8,MTD,vassal start stake june rank top third stock ranking model have positive revenue earning estimate revision sell side analyst valuation be not too extreme price earning ratio year earning be stock ranking model be base month period look turn portfolio month maintain attractiveness month look refresh harvest loss offset short term gain particular ibd cadence design cdns earning share growth have accelerate quarters quant view vassal have have very positive earning revision run january analyst raise estimate company be not expensive be january have do well be now little ibd thinly trade mettler toledo mtd be uptrend ep growth be slow slightly view vassal be still attractively rank model estimate revision be more neutral show positive look forward analyst estimate have very strong profitability very high roe january roe be be contingent book value decelerate historically growth have be look forward still look double digit growth even low double digit ibd ve be boost stake accenture acn vassal have very attractive rank tech sector analyst margin be raise estimate have high roe good track record dividend growth ibd make different other quant oriented fund manager vassal difference be principle first believe active management stock get misprice issue benchmark index be stock be overpriced effectively be overweight address ignore weight individual stock want avoid idiosyncratic risk overexposure single name everything else be equal midcap mega cap name wouldn invest instead overweighting just have larger weight benchmark second treat sector differently don believe model be used stock stock different sector have different attribute business model third downside risk screen include quality earning avoid company poor stock quality debt high idiosyncratic risk fourth differentiate stock be more likely have positive versus negative surprise base sell side analyst behavior company fundamental technical datum ibd idea quantitative approach be home factor identify stock outperform enable avoid be sidetrack subjective factor be basically irrelevant outperformance right vassal yes build extensive back test go back year identify combination criterium create portfolio stock outperform average stock sector roll month basis be top most attractive stock ibd risk vassal re look most consistent excess return roll month period so re look highest return unit shortfall risk shortfall risk be stock didn outperform average stock least basis point want have upside don want have much downside performance relative average stock ibd manager portray person eat sleep fund management do nothing else ve get least interesting hobby tell please vassal well hobby be genealogy last name be french old french name have family tree go back more year apparently family member do year reunion learn fact have lot documentation interesting history family go france ukraine early actually past saturday see relative didn know be third cousin get touch frenchman be do genealogical research family end connect first time
9,MTD,global mkts continue come pressure chinese stock fall emerge mkts decline japanese stock hemorrhage commodity rout continue mining stock suffer oil continue get hammer global growth concern send european mkts tailspin transportation stock get clobber here home mkts convulse focus return lack growth concern weaken chinese economy disappointing trade datum collapse oil mkt stronger dollar weaken macro datum possible rise rate environment broad sell have show ugly face past week have affected global market often sell off end be great buy opportunity too leave many ask technical underpinning mkt continue break mkt breadth get bit weaker session december start bit overbought be less so now mtd more intermediate term perspective mkt still appear be unsettled encounter rough spot week ahead past month have see dow transport get clobber now late november whopping ytd do really say have fed choose ignore very real warning sign be head recession be already recession look recession demand dry then business pull back then shipping transportation name suffer say yes gas be cheap oil be ytd gasoline be average gal demand dry company sell product not gas stock close lower again yesterday be choppy session oil continue fall global mkts continue get hammer commodity gasp breath fight find support testing breaking key technical support level then only find temporary support dma support get break again see bottom fall test like ish
