,ticker,content
0,NTAP,datum storage company netapp ntap report fiscal fourth quarter earning market close wednesday beat top bottom line present outlook fall short estimate xcome period aggressive product development intense competition company netapp report revenue beat consensus estimate be year period report adjust earning beat consensus period end april share be hour trading stock market today fiscal first quarter netapp expect adjust earning range cent cent midpoint cent be consensus cent poll zack investment research netapp expect revenue grow range midpoint be consensus get newsletter deliver inbox more info product service privacy policy term usewhen report fiscal third quarter earning month beat view netapp provide commentary imply reduction gross margin impact profitability netapp be lead provider datum storage networking management solution company have undergo product transition industry trend chip base flash storage cloud compute newer form networking face grow competition dell technology dvmt ibm ibm smaller innovative storage company pure storage pstg fourth quarter marked great finish strong year say george kurian chief executive officer prepared remark earning release successfully pivot growth area market expand opportunity hci new cloud partnership improve operational discipline deliver sustain profitable growth company follow fiscal first quarter report pure storage be release monday pure storage beat estimate apparently not enough expectation be elevated share tumble also be interested pure storage help company reach artificial intelligence goalsamazon microsoft price target raise cloud compute calendar analyst estimate stock watch
1,NTAP,pure storage pstg receive several price target increase tuesday quarterly earning future outlook beat estimate apparently investor want more share plunge xdespite second quarter earning beat sunny full year outlook pure storage fail live lofty street expectation write jason analyst william blair pure storage share tumble close stock market today result be solid say alex kurtz analyst keybanc capital market add expectation be elevated head earning report modest revenue beat win demand premium multiple bear continue argue pure face resurgent netapp ntap kurtz write note client get newsletter deliver inbox more info product service privacy policy term usedure regular hour trading monday pure storage hit record high end regular session follow pure storage earning report close monday share fall late trading share rebound briefly tuesday fall back again stock have more double past month kurtz maintain rating overweight raise price target bmo capital market analyst tim long raise price target pure storage raymond james analyst simon leopold raise price target provider datum storage system report revenue year quarter beat wall street view pure storage report adjust loss cent share beat estimate cent loss fiscal fourth quarter end april company make solid state storage array used flash chip provide significant performance gain storage system used disk drife fundamental remain unchanged traction new product such flashblade opportunity artificial intelligence leave incrementally confident management full year outlook write leopold research note client underlie demand driver remain place continue strong demand flash array oppenheimer analyst ittai kidron write note client pure storage have be ibd leaderboard list top perform stock young company pure storage also have long history lose money fiscal fourth quarter end january firm post profit cent share company say add new customer quarter raise total also be interested pure storage help company reach artificial intelligence goalsstock buy watch top ipos big small cap growth stock
2,NTAP,stock open narrowly mixed territory thursday drop oil price weigh early action investor sort impact possible auto import tariff dow jone industrial average dip heavy early loss chevron cvx exxon mobil xom overcome advancer lead general electric ge drop nasdaq shed celgene celg st century fox foxa lead nasdaq stock ulta beauty ulta drop bottom list fed minute release wednesday signale steady go view rate hike hike likely june make fourth rate hike less probable investor like news bolster market rebound late day get newsletter deliver inbox more info product service privacy policy term usein economic news labor department datum show first time unemployment claim rise week end number be claim prior week consensus forecast project decline claim crude oil price head lower third straight day west texas intermediate cut just barrel level wti future have not settle news report say russia energy minister reiterate country discuss possible phase production curb opec partner june meeting exxon fall chevron drop shale oil producer noble dive more open trade thursday early stock market action automaker edge higher auto brand dive president donald trump instruct commerce department late wednesday explore expand tariff import car light truck suvs van section investigation same legal provision used previously apply tariff steel aluminum regard threat national security trump be ask tariff much auto import ford open general motor gm add tesla tsla slip toyota motor tm drop tata motor ttm dive fiat chrysler fcau dump celgene climb head nasdaq early trade company announce share buyback amount earmark accelerate buyback initiative earning news netapp tumble report narrow win late wednesday fiscal fourth quarter revenue earning first quarter revenue guidance appear be sticking point come just shy consensus target netapp share be november pull back end wednesday session test support stock week move average victorium secret parent brand lb climb investor look past weak second quarter guidance otherwise strong quarterly report busy slate hour earning report have decker outdoor deck gap gps autodesk adsk ross store rost splunk splk veeva system veev line report overseas market be map thursday japan tokyo nikkei dive follow news possible tariff auto import china hong kong hang seng index rebound take dive wednesday europe trade weaken afternoon action cac paris reversed early gain slip frankfurt dax ftse london be more be interested big picture stock stage positive reversal give bullish signalsthese top stock hold buy zone market driftsthese stock be buy zone ahead earning investing action plansalesforce rival growth be cut investor slack top stock get handle buy pointswhich stock show rise trend relative strength line
3,NTAP,here investing action plan wednesday expect trading day ahead big day retail consumer earning big box chain target tgt fashion brand ralph lauren rl home furnishing titan william sonoma wsm high end jewelery giant tif due report tech side cloud datum specialist netapp ntap also report ibd display video id
4,NTAP,just step accelerator race develop artificial intelligence self drive car zenuity hit traffic jam sort datum storage technology used joint venture make autonomous vehicle couldn pump visual datum fast enough let new nvidia nvda graphic processor work anything approach top speed enter pure storage pstg flashblade technology vendor bring clear bottleneck pure storage left competition dust partnership be born accord next platform partnership nvidia start field think be generally least experience best partnership begin pure storage president david hatfield say recent company earning call get newsletter deliver inbox more info product service privacy policy term usepure storage be still relatively small player slow grow industry yet compete fast grow area take market share legacy provider relationship nvidia serve prime example joint marketing activity pure storage nvidia have be ongoing several quarters win have be pile help push pure storage profitability latest quarter follow first product launch initial public offer pure storage eclipse annual revenue fiscal march pure storage announce ai ready infrastructure combine flashblade nvidia dgx high performance workstation fully integrate hardware software system aim be enable scientist jump start artificial intelligence initiative hour not week month pure storage nvidia share other trait stock break consolidation buy zone nvidia clear double bottom base ahead earning report pure storage break cup handle pattern pure storage share climb more wednesday morning be nvidia be ibd take pure storage clear buy point monday buy point be point stock have greatest likelihood further term gain especially stock be leader lead industry group pure storage qualify stock accord ibd stock checkup computer datum storage industry group rank group base price performance momentum deutsche bank analyst sherri scribner say recent note client initiate coverage pure storage flashblade account roughly product sale past year piper jaffray analyst andrew nowinski expect flashblade emerge pure storage top revenue producer next year more big datum artificial intelligence workload be deploy recent note client nowinski say unstructured datum dominate artificial intelligence historically be store disk base networked device like netapp ntap dell technology dvmt say meet performance requirement next generation analytic nowinski see pure storage system rely flash memory rather spin hard disk drife uniquely position capture market share segment flashblade debut second half open new market pure storage also give company full portfolio serve datum storage need enterprise customer support customer workload have help pure storage move upmarket sell cloud service provider have gain more fortune customer look consolidate storage vendor used datum center nowinski say flashblade customer be already pure storage customer note company say sign new customer latest quarter raise total more organization company put total addressable market opportunity meanwhile market external storage system stand year drop slightly william blair analyst jason say expect be flat next several year yet area pure storage play grow last year say tech research firm idc expect flash array comprise external storage sale current figure scribner think projection prove conservative current infrastructure be base old slow scale architecture demand many datum copy silo fragment potential datum increase cost complexity pure storage chief executive charle giancarlo say recent earning call giancarlo come ceo last august have previously serve chief technology officer cisco system csco cisco be key partner pure storage see potential acquirer pure storage market flasharray flashblade storage system cisco networking gear optimized package call flashstack add roughly pure revenue latest quarter come public cloud customer such software service provider workday wday servicenow now management have note vertical have be grow faster overall business now have cloud customer date write get business big public cloud provider such amazon com amzn microsoft msft google parent alphabet googl be consider reach still pure storage say last august flashstack be see triple digit growth report thousand deployment more country company be widely credit be technology leader field industry research firm gartner place pure storage be furthest completeness vision axis solid state array say pure storage design software system architecture ground take advantage flash medium contrast rival most part design product hard disk only later retrofit flash market appear be recognize leadership evidence customer rate be tick quarter quarter giancarlo say further note pure storage be able carve product gross margin calendar vs netapp so much go slow pure storage momentum biggest risk be competition tell investor business daily dell emc have acknowledge market share struggle storage pledge spend turn dell last week unveil new storage product aim negating pure storage technology lead piper jaffray nowinski wasn impressed compare dell update product line consider more date pure storage assessment do very little narrow gap be interested pure storage com be breakout top stock be same bullish patterncloud software stock splunk break base ahead quarterly resultsstock market today track market trend best stock anyone time stock market bottomlook best stock buy watch start step routine
5,NTAP,increasingly always connect world rapid rise cloud compute artificial intelligence ai be drive demand datum storage stock smart global holding sgh micron technology mu netapp ntap carbonite carb ipo leader member pure storage pstg also make list base silicon valley pure storage deliver call
6,NTAP,datum storage networking company netapp ntap report quarterly earning market close wednesday beat estimate top bottom line do outlook current quarter stock fall netapp report revenue beating consensus estimate year period report adjust earning cent share beating consensus cent fiscal third quarter end jan netapp share tumble market trading stock market today regular hour netapp share rise close netapp forecast fiscal fourth quarter revenue range midpoint be consensus project adjust earning range cent consensus be ibd take netapp be fight hold day move average hold ibd composite rating possible relative strength rating check ibd tech leader feature get broad idea top tech stock see solid demand environment customer momentum landing win footprint expansion lead organization geography netapp chief executive george kurian say prepared remark quarterly result end quarter cash equivalent netapp be lead provider datum storage networking management solution company have undergo product transition industry trend move chip base flash storage cloud compute newer form networking related earning calendar analyst estimate stock watch
7,NTAP,share networking datum storage company netapp ntap be thursday follow quarterly earning beat view commentary imply reduction gross margin impact profitability netapp report fiscal third quarter earning beat top bottom line do outlook current quarter netapp however expect gross margin decline modestly current quarter cut money need operate expense reduce profit netapp share have tumble more point end regular session close stock market today ibd take netapp share plunge day move average hold positive ibd composite rating possible relative strength rating check ibd tech leader feature get broad idea top tech stock netapp deliver solid quarter believe largely line guide flattish gross margin weigh share term give high expectation write oppenheimer analyst ittai kidron research note client netapp be second largest company datum storage industry dell emc part dell technology dvmt company have undergo product transition industry trend move chip base flash storage cloud compute newer form networking sign free ibd newsletter market prep tech reportrbc capital market analyst amit daryanani maintain sector perform rating netapp price target gross margin softness be largely product segment reflect discounting activity write research note related earning calendar analyst estimate stock watch
8,NTAP,datum storage networking company netapp ntap be set report quarterly earning market close wednesday time market transition consensus estimate be netapp report revenue year period consensus estimate adjust earning be cent share fiscal third quarter rbc capital market analyst amit daryanani research note monday maintain sector perform rating netapp price target netapp share add close stock market today ibd take netapp be fight regain day move average hold ibd composite rating possible relative strength rating check ibd tech leader feature get broad idea top tech stock netapp beat analyst estimate top bottom line do outlook report fiscal result month netapp be lead provider datum storage networking management solution company have undergo product transition industry trend move chip base flash storage cloud compute newer form networking related earning calendar analyst estimate stock watch
9,NTAP,stock skid friday open nasdaq erase gain week disappointing march job report uptick trade dispute china nasdaq composite drop start bell apple aapl fall fang stock tech leader post early loss boee ba caterpillar cat goldman sachs gs joined force help drag dow jone industrial average fall biotech incyte incy post widest loss nasdaq stock dow head friday open week day advance have gain nasdaq composite hold advance index show support day move average week face test resistance day line nonfarm employer add worker march labor department report be third february new hire more new worker project economist consensus unemployment rate hold steady vs expectation dip bright spot average hourly earning rise vs increase february line estimate market friday have ear further development trade dispute china threaten additional penalty late thursday china say early friday plan stand firm cost dow boee goldman caterpillar fall more boee national aeronautic space administration announce plan delay person flight boee capsule originally schedule november late dow peer merck mrk open decline drugmaker announce melanoma treatment epacadostat fail meet target phase clinical trial merck have jointly develop epacadostat incyte incyte share collapse early trade apple post modest loss news report say southern california district court depose chief executive tim cook june testimony be part qualcomm qcom suit allege iphone maker used inaccurate information provoke regulator investigate qualcomm investor be also expect update point apple capital return strategy include boost buyback dividend apple stock be set third straight open back day move average nearly week follow day advance qualcomm share slip datum storage gear maker netapp ntap re-cover loss premarket trade open fractional gain late thursday sunnyvale calif base company approve additional buyback company share double quarterly dividend cent stock be october testing support just early march high xilinx xlnx shed open jpmorgan downgrade stock underperform neutral lower price target loss send share day move average fast trade ibd list micron technology mu pare loss aggressively recover support day line diving level open stock drop more heavy trade thursday analyst downgrade friday early action imply share open day move average china hong kong hang seng index reopen day holiday post gain shanghai exchange remain close holiday reopen monday japan tokyo nikkei slip end week gain europe stock market pare loss afternoon trade frankfurt dax dip london ftse narrow loss fraction be interested big picture here wrong rally tip prep next uptrend defense giant break peer target buy pointscrude oil price stir energy stock toothy name break trade chart pattern etch superb stock gain
