,ticker,content
0,NWL,investor issue blunt return sender message stamp com stmp friday day pc postage company deliver mixed bag result fourth quarter give outlook year fall view
1,NWL,stamp com stock plummet morning trading stock market today month low stamp com stock rise hit more year high october be trend
2,NWL,stamp com be only vendor approve postal service sell postage internet other be more diversify pitney bowes pbi endicia unit newell rubbermaid nwl
3,NWL,stamp com report earning share item cent cent year earlier period analyst poll thomson reuter have expect cent
4,NWL,revenue miss analyst view
5,NWL,report friday tim klasell analyst capital market note stamp com subscriber growth quarter slow company move away form less profitable photostamp business
6,NWL,company be seek subscriber higher lifetime value mean move away photostamp customer customer acquire enhance promotional marketing activity write
7,NWL,stamp com expect ep ex item vs
8,NWL,revenue be expect range decline growth
9,NWL,outlook fall short expect klasell
10,NWL,klasell say outlook reflect uncertainty economy affect primary customer
11,NWL,management note core pc postage revenue be expect increase write however concern small medium size business market macro environment cause management provide range similar size investor issue blunt return sender message stamp com stmp friday day pc postage company deliver mixed bag result fourth quarter give outlook year fall view stamp com stock plummet morning trading stock market today month low stamp com stock rise hit more year high october be trend stamp com be only vendor approve postal service sell postage internet other be more diversify pitney bowes pbi endicia unit newell rubbermaid nwl stamp com report earning share item cent cent year earlier period analyst poll thomson reuter have expect cent revenue miss analyst view report friday tim klasell analyst capital market note stamp com subscriber growth quarter slow company move away form less profitable photostamp business company be seek subscriber higher lifetime value mean move away photostamp customer customer acquire enhance promotional marketing activity write stamp com expect ep ex item vs revenue be expect range decline growth outlook fall short expect klasell klasell say outlook reflect uncertainty economy affect primary customer management note core pc postage revenue be expect increase write however concern small medium size business market macro environment cause management provide range similar size
12,NWL,newell brand nwl appoint director picked billionaire investor carl icahn board consumer good company announce monday newell portfolio span include rubbermaid container sunbeam toaster also speed plan revamp trouble new jersey base company be look slim focus brand attractive margin growth potential icahn own newell share agree vote favor newell nominee director upcoming annual meeting help newell fend activist investor starboard value be engage proxy war newell propose own director slate starboard tell shareholder earlier march newell be poorly run icahn say monday new board create significant value shareholder also note icahn enterprise have previously play similar role company such ebay ebay paypal holding pypl take interactive software get newsletter deliver inbox more info product service privacy policy term use streamline consumer face portfolio help company focus most important business reignite performance core business icahn say statement share newell brand pop premarket trade reversed shortly open stock market today close investor believe icahn deal ease pressure newell make more radical change have nearly halved value past year loss accelerate newell miss profit sale expectation november cut guidance tupperware brand tup drop icahn director include son brett icahn patrick campbell former chief financial officer mmm company andrew langham general counsel icahn enterprise courtney mather portfolio manager icahn capital monday news come just day icahn disclose buy minority stake newell brand say seek board seat be interested facebook furor hit future set break key supportthese stock have dip buy point don give themq earning join netflix twitter list stock expect growth new look base pattern count baseswhy count basis be crucial skill play long winning stock ralliescan great stock lead again form multiple basis sometimes yes
13,NWL,stamp com stmp longtime favorite short seller have left short lick wound stock soar base late then jump week end aug strong earning nearly monthly subscriber company provide internet base postage service consumer buy print postage computer stamp com
14,NWL,tech stock highlighted monday action stock market today apple aapl retook buy point nvidia nvda hit new high dow jone industrial average be track straight xpowershare qqq trust qqq rise spdr dow jone industrial average dium spdr spy hold gain chip lead upside sector fund vaneck vector semiconductor smh ishare phlx semiconductor soxx more apiece component stock graphic chipmaker nvidia rally more new high soxx have form cup handle potential buy point consumer staple biotech retail also advanced oil play slide west texas intermediate crude price fall barrel vaneck vector oil service oih spdr oil gas exploration production xop be unite state oil fund uso dip powershare db oil fund dbo be flat energy bank most gold play also lag midcap exchange trade fund be buy zone test day move average line vanguard mid cap etf vo find support pull back july intraday peak prior bounce day early last month yielded gain year old fund track crsp mid cap index have amassed asset biggest sector weighting june be consumer cyclical nearly technology financial service industrial accord morningstar inc top holding include fiserv fisv newell brand nwl western digital wdc index be market cap weight individual stock position tend be more top holding account less asset many other index provider crsp rank stock market cap then build index base set percentage instance top market be consider mega cap next make crsp midcap universe also minimize turnover allow holding be share index so company shift market cap be moved next index stage instead once vo have trail year gain vs benchmark index aug slightly outpace past year past year return vs market cap weight index usually lead lower turnover vo annual turnover be expense ratio be ultra low ishare russell mid cap iwr featured column also find support day line etf stage june manage small advance pull back day early july fund marked anniversary last month have attract track russell midcap index also market cap weight also have low annual turnover iwr carry expense ratio prologis pld zoetis zts fidelity national information service fis be top holding account just total asset iwr also lag ytd basis gain pull ahead benchmark index past year past year thursday pick first trust equity opportunity fpx ishare edge msci quality factor qual have find support respective day line related sector gainer loser equity play buy etfs watch own nvidia top hold dow hold oil reverse higher big dividend play
15,NWL,stamp com stmp provider electronic postage service individual business have most consistent track record growth ibd component own composite rating ibd highest possible thank solid fundamental strong price performance growth have be slow quarters
16,NWL,stamp com stmp be extend cup base buy point clear late also have be trading tight scratch new high past week result be follow buy opportunity week tight pattern buy point stock have edge
17,NWL,market rebound tuesday send pair midcap fund brink potential vanguard mid cap value voe extend streak tuesday close few penny shy flat base buy point clear entry mark third late last year respective gain flat base pattern fund launch august track crsp mid cap value index financial service account voe biggest sector weighting april nearly asset consumer cyclical be next technology utility top holding include western digital wdc newell brand nwl brand mtb keycorp key western digital make solid show tuesday bounce back day move average share have rally year big hold royal caribbean cruise rcl have sail ahead ytd be time high voe have underperform year rise vs benchmark index gain accord morningstar inc slightly ahead year period respective average annual return vs powershare midcap low volatility portfolio xmlv be also cusp potential case past flat base entry etf have form series flat basis past year biggest advance be month run late january xmlv launch february track midcap low volatility index top sector weighting be real estate financial service utility consumer cyclical renaissancere holding rnr jack henry associate jkhy westar energy wr be top holding june accord morningstar etf ytd year return have lag year average annual return be ahead advance move tuesday pick etfs be buy range respective entry spdr homebuilder xhb clear flat base buy point fifth straight advance spdr technology xlk follow monday rebound day move average line related etf watch pick buy range market rebound top pick etf watch offer chance buywhich key index fund buck rout stay buy point
18,NWL,stock open flat monday earning report commodity trade drive early action sunday critical election france nasdaq dow jone industrial average barely moved victory centrist presidential candidate emmanuel macron nationalist marine le pen france receive mixed reception world market market europe grow more widely mixed afternoon action london ftse be cac paris drop frankfurt dax fall market japan south korea heavy trading partner european union surge monday tokyo nikkei korea exchange kospi close gain china hong kong hang seng index rise mainland market dive shanghai composite drop shenzhen composite tumble dow industrial walt disney fall ahead fiscal second quarter report tuesday close merck mrk be fraction earning report season continue priceline pcln snap snap disney lead name set report week monday tyson food tsn fll sysco syy fall company narrowly miss analyst quarterly earning target rubbermaid sharpie maker newell brand nwl seal early gain first quarter earning revenue top expectation management hoist full year earning guidance consensus view raise quarterly dividend newell rally back week move average work consolidation china base online retail giant jd com jd surge open company first report accord gaap rule show turn profit year loss post increase revenue result be better expect stock be well extend february march rebound support week move average mallinckrodt mnk climb fiscal second quarter revenue earning growth best view stock be try form bottom deep year old consolidation petm express pet jump early action fiscal fourth quarter earning revenue clear expectation wide margin management raise quarterly dividend penny cent share thinly trade stock end friday buy range buy point month cup base straight path communication strp bolt higher open owner spectrum license announce new bid share unnamed bidder raise enterprise value telco widely assume be verizon vz straight path share end friday march low charter communication chtr dive announce have enter joint agreement comcast cmcsa better manage compete wireless service comcast share rise tribune medium trco jump sinclair broadcast group sbgi say buy television radio station owner deal value include debt share first century fox foxa fall company be report have end attempt bid sinclair acquire tribune be trading halt sinclair share ore mining stock be early pressure copper other commodity trade lower freeport mcmoran fcx bhp billiton bhp vale vale rio rio slip tribune mediatrco jump sinclair broadcast groupsbgi say buy television radio station owner deal value include debt share first century foxfoxa surge company be report have end attempt bid sinclair acquire tribune oil price drop month low last week backed early trade west texas intermediate be fraction hold just barrel loss have be stem comment saudi arabia oil minister khalid al falih bloomberg report expect production cap agreement organization petroleum export country partner hold second half be significant economic release schedule monday session federal reserve be motion st loui federal reserve bank president james bullard speaking et loretta mester president cleveland federal reserve bank schedule et speech gold rise ounce copper drop almost dollar be mixed vs yen euro bond rise trimming year yield basis point related snap nvidia disney chinese leader investing action planmacron beat le pen take french presidency boost europe
19,NWL,market salvage mixed finish monday nasdaq briefly touch new high apple aapl decisively break new high best session more month end flat nasdaq inched whisper higher end fraction new close high dow jone industrial rise fraction apple advance ibm ibm dupont dd post loss more preliminary datum show trading volume be mixed higher nasaq lower nyse compare friday quiet action monday open eye european market be mixed well behaved uncertain final round france presidential election go centrist candidate emmanuel macron macron have set market surge april surprise first round nationalist candidate marine le pen be heavily favore poll ahead sunday vote market appear have price macron victory friday earning merger company news drive wide range dramatic move monday apple rise best session feb take new high regulatory filing show warren buffett berkshire hathaway brka have amp stake stock end march end december earning news newell brand nwl soar lead rubbermaid sharpie maker report broad first quarter beat send share back week move average well right side month consolidation china base internet retailer jd com jd spiked top nasdaq report strong performance raise revenue guidance analyst target stock be extend open surge past june high close record high other china base internet play post strong gain monday include sina sina weibo wb bitauto holding bita biggest loss nasdaq be also drive earning nasdaq liberty global lbtya drop report preliminary first quarter result sunday tyson food tsn drop more low end fiscal second quarter earning stop just short analyst target merger news be also factor kate spade kate agree takeover coach coh coach share rise straight path communication strp vault bidding battle unnamed telco widely assume be verizon vz continue bidding war small owner spectrum license verizon be nearly flat tribune medium trco pop putt buy range buy point flat base sinclair broadcast group sbgi agree buy television radio channel owner deal sinclair share sank bearish reversal related stock buy range ahead earning investing action planmarriott earning due travel stock fly hotel rival buy
20,NWL,stock index extend modest loss late morning trade final round election france couldn deliver pop first round result april offer nasdaq composite slide lose nasdaq rise first minute trade briefly touch new high reverse lower blue chip dow jone industrial average trim volume stock market today be almost even friday pace result april first round french election lead gain april biggest day gain france cac index august market also enjoy boost day nasdaq rise rise volume surprise first round be tie emmanuel macron strong show macron victory sunday however be surprise cac fall show news be already baked price blue chip be mostly early monday dupont dd lead loser drop positive side apple aapl climb new time high drexel hamilton analyst say apple be early stage unlock potential set price target roughly friday close price morning biggest loser be tyson food tsn gap nearly earning miss biggest gainer be newell brand nwl gap company beat consensus view earning sale related do ibd tipp poll say trump tax cut plan be russia saudi arabia lose grip oil market
21,NWL,sear holding shld agree thursday sell craftsman tool brand stanley black decker swk retail giant also announce plan shutter unprofitable sear kmart store bid streamline chain sear department store business continue bleed cash chief executive edward lampert have turn selling spin asset keep company operate hedge fund manager also retailer chairman largest investor agree earlier week lend company say last month affiliate firm offer line credit sear also have be review diehard battery kenmore appliance brand potential sale look ahead continue take action adjust capital structure meet financial obligation manage business better position sear holding create long term value lampert say thursday statement investor cheer craftsman sale send sear much settle back gain stock have slump last year company continue post loss share new britain conn base stanley advanced recent action craftsman sale mark lampert third move last week prop beleaguered retailer fresh source funding term deal stanley pay close year company say statement thursday buyer also make annual payment new craftsman sale year craftsman have be part sear retailer acquire brand tool debut iconic sear catalog year later brand benefit surge power tool sale craftsman be eventually offer other retailer include costco wholesale cost ace hardware sear decline have take toll brand only craftsman brand product be currently sell outside sear agreement allow stanley increase craftsman sale untapped channel sear continue carry craftsman product store license be royalty free year then generate afterward accommodate future growth craftsman intend expand manufacturing footprint stanley ceo james loree say statement add job have increase manufacturing head count past year pledge support manufacturing come time president elect donald trump have criticize company shift job overseas ford motor cancele expansion earlier week say add position michigan instead craftsman deal come month stanley agree buy newell brand nwl tool business sear sale be latest long string move design generate cash ailing retail business hoffman estate ill base company raise form real estate investment trust buy more property more property sale be come week loan be secure company real estate operation anticipation future sale property help pay back debt also be close poor perform location effort continue thursday announcement company say shut kmart sear store reiterate intention squeeze more money real estate lampert also previously spun sear hometown outlet business land end clothing line still challenge remain company need raise total roughly make comfortably christina boni analyst moody investor service have estimate
22,NWL,newell brand nwl say transform operate company hold company consolidate business unit operate division sell number business part new strategic plan ramp growth focus portfolio share newell fall close stock market today newell stock be flat base consolidation be find resistance day line merger newell rubbermaid jarden complete april prompt strategic review brand portfolio include paper mate sharpie elmer mr coffee calphalon graco baby jogger number other consumer good name sale be vast majority tool business winter sport gear heater humidifier fan make operation consumer storage container business sale business have total net sale value say company release ibd take newell stock have be trading key day move average recent week find important see stock behave move average line find support hit resistance drive growth acceleration time more effective scale commercial operation increase investment brand capability delivery bigger better innovation broader set category newell brand chief executive michael polk say release add company same time expand margin significant cost synergy other saving combination company other initiative newell say hope complete sale asset first half proceed used accelerate pay debt
23,NWL,stanley black decker swk agree buy newell brand nwl tool business cash expand industrial cut equipment sale include irwin lenox hilmor brand newell say prepared statement wednesday consumer product company also own elmer glue mr coffee brewer graco baby stroller use proceed pay debt say stanley black decker say own statement deal add cent share earning first year close acquisition help broaden reach stanley black decker global tool storage business new britain conn base company say newell sale be part effort slim blockbuster merger jarden corp april deal create company sale push newell new category such sport outdoor product acquisition lead annual cost saving year stanley black decker say deal close first half say ibd take stanley black decker be rank third ibd build hand tool group trouble be sector rank group ibd follow best lot right now be toro co ttc composite rating isn sparkling earning rating be possible more information toro check here revelation have be impetus higher uptick stanley black decker share outset wednesday trading even be acquire company newell share tack wednesday close top climb have see year stanley black decker year moved close wednesday newell say month streamline portfolio turn business unit operate division company say time divest product include most tool division process sell other brand be underway newell hope wrap first half next year company say wednesday asset include voelkl winter sport brand heater humidifier fan business rubbermaid consumer storage operation newell say chief executive mike polk say jarden merger be announce be aim squeeze cost business year company also be move headquarters atlanta hoboken jarden have be assemble martin franklin used acquisition build company vast array brand
