,ticker,content
0,ORCL,hard think logmein logm underdog anymore scrappy tech firm take like cisco csco microsoft msft citrix ctxs pioneer remote access desktop handheld device cloud compute now turn gun target salesforce com crm oracle orcl zendesk zen xearly year triple size overnight become world top software service saas company base revenue thank merger citrix goto business company be well way year post acquisition target believe cash flow opportunity still justify much higher stock price jpmorgan analyst sterling auty write recent note client logmein disclose financial result third quarter jpmorgan be market maker logmein share base boston logmein offer software tool cloud connectivity collaboration secure device access remote customer support increasingly mobile global workforce offer product such join online meeting gotowebinar online seminar gotoassist online assistance lastpass online password management now logmein be point establish tech player yet small enough annual sale generate powerful growth thank part annual pretax profit margin annual return equity logmein rank company ibd enterprise software group servicenow now paycom software payc blackbaud blkb salesforce round top core market logmein be grow fastest be know identity business lastpass product offer simple secure access apps device datum be do especially well email interview investor business daily logmein chief executive bill wagner describe company leader serve small medium business logmein also count million individual customer well largest technology provider such dell technology dvmt hp inc hpq world biggest telcos verizon vz australia telstra familiar silicon valley growth name evernote dropbox key market logmein see long term growth opportunity be realm know unify communication collaboration have emerge traditional enterprise collaboration vendor such microsoft ibm ibm well traditional enterprise communication vendor cisco have make inroad other turfs prior goto merger popular join product be high growth collaboration market wagner say now have product gomeeting gotowebinar openvoice grasshopper essentially bolster annual communication collaboration sale order magnitude jpmorgan auty say logmein build successful franchise remote access then add several related high growth business core such web conference yet see room even more auty note logmein hit target cost synergy year ahead plan revenue synergy be already start kick example logmein consolidated datum center be successfully cross selling lastpass subscription goto customer software application auty see larger opportunity provide cloud platform company tie internet thing logmein spokesperson tell ibd company fledgling iot effort be center customer engagement support pit directly salesforce service cloud well oracle zendesk show quarterly result third quarter logmein logged triple digit earning revenue gain cash flow operation surge hefty revenue company also raise guidance profit free cash flow margin whole share briefly shot time high now sit peak undercut entry clear october still be year date have rise same period auty rate logmein stock overweight up price target february ceo wagner hint big ambition allude next generation cloud technology ibd take software stock cloud player have strong presence ibd list top growth stock find new idea investing watchlist just handful month later company acquire israeli firm nanorep artificial intelligence ai machine learn expert nanorep already make chatbot virtual agent more human hundred company world include intuit intu fedex fdx vodafone vod accord logmein acquisition accelerate logmein effort rapidly grow market digital customer service expect balloon customer service interaction wagner tell ibd nanorep deal build company history disruptive innovation be early innovator freemium business model structure rely organic growth early day company have be copy many other successful technology company wagner say model convert free user paid premium subscriber be successfully deploy join offer single click frictionless sharing screen show older rival cisco webex citrix gotomeeting gotomeeting be now part logmein portfolio launch october join be recognize fastest grow web conference product less year later logmein be now look harness nanorep ai expertise entire newly expand suite product offering goto belt company say support user conference minute month well roughly customer engagement voice minute year logmein target new market challenge await patent litigation resurface roil stock expert caution upstart splashtop teamviewer be move remote access support monitoring competition increasingly crowd space be expect drive price only strongest player likely survive still analyst expectation future growth have marched notwithstanding logmein formidable annual earning growth rate sale growth rate past year consensus estimate call annual earning share earning be see climb share accord zack investment research revenue be forecast ballooning be see rise logmein free cash flow key valuation metric have especially impressed industry analyst free cash flow margin be now expect be year expand more say matthew hedberg rbc capital market investor analyst await strategic road map wagner be set discuss event dec think event be catalyst management update longer term target hedberg write oct call logmein favorite idea rest year rate logmein stock outperform hike price target related ibd software stock be next cloud transition star adobe stock buy watch top ipos big small cap growth stock
1,ORCL,oracle share fall friday enterprise software company deliver quarterly earning late thursday top estimate give guidance current quarter fall short follow second quarter earning report market close thursday oracle share initially hit record high then reversed guidance be reveal cloud compute estimate forecast friday oracle share close stock market today period end aug oracle report revenue year quarter adjust earning cent beating consensus estimate third straight quarter most key metric come least bit better expect write canaccord genuity analyst richard davis research note client cloud growth guidance even adjust currency be bit less hope so stock trade davis maintain buy rating oracle raise price target view remain unchanged be oracle be logical relatively safer port storm fear arrive believe oracle be sufficiently inexpensive remain buy davis write ibd take read ibd big picture column day stay top market direction key indicator let know be aggressive move sideline oracle say total cloud revenue quarter rise year quarter current quarter oracle say expect cloud compute revenue grow range year quarter deceleration growth first quarter short consensus growth cloud compute guidance fall expectation due partly timing recognition booking be dependent customer deployment growth be also affected timing software contract renewal oracle say drexel hamilton analyst brian white maintain buy rating oracle price target oracle transition cloud have proven be arduous journey past year believe worst be white write rbc capital market analyst ross macmillan maintain outperform rating oracle price target rosenblatt security analyst marshall senk maintain buy rating price target oracle receive string encourage report just ahead earning related oracle soar cloud revenue skyrocket tech firm be corporate america biggest cash hoarder
2,ORCL,varonis system vrn see positive improvement relative strength rs rating monday rise exclusive rating investor business daily identify market leadership worst best score rating show stock price movement last week stack other stock database history reveal best stock typically have rs rating north begin new climb look best stock buy watch start herevaronis system be now consider extend buy range clear buy point fourth stage flat base see stock form new pattern follow buy opportunity week tight pullback day week line company see earning sale growth rise last quarter earning share increase revenue rise varonis system hold rank peer computer software database industry group progress software prg splunk splk oracle orcl be top highly rate stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
3,ORCL,oracle orcl report quarterly result market close thursday edge analyst view initially lift share enterprise software maker stock fall hour once company give guidance current quarter oracle report revenue beating consensus estimate fiscal first quarter end aug year quarter report adjust earning cent share beating consensus estimate cent oracle forecast current quarter issue conference call fall short midpoint estimate ep sale oracle predict earning cent cent share consensus wall street call earning cent share cnbc also say company predict revenue gain current view climb nearly share initially climb new record level aftermarket trading stock market today tumble more later session market close oracle share have hit record intraday high company receive string encourage report week gain momentum cloud compute expansion oracle say total cloud revenue quarter rise year quarter sustain hypergrowth multibillion dollar cloud business continue drive oracle overall revenue earning higher higher say oracle co chief executive safra catz prepared remark earning release largest category cloud compute business be software service revenue saas revenue cloud application business continue grow more twice fast salesforce com say oracle co chief executive release chairman larry ellison release say oracle announce world first fully autonomous database cloud service next few week base machine learn latest version oracle be totally automate self drive system do not require human being manage tune database say
4,ORCL,share enterprise software company oracle orcl flirted record high thursday company prepared report quarterly earning market close xoracle have be recharge year company gain momentum cloud compute expansion stock year oracle share be marginally trading morning trading stock market today stock hit record high wednesday oracle clear buy point monday oracle begin push aggressively cloud compute year negatively impact sale earning believe worst transition be write drexel hamilton analyst brian white research note client thursday white have buy rating oracle price target quarter report back june believe oracle be clearly demonstrate market company have establish formidable force cloud naysayer past few year be be proven wrong white write ibd take oracle break base base pattern previously have june oracle report earning stock gap straight earning inspire gap up price be store oracle report result fiscal fourth quarter june beat top bottom line robust growth emerge cloud compute operation analyst say beat come strong performance board fiscal first quarter consensus estimate revenue look oracle report revenue year quarter consensus adjust income be cent fiscal first quarter oracle have receive string encourage report just ahead earning related oracle lead top stock buy zone investing action planthese tech firm be corporate america biggest cash carve new high gain enterprise cloud software
5,ORCL,workday wday be buy point ahead enterprise software provider analyst day tuesday xworkday stock have shot big gain other software maker such servicenow now salesforce com crm pleasanton calif base workday be buy point share fall close stock market today analyst be cautious news come event provide pop analyst day coincide customer conference chicago stock use bit more time catch today valuation sound shocking shouldn stair step trading pattern be stock have moved ipo richard davis analyst canaccord genuity say note client company be more aggressive expect guide next year stock probably need quarter consolidate advance workday sell software human relation payroll other business function workday have expand human capital management software financial management software workday recently say plan move platform service paas market join bigger company such salesforce com microsoft msft oracle orcl ibd take ibd have wide range free lesson trading stock get start invest page microsoft azure brand cloud service be leader paas selling application software run cloud infrastructure workday be expect talk paas strategy analyst day paas be introduce way customer partner extend core service management have say have customer use case customer conference say ross macmillan rbc capital analyst report be look early indication success offering well thought company extend paas current user help drive adoption financial related trade desk expect digital ad growth chinavideo game stock head choppy water analyst esport armchair gladiator vanquish hulking nfl player
6,ORCL,share database software giant oracle orcl tumble tuesday follow quarterly earning report reveal transition cloud be progress slower expect couple outlook fall short view oracle stock plunge close stock market today fall day day move average oracle report quarterly earning market close monday beat earning guidance oracle be help lower tax rate meet expectation revenue fiscal third quarter company however give guidance current quarter point slowdown growth result generally underwhelm most relevant metric credit suisse analyst brad zelnick say research report client fiscal guidance be similarly disappointing get newsletter deliver inbox more info product service privacy policy term usezelnick maintain outperform rating oracle lower price target oracle be undergo multiyear transition traditional premise software licensing maintenance support model drive cloud subscription oracle begin push aggressively cloud compute year negatively impact sale earning keybanc capital market analyst garg downgrade oracle rating sector weight due oracle cloud transition take longer expect oracle be grow slower rate smaller base cloud competitor garg write note client oracle peer microsoft msft amazon amzn salesforce com crm be grow faster oracle mean be difficult oracle catch cloud peer garg say amazon microsoft be largest provider cloud service amazon share climb close microsoft be finish share salesforce com tick january oracle share fall follow report amazon salesforce com be develop alternative oracle computer database technology rbc capital market analyst ross macmillan maintain sector perform rating oracle price target further canaccord genuity analyst richard davis maintain buy rating oracle price target oracle have be challenge stock keep buy rating only few quarters firm put confuse result davis write note oracle have thousand brilliant hardworking employee be just constantly say everything be awesome result be middling quarter lose credibility also be interested google reveal cloud revenue first time amazon still topsamazon microsoft google cloud compute pricing outlook brighten
7,ORCL,coalition company jockey amazon com amzn lucrative pentagon compute contract be far bigger previously report signale add heft effort keep work go exclusively world largest cloud service provider sap america sap general dynamic gd csra unit red hat rht vmware vmw be least company have coordinate opposition government award contract single provider accord email obtain bloomberg news amazon cloud service business lead market be widely perceive be front runner most active member coalition try fend amazon cloud be oracle orcl microsoft msft international business machine ibm accord person familiar matter other company involved include dell technology dvmt hewlett packard enterprise hpe bloomberg have report sap other aren consider top contender contract company be band together fight pentagon plan award single bidder re concern disrupt establish business model obtain military contract pentagon announce winner take competition multibillion dollar cloud service contract march have pause bidding process project reason be transition massive amount defense department datum commercially operated cloud system government have say still plan award contract september representative sap red hat csra vmware decline comment interest be widespread technology company press pentagon change procurement approach indicate importance lucrative contract provider be struggle catch amazon cloud same be true firm sell software other technology federal agency company have begin conversation jointly bidding contract know joint enterprise defense infrastructure jedi source say pentagon have tap dana deasy be new chief information officer oversee contract member coalition welcome move source say dana deasy be highly professional seasoned cio lead dod technology effort distinction oracle senior vice president ken glueck say statement deasy comment house oversight government reform committee pleased coalition source say didn address jedi contract specifically talk importance used multiple cloud provider deasy previously work global chief information officer jpmorgan chase jpm time company make major investment transition public cloud hold similar position north american unit general motor gm tyco international siemens siegy north american operation deasy leadership department gradually consolidate disparate network datum center cloud effort manage enterprise level pentagon spokeswoman heather babb say statement monday advance agenda tech ally have be strategizing email phone ve court trade mainstream medium lobbying lawmaker defense official white house bloomberg have report competitive cloud coalition have notch win house committee charge federal spending approve defense department funding bill month halt funding contract pentagon submit strategy sustain competition use multiple cloud service provider be third attempt lawmaker influence process full house be schedule take spending measure week
8,ORCL,nasdaq lead stock rebound briskly wednesday open positive currency move china central bank trigger gain global market winnebago wgo walgreen boot wba be early leader netflix nflx facebook fb take early lead big tech name oracle orcl stock future fall hard earning news st century fox fox walt disney also boost early trade disney increase bid take fox nasdaq composite jump fox micron technology mu lead nasdaq micron report result today close dow jone industrial average open higher disney boee ba stake early lead general electric ge fall bottom index general electric open lower news walgreen replace ge dow jone industrial average begin june walgreen surge stock be deep long term correction climb start bell fox lead stock starbucks sbux oracle post list deepest loss dow close tuesday away retake level flash sign support day move average nasdaq composite hold well day line nasdaq be just recent high be eyee mark update story other market coverage visit stock market today currency be central wednesday early action global market person central bank china hoist reference rate high end economist expectation bank set rate link yuan dollar surprise move halter yuan steep day slide also ease global concern china devalue yuan allow stock market suffer consequence response country trade standoff china stock market respond kick mixed trade solid finish shanghai composite rise hong kong hang seng index jump remain week global currency react pboc move uptick confidence euro rise dollar dollar gain vs yen government bond run up germany pause lead investor japan send tokyo nikkei volatile session include early selloff follow rush investor snap devalue stock europe market picked positive tone be high afternoon trade london ftse defend gain afternoon trade miner glencore home grocery delivery leader ocado top ftse frankfurt dax trade cac paris narrow gain global financial market also have eye sintra portugal federal reserve chairman jerome powell be joined panel discussion european central bank president mario draghi haruhiko kuroda governor bank japan discussion reportedly begin et china base stock be again focus early trade biggest name baidu bidu alibaba group baba netease nte jd com jd be little change more volatile play huya huya bounce take dive tuesday iqiyi iq pop look grab back tuesday loss pullback be positive investor look entry point china base tech ipos st century fox vault higher disney agree raise bid company asset share lift total value cash stock deal fox agree deal give fox shareholder disney ownership follow transaction fox share end tuesday flat base buy point disney share be early action stock be mired month consolidation comcast cmsa earlier bid be top disney new offer rise early trade winnebago hitch open gain report forecast earning revenue fiscal third quarter jump earning surprised analyst expect decline winnebago share remain week move average aim start right side month consolidation fedex fdx slip fiscal fourth quarter report oracle drop report fiscal fourth quarter result netflix power start trade stream entertainment titan ram nearly higher fall market tuesday lift trio analyst upgrade gain point ibd leaderboard stock open more stock buy point place profit take zone facebook open higher gain moved stock back buy range handle buy point related stock trim loss trade war salvo rattle global market dow sputterschina trade loom earning investing action plan miss explosive china stock here get
9,ORCL,amazon amzn microsoft msft alphabet googl own google dominate cloud compute platform battle company seek strengthen respective position alliance other major tech firm next year market researcher idc predict think ll see top make very interesting alliance maybe even acquisition idc chief analyst frank gen tell investor business daily add be really interesting year gen say look forward see company ibm ibm oracle orcl salesforce com crm facebook fb position trio major cloud player scale say used cloud employ third party digital service internet be next major compute platform wake client server age major cloud infrastructure provider have amassed compute resource big datum capability other company match gen say competition big create opportunity other major tech company extract favorable term cloud resource gen say deal make likely lead partnership cloud firm be name prefer provider such arrangement adobe system adbe have microsoft gen liken next year expect cloud market activity game musical chair end everyone have find seat new marketplace say feel entire industry be realign fact company want beat other so badly ibd take fang group closely watch internet stock be make facebook amazon netflix google parent alphabet latest news group visit ibd page fang stock drive factor realignment be cloud compute infrastructure provider be become platform artificial intelligence service gen say tuesday idc release annual prediction year ahead information technology idc predict ai war be loom major public cloud service provider offer ever expand variety ai power service research group forecast enterprise digital transformation initiative use artificial intelligence service idc also predict enterprise spending cloud service infrastructure be more excess enterprise use multiple cloud service platform related microsoft talk artificial intelligence cloud quantum computingoracle cloud compute guidance raise concern growthwhy cisco be good fit google push cloud compute
