,ticker,content
0,PCAR,dow future rise ahead tuesday open lag nasdaq market gather face double dose resistance caterpillar cat verizon vz unite technology utx stir dow future early crude oil price gain investor dig session long list earning result dow future rise caterpillar forge strong early lead premarket loss traveler trv mmm limit gain future advanced nasdaq future narrow early gain paccar pcar lead heavy loss incyte incy biogen biib temper advance dow have logged straight decline nasdaq have slip past session past result left index back resistance day move average decline also push dow negative territory year dow industrial end monday year carry decline nasdaq hold gain dow push past day line well positive territory year order put market struggle uptrend back track get newsletter deliver inbox more info product service privacy policy term usecrude oil price edge higher benchmark crude just barrel put price just thursday month high global oil supply continue tighten bloomberg report earlier month organization petroleum export country be target crude oil price europe brent benchmark busy day economic news be bury weighty earning calendar stock market today february case shiller home price index march new home sale national association realtor april consumer confidence estimate conference board richmond federal reserve regional manufacturing index be due et monday hour report session include result alphabet googl barrick gold abx chicago bridge iron cbi name trade narrow range early tuesday hold move less generally strong first quarter report google parent alphabet whirlpool whr be standout early tuesday miss first quarter analyst target company announce plan sell brazilian compressor unit early report tuesday stir more activity germany base software giant sap sap marshaled advance drugmaker eli lilly lly hustle higher oilfield equipment leader weatherford international wft scramble gain dow future caterpillar easily lead crank gain immediately follow earning report verizon be next line also earning counter early gain be traveler drop respectively follow quarterly result caterpillar report strong double digit sale increase north america asia pacific region first quarter drive earning revenue well expectation low end earning guidance be full consensus number caterpillar share consolidate late january end monday early april low back support day move average verizon jump adjust first quarter result top target report much larger anticipate drop subscriber quarter verizon share have be consolidate week line support mid march also dow unite technology muscle more destroy analyst first quarter sale earning target management increase range full year earning guidance shift mid point consensus view unite technology share have be trading tight week bottom month consolidation lockheed martin lmt angled report first quarter result earning revenue easily top expectation quarter company hoist full year earning outlook well consensus target lockheed share end monday bit more buy point week cup base software designer cadence system cdns bang premarket gain san jose calif company report strong first quarter beat broad increase second quarter full year guidance stock be january high monday close bell new oriental education technology edu chalk gain ahead tuesday open chain language test preparation center report earning gain rise revenue fiscal fourth quarter stock have be consolidate mid january end monday january high new oriental peer tal education tal jump tuesday premarket session lead ibd list premarket trading tal report fourth quarter result thursday stock be work sixth week possible cup base pattern earning news ibd stock casa system casa drop nearly premarket action company late monday announce share stock offer stock be sixth week consolidation mid march high trading december ipo price be interested big picture stock index struggle cross key levelwill stock market rally continue watch lockheed wynn buy point earning due action plan
1,PCAR,meritor mtor have misfortune feb just market swung correction induce sell be session troy mich base company report fiscal first quarter earning report be blowout earning quarter analyst consensus view revenue growth accelerate
2,PCAR,cummin cmi share rise truck engine giant announce wednesday have buy vehicle battery system business british sustainable technology firm johnson come trucking industry move alternative fuel truck most notably vaunted tesla semi be unveil november press conference tesla tsla ceo elon musk nikola motor also announce tuesday be build hydrogen electric semi truck factory arizona last auguest cummin unveil aeo demonstration class truck mile range cummin rise finish stock market today hit intraday share be still range buy point shallow cup base clear early january fortune company have take johnson battery system specialize high voltage automotive grade battery system electric hybrid vehicle cummin johnson plan work together help develop high energy battery material commercial heavy duty application newly acquire subsidiary be europe largest lithium ion battery system supplier have employee addition johnson battery system technical expertise customer base market be more rapidly adopt electrification further position global energy storage supplier cummin ceo tom linebarger say combine electrification capability portfolio diverse power solution global network cummin be uniquely position lead electrification ibd take read ibd big picture column day stay top market direction key indicator let know be aggressive move sideline also say company be aim offer full range quality product customer regardless want use electric diesel natural gas other energy solution deal be seal undisclosed sum wednesday be see johnson ceo robert macleod enable grow position high energy battery material particularly heavy duty application apply chemistry expertise develop new product give customer ultimately consumer performance demand electrically power vehicle macleod say cummin acquire brammo know design develop low voltage battery pack mobile stationary application last october other industry lead name be have mixed day oshkosh osk fall spartan motor spar sank paccar pcar lose commercial vehicle group cvgi retreat navistar international nav dip also be interested tesla receive largest order big rig semi truck upsis tesla stretch credibility semi truck roadster claim automotive industry news
3,PCAR,here be investing action plan wednesday need know investor come day federal reserve conclude day policy meeting whole bunch trucking stock trucking fleet operator hunt jbht truck maker navistar nav be hover buy point trucking sector stock movement
4,PCAR,tesla tsla now truck maker be dent truck make stock newest vehicle snap interest biggest retailer long haul transporter xcummin cmi paccar pcar navistar nav tumble friday big reveal tesla electric tractor trailer late thursday tesla big rig call semi be see demand industry giant wal mart wmt tell cnbc be plan test new heavy duty tesla semi have preorder operation canada trucker jb hunt jbht announce reservation multiple tesla semis hour truck splashy debut describe semi industry change technology not only truck save money fuel cost promise have self drive truck eventually also reduce labor cost tesla say autopilot function be standard semi truck semi reservation cost pop even truck win go production vehicle deliver mile range single charge share cummin top manufacturer diesel natural gas engine commercial truck gap close stock market today truck maker paccar give diving day line navistar lose tesla finished higher jb hunt shed wal mart lose ibd take truck part heavy duty group friday rank strong industry group track ibd find lead stock group check ibd stock list analyst friday be not unanimously blow away tesla semi reveal rob wertheimer equity analyst melius research say spec price matter most truck buyer launch be little light area so far price have be disclose wertheimer add note tesla ambitious truck bid come already intense interest other maker car truck cummin unveil heavy duty electric truck august market watcher describe beating tesla punch volkswagen vlkay plan roll electric truck bus few year volkswagen affiliated heavy truck maker navistar be target debut medium duty electric truck north america late early japanese arm german automotive giant daimler say last month introduce electric heavy duty truck related tesla share jump rollout big rig truck make splashy debutmusk latest venture tunnel traffic problem
5,PCAR,dow industrial snap higher tuesday rise lead rebound week slouchy open move index new high index be already nearly halfway mark level clear oct nasdaq also gain ground apiece neither succeed take back monday loss leave lower so far week steel alloy home furnishing chip score many tuesday best gain appliance commercial loan telecom service be bottom list blue chip earning report generate bulk day news fang stock also hold end bargain neflix nflx step more just pricing offer high yield bond help fuel ambitious capital expenditure plan stock be still buy range buy point cup handle base mmm caterpillar cat easily outpaced peer dow industrial company report better forecast third quarter result megacap surge leave buy point cup base caterpillar share spiked heavy trade new high stock be also extend july rebound week support dow polaris pii deliver day surprise earning news soar big third quarter beat report earning growth accelerate single digit quarter sale growth accelerate third straight quarter big gap move send share right side complex month consolidation share fiat chrysler fcau surge enter buy zone rebound test support week line lower expect number earning revenue line third quarter name lose most ground tuesday include whirlpool whr commvault system cvlt paccar pcar loss related earning fuel dow record high fang play buy zonelockheed grow leap bound sale slow boee grubhub nike glaxo amgen lead investing action plan
6,PCAR,paccar pcar have relative strength rs rating upgrade tuesday welcome improvement still better score prefer see ibd proprietary rs rating measure technical performance used worst best score indicate stock price action trail week compare rest market decade market research reveal best stock typically have rs rating early stage move see paccar continue show renew price strength hit benchmark look winning stock try simple routinepaccar be not currently offer proper buy opportunity see stock go form promising consolidation spark new run paccar see earning sale growth rise last quarter earning share increase revenue rise paccar earn rank peer truck part heavy duty industry group oshkosh osk china yuchai international cyd cummin cmi be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
7,PCAR,xstock open thursday brutal selloff technology stock continue nasdaq drop moved dow jone industrial average only trade dow industrial caterpillar cat boee ba pace advancer gain early trading apple aapl joined nike nke visa bottom early morning performer apple drop nike decline visa fall truck manufacturer paccar pcar moved remain stick day line downside grocery store kroger kr plummet cut full year guidance earning result toy maker mattel mat be cut neutral da davidson send share lead stock stock market today tesla tsla nvidia nvda fall sharply be pare loss maker electric automobile drop reach new record high wednesday graphic chip maker be trading time high decline just thursday morning fang stock be hit hard early thursday selloff technology name continue earnest facebook fb amazon com amzn fall almost netflix nflx decline amazon com have price target raise nomura instinet google parent alphabet googl be downgrade hold canaccord genuity have concern future growth share fall stock attempt cling day move average china stock also sell commerce giant alibaba baba jd com jd fall respectively gamer netease nte trade action ibd be predominantly negative regional bank be rare bright spot citizen financial cfg east west bancorp ewbc moved apiece downside yy yy lag decline grubhub grub tal education tal momo momo fall more related amazon pt raise alphabet grubhub stock dife slash profit outlook consensusdow jone industrial average dow stock news stock news quote facebook amazon netflix google
8,PCAR,major market average turn tightly mixed recover early morning lows nasdaq composite nudge break even line dow jone industrial average wrestle loss less dow industrial exxon mobil xom johnson johnson jnj pace early advancer rise respectively early trading blue chip index big laggard be wal mart store wmt fall amazon com amzn announce be reduce prime membership fee several low income consumer group american express axp moved apple aapl early jump dissipate leave stock iphone maker announce own digital debit card late monday call apple pay cash truck maker paccar pcar chip designer advanced micro device amd set pace gain respectively paccar receive upgrade buy neutral ub downside fastenal fast drop signet jeweler sig follow loss analyst action stock market today paypal pypl dip have price target raise instinet electric automaker tesla tsla trade higher pacific crest security hike bullish scenario price target lead stock fang stock netflix nflx amazon moved respectively meanwhile square financial sq jump late monday rv maker thor industry tho report strong quarterly earning sale result surge higher share be build right side potential base early tuesday hd supply hds report weaker expect quarterly profit cause share plunge industrial distributor also announce sell waterworks division private equity firm clayton dubilier rice action ibd be mixed early trading tuesday upside medidata solution mdso jump fiber optic play lumentum lite rise chip stock ichor holding ichr nvidia nvda rise respectively downside nutrisystem ntri mercury system mrcy fall more related tesla see rise model bull case puma microchip ulta price target hikeddow jone industrial average dow stock news stock news quote facebook amazon netflix googlehd supply sell waterworks earning miss
9,PCAR,compute graphic chipmaker nvidia nvda thursday say be collaborate global truck manufacturer paccar pcar develop self drive truck nvidia partnership paccar come day chipmaker announce alliance auto part supplier bosch develop mass market self drive car technology nvidia also be work self drive car volkswagen vlkay audi daimler ddaif mercede benz tesla tsla paccar be explore automate drive system be excited collaboration artificial intelligence nvidia have deliver so far paccer ceo ron say statement bellevue wash base paccar have develop proof concept self drive truck sae level capability build nvidia drive px technology level capability be defined system drife paccar make truck kenworth peterbilt daf brand intel intc world largest chipmaker also hope be player autonomous vehicle monday intel announce intent buy mobileye mbly maker advanced driver assistance system ibd take nvidia stock rank ibd list top perform growth stock stock have fall key support level bearish trading action last month week cup base buy point fail nvidia stock rise stock market today nvidia stock have trade day move average bearish action feb paccar stock edge cent thursday share have be trading sideway breaking week tight area technical buy point jan related nvidia forge alliance bring self drive car masseswhy analyst say intel mobileye deal be defensive drive
