,ticker,content
0,PG,unilever share tumble early thursday consumer good giant report sale third quarter be weaker expect rival nestle nsrgy warn restructure cost weigh profit margin unilever owner iconic brand such dove soap ben jerry ice cream say sale grow year analyst have project sale gain anglo dutch company cite competition smaller more nimble player well natural disaster global market weaken sale share dive close stock market today tumble day move average unilever technically be back buy range july high volume move day make investor wary swiss rival nestle grow sale caution thursday restructure charge swiss franc eat profit margin report say unilever reject bid package food giant kraft heinz khc earlier year analyst tell reuter lower ad promotional spending then have hurt sale meanwhile consumer giant procter gamble pg report friday investor be brace tepid result analyst consensus view be ep vs year revenue less accord zack investment research narrowly win proxy fight last week vs nelson peltz be challenge result peltz run trian fund management want dow component focus more innovative brand less legacy core product nestle share dip flat base buy point thursday procter gamble shed undercut buy point kraft heinz lose hit lowest level early consumer good sector have cool year taste swing away largest player niche alternative brand grocery store be adopt more upscale private label good putt squeeze brand food consumer product related honeywell spin unit pfizer mull consumer sale peltz proxy fightretail commerce news stock watch
1,PG,stock market love report st century fox foxa hold now inactive talk sell studio tv international asset walt disney enthusiasm also serious skepticism surround possible union mouse fox not just analyst fan benefit deal be immediately visible disney gain powerful tentacle movie studio century fox add slew title already enormous library content disney studio arm have have sheen invincibility recent year hit machine crank flick flick envelop fox blockbuster franchise alien planet apes surely wouldn hurt wolverine fan be happy have fox man reunite marvel family disney finger crossed crossover action disney be arguably best content engine world view foxa potentially offer opportunity fill key gap write rbc capital market analyst steven cahall acquire think resultant be global content king age powerful stream platform netflix nflx amazon amzn disney be potentially better position compete arsenal intellectual property bud stand alone stream service doesn even go live ll recall mouse deliver couple not insignificant blow netflix library decide pull movie platform roster netflix part lure away scandal creator shonda rhime disney own abc studio even netflix plan content spending have contend deep bench pixar marvel lucasfilm walt disney animation abc studio share disney close stock market today rally monday fox add surge yesterday netflix fall amazon edge ibd take search even more stock actionable trading opportunity check stock list page find stock buy zone stock hit new high sector leader tech leader ipo leader more barclay analyst note acquisition fox studio tv asset help disney stream effort line bolster rbc recent argument disney studio theme park segment be strong enough continue liking stock concern espn subscriber growth struggle greater medium network segment eyebrow raise then come idea disney avoid more tv trouble cowen doug creutz not bother hide incredulity say believe be serious report deal make sense marvel fan see less use bring man fold investor be bullish disney tv asset write so disney want increase exposure tv disney already have plenty scale so add scale isn helpful make business more difficult manage iger successor be fox company left just broadcast cable news sport network be arguably worth lot less be current state world content be get more valuable network be be devalue seem be suicide say creutz movie buff have own concern term creative output movie site collider note disney apparent aversion rate film affect century fox have release more adult flick such logan amy schumer comedy snatch disney purchase fox happen fox slate do stop make deadpool do try make pg so fit rest marvel studio brand ask collider writer matt goldberg expect more chatter fox disney earning call wednesday thursday respectively related key fact disney rogue move mean netflix content become king wear crown
2,PG,honeywell hon confirm tuesday split noncore unit separately trade company end next year hold big aerospace asset meanwhile pfizer pfe say sell spin consumer health unit procter gamble pg shareholder vote bitter proxy fight consumer product giant activist investor nelson peltz honeywell say spin home adi global distribution business transportation system company worth combine confirm monday report noncore asset spinoff honeywell keep aerospace holding call activist investor third point divest honeywell share fall morning trade stock market today rally market open honeywell rally much monday reverse close honeywell be buy range buy point pfizer announce be explore strategic alternative consumer health unit include full partial sale spinoff dow component say end take action counter unit have sale last year marketing centrum advil other product pfizer share rise intraday move just buy point shallow cup handle base face high stake shareholder proxy vote let activist investor nelson peltz seat board director peltz trian fund own stake maker tide detergent crest toothpaste many more peltz want reorganize unit beauty grooming health care fabric home care baby feminine family care dow component climb intraday related honeywell expect spinoff fall short investor plange shake top exec more perk fall cost cut drive
3,PG,week share many electrical utility be book best gain year san francisco base pg pcg collapse horrific sell report down power line have cause deadly wildfire rake northern california xregulator ask company preserve evidence related fire bloomberg report friday say evercore isi
4,PG,stock shake midday dip climb record high afternoon trading monday dow jone industrial average small cap lead market dow jump record high intel intc break new high procter gamble pg climb back day move average be try climb back buy point jpmorgan jpm add bit cushion entry home depot american express axp make new high be nasdaq small cap russell continue emerge lead index rise index also make record high volume be run higher same time friday winner lead loser nyse nasdaq more dozen stock rise buy point today trading be note earlier edition stock market today also breaking be checkpoint software chkp internet security company climb past buy point cup handle base volume tracking more average israel base checkpoint be stock security software industry group ibd composite rating group rank merit medical system mmsi break flat base surge past buy point heavy trading maker disposable medical device cardiology radiology be strong medical product industry group boast fewer stock composite rating better be company group rank top innoviva inva break cup handle rise past buy point volume be meek biotech paylocity break choppy base buy point provider cloud base payroll human resource software draw volume only modestly average paylocity have be grow earning robustly past few year go loss fiscal year end june profit penny share cent cent share liveperson lpsn climb buy point flat base volume double usual amount provider messaging technology company customer post loss last year be expect earn cent share year related gm vow have electric vehicle tesla model datum duewhy be top fund manager buy medical stock casino stock pressured mass shooting mgm delay open macau hotel
5,PG,major index climb record high friday afternoon cisco system csco salesforce com crm break basis latest series breakout big cap stock nasdaq rise index entirely wipe away sharp loss see thursday morning dow jone industrial average be big drag procter gamble pg household good giant gap heavy trading sale september end quarter miss estimate small cap russell add try shake modest slump volume be run higher nyse lower nasdaq compare same time thursday breadth be stronger nasdaq winner lead loser nyse advancer be more big cap lead stock break today trading cisco system gap past buy point cup handle company pioneer internet networking technology be acquire acquire perspica machine learn operation analytic company company be biggest stock nasdaq salesforce com break base base formation clear buy point volume be only average diminish force salesforce com have market capitalization be leader customer relation software ep growth have be uneven past quarters analyst expect rise earning october end quarter america movil amx giant mexico base wireless service company break cup base buy point volume be more triple average america movil report earning tuesday insurance stock get boost yesterday traveler trv earning be again prudential financial pru rise buy point cup handle prudential big cap more market value see slow trading brighthouse financial bhf surge past entry cup handle base volume also be weak base be first brighthouse form go public aug provider life insurance annuity report result nov jump yield year treasury note help bank advance broadly also financial regional bank break cullen frost banker cfr first busey suffer soft volume first financial bankshare ffin top entry active trading abilene texas base bank beat profit estimate related apple cisco edge gop pave way tech tax breakfang stock news quote facebook amazon netflix com earning beat billing outlook view
6,PG,dow industrial rally strongly thank ibm ibm turnaround johnson johnson jnj several other blue chip earning general electric ge be big miss adobe system adbe also be big winner bullish outlook netflix nflx hit new high boom subscriber growth ipos be hot dow industrial rise week fuel ibm predict return revenue growth johnson johnson unitedhealth unh be also notable blue chip contributor general electric crash big ep miss have little impact price weight dow rise nasdaq help senate first step big tax cut adobe system soar outlook paypal pypl beat netflix pull back record high high subscriber gain unite airline ual crash carrier have few answer question few new ipos impressed internet television network netflix cheer investor third quarter subscriber addition trounce expectation earning growth miss view sign net new stream subscriber third quarter beating wall street target december quarter netflix expect add new subscriber edge consensus view end september quarter stream subscriber worldwide netflix share hit record high tuesday morning sank week remain buy range related netflix stock fall third quarter subscriber beatadobe system share surge record high maker digital medium marketing software announce upbeat sale earning target fiscal san jose calif base adobe be target adjust earning share year year sale wall street be modele related adobe system rocket outlookibm share soar tech icon report quarterly earning beat estimate indicated sale growth return first time more year ibm do not provide formal quarterly guidance management indicated revenue snap quarter string revenue decline related ibm get price target hike earning report outlookgeneral electric earn just cent share far cent expect revenue rise more expect organic industrial revenue dip industrial operate margin shrank ge power business be big drag industrial cash flow operate activity plunge adjust due weakness power business ge slash full year earning cash flow guidance raise concern dividend cut ge share fall soon friday open close related ge earning miss badly cash flow dive add dividend fearsunited airline tumble more management carrier third quarter earning call be unable provide detail longer term plan drive profit lack clarity lead analyst believe carrier be walking back target outlined last year grow earning higher expect cost be also concern drop fare compete ultra low cost carrier morgan stanley ms top estimate help strong stable wealth management business rival investment bank goldman sachs gs also beat analyst raise concern result be help more volatile capital intensive line business goldman trading result continue struggle morgan outperformed other big bank morgan stanley rise retake buy point goldman sachs climb dow component johnson johnson top wall street view report adjust earning share sale pharmaceutical sale jump worldwide medical device revenue rise miss estimate abbott laboratory narrowly beat expectation early wednesday lion share beat come abbott establish pharmaceutical diabetes care cardiovascular neuromodulation product share rise clear buy point hit record high abbott advanced also time best related dow component pop top view pharma strengthqudian qd china base online credit firm backed alibaba baba rise debut raise pricing expect range singapore base online gaming company sea backed chinese internet giant tencent tcehy edge higher debut raise upsized ipo mongodb mdb provide open source database software platform business pop ipo top just raise price range qudian be profitable sea be poise start make money related sea upsized ipo raise millionmongodb price high qudian strong debut play new ipostop semiconductor industry player deliver generally upbeat report september quarter past week taiwan semiconductor manufacturing tsm beat target third quarter sale earning guide higher current quarter sale maxim integrate product mxim beat wall street target earning sale be tad short however maxim guide earning sale december quarter be well view chip gear vendor lam research lrcx beat view guide higher current quarter rival asml asml beat sale earning target third quarter revenue guidance be light unitedhealth group unh share vault record high tuesday then keep climb insurer report earning growth cent ahead estimate show enviable strategic position have exit obamacare exchange unitedhealth say benefit president trump executive order make low cost plan more widely available amazon com amzn want enter retail prescription business analyst say unitedhealth be ideal partner company signale willing meanwhile anthem antm insurer follow example unitedhealth announce broaden offer include pharmacy benefit management anthem share near buy point news dump express script esrx utilize cvs health cvs process retail distribution start related anthem jump prescription business amazon speculation signal openness amazon partnership earning beatpaypal report september quarter profit revenue top view forecast current quarter sale estimate send share commerce payment processor paypal say adjust earning be cent share year revenue rise current quarter paypal forecast revenue growth midpoint guidance gaap profit cent vs consensus estimate cent paypal jump friday new record high related paypal earning revenue top expectation share slb say friday investment demand north america be moderate baker hughe bhge warn challenge year end customer remain cautious spending due volatile oil price suggest shale other operator be rein production growth plan schlumberger meet ep view gain baker hughe report first quarter merger general electric oil gas unit july crude price hold barrel inventory fall yet again production plunge due gulf shutdown hurricane nate charle schwab schw trade etfc beat wall street consensus third quarter earning schwab miss revenue trade meet expectation schwab report ep cent revenue trade post earning cent share revenue schwab undercut buy point report sharp fall trading revenue share rebound friday trade share fall be still buy range past entry ebay ebay meet third quarter earning estimate revenue be slightly forecast online marketplace fourth quarter ep outlook fall short estimate share sank close day move average recent buy point undercut intraday thursday related ebay meet earning view share tumble weak outlooksap sap report quarterly earning top estimate german enterprise software giant raise guidance year base cloud compute strength bombardier bdrbf agree sell stake struggle series jet airbus eadsy commerce department call tariff narrow body jet deliver boee ba accuse canadian company receive unfair government subsidy gilead science gild win fda approval car drug dub yescarta treat aggressive form hodgkin lymphoma yescarta come gilead recent kite pharma deal gilead rise thursday be little change weekcelgene celg scrap trial crohn disease drug win start third cite internal futility review celgene fall friday intuitive surgical isrg top expectation late thursday report sale adjust profit share share rise friday atlassian team surge maker project management software report fiscal first quarter sale profit handily top estimate atlassian up full year revenue guidance midpoint guidance earlier forecast share surge nearly verizon communication vz add more postpaid wireless phone subscriber expect revenue also top estimate proofpoint pfpt report earning revenue top estimate fiscal outlook disappoint share rise friday video game publisher electronic art ea disappoint news be delay star war action adventure game have be set release fiscal run april march do not give new release time frame ea share be so far week rv maker winnebago wgo exceed forecast profit growth cent share revenue increase company also approve share buyback share close american express axp exceed earning estimate longtime ceo kenneth chenault retire stephen squeri set take place feb unite rental uri steamrolled estimate cent share ep rise revenue boost hurricane rebuild be reason nation largest equipment rental company boost guidance capital spending plan procter gamble pg profit grow share top view cent organic sale rise just result follow narrow proxy fight trian fund management nelzon peltz share fall friday unilever report weak sale thursday european consumer food product giant fall week related stock buy watch top ipos big small cap growth stockslooking best stock buy watch start here
7,PG,here investing action plan friday need know investor come day first full week earning season close several industrial player general electric ge honeywell hon oil notable schlumberger slb baker hughe bhge well consumer product giant procter gamble pg railroad
8,PG,major stock index stage mild gain afternoon trading friday nasdaq composite look poise third week row apple aapl help cause rise more inch ever closer rise day move average xapple be also try climb back prior flat base entry yet give stock mild correction september also justified wait new base form execute new purchase iphone ipad digital service titan et nasdaq composite also benefit strength select retail electronic internet consumer oriented share rally just ahead nearly rise dow jone industrial average volume be rise vs same time thursday nyse nearly nasdaq dow be gun fifth straight weekly gain nyse composite reflect surprising rebound commodity stock include oil steel be set rally seventh week past week have gain fall aug elsewhere small dip yield benchmark treasury year bond dow utility average be more plunge component pg pcg northern california utility sink nearly huge volume be suffering devastate wildfire have scorched napa sonoma other county wine make region medium be report speculation pg own electrical power line have be contribute cause fire have kill more thursday pg slide nearly cut right rise day move average back apple consumer tech giant continue ride solid uptrend ever jan first stage cup handle keep watch rs line paint blue ibd chart marketsmith chart apple relative strength line continue rise mean stock be outperform concentrate stock portfolio show rise rs line increase chance beating major index long haul meanwhile bioverativ bivv ibd member atlassian team priceline group pcln help fortify investor watch list earning atlassian be due thursday close still buy range buy point bioverativ biogen biib spinoff make nasdaq debut feb turn profitable focus rare blood disease bioverativ currently show buy point cent cup left side high priceline be rise back bullish travel forecast make delta air line dal earlier week delta report increase revenue third quarter match biggest increase quarters priceline giant winner march market bottom have frequently make ibd big cap recent year owner key travel book brand such priceline book com agoda have show amazing long term bottom line growth earning be share priceline grow earning share street see earning climb share year share atlassian recently clear new week flat base show buy point new base be early stage fiscal fourth quarter end june collaboration promote business software expert report jump earning cent share biggest year year increase quarters also beat wall street consensus profit estimate september end fiscal first quarter earning be see fall cent share however base firm have beaten consensus view least straight quarters average ep beat time frame be related stock market today apple try retake buy point be snap build new base find buy point apple form bottom basewhere find excellent growth stock first look here
9,PG,stock index take baby step friday philadelphia semiconductor index swagger new high seventh session row nasdaq add blue chip dow jone industrial average add small cap russell slip volume fall nasdaq
10,PG,electric utility stock react cautious optimism week coal stock show only spotty enthusiasm environmental protection agency administrator scott pruitt announce monday plan repeal agency clean power plan plan be addendum clean air act have significantly tighten rule emission coal fire power plant xpruitt
11,PG,stock fade close thursday index move remain generally mild meanwhile nasdaq titan google parent alphabet googl top buy point nasdaq lose less small cap russell market leader late fall fraction dow jone industrial average ease xvolume be higher accord preliminary figure dow component johnson johnson jnj edge past buy point base base pattern close credit suisse offer praise pharmaceutical diversify medical product giant say remain bullish story alphabet base be highlighted stock market today story earlier week make new high list edge higher top buy point volume be average price move lack power share close unchanged lag relative strength line add doubt megacap stock don usually move outsized volume several be decliner list northern california power utility pg pcg slide gap sharp loss tv subscriber citigroup reversed lower sharply earning report blackhawk network hawk plunge report earning give weak outlook have recently see increase competitive pressure retail market believe result lower growth retail physical channel go forward ceo talbott roche say add company be see excellent growth digital channel broader diversification nmi holding nmih gap past buy point thursday news mortgage insurer be be add small cap nmi share surge past buy point cup handle base huge volume xnmi holding be replace sciclone pharmaceutical scln be be acquire gl capital management change take effect open trading monday related here retail stock be crash today not amazon wal martdow flirt buy point bullish pre earning reportblackrock beat view investor keep pour money etfs
12,PG,other major index continue climb etching fresh record high wal mart soar investor increasingly see discount giant give amazon amzn run money other retailer falter jpmorgan chase jpm citigroupc charge off other issue stock back delta dal offer solid earning guidance other carrier give upbeat figure crash report more pay tv loss signale wo medium company generally index nasdaq rise dow industrial climb index continue hit record high wal mart boom even retailer continue tumble warning analyst downgrade amazon speculation nvidia make yet advance new move autonomous vehicle delta air line kick airline earning big carrier seem be regain altitude wal mart wmt announce buyback program say see fiscal net sale rise commerce sale soar current fiscal year wal mart see earning share discount giant see ep growth fiscal wal mart also plan add online grocery location current store look take amazon amzn target tgt investor day call wal mart signale wouldn hike wage target wal mart share surge nearly week blast past buy point even many retail stock group struggle related wal mart break buyback bullish online sale chase jpm bank america bac citigroup report better expect earning revenue ongoing trading wo wall street jpmorgan say see trading remain weak fourth quarter jpmorgan bank america citigroup raise reserve credit card have see higher delinquency recent month well fargo wfc report mixed result revenue net interest margin fall short well fargo retreat friday share other big bank pull back somewhat week cable tv company medium stock sell renew worry pay tv cord cut be accelerate preannounce financial number include loss video subscriber actually lose pay tv customer add internet video subscriber partially offset loss ub estimate pay tv industry lose subscriber third quarter compare same quarter last year worry medium company garner subscriber programming fee tumble drop collar propose acquisition medium giant time warner twx stock be share deal close time warner shareholder stand get more stock share company now hold cable internet content giant comcast cmcsa lose thursday month low viacom viab skid year low related fallout pay tv industry lose air line dal kick third quarter earning industry group beating estimate give solid unit revenue guidance earlier week american airline aal unite airline ual raise outlook unit revenue total figure big indicated analyst airfare pricing be improve follow concern recent month impact series hurricane fare war unite spirit airline save southwest luv also say begin service hawaii next year likely meaning more competition hawaiian airline parent hawaiian holding delta share rise week approach buy point related delta air line see turnaround crucial highly competitive marketsay aloha airfare price wargraphic chip maker nvidia nvda tout expertise make brain self drive vehicle conference germany unveil artificial intelligence computer fully autonomous vehicle be already be used more company develop driverless taxi also announce german logistic giant deutsche post dhl group be deploy test fleet self drive delivery truck next year used nvidia technology nvidia stock climb hit new high minute federal reserve september meeting show several policymaker fence raise interest rate december market be now pricing consumer price retail sale datum show post hurricane boost september core inflation remain tame crude future rise barrel stockpile fall third straight week inventory fall barrel accord energy information administration far more barrel decline analyst expect domestic production fall barrel day week prior international energy agency predict opec continue supply cut current deal expire march agency say cartel output rise bpd last month iea keep demand forecast unchanged still see demand growth barrel day year demand growth bpd saudi arabia say export less crude sea next month related oil inventory production drop iea see more opec cutsexpress script esrx announce buy evicore healthcare privately hold medical benefit management service company way pharmacy benefit manager diversify report amazon amzn be reportedly close enter online pharmaceutical sale express script tumble year low lose oct amazon speculation heated cvs health cvs be drugstore operator pbm sank walgreen boot alliance wba skid earning hit share revenue rise better expect same store sale rise also view share fall week ep beat estimate thank accounting change comp wall street consensus be far gain year earlier related domino earning help accounting change flop wall st honeywell confirm spin home adi global distribution business transportation system company worth combine confirm monday report noncore asset spinoff honeywell keep aerospace holding call activist investor third point divest honeywell share dip still buy zone pfizer pfe say tuesday consider selling spin counter business include advil centrum personal care item chapstick anbesol pain relieve gel toothach decision isn expect woman apparel chain jill jill issue big profit warning send share recent ipo crash thursday retailer sell day penney jcp hit time low ulta beauty ulta william sonoma wsm rocked analyst downgrade procter gamble pg narrowly win proxy fight vs activist investor nelson peltz have be fight board seat press strategic shift more innovative brand fewer corporate division trian fund have take stake earlier year anaptysbio anab sky-rocket record high tuesday eczema drug appear outperform regeneron pharmaceutical sanofi potential blockbuster eczema drug dupixent phase trial day patient moderate severe eczema see improvement symptom chip equipment maker ichor holding ichr say have enter substantial agreement produce liquid delivery system key customer do not identify customer ichor stock surge nearly time high apple aapl inked first major internet television deal signing acclaim director producer steven spielberg make new episode anthology show amazing story barracuda network cuda sell post line fiscal earning bear pounce lower customer renewal rate subscription well security software maker reiteration fiscal revenue guidance
13,PG,pro golfer george be live example be expert field way mean be well verse let alone expert xput way be master medicine ace engineering eagle law do not moment believe stock investing even bullish time be easy breezy long term trading investing success stock market stem not be born certain area code have right contact friend learn market really work understand fundamental matter earning sale profit margin return equity company standing industry investor psychology drife major price trend apply sound rule buy selling temper tame ego back san mateo high school grad begin skip basketball practice monday so show caddie golf day peninsula golf country club northern california club pro pg cc bud give few swing tip be hooked rest be golfing history year turn pro sport foot athlete tower field augusta national winning master championship stroke victory tom weiskopf billy casper george knudson deft putt stroke develop putt quarters hour hour lincoln park putt green hold master pressure final few hole mike jamieson pg cc club historian tell ibd rest life be consider be best putter golf ibd take chart give investor edge reason help read signal institutional investor be eager crowd stock sudden increase demand mutual fund hedge fund bank pension produce breakout basis include flat base launchpad big breakout tremendous price gain learn element bullish pattern investor corner column go capture win regular pga event official victory newly form pga senior tour now know pga champion tour have stop tour start thought be cooler jamieson say total bag title year professional career pass away yet well like man never learn read rd grade level try improve buy used instructional tape work hard never get adult read level have navigate world weekly basis drive fly play tour have hide secret everyone even closest friend jamieson say reason avoid get heckle fan clearly pro level golfer fix hitch swing attain new technique help instructor read writing necessary have read magazine article sport have picked copy classic ben hogan lesson modern fundamental golf written winner major have bag few more major george memorial foundation literacy founder wife donna soon death seek quash illiteracy have raise nearly net proceed be used help promote tutor program local library northern california come monday foundation host annual pro be golf tournament pg cc sole course design california legendary donald ross individual have right education especially so investing let ibd university be stop achieve true literacy wall street go local newsstand library see carry ibd weekly weekly print edition be now sell newsstand vancouver canada not request more person know rule stock richer potential everyone please follow saito chung twitter ibd_dchung participate upcoming conduct live hashtag ibdama ama ask anything related value stock chart learn find correct buy point find outstanding stock start herecan stretch serious money investing yes here howmore george foundation literacyhot growth stock be time sell alarm com
14,PG,procter gamble pg shareholder narrowly reject activist investor nelson peltz bid board seat help shake business costly proxy fight share reversed lower undercut buy point outcome be close trian say await certify result peltz trian fund own stake maker tide detergent crest toothpaste many more peltz argue have be too focuse legacy core brand not enough young innovative product also want reorganize unit just beauty grooming health care fabric home care baby feminine family care say core brand be still important note release product such tide pod dow component argue corporate reorganize add cost expensive feud have be brewing february peltz reveal big stake trian officially nominated peltz board july big proxy advisory egan jone glass lewis institutional shareholder service favore putt peltz board procter gamble share have rise day move average fall low vote result close stock market today be now back buy range entry initially clear mid august
15,PG,stock index struggle maintain small gain midday tuesday blue chip dow jone industrial average aim eighth daily advance row dow rise nasdaq add volume stock market today be slightly higher major exchange blue chip be mostly gain be restrain procter gamble pg pop score new high volume average procter gamble be battle activist investor nelson peltz ceo david taylor recently argue company shake isn necessary peltz doesn have record bring good result company invest ibd list comprise best stock fundamental technical display technology provider universal display oled gap strong volume earlier month stock clear buy point double bottom base universal display be now buy point universal display have crank pretax profit margin roughly subsequent year ibd stock breaking be measure instrument company coherent cohr stock rise just buy point give back gain coherent have deliver triple digit percentage earning gain past quarters follow acquisition rofin sinar close november revenue have grow triple digit past quarters coherent pretax margin come fiscal end september be best pretax margin least year federal reserve policymaking committee begin day meeting today street do not expect interest rate hike fed conclude meeting wednesday related apple stock get price target hiketesla drop analyst outlook more loss
16,PG,blue chip dow jone industrial average component procter gamble pg have force swirl company include new ceo appoint late strategy sell laggard brand most recently attempt trian fund management nelson peltz gain seat board shake company management oppose peltz
