,ticker,content
0,PPG,build watch list look stock higher rs rating sherwin william shw just clear benchmark upgrade proprietary rating measure market leadership show stock price action last week measure other stock database decade market research show best stock tend have rs rating north launch biggest run see ibd help make more money stockssherwin william be now consider extend buy range clear buy point first stage cup handle see stock form new pattern follow buy opportunity week tight pullback day week line term top bottom line number sherwin william have post quarters accelerate earning growth sale growth have also moved higher same time frame company earn rank peer chemical paint industry group ppg industry ppg axalta coating system axta be also group highest rate stock related stock be show improve technical action use ibd relative strength rating relative strength line help judge stock
1,PPG,ppg industry ppg have relative strength rs rating upgrade monday welcome improvement still short better score look ibd proprietary rating track market leadership worst best score score show stock price movement trail week hold other stock database decade market research reveal best perform stock typically have rs rating north early stage move see ppg industry continue rebound clear threshold look best stock buy watch start hereppg industry be now consider extend buy range clear buy point first stage cup handle see stock form new pattern follow buy opportunity week tight pullback day week line earning growth decline last quarter revenue moved higher company hold rank peer chemical paint industry group sherwin william shw be top rank stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
2,PPG,relative strength rs rating sherwin william shw enter new percentile wednesday rise ibd unique rating measure share price movement worst best score rating show stock price performance last week stack other stock database year market history reveal best perform stock typically have higher rs rating early stage move look winning stock try simple routinesherwin william have rise more past entry first stage cup handle meaning now proper buy zone look stock create new chance get week tight pullback day week line earning growth slow last quarter revenue gain moved higher company be expect report latest result oct company earn rank peer chemical paint industry group ppg industry ppg axalta coating system axta be also group highest rate stock related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
3,PPG,sherwin william shw have relative strength rs rating upgrade monday welcome improvement still shy better score prefer see unique rating identify market leadership used worst best score show stock price action trail week compare rest market decade market research reveal market biggest winner often have rs rating north launch biggest price move see sherwin william continue show renew price strength clear threshold sherwin william be work flat base buy point see clear price heavy trading ep growth fall last quarter top line rise sherwin william earn rank peer chemical paint industry group ppg industry ppg axalta coating system axta be also group highest rate stock related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
4,PPG,build watch list focus stock higher rs rating sherwin william shw be stock just reach mark now earn score ibd unique rating measure market leadership worst best score score show stock price behavior last week hold other stock database year market history show best perform stock typically have rs rating early stage move sherwin william have climb more past entry first stage flat base meaning now proper buy zone look stock create new chance pick share week tight pullback day week move average earning growth decline last quarter revenue rise prior report company hold rank peer chemical paint industry group axalta coating system axta ppg industry ppg be also group highest rate stock related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
5,PPG,sherwin william shw see ibd smartselect composite rating jump wednesday day new rating be sign stock be outpace stock come most important stock pick criterium best stock tend have better grade kick significant move breaking past entry sherwin william be trading upper end buy zone extend stock sport ep rating meaning recent quarterly longer term annual earning growth be outpace stock accumulation distribution rating show heavy buy institutional investor such mutual fund pension fund last week company report earning share growth mark straight report rise ep performance revenue be flat match prior quarter sherwin william hold rank peer chemical paint industry group ppg industry ppg axalta coating system axta be also group highest rate stock related company be now outperform stock
6,PPG,stock be mixed open bell market feel direction tough day selling tuesday dow jone industrial average fall ease nasdaq rise tuesday loss angled dow industrial average nasdaq russell first monthly decline october dow nasdaq end session day move average russell break day line day stint level support overseas japan take hardest hit major index nikkei tokyo dump yen flex year high vs dollar hong kong hang seng index lop shanghai composite end european market trim loss afternoon trade london ftse remain frankfurt dax cac paris ease apiece nike nke dupont dd be anchor drag dow nike groan lower fiscal third quarter earning top estimate revenue gain just miss analyst target gross margin decline stock open day move average buy point dupont carved lower chemical play appear be motion ppg industry ppg reportedly raise offer dutch paint maker akzo nobel ppg share be dupont be attempt complete merger dow chemical dow dupont share be extend pullback day line january apple aapl rise fang stock trade lower amazon com amzn slip netflix nflx rise fedex fdx track higher optimistic full year earning guidance stronger base rate uptick commercial volume fiscal third quarter appear offset earning miss stock be form flat base alternative buy point winnebago wgo punch motorhome maker report rise fiscal second quarter earning revenue gain analyst forecast stock bounce drop day move average ibd stock healthequity hqy add more open health saving finance operation pre announce better expect fourth quarter earning revenue late tuesday come full year earning guidance miss consensus target chardan capital raise stock price target wednesday healthequity be form right side cup base oil trade more early action send west texas intermediate back barrel gold flattened ounce dollar be mixed vs euro yen year yield drop basis point economic report expect et wednesday include exist home sale number february meanwhile housing price show gain january accord federal housing finance agency house price index be december increase disappointing economist projection acceleration growth be only second month price increase early agency report related earning report watch today investing action planfinancial small cap rocked market outlook weaken
7,PPG,unite technology utx predict wednesday pratt whitney unit ramp delivery latest jet engine year production problem come control delay new gear turbofan prompt qatar airway cancel order last year airbus eadsy neo jet unite tech earlier have cut forecast turbofan delivery wednesday company say see delivery include spare industrial conglomerate also report fourth quarter earning rise share line wall street forecast revenue rise miss view sale pratt whitney rise nearly sale otis elevator unit dip sale climate control security business rise aerospace system sale grow company also backed full year ep view midpoint consensus revenue also light vs wall street view unite tech say plan buy back share year be set aside acquisition uncertain global macro environment grow aerospace backlog strategic investment commercial business position well generate higher organic growth chief executive officer gregory haye say statement share fall stock market today stay buy range find support day line undercut key point intraday latter part last year other industrial dov honeywell hon ppg industry ppg give dim forecast month come last week general electric ge report fourth quarter result offer more same slow growth globally volatility oversupplied oil gas sector have less need ge oil related equipment ge however say remain more upbeat head year ask potential regulatory change new administration affect business ceo jeff immelt say see caution affordable care act gop have be eager dismantle customer buy medical equipment health care division ge share be wednesday related trump claim twitter indiana job carrier stress state incentivestrump tout carrier deal say company leave face consequence unite technology costco upgrade shale producer mixed
8,PPG,general electric ge report fourth quarter earning friday several month lament environment marked slow growth ceo jeff immelt october say industrial giant order organic growth pick steam fourth quarter analyst remain cautious ge have rough be important quarter show order stability margin gain cash flow improvement barclay analyst scott davis say research note also predict sequential improvement wall street expect fourth quarter earning share fall cent revenue dip company power renewable segment be expect be strong transportation oil gas be still shake effect global commodity oversupply be expect be weaker credit suisse say recent research note ge attempt cut cost strip back finance operation focus core industrial segment well become more industrial analytic firm credit suisse see earning lag peer due sluggish order consensus forecast first half year look too high other sector investor be more focuse guidance energy sector have rally crude price re-cover late last year investor look update ge prospect market october ge baker hughe bhi october announce deal combine ge oil gas operation oilfield service giant merger halliburton hal be call earlier year due antitrust concern halliburton have say willing sacrifice market share boost profit discount offer oil bust be rolled back meanwhile oil rig count have shot shale company be ramp exploration production budget boost demand oilfield service equipment ge share be stock market today stock break last month drop entry last week strong report send ge back buy range ibd take general electric have attempt turn more tech company big long term focus so call industrial internet ge report kick big industrial earning come earning season variety industrial offer cloudier forecast honeywell hon cite part weakness aerospace cut sale profit outlook dov ppg industry ppg warn weaker economy election send industrial surge expectation infrastructure spending package corporate tax cut market appear be tire fling president elect donald trump result test sentiment new shareholder be new owner just trump infrastructure tax trade likely jump first sign weakness barclay analyst davis write be prepared likely be very soft quarter say investor be likely ignore short term struggle look ahead second half year rebound oil gas strengthen trump policy proposal become clearer time later think be year buy dip davis say do expect related apple general electric microsoft lead field stock buyback
9,PPG,sherwin william shw report third quarter net income come analyst forecast send share paint make giant tumble tuesday trade drag stock other sector cleveland base company say have net income share adjust earning come share miss estimate analyst survey zack investment research call earning share paint coating maker post revenue period also miss street forecast analyst survey zack expect share company fall recent action sherwin william expect full year earning be share sherwin william share have increase begin year standard poor index have rise slightly more stock have rise last month now however sherwin william have give back much gain drag other sector share ppg industry ppg gap more do rpm international rpm axalta coating system axta fall more
