,ticker,content
0,PWR,stock punch higher monday open launch spirite rebound be dow worst week year dow jone industrial average open nasdaq composite ahead market last week slip technical correction more recent high dow book worst weekly loss february drop be largest last time nasdaq take large loss be end january global market china market be mixed prepared head lunar new year holiday later week shanghai composite jump hong kong hang seng index slip japan tokyo stock exchange be close national holiday europe stock hammer considerable gain afternoon trade frankfurt dax lead advance quiet day economic news slow start week earning calendar leave monday unveil president trump infrastructure sharp focus trump have previously say aim leverage federal fund build program infrastructure stock likely move news include wide array construction name material supplier most pure play infrastructure stock be big engineering name such jacob engineering jec mastec mtz quanta service pwr well aggregate supplier include martin marietta mlm vulcan vmc summit material sum oil commodity also factor monday trade crude post early rebound benchmark oil jump trade just barrel mark silver copper rise more early action ibd take correct market be not time buy growth stock be perfect time build watch list lead stock buy point valid basis market eventually post follow day launch fresh uptrend do want have shopping list well vet stock ready go nearly dow component rise start trade cisco system csco lead company receive price target increase upgrade buy neutral instinet rbc capital raise stock price target american express axp advanced upgrade buy neutral nomura earning news stir action early monday payment solution provider first datum fdc bolt higher fourth quarter earning meet analyst view revenue be slightly higher expect stock take loss last week break support kill month base effort restaurant brand international qsr pop follow mixed fourth quarter result owner burger king tim horton chain well popeye company smallest chain report surprise gain revenue company announce defer tax benefit china base vipshop holding vip jump open ahead fourth quarter report be due close online retail leader have pull back jan high leave relative strength line notch high other china base name be also positive weibo wb tal education tal sina sina post early gain sina weibo report earning week apple aapl pound advance netflix nflx lead fang stock tech leader gain computer tech service contractor csra csra spiked general dynamic gd agree buy fall church va company deal deal allow general dynamic better tap pending surge federal upgrade security cloud compute operation general dynamic be just buy point cup handle base st century fox fox climb follow news report comcast cmcsa be contemplate refreshed bid company film television asset fox accept takeover bid walt disney december reject comcast offer more ground regulator block combination comcast share rise disney share rise company announce be raise admission price disney world disneyland theme park theme park revenue provide bulwark gain lead company fourth quarter earn beat disney share end friday jan high still valid cup handle base oracle orcl climb more announce plan new massive datum center move better compete amazon com microsoft msft alphabet googl cloud compute market be interested don panic just correction here do nowthese defense stock stand market big picture lead rebound now watch signalthese dow stock reclaim key support tough shock economic outlook keep stock market edge
1,PWR,quanta service pwr see positive improvement relative strength rs rating friday rise ibd proprietary rating track share price performance worst best score grade show stock price behavior trail week compare other stock database year market history show stock go make biggest gain tend have rs rating early stage move see quanta service continue rebound hit benchmark see ibd help make more stocksquanta service be buy range clear entry cup handle proper buy range extend initial entry once stock hit benchmark best hold investing set buy opportunity revenue growth fall last quarter ep grow previous report keep eye company next round number nov quanta service earn rank peer build heavy construction industry group argan agx be top rank stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
2,PWR,stock index close mainly lower monday end session lows enthusiasm tax cut bill wear afternoon trading dow jone industrial average add climb record high earlier day most significant move dow component belong chevron cvx break flat base clear buy point average volume microsoft msft get technology sector selling share slide nearly meet day move average software semiconductor fiber optic other technology industry group be bottom monday market performance broad weakness tech stock force nasdaq composite loss composite have have stellar gain more seem be come profit take fall also reach new high gain evaporate retail transportation carry market upside department store discount chain restaurant apparel shop air freight railroad climb more group be affected provision tax legislation make big move techs be siege breakout occur number industry financial be strong investment management house top buy point waddell reed wdr break irregular base buy point close just buy point lpl financial lpla crossed buy point flat base heavy volume industrial stock make good show too steel dynamic stld break long saucer pattern clear buy point close entry volume be double usual pace south korea base posco pkx break flat base rise buy point active trading trinity industry trn maker railcar barge other transportation equipment clear buy point cup shape base quanta service pwr clear flat base buy point heavy trading consumer stock continue assert leadership not just retailer fashion brand ralph lauren rl rise past buy point cup handle handle have wedge look make weaker chart perspective related bank stock rise senator add last minute perk tax billsolar industry stock slam senate tax bill provision
3,PWR,welcome move quanta service pwr see relative strength rating improve tuesday ibd proprietary rating identify market leadership worst best score grade show stock price behavior last week compare other stock database decade market research reveal stock go make biggest gain typically have better rs rating begin largest climb see quanta service continue rebound clear threshold look best stock buy watch start herequanta service be still buy range clear buy point cup handle proper buy range extend initial entry once stock hit benchmark best hold investing set buy opportunity earning growth rise last quarter revenue gain fall keep eye company next round number nov company hold rank peer build heavy construction industry group primoris service prim be top rank stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
4,PWR,quanta service pwr see welcome improvement relative strength rs rating monday rise ibd proprietary rating measure market leadership worst best score grade show stock price performance trail week compare other stock database decade market research show best perform stock tend have rs rating begin largest price move see quanta service continue rebound hit benchmark quanta service be work cup handle entry see stock break heavy trading sale growth fall last quarter ep grow prior report quanta service hold rank peer build heavy construction industry group primoris service prim be top rank stock group related stock be show improve technical action use ibd relative strength rating relative strength line help judge stock
5,PWR,quanta service pwr see welcome improvement relative strength rs rating friday rise proprietary rating measure market leadership show stock price movement last week compare other stock database decade market research reveal top perform stock typically have rs rating north early stage move see quanta service continue rebound clear threshold stock be build consolidation buy point see stock break heavy trade revenue growth fall last quarter earning share grow prior report company earn rank peer build heavy construction industry group willdan wldn be rank stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
6,PWR,stock index padded cushion day move average midday thursday heavy construction stock rumble group eighth daily gain row nasdaq small cap russell lead gain respectively midday add blue chip dow jone industrial average claw higher volume stock market today be run higher major exchange compare same time wednesday price gain accompany rise volume be consider more bullish advance fading volume heavy construction space granite construction gva jump build right side consolidation granite construction be expect grow earning year analyst expect earning growth heavy construction group be market laggard rise past session group include potential player post harvey storm recovery contractor quanta service pwr tack stock approach buy point cup handle base company be expect grow ep year next year meanwhile construction mining equipment group rise third consecutive day group score new high caterpillar cat notch week high then retreat cat relative strength line be high bullish sign mean stock be outperform go thursday session equipment group be industry group so call fang stock facebook fb amazon com amzn netflix nflx alphabet googl be exception apple aapl be not fang stock major tech company be head fifth daily gain row blue chip be mostly component dow jone industrial average pfizer pfe lead pop related amazon rival be ready break stock benefit post storm recovery
7,PWR,welcome move kbr kbr see relative strength rating rise tuesday ibd proprietary rs rating track market leadership used worst best score identify stock price performance trail week stack other stock database year market history reveal market biggest winner typically have rs rating north begin biggest run see kbr continue rebound clear threshold stock be build cup handle entry see clear price heavy trading earning growth rise last quarter revenue gain fall company hold rank peer build heavy construction industry group willdan wldn argan agx quanta service pwr be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
8,PWR,future dow jone industrial average index nasdaq be little change early major average rise modestly tuesday dow industrial component exxon mobil xom chevron cvx many shale play remain sharp downtrend bp bp royal dutch shell rdsa first solar fslr be energy stock be approach buy point crude oil price rise fifth straight session ahead opec key meeting thursday cartel key ally such russia be expect extend production cut month dow industrial be trading just fair value index future be flat nasdaq future rise fractionally crude future be little change early wednesday american petroleum institute say late tuesday crude gasoline supply fall last week wednesday energy information administration unveil official weekly petroleum production figure july crude future contract be now month contract rise barrel tuesday even energy price have rebound sharply past few week energy stock have not roar back en masse exxon mobil be move sideway recent lows chevron be pin decline day move average shale play such eog resource eog oil service giant halliburton hal also haven find foot here be energy play be fare well possible entry energy giant have be rally strongly past month build right side base share dip bp have potential buy point bp relative strength line be well recent high signale stock vs year common problem energy stock right now generally want focus stock be outperform broader market move new high ahead share price anglo dutch oil gas titan slip tuesday saucer handle formation entry point share have surge royal dutch report cash flow first solar isn closely tie oil even natural gas price ultimately fossil fuel price be benchmark solar power more expensive oil especially natgas be more economical solar be first solar have form bottom base buy point handle first solar rise high intraday tuesday close just sunpower pwr rise tuesday move day move average first time early january sunpower be bottom base first solar buy point marathon petroleum mpc be refiner gasoline retailer marathon petroleum be flat base traditional buy point just high aggressive investor see potential alternative entry share edge asian trading japan nikkei climb australia asx fall china shanghai composite sank be session lows look ahead wednesday highly rate lowe low dycom dy report earning market open lowe recently fall buy point sank tuesday close day line first time early february meanwhile federal reserve release minute early meeting afternoon related top company report fed minute investing action fang stock be clear member only buy pointnow be airline stock buy range summer travel near
9,PWR,xbuild oil gas pipeline electric power plant not sound sexy be highly profitable heavy construction firm mastec mtz recent quarters company have generate average earning growth past report analyst be look electric surge mastec post first quarter result early number
