,ticker,content
0,PX,praxair px see welcome improvement relative strength rs rating thursday rise look best stock buy watch keep close eye relative price strength ibd unique rs rating measure market leadership used worst best score show stock price performance trail week match other stock history reveal best stock typically have better rs rating early stage move see praxair continue rebound clear threshold look winning stock try simple routinepraxair be try complete consolidation buy point see break heavy trade company top line growth fall last quarter ep grow prior report next quarterly result be expect jul company hold rank peer chemical specialty industry group kmg chemical kmg orion engineer carbns oec bcpc be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term useget instant access more trading idea exclusive stock list ibd proprietary rating only also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
1,PX,praxair px have relative strength rs rating upgrade monday welcome improvement still shy better score look look best stock buy watch factor watch closely be relative price strength exclusive rating investor business daily measure market leadership worst best score rating show stock price movement last week hold other stock database decade market research show market biggest winner often have rs rating north launch biggest climb see praxair continue rebound clear threshold see ibd help make more money stockspraxair be work consolidation buy point see stock clear price heavy trade earning growth increase last quarter sale fall company earn rank peer chemical specialty industry group kmg chemical kmg orion engineer carbns oec bcpc be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
2,PX,wednesday praxair px get upgrade relative strength rs rating look best stock buy watch factor watch closely be relative price strength exclusive rating investor business daily track price movement worst best score grade show stock price movement trail week compare other stock database year market history show best perform stock tend have rs rating north launch biggest climb see praxair continue rebound hit benchmark look best stock buy watch start herepraxair be work consolidation entry see break volume least average earning growth increase last quarter top line fall praxair earn rank peer chemical specialty industry group orion engineer carbns oec kmg chemical kmg versum material vsm be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
3,PX,praxair px see positive improvement relative strength rs rating friday upgrade re research best stock buy watch be sure pay attention relative price strength unique rating identify technical performance show stock price action last week measure other stock database year market history show market biggest winner often have rs rating least launch biggest price move see praxair continue show renew price strength clear threshold see ibd help make more money stockspraxair be try complete consolidation entry see stock break volume least average earning growth increase last quarter sale fall company earn rank peer chemical specialty industry group kmg chemical kmg soi innospec iosp be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
4,PX,praxair px have relative strength rs rating upgrade thursday welcome improvement still short higher score look look best stock buy watch keep close eye relative price strength proprietary rating track technical performance show stock price action last week compare other stock database history show best stock tend have rs rating north launch biggest run see praxair continue rebound hit benchmark look winning stock try simple routinepraxair be try complete consolidation entry see stock clear price heavy trade earning growth picked last quarter sale fall company hold rank peer chemical specialty industry group innospec iosp ferro foe kmg chemical kmg be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
5,PX,relative strength rs rating praxair px jump higher percentile tuesday get lift look best stock buy watch factor watch closely be relative price strength ibd unique rating identify market leadership worst best score rating show stock price performance last week stack other stock database year market history reveal best stock typically have better rs rating early stage move see praxair continue rebound hit benchmark look winning stock try simple routinepraxair be build double bottom buy point see stock clear price volume least higher normal regard fundamental praxair have post rise ep growth last quarters revenue gain have also moved higher same time frame company be expect release next quarterly number apr company hold rank peer chemical specialty industry group ferro foe kmg chemical kmg methanex meoh be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
6,PX,relative strength rs rating praxair px enter new percentile monday increase exclusive rating investor business daily identify share price movement worst best score grade show stock price movement last week hold other stock database year market history reveal best stock typically have better rs rating early stage move look best stock buy watch start herepraxair be not currently show potential buy point see stock go form promising consolidation kick new price move take look revenue profit performance company have post quarters increase earning growth sale growth have also moved higher same period company earn rank peer chemical specialty industry group kmg chemical kmg ferro foe orion engineer carbns oec be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
7,PX,praxair px have relative strength rs rating upgrade wednesday ibd proprietary rs rating measure market leadership show stock price movement last week compare other stock database year market history show market biggest winner typically have rs rating north early stage move see ibd help make more money stockspraxair break earlier have fall back prior entry flat base scenario stock break then fall more entry price consider fail happen best new base form also keep mind most recent consolidation be later stage base make riskier establish new position add share exist term top bottom line number company have post quarters increase earning growth sale gain have also rise same period company hold rank peer chemical specialty industry group ferro foe kmg chemical kmg orion engineer carbns oec be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
8,PX,buffalo discovery fund buftx turn market disrupter align technology algn long term secular trend shape investment strategy have land fund top mutual fund third annual ibd best mutual fund award fund have be lead clay dave carlsen elizabeth jone seek early identification attractively price financially strong well manage company carlsen say take patient approach stock selection look stock opportunity long term growth be be overreaction term approach have paid top perform mutual fund have beaten past year do so win ibd best mutual fund award growth fund midcap fund category last year period fund have turn average annual return gain have handily surpass midcap growth fund track morningstar have post return same period do put top mutual fund buffalo discovery year annual average return rank top morningstar midcap growth fund buffalo discovery return earn top ranking ibd best mutual fund award list midcap fund innovation be essential inclusion buffalo discovery portfolio ve find focus innovation be best way hitch wagon share gainer market disrupter carlsen say believe company be most likely reap reward big secular growth trend carlsen team used secular trend home worthy portfolio candidate secular trend provide growth tailwind narrow stock pick universe durable growth universe believe grow faster have less cyclicality overall market say growth universe establish hunting ground not constituent benchmark index purposely distance relative benchmark portfolio management style lead high active share get newsletter deliver inbox more info product service privacy policy term buffalo discovery team look company gain market share almost market environment let innovator run carlsen say have preference small midcap stock long runway growth benefit innovation be sustainable early relative potential opportunity result high rate growth many year buffalo discovery own stock holding maintain annual turnover ratio dec technology industrial health care be largest sector weighting top hold align technology have be mainstay portfolio much carlsen tenure stock have surge more maker invisalign be add portfolio have climb large cap territory buffalo discovery team still see plenty room run believe robust growth be sustainable intermediate long term carlsen say less orthodontic market have converted metal brace clear aligner company have also be focuse drive cost product result tremendous growth internationally invisalign case shipment spiked year year basis carlsen see fund stake nevro nvro benefit age population government push away opioid pain management company make high frequency spinal cord stimulation scs device treat chronic back leg pain more effectively better clinical outcome compete scs device traditional player say have rapidly gain nearly market share remain well position further share gain rapid growth continue product innovation smaller footprint device expand market recent full body mri approval europe bode well future approval xylem xyl hold fund enable municipal industrial customer manage water system more efficiently ve incorporate sensor analytic proactively provide alert problem require attention break cause costly downtime carlsen say have also incorporate intelligence pump use less energy boost efficiency company have earning growth midteen next several year share xylem be year tech space buffalo discovery team be bullish video game publisher electronic art ea video game company have enjoy strong year investor realize positive business model effect downloadable game game content carlsen say emerge online player network help further expand user base player connect world electronic art have see stock price rise past year buffalo discovery buy share praxair px industrial gas supplier be top hold year end be premier operator serve consumable product diverse set industrial customer carlsen say tend insulate negative flash point economy strategy be grow profitably regardless macroeconomic environment name bring nice stability portfolio share praxair be versus year eye current holding buffalo discovery team remain lookout opportunity add innovator portfolio believe market frequently overreact term event create opportunity buy premier stock attractive price carlsen say market volatility experience past february be most recent example only active management investor benefit temporary market dislocation anyone ride index fund etf bull market need skill active manager protect capital tide turn also be interested read full ibd best mutual fund award special reporthere list best mutual fund award winner categorybest mutual fund news performance report investing invest fidelity stock guru john rothwhich stock be best mutual fund buy selling
9,PX,praxair px see welcome improvement relative strength rs rating tuesday upgrade unique rating measure technical performance used worst best score show stock price performance trail week match other stock decade market research show best stock tend have rs rating north early stage move look winning stock try simple routinepraxair have climb more past entry first stage flat base meaning now proper buy zone look stock create new chance get week tight pullback day week line top bottom line growth moved higher last quarter earning be compare prior report revenue increase company hold rank peer chemical specialty industry group ferro foe kmg chemical kmg chase ccf be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
