,ticker,content
0,SCG,dominion energy buy scana scg stock stock deal scoop utility batter fail nuclear project draw scrutiny federal state regulator transaction be value include assumption debt accord statement wednesday scana shareholder receive share dominion share scana equal share tuesday close acquisition be expect close pending regulatory shareholder approval accord statement scana make attractive target company market value plummet utility halter controversial nuclear expansion late july federal state investigator be probe project trigger review law allow utility charge customer unfinished abandon power plant project dominion acquire scana make lot sense shahriar pourreza new york base analyst guggenheim security say phone wednesday dominion be build major natural gas pipeline atlantic coast line south carolina border state official want extend say line serve scana customer scana share be trading higher open bell stock market today have drop past year dominion trade share deal be latest string massive utility merger industry see combine acquisition most decade accord datum compile bloomberg stagnant electricity price tight profit margin have stoke buy spree acquisition include more exist summer capital regulatory asset allow elimination related customer cost year last year biggest utility deal be sempra energy sre acquisition oncor electric delivery co largest transmission line operator texas sempra outbid warren buffett berkshire hathaway brkb have offer october dynegy dyn vistra energy vist texas agree merge transaction value also be interested top china tech stock alibaba baidu be radar invest stock market start simple routine
1,SCG,strong gain index other major average rise sharply new high start chip stock be strong even intel intc disclose big flaw many processor facebook fb netflix nflx be many breakout often issue tesla tsla struggle get model factory gate other auto stock rally auto sale cap first annual decline financial crisis bitcoin have relatively calm week solid gain rival cryptocurrency surge ahead economic datum be solid shouldn spook federal reserve nasdaq composite index dow industrial rise sharply start oil steel chip group big winner utility sell facebook netflix nflx amazon amzn microsoft msft exxon mobil xom be breaking many be low volume have other notable flaw crude future rise year high treasury yield spread continue narrow intel intc fall low security issue be reveal pc server processor rally close security issue allow hacker gather sensitive datum memory compute device not modify delete corrupt datum exploit intel say chipmaker say have develop be rapidly issue software patch firmware update correct problem advanced micro device amd see share rally processor reportedly be not vulnerable same security exploit bitcoin price rise friday cap solid weekly gain be relatively calm period fast move cryptocurrency alternative digital currency ripple ethereum surge new high founder fund co founder early facebook investor peter thiel invest bitcoin investment worth hundred million now accord wall street journal report journal also report lynch bar financial advisor make trade client bitcoin investment trust gbtc propose bitcoin related investment russia be look create own cryptocurrency president vladimir putin meet vitalik buterin russia born founder ethereum figure regulate china be reportedly look regulate power usage bitcoin mining close exchange last year reduce spread financial risk nearly automaker see vehicle sale fall december heavy incentive year end sale push ford motor general motor gm top estimate ford eke gain auto sale fall vehicle accord autodata mark first decline year analyst carmaker see drop weak auto sale auto stock continue perform well investor expect momentum higher margin suv truck sale continue gm rise week ford fiat chrysler fcau tesla continue struggle production model sedan overall vehicle output stagnant recent quarters tesla make model sedan quarter vs consensus tesla claim make major progress bottleneck now expect reach production model week end second quarter instead first quarter previously plan tesla share rise be still month lows share blackberry bb jump best level june large part time smartphone leader sign deal chinese internet giant baidu bidu work together automotive software self drive vehicle goldilock job report december quiet talk labor market be risk overheat payroll rise moderate well expect jobless rate hold average hourly wage gain remain stick datum help federal reserve policymaker follow slow pace interest rate hike least now yet other indication suggest economy end year strong head steam holiday sale be strong ism manufacturing index unexpectedly rise point signale accelerate factory growth new order gauge vault year high robust prior month macy nov dec same store sale unexpectedly rise first holiday gain year penney jcp comp more macy store closure share stock nevertheless tumble elsewhere costco wholesale cost core same store sale pop zumiez zumz comp jump top view victorium secret parent brand lb fall short comp forecast cut earning target ollie bargain outlet olli say holiday same store sale increase imply ep edge past view walgreen boot alliance wba narrowly beat expectation ep revenue retail pharmacy sale grow comp rise drugstore chain lift bottom end full year ep guidance share fall thursday be fraction week rite aid rad meet view cent share loss vs year earlier cent gain revenue continue operation fall nearly include retail pharmacy sale drop pharmacy service revenue decline share dip thursday rise week cvs health cvs say ep come low end forecast say tax cut boost cash flow share jump week delta air line dal tweak cost forecast higher partly due massive outage last month atlanta hub hold unit revenue margin outlook delta expect time hit fourth quarter due trump tax bill american airline aal southwest airline luv jetblue jblu say give employee follow tax cut southwest also say invest modernize boee ba fleet winning high roller reportedly weigh december casino revenue come light growth vs bloomberg view gain macau gross gaming revenue still get bump year line consensus reuter first annual gain wynn resort wynn la vegas sand lvs fall more week mgm resort international mgm be more vegas centric climb moneygram international mgi fall week government reject takeover alibaba baba affiliate ant financial national security ground dominion energy agree buy scana scg batter fail nuclear project include assume debt constellation brand stx unexpectedly report slim share profit rise set stock buyback corona beer distributor unexpectedly miss sale share fall friday briefly breaking base late close day line stream video platform roku roku be extend reach smart speaker tv sound bar other home audio system announce roku connect home entertainment network show ce consumer electronic trade show netflix reach new high internet television network say bet big budget movie bright have paid order sequel fantasy cop movie reportedly cost get mixed reviews
2,SCG,stock open narrow gain wednesday news intel intc design flaw trigger busy early action chip stock dow jone industrial average start higher rise bit less nasdaq composite gain give padding mark close first time tuesday ibm ibm open higher top dow industrial rbc capital raise ibm outperform sector perform stock have be work climb right side month consolidation apple aapl climb base base pattern buy point fang stock tech leader netflix nflx gain take early lead gain lift share less buy point week flat base chip stock be generally positive follow strong performance tuesday lead exception be intel pare open loss news report begin late tuesday report discovery design flaw allow security lapse central operate system appear be most intel microprocessor early report say programming fix flaw slow computer significantly be likely affect million computer intel have not yet release specific explain problem intel rival advanced micro device amd leap more open microprocessor developer have soar nearly weak trade tuesday retake support week move average first time october ibd name nvidia nvda perked more early action move hoist share back support stock week move average first time start december stock be week flat base buy point system chip designer ambarella amba pop share be fifth week flat consolidation news merger merger also help drive early trade south carolina base utility scana scg jetted higher start trade company reportedly agree be acquire dominion energy deal value include debt dominion open share moneygram international mgi dive more news third review regulator have end attempt takeover company alibaba group holding baba ant financial unit propose deal alibaba share edge heavy early trade economic news investor be trained european market trade higher new set trading rule labele mifid ii come effect regulation re-form version law implement follow financial crisis be intend avoid transparency issue contribute market collapse frankfurt dax cac paris be london ftse fought hold gain market be begin look friday payroll report automaker be expect report december year end sale total today session institute supply management december manufacturing index november construction spending number commerce department be due et federal reserve release minute dec meeting et related big picture institutional investor accumulate stock index beat auto giant see biggest decline car saleschina stock soar indicator suggest economic jump report peter thiel find be big holder russia eye cryptoruble
3,SCG,federal reserve long await interest rate hike dec be suppose erode appeal utility other dividend stock yet past week electric power diversify utility industry have jump nearly place climb top industry group track ibd gas distribution water utility industry
4,SCG,utility surprise bear many street say be right brad sorensen manage director market sector analysis charle schwab write dec note shift fed paradigm have negative impact utility
5,SCG,ned davis research look rate cycle find utility lag price performance month period federal reserve first hike
6,SCG,overall research be divide segment period fed raise rate nearly meeting period hike come slowly
7,SCG,fall month fast rate hike cycle yet rise average slow cycle
8,SCG,question relevant research be current stock market rate have few precedent japan repeat failure
9,SCG,investor don have delve rate hike argument enough know slow cycle suggest good thing happen
