,ticker,content
0,SHW,build watch list look stock higher rs rating sherwin william shw just clear benchmark upgrade proprietary rating measure market leadership show stock price action last week measure other stock database decade market research show best stock tend have rs rating north launch biggest run see ibd help make more money stockssherwin william be now consider extend buy range clear buy point first stage cup handle see stock form new pattern follow buy opportunity week tight pullback day week line term top bottom line number sherwin william have post quarters accelerate earning growth sale growth have also moved higher same time frame company earn rank peer chemical paint industry group ppg industry ppg axalta coating system axta be also group highest rate stock related stock be show improve technical action use ibd relative strength rating relative strength line help judge stock
1,SHW,stock fall modestly late morning trade thursday mixed bag earning moved individual stock couple homebuilding name take spotlight ebay ebay vault record high nasdaq composite fall dow jone industrial average volume be mixed nyse tracking slightly lower same time wednesday nasdaq turnover be heavier stock market today ibd stock be roughly evenly split advance decline issue best performer be lgi home lgih announcement join small cap close wednesday mutual fund track index buy stock other news surround housing stock homebuilder horton dhi initially hit year high report line earning cent share improvement year earlier sale be little light horton share be now fractionally still slightly extend buy point meanwhile fellow homebuilder nvr nvr paint giant sherwin william shw miss ep sale target nvr fall sherwin william tumble undercut buy point breaking wednesday june housing start be stronger expect rise commerce department say wednesday homebuilder industry group have generally be laggard rank group exist home sale rise year high national association realtor say thursday toy maker mattel mat rise less report cent share loss be better expect mattel also announce have be name master toy licensee jurassic park franchise begin july online marketplace operator ebay gap be top consolidation buy point ebay be hold gain rise record ebay report cheery quarterly report late wednesday
2,SHW,stock open mixed thursday busy slate early earning report economic news dow industrial fall edge fraction nasdaq climb action approach stock market open show alaska air alk fall open horton dhi inched unilever fall fraction report quarterly result general motor gm rise domino pizza dpz jump pulte home phm gain have positive second quarter report qualcomm qcom stride higher open san diego base chip design leader be supplier apple aapl late wednesday qualcomm report fiscal third quarter sale earning well analyst estimate stock earning relative price strength signal remain weak clear resistance share remain deep long term correction microprocessor leader intel intc drop report mixed second quarter result late wednesday stock wednesday clear buy point month cup base earning relative strength measure remain weak online retail auction site ebay ebay open report better forecast second quarter sale earning lift third quarter revenue full year earning guidance view ibd stock lgi home lgih pop nearly open first session list smallcap lgi replace krispy kreme doughnut kkd be be acquire privately hold jab holding paint brand sherwin william shw drop more earning revenue growth stop well short consensus view southwest airline luv dive open revenue earning miss consensus target dalla base airline say fare environment be challenge yield softening recent week share milwaukee base joy global joy soar japan komatsu agree pay acquire maker specialize large scale mining equipment biotech relypsa rlyp catapult swiss base drugmaker galenica say buy maker hyperkalemia treatment deal value initial jobless claim inched lower week end july labor department report economist have forecast increase claim prior week tally mid atlantic region manufacturing slow july accord philadelphia federal reserve regional manufacturing survey index show read june positive result disappointing forecast uptick home price edge lift federal housing finance agency housing price index consensus estimate be increase june exist home sale number be due national association realtor conference board lead indicator index european central bank elect keep interest rate unchanged first monetary policy meeting brexit vote subsequent comment ecb official be closely follow regard brexit impact status italy struggle banking sector oil trade lower west texas intermediate brent crude fraction respectively gold be effectively flat dollar slip vs yen gain euro pound year treasury yield gain basis point market asia generally book moderate gain less europe stock show mild loss afternoon action follow ecb monetary policy decision
3,SHW,look best stock buy watch focus rise relative price strength stock fit bill be rpm international rpm have relative strength rs rating upgrade friday look best stock buy watch keep close eye relative price strength ibd proprietary rating identify market leadership worst best score score show stock price behavior trail week compare other stock database year market history show market biggest winner often have rs rating north early stage move look best stock buy watch start hererpm international be trading buy zone clear buy point cup handle once stock move higher initial entry consider buy range revenue growth fall last quarter ep grow previous report keep eye company next round number jul rpm international earn rank peer chemical paint industry group sherwin william shw axalta coating system axta be also group highest rate stock get newsletter deliver inbox more info product service privacy policy term useget instant access more trading idea exclusive stock list ibd proprietary rating only also stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
4,SHW,stock market hold higher friday afternoon gain be modest wall street keep watchful eye meeting canada dow jone industrial average climb procter gamble pg extend gain consumer product giant have be rise thursday word reorganization plan be take root unitedhealth group unh dow component clear buy point cup type base volume be light add nasdaq composite weakness semiconductor datum storage share contribute nasdaq slightly lower performance apple aapl biggest stock gap nikkei asian review report apple have tell supplier brace fewer unit new model iphone second half compare same period year get newsletter deliver inbox more info product service privacy policy term usesome apple chip supplier be sharply lower cirrus logic crus skywork solution swks fall analog device adi qorvo qrvo drop volume be tracking lower compare same time thursday wall street focus be meeting canada gathering major western leader be expect be frosty president trump press ally change trade policy trump add tension friday say russia return russia be expel year protest annexation crimea market gain defensive sector such food tobacco alcoholic beverage be lead consumer stock also lead electronic store apparel home furnishing group friday leader homebuilder be day top perform industry group group have be loser year be bounce modestly few week ishare home construction itb etf also include supplier such home depot hd sherwin william shw be be best gain unleveraged etfs homebuilding group be still bottom ibd industry ranking few builder such tri group tph pulte group phm be form right side basis too early get excited group most stock remain deep correction lgi home lgih horton dhi toll bro tol remain deep correction energy sector lag oil price fluctuated crude be jpmorgan reduce oil price forecast concern grow output fall demand china cnbc report crude pare loss be only slightly lower friday afternoon barrel related apple iphone production pullback hit chip supplierschip gear maker flirt buy point trade stock spot trait proper handle good basis
5,SHW,ppg industry ppg have relative strength rs rating upgrade monday welcome improvement still short better score look ibd proprietary rating track market leadership worst best score score show stock price movement trail week hold other stock database decade market research reveal best perform stock typically have rs rating north early stage move see ppg industry continue rebound clear threshold look best stock buy watch start hereppg industry be now consider extend buy range clear buy point first stage cup handle see stock form new pattern follow buy opportunity week tight pullback day week line earning growth decline last quarter revenue moved higher company hold rank peer chemical paint industry group sherwin william shw be top rank stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
6,SHW,welcome move axalta coating system axta see relative strength rating improve thursday ibd proprietary rs rating measure technical performance show stock price movement last week compare other stock database history reveal market biggest winner tend have rs rating early stage move see axalta coating system continue rebound clear threshold look best stock buy watch start hereaxalta coating system break earlier be now trading prior entry consolidation scenario stock break then fall more entry price consider fail happen best new pattern take shape also understand most recent consolidation be later stage base make riskier establish new position add share exist earning share growth decline company latest report revenue rise company earn rank peer chemical paint industry group sherwin william shw be rank stock group related stock be show rise relative strength use ibd relative strength rating relative strength line help judge stock
7,SHW,re leave week public opinion swing back forth thursday unite kingdom shockingly vote leave european union outcome force resignation prime minister david cameron early friday british pound plunge much euro sag much market be expect be highly volatile friday turmoil be expect put kabosh federal reserve interest rate hike term ed yardeni president yardeni research say be little point investor take precipitate portfolio action selling wish have sell yesterday be rarely right reaction market dominate position adjustment recalibration expectation better opportunity be reveal volatility be part michael metcalfe head global macro strategy state street global market say month referendum be noticeable international investor increase holding equity spite uncertainty create vote only place investor change be currency market investor hedge currency risk hedge have proven prescient give sterling depreciation follow vote key question now be international investor now seek reduce underlie holding asset uncertainty follow leave vote persist investor buy rather sell asset vote be heighten risk outflow equity so investor play situation mutual fund manager investment strategist investor business daily speak advise investor stick long term investment plan still say have hedge exposure pound euro several say overall strategy be tilt stock especially draw little revenue abroad be tilt emerge market key question face investor be trim weighting stock mutual fund etfs exposure rest europe cut loss other european stock lose more ground get market rally miss lot rally take place say david tannehill head investment group region wealth management question do not become moot now voting have conclude vote brexit start year process eu renegotiate bevy trade pact prospect continental stock almost certainly rise fall teeter totter little stock market news report market not stop function year say alessio longis be manager oppenheimerfund asset totale be period extend volatility longis also lead macro strategy global multus asset group oppenheimerfund think not be seismic disturbance investor reshape investment plan don expect be systemically disruptive event catastrophic market action say get month volatility noise erratic action end day win be lehman bro type event win force rest market make fire sale stop trading disrupt capital flow late last year longis team hedge british pound sterling almost euro shorting currency forwards addition team go long japanese yen currency forwards bet appreciate investor seek european safe haven dec longis team have also more double global allocation fund qvgix weight emerge market stock april emerge market stock include china internet giant tencent holding tcehy india real estate lender housing development finance medium company zee entertainment enterprise korea cigarette seller kt chipmaker taiwan semiconductor tsm brazil stock exchange operator bm bovespa accord morningstar inc point longis caution investor be probably too late hedge pound euro pound sterling volatility be insanely high bid ask spread say week month option be very expensive say long term typically take just drop value hedge become profitable tuesday take move bob doll manager asset management fund asset intend stick broader overall investment plan be more economic weakness more uncertainty outside say therefore have choose company get most revenue here brexit be best house bad neighborhood doll be also chief equity strategist have lighten exposure multinational also lighten exposure financial april flagship large cap core fund nlacx have shareholder money work north american stock balance holding be asian emerge market apple aapl home depot hd cisco csco intel intc unitedhealth group unh be top holding doll anna rathbun director research cbiz retirement plan service tilt stock safer eu equity also favor small cap aside brexit question have be wait emerge market stock rally say be undervalue have become few option yield hungry investor low rate world also keep eye beaten european stock brexit have be defeat team intend add market mix undervalue security natural resource producer glencore be such name europe have benefit recovery commodity price rathbun say suffer quick drop be diversify position do well dollar have trend february have buoy commodity price downside risk glencore be commodity price be tie price dollar federal reserve raise rate strengthen dollar putt downward pressure commodity price stock like paint maker sherwin william shw have see delay spending consumer crash recession rathbun say spend thing build equity home do ve see lot home improvement project
8,SHW,brexit vote be stunning heavyweight boxer surprise blow opponent head unexpected jarring investor be also quick react recommendation range sit tight do nothing very proactive buy advice voya investment management chief market strategist dougla cote tell ibd investor not try trade vote short term advice investor be stick investment plan historic brexit vote say only investor possibly make move be be already market cash be good buy opportunity investor expect volatility eu central bank intervene other investor strategist researcher share recommendation buy well more general advice anna rathbun director research cbiz retirement plan service say drop value british pound euro strengthen dollar present potential problem large cap stock rely export so investor seek safety small cap midcaps company be focuse north america panera bread pnra fall category rathbun say also like paint maker sherwin william shw have see delay spending consumer crash recession rathbun say spend thing build equity home do ve see lot home improvement project similarly investor consider small cap midcap dividend pay security well investment grade bond product accord todd rosenbluth director fund research global market intelligence security be more insulate economic problem be beset european union country accord sam stovall equity strategist gmi rosenbluth cite several etfs fitting bill note average dividend yield compare favorably yield year treasury bond investor prefer bond income etfs rosenbluth say fund merit look have day sec yield say hold different bond bryce doty senior manager sit rise rate etf rise say sell long maturity treasury middle night be buy back share sit rise rate etf sell yesterday be look buy high grade corporate bond much wider spread yesterday chuck self chief investment officer isector etf strategist say be opportunity investor be long treasury bond utility continue do well wake leave vote add recommend buy treasury bond utility stock mutual fund safe haven diversification status income component also recommend precious metal precious metal stock safe haven status self recommend investor use etfs rather mutual fund such intraday tactical buy be sell short notice intraday phil blancato president ceo ladenburg thalmann asset management say investor theme be more same focus stock higher quality try earn income bradford pine bradford pine wealth group say investor focus quality dividend pay stock several investor strategist say federal reserve be now very unlikely raise rate year art degaetano cio bramshill investment manager bramshill income performance brmsx say be selling half high yield position rebound buy longer duration rate aa rate corporate spread be widening area market high quality credit hold well environment still be seek investor need yield add have cash sideline put third work here today then next month think get lower price better point enter end summer have third invest several investor say biggest concern go forward be italian referendum october opinion
9,SHW,sale new home hit year high last month luxury homebuilder toll bro tol say tuesday foundation continue growth be place question remain millennial future buy habit commerce department say april new home sale sky-rocket annualize rate highest january wall street be look small increase unit continue believe driver be place sustain current housing market slow steady growth toll bro chairman robert toll say statement interest rate remain low job picture continue improve home equity value be rise supply remain constrain industry be still not build enough home meet demand current demographic imply be need toll bro share close stock market today gapping day average other homebuilder nvr nvr rise horton dhi add lennar len rise pultegroup phm climb toll bro sell more affluent buyer say adjust fiscal second quarter earning climb cent share beating analyst estimate cent revenue grow well analyst view homebuilder expect full year revenue midpoint range view toll bro also expect deliver new home year average value meanwhile commerce department say average home price climb stifel chief economist lindsey piegza say price increase be too big consumer swallow price new home continue go make more difficult average potential homeowner buy piegza note sale be still well pre recession high april be new home sell nearly double figure year accord commerce figure other analyst see strong result ahead today number be eye pop growth say lawrence yun chief economist national association realtor be still plenty momentum go forward new question arise millennial buy home same rate earlier generation do piegza say prefer rent stay home buy market term new pew research center study tuesday find american year old be more likely be live parent own household spouse partner pew say be first time happened modern era robert toll remain upbeat key demographic group say conference call millennial mature study indicate appetite housing be consistent past generation meanwhile paint coating company valspar val be be buy sherwin william shw also say tuesday adjust fiscal earning rise share cent forecast revenue slide lighter expect
