,ticker,content
0,SNA,snap sna see welcome improvement relative strength rs rating tuesday upgrade proprietary rating identify technical performance show stock price movement last week compare other stock database history show best perform stock tend have rs rating early stage move see snap continue rebound clear threshold see ibd help make more money stockssnap be still buy range move past entry cup handle proper buy range be initial entry once stock move range best hold investing set buy opportunity snap post ep growth last quarter revenue gain come look next report feb snap earn rank peer build hand tool industry group stanley black decker swk be top rank stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
1,SNA,stock market indicate new uptrend be underway many individual investor want trade growth stock make money ironically remain skeptical bullish follow signal come mostly negative period market so negative reaction be natural reaction be natural be blunt not too smart investor be heeding recent past ignore signal say present condition have change be follow day bottom signal occur major index surge higher volume previous day least day index low prudent investor make effort buy something follow day stock be highly rate breaking strong volume aren stock breaking follow happen justify caution get newsletter deliver inbox more info product service privacy policy term usewhat stock breaking be stock investor have never hear too happen only mean investor hasn be do homework rally be often make stock nobody professional fund manager devote ibd reader have hear here be several stock break follow day recent year size gain follow condition relative strength line point outperformance vs be also note see rs line paint blue daily weekly chart investor com march sandisk break volume average rs line be week high stock rise month western digital wdc acquire sandisk same follow power integration powi break volume average rs line be also new high stock gain week chipotle grill cmg break solid week cup handle featured buy point faster turnover usual accompany weekly chart clearly show volume week surge vs prior week sign superb institutional demand notice turnover be also highest week rs line be new high see historical relative strength line earlier chart marketsmith ibd premium stock charting screening service chart go back decade time stock rise month peak dip week move average begin new base june lululemon athletica lulu break volume heavier usual rs line be new high lulu advanced month lululemon leader premium price athletic apparel be current member ibd leaderboard june anheuser busch inbev bud break volume day average rs line be new high parent budweiser rise month july cabela cab retook lose buy point volume average rs line be new high cabela post gain little more month oct snap sna break volume average rs line be new high snap advanced month criteo crto break volume quicker normal rs line be new high stock gain month point here isn investor fill portfolio new buy follow day instead investor buy stock see continue act well avoid extreme jump too aggressively refuse test water keep track relative strength line important indicator strength version column be originally publish please follow whitfield twitter ibd_pwhitfield saito chung ibd_dchung additional commentary stock market lead growth company related stock checkup help find winning stockact investor psychology reach extremesstock buy stock be big cap leader today
2,SNA,stock market open higher quickly reversed lower morning trading investor digest european central bank action early thursday ex fbi director james comey begin congressional testimony ecb left interest rate unchanged remove reference possibly cut rate further nasdaq early gain turn loss also slip negative trade dow jone industrial average stick close break even mark dow industrial nike nke financial component jpmorgan jpm pace advancer gain early trading blue chip index big laggard be walt disney merck mrk fall department store retailer be best perform stock stock market today jwn more macy kohl kss rise respectively downside borg warner bwa decline snap sna fall chinese commerce giant alibaba baba announce expect fiscal revenue growth be range well analyst expectation share surge early thursday other chinese stock follow suit be volatile competitor jd com jd jump online gamer netease nte moved internet stock sina sina weibo wb drop respectively recent issue okta okta result come analyst estimate late wednesday cause cloud security software provider trade almost higher share be just ipo base entry action ibd be mixed early trade new leaderboard member healthequity hqy rise ichor holding ichr moved downside china education stock new oriental education edu tal education tal decline entertainment eatery dave buster play drop related alibaba soar predict revenue growth yeardow jone industrial average dow stock news analysisokta beat view first report public company stock riseseuropean central bank take baby step curb stimulus draghi followbest chinese stock buy watch
3,SNA,major average give intraday gain close back red thursday slide oil price weak economic datum mixed earning report weigh dow jone industrial average fall nasdaq ease volume be mixed slightly lower nyse higher nasdaq accord preliminary figure tool maker drugstore steel stock lead upside stock market today snap sna gap surge retake day day line heavy trade hand power tool maker report mixed result earning top sale miss estimate walgreen boot alliance wba leap healthy volume regain day line stopping just short day line drugstore operator fiscal profit beat view revenue miss also extend merger deadline rite aid rad seek regulatory approval deal walgreen announce plan last year acquire rite aid rite aid vault thursday american express axp be dow biggest winner heavy volume share gap past day day move average line highest level month credit card provider report strong earning close wednesday microsoft msft jump close better expect fiscal result xbox surface maker stock close regular session loss work flat base buy point biggest blue chip loser be traveler trv heavy trade lowest close late april insurance giant report profit fall last year miss view ebay ebay gap tumble report result top forecast revenue guidance disappoint stock trigger sell rule wipe gain buy point clear july now entry economic news weekly jobless claim rise expectation claim philly fed business outlook survey october come september read light economic datum schedule friday include baker hughe weekly rig count fed daniel tarullo john william be also slate speak earning report be due general electric ge honeywell hon mcdonald mcd suntrust bank sti related walgreen boot alliance earning mixed rite aid deadline extendedebay get picked apart earning miss key metric
4,SNA,person mention build sector many folk think homebuilder sometimes such association be mislead not enough ask sector be do well have know strength be sector ibd break market industry group homebuilder example have relative strength line have be move sideway august rs line measure performance vs rise line point outperformance fall line laggard action sideway line performance line meanwhile build sector have be top sector same period so be real strength industry group make build sector only show rise rs line past few month hand tool rs line be week high group top stock be toro ttc snap sna stanley black decker swk toro have deliver best earning growth most recently report quarter earning jump increase revenue toro boss unit boost result wrapped acquisition boss designer maker snowplow salt sand spreader november stock be buy zone buy point wood product rs line be just recent high industry group have stock only post earning gain past quarters universal forest product ufpi grow earning respectively revenue rise same quarters stock fall dec da davidson downgrade neutral underperform universal be thinly trade daily average volume april initial public offer enviva partner eva post profit cent share vs loss cent share year earlier quarter earning rise cent share revenue jump same quarters enviva be master limit partnership involve wood pellet customer use replace coal power generation manufacture home rv group have enjoy rise rs line line recently fade group have stock only have deliver double digit earning growth more consecutive quarters patrick industry patk grow ep least past quarters sale growth varied same quarters stock have drawback late october fail eventually drive stock day line testing day line also stock be thinly trade daily average dollar volume
5,SNA,momentum small cap stock etfs isn flagging outperformed past month market stumble exchange trade fund generally invest company market capitalization less small cap stock be key successful investing diversify portfolio have tend outperform large midcap peer past year
6,SNA,stock rolled ahead open thursday stay track session nasdaq add small cap pop ibd lead gain volume fall board index swung back positive ground year january dig hole
7,SNA,stanley black decker crushed third quarter earning view top revenue expectation growth consumer do segment surge north america europe
8,SNA,third quarter earning share increase share analyst poll thomson reuter be expect ep
9,SNA,power tool manufacturer tighten full year adjust ep outlook range midpoint remain same still current consensus estimate
