,ticker,content
0,SRE,utility stock run top bottom unusual session monday sempra energy sre soar spur interest activist hedge fund elliott management pg pcg tank almost liability concern related last year northern california wildfire be diversify utility deal power generation natural gas update story other market coverage visit stock market today only other utility stock stock diversify industry group allete ale moved more duluth minn base allete drop result left overall utility diversify group day letter paul singer elliott management sempra board outlined change activist investor see order company unlock investor value change include replace board member well launch strategic review operation asset elliott management be hedge fund asset management fund have play key role guide sempra base san diego pay acquire energy future holding efh hold stake dalla base power producer oncor time sale oncor report more customer lift sempra total more elliott associate elliott international partner bluescape resource reportedly hold stake sempra letter sempra estimate utility unlock value translate roughly share boost utility stock san francisco pg say monday anticipate significant liability california department forestry fire protection report release friday find pg equipment have cause least blaze tear california wine country october fire kill person cause estimate damage state be still investigate tubbs fire largest fire california history tubbs be part overall october conflagration responsible death pg claim fire be start power line install own private property owner uncertainty liability lead pg suspend dividend december monday well fargo keep market perform rating stock lower price target investment research firm cfra carved price target downgrade stock strong sell hold pg dive more open trade then ease loss put share september related tool be investor best friend do know use mining giant make big move car battery stock go totally bonkers earning come laterussia hack nuclear plant infrastructure hundred thousand time day energy future holding largest ever energy bankruptcy near finish
1,SRE,stock open very tight gain monday ahead heavy week political policy event world attention be trained tuesday summit president trump north korea kim jong wednesday press conference fed chair jerome powell be focal point investor dow jone industrial average manage gain add utility sempra energy sre pg pcg post index largest rise fall respectively nasdaq composite struggle gain less dow post gain last week best early march climb nasdaq notch gain result left nasdaq new high dow hold comfortably mark less political front market show little reaction early exit fractious meeting weekend result set disappointing tone progress international trade agreement market settle quiet trade be customary head federal reserve meeting diplomatic summit set tuesday president trump north korean leader kim jong be historic have specific target tone leader tweet follow meeting have bearing market behavior get newsletter deliver inbox more info product service privacy policy term market central focus week be likely be day federal open market committee meeting policy meeting european central bank fomc meet begin tuesday wrapped policy announcement press conference fed chairman jerome powell wednesday afternoon investor project probability fed hike rate quarter point powell press conference be particular interest investor look clue fed be lean more rate hike rest year bond market also be microscope ecb meet thursday few expect bank increase interest rate expectation be high bank lay exit strategy massive bond buy stimulus program begin sempra surge nearly letter activist hedge fund elliott management san diego base company board outlined strategy unlock value market capitalization stock move include replace board member create strategic review committee board sempra share be november high pg skid lower report release late last week california department forestry fire protection determine fire northern california kill person burn acre october be result power line equipment own pg pg share end friday september high note well fargo maintain stock market perform rating lower price target handful quarterly report add interest week rh rh formerly restoration hardware report late today adobe system adbe finisar fnsr fedex fdx also report week adobe rise early trade stock have be tap new high breaking flat base january share be extend analyst expect rise earning gain sale company report thursday fedex rise open climb further right side month base pattern stock end friday less buy point share be past month stock relative strength line be lag oil price pull back sharply continue recent volatility ahead june meeting organization petroleum produce country news report say saudi arabia be increase production ahead meeting many expect saudi opec member russia remove production cap put place addition reuter report trump administration day exit iran nuclear deal make direct request saudi arabia increase production order offset oil price impact renew sanction iran oil trade early monday west texas intermediate be hover just barrel level high also financial stock be buy rate hike trump kim summit investing action plantop stock end week buy zone poise pop next week earning option rh rally ahead earning be risk
2,SRE,long run bankruptcy saga energy future holding be come close now texas have approve sale company crown jewel texas public utility commission authorize sempra energy sre purchase oncor electric delivery state largest utility thursday be last major step need end almost year old energy future bankruptcy rivale enron largest ever energy company bankruptcy court approve oncor sale last month end long twist road say paul patterson utility analyst glenrock associate sempra be able prevail several suitor hit collapse natural gas price energy future be force sell oncor most seek utility work restructure almost debt sempra beat warren buffett berkshire hathaway brka nextera energy nee group backed hunt consolidated try fail buy utility recent year berkshire take pretax loss energy future debt investment buffett have call big mistake say wish never hear company sempra energy be commit be good partner state be supportive oncor mission provide texan safe reliable affordable electric service say debra reed chairwoman president ceo sempra energy call approval significant milestone puc chairman deann walker thank sempra agree condition agency require oncor sale attendee meeting austin texas break applause member commission vote approve transaction many fail attempt so appropriate round applause work have go commissioner brandy marty marquez say be enormous dalla base oncor offer steady regulate return state grow population highest electricity sale country oncor be texas largest transmission operator manage mile kilometer power line deliver electricity customer sempra run power gas utility southern california chile peru together serve more consumer accord company also own operate almost megawatt renewable energy capacity partner texas bloomberg intelligence analyst kit konolige say sempra obviously center energy industry bankruptcy energy future be target largest ever leverage buyout be take private group lead kkr co kkr tpg capital lp meanwhile commodity market west texas intermediate crude fall barrel gold drop ounce
3,SRE,russian hacker be attack critical infrastructure include energy grid nuclear power plant airport accord government official xwater process plant be other target be repeatedly test roll attack last year more dozen power plant state be breach due russia ongoing campaign cyberattack energy secretary rick perry tell house appropriation subcommittee thursday cyberattack be literally happen hundred thousand time day warfare go cyberspace be real serious lead world such attack be cite be reason trump administration impose sanction series russian organization individual thursday doomsday scenario such attack leave million water electricity get newsletter deliver inbox more info product service privacy policy term useutility giant pacific gas electric pcg be stock market today duke energy duk rise sempra energy sre edison international eix southern co so alert issue department homeland security fbi thursday layer more detail russian have be target be go least march russian government cyber actor target government entity multiple critical infrastructure sector include energy nuclear commercial facility water aviation critical manufacturing sector alert say technique be employ include send spear phish email compromise legitimate account host base exploitation target industrial control system infrastructure russian operative be also used hack credential gathering open source network reconnaissance alert do not disclose successful attack be say hacker target small commercial facility network stage malware conduct spear phish gain remote access energy sector network also try hide activity create new account stage target perform cleanup operation information theft be goal key prize have be gain control system used infrastructure then launch attack leave million water power even more worry prospect be hacker gain control nuclear power plant sudden shutdown trigger safety system design disperse excess heat prevent meltdown safety system be vulnerable attack however operate system used such plant be usually decade old legacy control be exploit hacker department homeland security previously say cyberattack critical infrastructure be most serious national security challenge confront also be interested trump sanction putin russia dem revert fallback position appeasement dividend pay utility stock sink wildfire liability loom still bullish bitcoin read cautionary tale blockchain stock energy stock industry news
4,SRE,sempra energy sre have relative strength rs rating upgrade tuesday welcome improvement still higher score look exclusive rating investor business daily measure price performance worst best score score show stock price behavior last week stack other stock database year market history reveal market biggest winner typically have rs rating north begin biggest climb see sempra energy continue rebound hit benchmark look best stock buy watch start heresempra energy be still buy range breaking past buy point cup handle once stock move higher original entry consider buy range sempra energy report earning growth last quarter sale gain come company earn rank peer utility diversify industry group fortis ft be top rank stock group related stock be show improve technical action use ibd relative strength rating relative strength line help judge stock
5,SRE,dominion energy buy scana scg stock stock deal scoop utility batter fail nuclear project draw scrutiny federal state regulator transaction be value include assumption debt accord statement wednesday scana shareholder receive share dominion share scana equal share tuesday close acquisition be expect close pending regulatory shareholder approval accord statement scana make attractive target company market value plummet utility halter controversial nuclear expansion late july federal state investigator be probe project trigger review law allow utility charge customer unfinished abandon power plant project dominion acquire scana make lot sense shahriar pourreza new york base analyst guggenheim security say phone wednesday dominion be build major natural gas pipeline atlantic coast line south carolina border state official want extend say line serve scana customer scana share be trading higher open bell stock market today have drop past year dominion trade share deal be latest string massive utility merger industry see combine acquisition most decade accord datum compile bloomberg stagnant electricity price tight profit margin have stoke buy spree acquisition include more exist summer capital regulatory asset allow elimination related customer cost year last year biggest utility deal be sempra energy sre acquisition oncor electric delivery co largest transmission line operator texas sempra outbid warren buffett berkshire hathaway brkb have offer october dynegy dyn vistra energy vist texas agree merge transaction value also be interested top china tech stock alibaba baidu be radar invest stock market start simple routine
6,SRE,small cap lead stock market lower tuesday index loss be moderate breadth be unusually weak small cap russell slide close practically session lows close lowest level weakness banking technology share appear contribute russell wo nasdaq composite give back fall fraction pare loss dow jone industrial average finished less higher dow component walt disney rise sharply second straight day report say st century fox foxa hold talk sell asset disney talk end deal volume be higher monday level decliner top advancer nasdaq nyse retail semiconductor stock be weakest travel book be worst perform industry group priceline pcln give soft outlook send stock major volume share break day day move average tripadvisor trip plunge year low company report weak sale quarter stock have be descent more year investor seek refuge dividend rich stock utility real estate investment trust be tuesday lead industry group san diego base utility sempra energy sre break cup handle base top buy point low volume general electric por rise past buy point also weak volume massachusett base eversource energy es break buy point average volume ibd property reit industry group rise be top group utility group rise related believe be serious do disney fox deal make sense priceline quarterly result beat view outlook fall best worst industry group
7,SRE,key stock index hit record high thursday better expect jobless datum apple aapl microsoft msft boost nasdaq xpowershare qqq trust qqq lead gain spdr spy rise spdr dow jone industrial average dium add apple microsoft apiece lead nasdaq apple fall wednesday iphone delay rumor iphone battery flaw report be day move average microsoft earn rating upgrade canaccord genuity be track new close high bank oil real estate be top sector fund gainer stock market today gold miner telecom utility underperform goldman sachs gs jpmorgan jpm apple microsoft be top blue chip gainer spdr oil gas exploration production xop vaneck vector oil service oih gain respectively powershare db oil dbo unite state oil uso leap nearly west texas intermediate crude price surge barrel first time unemployment claim fall week end prior week forecast new claim pair value fund hold stock such intel intc suntrust bank sti be breaking new high broader market ishare russell mid cap value iws climb past buy point flat base wednesday fund be featured july column share try break past buy point flat base pull back consolidation shape just clear pattern iws gain late january previous flat base march high fund track index same name turn year old july such provide exposure midsize company be deem undervalue market relative comparable peer lead weighting financial oct real estate industrial consumer discretionary stock utility be next biggest nearly top holding include real estate investment trust prologis pld suntrust sempra energy sre marathon petroleum mpc portfolio be weight market cap iws lag broader market year date return oct accord morningstar direct vs gain average annual return past year also underperform lead past year etf carry expense ratio ibd take intel have perked recently do fare industry group stock lead industry group often make strongest price advance find chipmaker stand now ibd stock checkup first trust value line dividend fvd be trading just buy point flat base climb june start current base week later share rise early year prior basis fund track value line dividend index have attract august launch index be comprise stock come top mark used value line safety ranking system value line take company average dividend yield then cut market cap fvd top holding oct include financial service dfs intel tif intel stage monday etf holding be equally weight utility financial service consumer defensive be top sector weight respectively fund have return ytd lead year average annual return vs benchmark index year return vs fvd offer annualize dividend average yield etf expense ratio be wednesday pick ishare msci emerge market eem schwab emerge market sche remain buy range bounce respective day line related apple weigh techs way play red hot emerge marketsearning lift sector top equity play buy zonedow hit record high trump plan ignite small cap stock
8,SRE,warren buffett berkshire hathaway brkb tuesday announce take minority stake pilot fly large truck stop travel center chain eventually grow deploy hold company massive cash xberkshire august report have accumulate roughly cash raise question company use company recent acquisition attempt have be stymy berkshire be outbid sempra energy sre oncor electric delivery large electric utility texas earlier year buffett backed kraft heinz khc drop plan buy unilever term tuesday deal berkshire take pilot fly haslam family continue hold ownership company fj management keep stake time berkshire snap extra stake fly pilot give total haslam family keep ownership other detail deal be not disclose jimmy haslam team have create industry leader key enabler nation economy buffett say statement haslam be also owner cleveland brown nfl team company have smart growth strategy place look forward partnership support trucking industry year come buffett continue berkshire class share dip stock market today travelcenter america ta also operate roadside stop trucker motorist jump ibd take berkshire hot growth stock ibd list have rac strong profit be show favorable technical trait recent hurricane damage performance fly pilot have more location canada serve trucker interstate traveler add buffett transportation related holding include name american airline aal general motor gm buffett also own large chunk oil refine giant philipps psx related warren buffett hurricane harvey be irma car insurer berkshire hathaway executive replace warren stock tumble hurricane harvey impact mountsberkshire hathaway outbid sempra oncor electric delivery
9,SRE,relative strength rs rating black hill bkh climb higher percentile monday get lift proprietary rating identify technical performance show stock price action last week compare other stock database history reveal stock go make biggest gain tend have better rs rating early stage move see black hill continue rebound hit benchmark black hill be build flat base buy point see break heavy trading company post ep growth latest quarterly report sale gain come black hill earn rank peer utility diversify industry group fortis ft vectren vvc sempra energy sre be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
10,SRE,welcome move consolidated edison ed see relative strength rating improve friday proprietary rating identify technical performance show stock price movement last week compare other stock database decade market research show stock go make biggest gain tend have higher rs rating begin largest run see consolidated edison continue show renew price strength hit benchmark stock be try complete flat base entry see break heavy trading consolidated edison report negative growth sale earning last quarter company hold rank peer utility diversify industry group fortis ft vectren vvc sempra energy sre be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
11,SRE,relative strength rs rating cms energy cms jump new percentile friday get lift unique rating measure technical performance show stock price action last week measure other stock database year market history show best stock often have better rs rating early stage move see cms energy continue rebound hit benchmark cms energy be not currently offer proper buy opportunity see stock go build base launch new move earning share growth decrease prior quarter top line grow prior report company hold rank peer utility diversify industry group fortis ft vectren vvc sempra energy sre be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
