,ticker,content
0,SYMC,security giant symantec symc stock plunge month low early trading thursday heel quarterly financial report late wednesday disappoint ceo steve bennett tell ibd tough quarter involved more salesperson have new territory assignment security software maker corporate strategic realignment earning beat symantec cut
1,SYMC,security giant symantec symc stock plunge month low early trading thursday heel quarterly financial report late wednesday disappoint ceo steve bennett tell ibd tough quarter involved more salesperson have new territory assignment security software maker corporate strategic realignment earning beat symantec cut
2,SYMC,symantec symc lose third value friday company forecast fiscal profit revenue far short expectation disclose internal investigation drive concern raise former employee share maker computer security software crash more close stock market today june quarter symantec say expect adjust profit cent midpoint guidance estimate cent forecast revenue range vs estimate full year fiscal symantec forecast revenue range estimate company say expect adjust earning share miss view get newsletter deliver inbox more info product service privacy policy term usesymantec say have notified security exchange commission internal probe lead audit committee investigation scope potential length be not provide company symantec say have retain external advisor assist process fiscal fourth quarter end march symantec say adjust earning be cent share year revenue rise top analyst estimate year earlier company earn cent share sale analyst expect earning cent sale symantec have be make acquisition spur growth acquire blue coat system symantec also purchase lifelock provider consumer identity theft protection service ibd computer software security group be rank industry group palo alto network panw qualys qlys have highest composite rating also be interested sell take profit hold here be several guideline followchart read basic buy point mark time real opportunity
3,SYMC,virus software maker symantec symc late thursday fire ceo president steve bennett have cut cost be major restructure short tenure top consider decision be result ongoing deliberative process not precipitate event impropriety chairman daniel schulman say statement symantec stock be hour trading announcement symantec stock rise regular session stock market today close stock be more early august director michael brown be appoint interim ceo company search new leader brown joined symantec board july formerly serve ceo quantum bennett joined symantec board member february become chairman august bennett be name ceo president july january company report third consecutive quarter ep growth acceleration bennett tell analyst conference call cost have come lower spending increase organizational efficiency sale fall fiscal end dec second consecutive quarterly decline company january split role ceo chairman elect board member schulman latter position separate position chairman ceo allow focus execute company strategic plan manage company operation performance bennett say statement time early february ibd bennett be ask thing be go most salesperson have be give new territory assignment make kind big change create challenge re still work bennett say then ll be anxious see much progress make fourth quarter pipeline look solid symantec be slate report result fiscal end march answer question bennett be candid company challenge say re make hard decision position company long term take little short term pain reposition company follow kevin shalvey twitter symantec ceo see more work security firm revamp
4,SYMC,palo alto network lead stock pick have vault higher put patent dispute bed analyst see security product demand datum center
5,SYMC,know network firewall other corporate security offering palo alto network panw make ibd leaderboard list high potential stock monday push more
6,SYMC,panw remain top pick favorite play secular trend consolidated network security functionality morgan stanley analyst weis write early monday research note boost price target
7,SYMC,weis say several factor include corporate security purchasing plan bolster confidence company sustain better billing growth fiscal also note company see slower growth capital expenditure reduction litigation expense
8,SYMC,palo alto network offer next generation network security platform used enterprise service provider government entity protect network viruse malware other threat lineup include network firewall software hardware also sell subscription service threat detection prevention web filter mobile device security
9,SYMC,patent issue past
10,SYMC,palo alto network stock be year firm announce end legal saga release third quarter fiscal result top estimate year year revenue growth earning growth cent share
